character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Isle of Conquest win_rate,Silvershard Mines win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin win_rate,Isle of Conquest played,Silvershard Mines played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin played,Isle of Conquest won,Silvershard Mines won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
154158080,Bannlore,twisting-nether,10.0,12209.0,63.0,53.0,41.0,40.0,75.0,57.0,57.0,50.0,,,,30.0,81.0,44.0,20.0,24.0,7.0,7.0,6.0,,,,19.0,43.0,18.0,8.0,18.0,4.0,4.0,3.0,,,,,,,,,,89.0,14.0,,38.0,,9.0,7.0,,13.0,,8.0,1.0,,5.0,,,,,,,,,,,,,,,,
193673568,Pikapala,kazzak,9.0,791.0,25.0,,,,,,,,,,25.0,4.0,,,,,,,,,,4.0,1.0,,,,,,,,,,1.0,17.0,,6.0,,1.0,,100.0,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,
186484369,Силугор,soulflayer,34.0,7999.0,71.0,0.0,75.0,56.0,,69.0,75.0,70.0,88.0,70.0,100.0,7.0,1.0,4.0,27.0,,13.0,20.0,20.0,8.0,10.0,5.0,5.0,0.0,3.0,15.0,,9.0,15.0,14.0,7.0,7.0,5.0,50.0,33.0,4.0,3.0,2.0,1.0,33.0,62.0,,67.0,38.0,6.0,21.0,,15.0,8.0,2.0,13.0,,10.0,3.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,4.0,4.0,,,,,,
196822072,Kyanara,kazzak,6.0,1043.0,100.0,,,0.0,,,0.0,50.0,0.0,,0.0,1.0,,,1.0,,,4.0,2.0,2.0,,1.0,1.0,,,0.0,,,0.0,1.0,0.0,,0.0,,33.0,,3.0,,1.0,,50.0,,,33.0,,2.0,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,
87936936,Kadelris,draenor,26.0,4753.0,50.0,43.0,25.0,40.0,100.0,57.0,50.0,54.0,80.0,33.0,83.0,16.0,7.0,4.0,5.0,2.0,7.0,8.0,13.0,5.0,3.0,6.0,8.0,3.0,1.0,2.0,2.0,4.0,4.0,7.0,4.0,1.0,5.0,0.0,,2.0,,0.0,,14.0,50.0,,0.0,75.0,7.0,8.0,,3.0,4.0,1.0,4.0,,0.0,3.0,,,,,,,100.0,15.0,15.0,,,,,,
104611503,Gainermaster,twisting-nether,8.0,1165.0,17.0,,,,,,,,,0.0,67.0,6.0,,,,,,,,,1.0,3.0,1.0,,,,,,,,,0.0,2.0,60.0,,5.0,,3.0,,33.0,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
166181858,Metzarth,silvermoon,38.0,8909.0,64.0,62.0,56.0,62.0,,50.0,43.0,89.0,75.0,40.0,75.0,36.0,8.0,9.0,13.0,,12.0,14.0,9.0,12.0,5.0,4.0,23.0,5.0,5.0,8.0,,6.0,6.0,8.0,9.0,2.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,74.0,37.0,,78.0,57.0,34.0,19.0,,18.0,7.0,25.0,7.0,,14.0,4.0,,,,56.0,9.0,5.0,,,,,,,,,
112056630,Baladinos,blackhand,54.0,1760.0,71.0,50.0,,0.0,,67.0,50.0,80.0,50.0,50.0,,7.0,2.0,,3.0,,3.0,2.0,5.0,4.0,2.0,,5.0,1.0,,0.0,,2.0,1.0,4.0,2.0,1.0,,100.0,0.0,2.0,2.0,2.0,0.0,75.0,50.0,,,50.0,4.0,4.0,,,2.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,
163274991,Kyecilius,draenor,5.0,15604.0,61.0,62.0,67.0,63.0,66.0,63.0,65.0,75.0,50.0,100.0,100.0,36.0,72.0,70.0,52.0,38.0,63.0,65.0,4.0,2.0,1.0,1.0,22.0,45.0,47.0,33.0,25.0,40.0,42.0,3.0,1.0,1.0,1.0,67.0,100.0,3.0,1.0,2.0,1.0,46.0,70.0,,,,39.0,10.0,,,,18.0,7.0,,,,100.0,1.0,1.0,,,,,,,,,,,,
82628867,Bêavis,blackhand,35.0,9348.0,38.0,23.0,36.0,29.0,40.0,42.0,41.0,45.0,69.0,45.0,0.0,29.0,13.0,14.0,14.0,5.0,19.0,34.0,29.0,16.0,11.0,2.0,11.0,3.0,5.0,4.0,2.0,8.0,14.0,13.0,11.0,5.0,0.0,,,,,,,50.0,25.0,,29.0,56.0,4.0,32.0,,7.0,9.0,2.0,8.0,,2.0,5.0,,,,70.0,10.0,7.0,100.0,13.0,13.0,,,,,,
189443120,Эйдирис,ashenvale,38.0,10758.0,67.0,,,67.0,,72.0,52.0,59.0,63.0,50.0,58.0,18.0,,,15.0,,18.0,25.0,29.0,19.0,26.0,24.0,12.0,,,10.0,,13.0,13.0,17.0,12.0,13.0,14.0,75.0,0.0,4.0,1.0,3.0,0.0,63.0,73.0,,46.0,56.0,19.0,26.0,,13.0,16.0,12.0,19.0,,6.0,9.0,100.0,1.0,1.0,100.0,4.0,4.0,100.0,2.0,2.0,,,,,,
162311310,Айсидиси,howling-fjord,22.0,1316.0,,,,33.0,,50.0,100.0,50.0,25.0,100.0,0.0,,,,3.0,,2.0,1.0,2.0,4.0,1.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,100.0,33.0,1.0,3.0,1.0,1.0,50.0,100.0,,,33.0,2.0,1.0,,,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
66141337,Tchog,nerzhul,11.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,
143651887,Evedandor,ragnaros,83.0,9703.0,64.0,71.0,89.0,76.0,50.0,100.0,100.0,25.0,25.0,20.0,67.0,14.0,17.0,19.0,17.0,14.0,4.0,2.0,4.0,4.0,5.0,3.0,9.0,12.0,17.0,13.0,7.0,4.0,2.0,1.0,1.0,1.0,2.0,,50.0,,6.0,,3.0,38.0,30.0,,75.0,71.0,8.0,10.0,,4.0,7.0,3.0,3.0,,3.0,5.0,88.0,8.0,7.0,50.0,2.0,1.0,,,,,,,,,
90133272,Êffy,ysondre,32.0,22067.0,47.0,59.0,58.0,56.0,71.0,71.0,56.0,67.0,100.0,,,60.0,125.0,36.0,18.0,21.0,14.0,16.0,6.0,1.0,,,28.0,74.0,21.0,10.0,15.0,10.0,9.0,4.0,1.0,,,,,,,,,56.0,29.0,,50.0,,9.0,7.0,,4.0,,5.0,2.0,,2.0,,,,,,,,,,,,,,,,
165207487,Titiran,drakthul,24.0,1352.0,100.0,,,75.0,,100.0,100.0,33.0,67.0,50.0,,1.0,,,4.0,,4.0,2.0,3.0,6.0,2.0,,1.0,,,3.0,,4.0,2.0,1.0,4.0,1.0,,100.0,67.0,1.0,6.0,1.0,4.0,0.0,80.0,0.0,,33.0,1.0,5.0,3.0,,3.0,0.0,4.0,0.0,,1.0,,,,,,,,,,,,,,,
164479772,Райтволл,howling-fjord,7.0,694.0,,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
175255710,Ferethor,darksorrow,6.0,233.0,,,,,,100.0,100.0,,,100.0,,,,,,,1.0,2.0,,,1.0,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
169776565,Tikkì,nemesis,20.0,5062.0,67.0,33.0,0.0,62.0,50.0,67.0,50.0,75.0,100.0,0.0,100.0,9.0,6.0,8.0,16.0,8.0,6.0,10.0,4.0,5.0,2.0,1.0,6.0,2.0,0.0,10.0,4.0,4.0,5.0,3.0,5.0,0.0,1.0,80.0,75.0,5.0,4.0,4.0,3.0,25.0,53.0,,50.0,50.0,12.0,15.0,,4.0,2.0,3.0,8.0,,2.0,1.0,,,,100.0,1.0,1.0,,,,,,,,,
165159780,Reubeuledieu,archimonde,27.0,25523.0,55.0,61.0,71.0,57.0,70.0,61.0,60.0,71.0,67.0,57.0,55.0,33.0,23.0,24.0,30.0,20.0,36.0,35.0,41.0,15.0,7.0,11.0,18.0,14.0,17.0,17.0,14.0,22.0,21.0,29.0,10.0,4.0,6.0,67.0,77.0,6.0,13.0,4.0,10.0,61.0,60.0,0.0,42.0,70.0,18.0,48.0,1.0,12.0,10.0,11.0,29.0,0.0,5.0,7.0,100.0,8.0,8.0,100.0,1.0,1.0,,,,,,,,,
166734171,Zelaeya,blackmoore,14.0,32.0,,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154764560,Møømøø,archimonde,27.0,3165.0,60.0,88.0,56.0,100.0,0.0,50.0,40.0,100.0,,33.0,,5.0,8.0,9.0,6.0,2.0,2.0,5.0,5.0,,3.0,,3.0,7.0,5.0,6.0,0.0,1.0,2.0,5.0,,1.0,,100.0,100.0,1.0,1.0,1.0,1.0,50.0,40.0,,100.0,67.0,2.0,5.0,,1.0,3.0,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,
175137079,Rokstarr,ragnaros,61.0,17654.0,49.0,59.0,61.0,62.0,67.0,58.0,64.0,63.0,40.0,0.0,40.0,108.0,70.0,57.0,52.0,36.0,65.0,45.0,49.0,10.0,1.0,5.0,53.0,41.0,35.0,32.0,24.0,38.0,29.0,31.0,4.0,0.0,2.0,100.0,0.0,3.0,1.0,3.0,0.0,45.0,64.0,,62.0,100.0,33.0,50.0,,21.0,1.0,15.0,32.0,,13.0,1.0,,,,,,,,,,,,,,,
153078382,Anorwen,pozzo-delleternità,14.0,4849.0,42.0,25.0,0.0,44.0,,14.0,33.0,50.0,43.0,0.0,100.0,12.0,4.0,6.0,9.0,,7.0,3.0,10.0,7.0,1.0,4.0,5.0,1.0,0.0,4.0,,1.0,1.0,5.0,3.0,0.0,4.0,,,,,,,50.0,0.0,,31.0,67.0,20.0,2.0,,16.0,3.0,10.0,0.0,,5.0,2.0,0.0,1.0,0.0,,,,100.0,1.0,1.0,,,,,,
193054276,Shyliin,silvermoon,4.0,1029.0,,,,,,0.0,0.0,100.0,,,33.0,,,,,,1.0,1.0,1.0,,,3.0,,,,,,0.0,0.0,1.0,,,1.0,0.0,33.0,2.0,3.0,0.0,1.0,,100.0,,,100.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
174848731,Usulder,sanguino,18.0,1758.0,0.0,,,50.0,,50.0,50.0,50.0,25.0,67.0,100.0,2.0,,,4.0,,2.0,2.0,2.0,4.0,3.0,2.0,0.0,,,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,0.0,100.0,2.0,4.0,0.0,4.0,0.0,57.0,,,0.0,3.0,7.0,,,2.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,,
166322312,Probold,blackmoore,4.0,677.0,100.0,,,100.0,,100.0,100.0,100.0,,100.0,,1.0,,,1.0,,1.0,1.0,1.0,,3.0,,1.0,,,1.0,,1.0,1.0,1.0,,3.0,,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,,,25.0,1.0,1.0,,,4.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,
117244225,Ethakor,ysondre,7.0,5235.0,62.0,48.0,53.0,52.0,83.0,38.0,62.0,,,,,13.0,29.0,19.0,29.0,6.0,8.0,8.0,,,,,8.0,14.0,10.0,15.0,5.0,3.0,5.0,,,,,,,,,,,20.0,,,,,10.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
159933105,Purificaohs,sanguino,18.0,435.0,,,,100.0,,0.0,,,,,0.0,,,,1.0,,2.0,,,,,1.0,,,,1.0,,0.0,,,,,0.0,,0.0,,1.0,,0.0,67.0,100.0,,,,3.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
172559860,Tottisima,ragnaros,145.0,67875.0,35.0,69.0,72.0,64.0,80.0,70.0,70.0,65.0,127.0,67.0,69.0,102.0,170.0,111.0,118.0,100.0,181.0,113.0,187.0,52.0,27.0,13.0,36.0,118.0,80.0,76.0,80.0,126.0,79.0,121.0,66.0,18.0,9.0,50.0,63.0,2.0,19.0,1.0,12.0,27.0,72.0,1600.0,72.0,79.0,37.0,170.0,1.0,151.0,14.0,10.0,123.0,16.0,109.0,11.0,0.0,1.0,0.0,,,,100.0,12.0,12.0,,,,100.0,1.0,1.0
120554741,Hearthledger,magtheridon,5.0,75.0,,0.0,,0.0,,,0.0,,,,,,1.0,,1.0,,,1.0,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,
156844041,Lennista,blackhand,4.0,251.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,100.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70170394,Zeihan,stormscale,42.0,3249.0,38.0,67.0,20.0,33.0,0.0,100.0,50.0,33.0,0.0,,50.0,8.0,3.0,5.0,6.0,1.0,1.0,4.0,3.0,1.0,,2.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,,1.0,80.0,0.0,5.0,1.0,4.0,0.0,40.0,43.0,,67.0,0.0,5.0,7.0,,3.0,4.0,2.0,3.0,,2.0,0.0,,,,,,,,,,,,,,,
140891853,Sêphïrøth,illidan,14.0,5932.0,50.0,100.0,,43.0,0.0,33.0,60.0,25.0,50.0,50.0,75.0,8.0,1.0,,7.0,1.0,9.0,10.0,8.0,12.0,6.0,8.0,4.0,1.0,,3.0,0.0,3.0,6.0,2.0,6.0,3.0,6.0,,0.0,,1.0,,0.0,33.0,30.0,,60.0,40.0,6.0,10.0,,5.0,5.0,2.0,3.0,,3.0,2.0,100.0,6.0,6.0,,,,100.0,3.0,3.0,,,,,,
169862478,Palexander,tarren-mill,10.0,1152.0,50.0,,,100.0,,0.0,,0.0,67.0,0.0,67.0,2.0,,,2.0,,2.0,,1.0,3.0,1.0,3.0,1.0,,,2.0,,0.0,,0.0,2.0,0.0,2.0,67.0,100.0,3.0,1.0,2.0,1.0,,67.0,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,
146958236,Mayuvo,blackmoore,1.0,69.0,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134225738,Kizaë,sargeras,14.0,5191.0,36.0,,,62.0,,100.0,67.0,88.0,67.0,100.0,62.0,14.0,,,8.0,,2.0,3.0,8.0,3.0,4.0,8.0,5.0,,,5.0,,2.0,2.0,7.0,2.0,4.0,5.0,60.0,83.0,10.0,6.0,6.0,5.0,36.0,100.0,,,71.0,11.0,5.0,,,7.0,4.0,5.0,,,5.0,,,,,,,,,,,,,,,
197510854,Lakoss,hyjal,69.0,2455.0,75.0,,,100.0,,50.0,33.0,83.0,57.0,100.0,50.0,4.0,,,3.0,,4.0,6.0,6.0,7.0,3.0,4.0,3.0,,,3.0,,2.0,2.0,5.0,4.0,3.0,2.0,0.0,83.0,2.0,6.0,0.0,5.0,0.0,50.0,50.0,,33.0,2.0,4.0,2.0,,9.0,0.0,2.0,1.0,,3.0,100.0,1.0,1.0,,,,,,,,,,,,
165583156,Колвэл,howling-fjord,23.0,85516.0,60.0,58.0,58.0,56.0,52.0,66.0,71.0,75.0,73.0,50.0,71.0,148.0,259.0,210.0,185.0,159.0,95.0,89.0,40.0,11.0,6.0,7.0,89.0,149.0,122.0,104.0,82.0,63.0,63.0,30.0,8.0,3.0,5.0,100.0,0.0,3.0,1.0,3.0,0.0,50.0,58.0,,59.0,89.0,131.0,36.0,,22.0,9.0,65.0,21.0,,13.0,8.0,100.0,2.0,2.0,,,,,,,,,,100.0,1.0,1.0
174970275,Harada,uldum,31.0,9997.0,0.0,,,57.0,,65.0,69.0,63.0,56.0,46.0,33.0,3.0,,,21.0,,20.0,16.0,19.0,16.0,41.0,6.0,0.0,,,12.0,,13.0,11.0,12.0,9.0,19.0,2.0,,0.0,,2.0,,0.0,67.0,62.0,,48.0,33.0,3.0,26.0,,21.0,27.0,2.0,16.0,,10.0,9.0,,,,40.0,5.0,2.0,100.0,6.0,6.0,,,,,,
171439082,Grippingcnt,kazzak,54.0,1134.0,100.0,100.0,50.0,0.0,,67.0,100.0,100.0,80.0,33.0,,1.0,1.0,2.0,1.0,,6.0,9.0,4.0,5.0,6.0,,1.0,1.0,1.0,0.0,,4.0,9.0,4.0,4.0,2.0,,,100.0,,1.0,,1.0,,33.0,100.0,0.0,50.0,,3.0,2.0,1.0,6.0,,1.0,2.0,0.0,3.0,,,,,,,,,,,,,,,
119766949,Admitancja,burning-legion,47.0,6144.0,0.0,50.0,46.0,71.0,60.0,60.0,73.0,50.0,0.0,0.0,100.0,1.0,8.0,13.0,7.0,10.0,5.0,15.0,18.0,2.0,1.0,1.0,0.0,4.0,6.0,5.0,6.0,3.0,11.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,,90.0,100.0,1.0,16.0,,10.0,1.0,0.0,8.0,,9.0,1.0,,,,,,,,,,,,,,,
174023878,Adûriel,sanguino,73.0,14164.0,60.0,58.0,50.0,47.0,67.0,58.0,58.0,55.0,123.0,55.0,100.0,10.0,12.0,12.0,17.0,3.0,12.0,19.0,29.0,13.0,11.0,1.0,6.0,7.0,6.0,8.0,2.0,7.0,11.0,16.0,16.0,6.0,1.0,100.0,57.0,5.0,7.0,5.0,4.0,60.0,59.0,0.0,56.0,75.0,10.0,17.0,2.0,18.0,8.0,6.0,10.0,0.0,10.0,6.0,,,,75.0,4.0,3.0,100.0,5.0,5.0,,,,,,
163525967,Bughydin,draenor,25.0,6728.0,33.0,38.0,67.0,65.0,,54.0,70.0,75.0,65.0,42.0,100.0,3.0,8.0,6.0,17.0,,13.0,10.0,16.0,17.0,12.0,5.0,1.0,3.0,4.0,11.0,,7.0,7.0,12.0,11.0,5.0,5.0,100.0,,2.0,,2.0,,36.0,71.0,,50.0,73.0,11.0,14.0,,4.0,15.0,4.0,10.0,,2.0,11.0,,,,100.0,2.0,2.0,100.0,15.0,15.0,,,,,,
139956677,Dritnz,silvermoon,68.0,2518.0,50.0,33.0,0.0,43.0,50.0,75.0,57.0,44.0,80.0,0.0,100.0,4.0,3.0,2.0,7.0,2.0,4.0,7.0,9.0,5.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,3.0,4.0,4.0,4.0,0.0,1.0,100.0,67.0,2.0,3.0,2.0,2.0,0.0,50.0,0.0,67.0,100.0,1.0,8.0,2.0,3.0,1.0,0.0,4.0,0.0,2.0,1.0,,,,0.0,1.0,0.0,,,,,,,,,
172849038,Houge,twisting-nether,6.0,699.0,,,,,,0.0,50.0,0.0,75.0,100.0,,,,,,,1.0,2.0,3.0,4.0,4.0,,,,,,,0.0,1.0,0.0,3.0,4.0,,,67.0,,6.0,,4.0,,33.0,50.0,,17.0,,3.0,2.0,,6.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
147544743,Lusimusi,rajaxx,48.0,20033.0,52.0,33.0,100.0,66.0,0.0,39.0,59.0,58.0,63.0,54.0,45.0,29.0,3.0,1.0,29.0,2.0,28.0,32.0,43.0,30.0,24.0,22.0,15.0,1.0,1.0,19.0,0.0,11.0,19.0,25.0,19.0,13.0,10.0,56.0,60.0,9.0,30.0,5.0,18.0,68.0,58.0,56.0,12.0,38.0,28.0,24.0,9.0,8.0,26.0,19.0,14.0,5.0,1.0,10.0,71.0,7.0,5.0,100.0,2.0,2.0,,,,50.0,2.0,1.0,,,
210177438,Далиса,grom,28.0,19308.0,18.0,44.0,62.0,62.0,50.0,50.0,56.0,53.0,75.0,67.0,75.0,17.0,43.0,47.0,32.0,20.0,64.0,43.0,64.0,4.0,9.0,4.0,3.0,19.0,29.0,20.0,10.0,32.0,24.0,34.0,3.0,6.0,3.0,,0.0,,1.0,,0.0,19.0,60.0,,63.0,20.0,16.0,55.0,,35.0,5.0,3.0,33.0,,22.0,1.0,71.0,7.0,5.0,,,,,,,,,,,,
163236504,Mégegymogyí,ragnaros,37.0,1705.0,0.0,,,0.0,,100.0,50.0,67.0,100.0,0.0,0.0,1.0,,,2.0,,4.0,10.0,3.0,2.0,2.0,1.0,0.0,,,0.0,,4.0,5.0,2.0,2.0,0.0,0.0,,62.0,,13.0,,8.0,,33.0,0.0,,100.0,,12.0,3.0,,2.0,,4.0,0.0,,2.0,,,,,,,,,,,,,,,
161267279,Hitlander,exodar,11.0,2638.0,0.0,,,80.0,,64.0,100.0,75.0,86.0,57.0,100.0,1.0,,,5.0,,11.0,3.0,4.0,7.0,7.0,1.0,0.0,,,4.0,,7.0,3.0,3.0,6.0,4.0,1.0,,60.0,,5.0,,3.0,100.0,40.0,,,75.0,1.0,5.0,,,4.0,1.0,2.0,,,3.0,,,,100.0,5.0,5.0,,,,,,,,,
113870315,Roronoazorro,hyjal,11.0,12050.0,51.0,32.0,31.0,61.0,37.0,0.0,25.0,29.0,,33.0,75.0,47.0,31.0,42.0,18.0,19.0,2.0,4.0,7.0,,3.0,4.0,24.0,10.0,13.0,11.0,7.0,0.0,1.0,2.0,,1.0,3.0,75.0,0.0,4.0,3.0,3.0,0.0,14.0,60.0,,,50.0,7.0,5.0,,,2.0,1.0,3.0,,,1.0,60.0,5.0,3.0,100.0,2.0,2.0,,,,,,,,,
105667034,Lénaig,sargeras,13.0,4429.0,54.0,60.0,38.0,50.0,44.0,30.0,50.0,100.0,,,,13.0,5.0,8.0,10.0,9.0,10.0,12.0,5.0,,,,7.0,3.0,3.0,5.0,4.0,3.0,6.0,5.0,,,,,,,,,,12.0,100.0,,0.0,,8.0,2.0,,1.0,,1.0,2.0,,0.0,,,,,,,,,,,,,,,,
155191902,Mandoow,stormscale,5.0,84.0,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196180963,Unfriendlly,kazzak,10.0,3052.0,100.0,,,75.0,,70.0,100.0,67.0,44.0,67.0,50.0,2.0,,,4.0,,10.0,3.0,6.0,9.0,12.0,2.0,2.0,,,3.0,,7.0,3.0,4.0,4.0,8.0,1.0,,50.0,,4.0,,2.0,,100.0,,100.0,43.0,,4.0,,1.0,7.0,,4.0,,1.0,3.0,100.0,7.0,7.0,,,,,,,,,,,,
189027548,Impairius,archimonde,15.0,3975.0,25.0,14.0,75.0,17.0,,0.0,75.0,38.0,0.0,,100.0,4.0,7.0,4.0,6.0,,3.0,4.0,8.0,1.0,,1.0,1.0,1.0,3.0,1.0,,0.0,3.0,3.0,0.0,,1.0,,0.0,,1.0,,0.0,50.0,50.0,,0.0,50.0,8.0,4.0,,1.0,2.0,4.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,
134684097,Ramrot,kazzak,37.0,2913.0,75.0,33.0,0.0,67.0,,100.0,100.0,100.0,100.0,,,4.0,3.0,1.0,3.0,,1.0,2.0,3.0,2.0,,,3.0,1.0,0.0,2.0,,1.0,2.0,3.0,2.0,,,100.0,,1.0,,1.0,,0.0,50.0,,,0.0,3.0,2.0,,,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
142260104,Benjipala,nefarian,39.0,5789.0,43.0,40.0,100.0,17.0,50.0,43.0,60.0,100.0,100.0,67.0,70.0,7.0,5.0,2.0,6.0,4.0,7.0,10.0,3.0,2.0,3.0,10.0,3.0,2.0,2.0,1.0,2.0,3.0,6.0,3.0,2.0,2.0,7.0,,,,,,,53.0,75.0,,100.0,100.0,15.0,12.0,,4.0,1.0,8.0,9.0,,4.0,1.0,,,,,,,,,,,,,,,
195031258,Duriandyl,archimonde,5.0,2659.0,50.0,71.0,33.0,50.0,0.0,67.0,67.0,80.0,100.0,33.0,,2.0,7.0,3.0,4.0,1.0,6.0,3.0,5.0,3.0,3.0,,1.0,5.0,1.0,2.0,0.0,4.0,2.0,4.0,3.0,1.0,,,0.0,,1.0,,0.0,,43.0,,100.0,,,7.0,,2.0,,,3.0,,2.0,,,,,,,,,,,,,,,,
212048875,Санлэнд,gordunni,7.0,1525.0,67.0,,,0.0,,0.0,50.0,100.0,100.0,0.0,0.0,3.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,4.0,2.0,,,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,100.0,100.0,,,33.0,3.0,1.0,,,3.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,
158103304,Chalumo,ysondre,14.0,61702.0,49.0,50.0,43.0,32.0,38.0,40.0,75.0,100.0,43.0,50.0,,90.0,149.0,126.0,56.0,55.0,15.0,12.0,2.0,7.0,2.0,,44.0,74.0,54.0,18.0,21.0,6.0,9.0,2.0,3.0,1.0,,,,,,,,41.0,50.0,,67.0,,17.0,2.0,,3.0,,7.0,1.0,,2.0,,,,,,,,,,,,,,,,
114295293,Sitram,hyjal,30.0,826.0,25.0,0.0,100.0,50.0,100.0,,,,,,,4.0,2.0,1.0,2.0,1.0,,,,,,,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
159396650,Mönkasx,stormscale,26.0,1057.0,0.0,0.0,50.0,100.0,0.0,50.0,100.0,,0.0,,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,,0.0,,1.0,,0.0,67.0,80.0,,,33.0,3.0,5.0,,,3.0,2.0,4.0,,,1.0,,,,,,,,,,,,,,,
129605274,Tyraf,tarren-mill,23.0,6214.0,35.0,76.0,64.0,61.0,50.0,46.0,74.0,65.0,300.0,0.0,,20.0,17.0,25.0,18.0,10.0,13.0,19.0,20.0,2.0,1.0,,7.0,13.0,16.0,11.0,5.0,6.0,14.0,13.0,6.0,0.0,,,,,,,,24.0,80.0,,75.0,,17.0,15.0,,12.0,,4.0,12.0,,9.0,,,,,,,,100.0,39.0,39.0,,,,,,
