character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Arathi Basin Winter played,Cooking: Impossible played,Arathi Basin Winter won,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
195701234,Аманн,goldrinn,24.0,1164.0,100.0,,,,,100.0,0.0,0.0,,,0.0,,0.0,0.0,100.0,100.0,,,1.0,,,,,1.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,,,1.0,,,,,1.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,,,33.0,60.0,3.0,5.0,1.0,3.0,,,,,,,,,
201606331,Сэйша,goldrinn,5.0,25.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
139794257,Лаврэйн,howling-fjord,9.0,1926.0,50.0,,,75.0,,43.0,100.0,,0.0,,33.0,,,100.0,,100.0,,,2.0,,,4.0,,7.0,1.0,,1.0,,6.0,,,1.0,,2.0,,,1.0,,,3.0,,3.0,1.0,,0.0,,2.0,,,1.0,,2.0,,,80.0,100.0,5.0,1.0,4.0,1.0,,,,,,,,,
165410829,Ламберинн,goldrinn,19.0,3665.0,50.0,56.0,40.0,50.0,,67.0,58.0,30.0,43.0,,50.0,0.0,200.0,50.0,67.0,50.0,,,4.0,9.0,5.0,6.0,,3.0,12.0,10.0,7.0,,8.0,1.0,2.0,2.0,3.0,4.0,,,2.0,5.0,2.0,3.0,,2.0,7.0,3.0,3.0,,4.0,0.0,4.0,1.0,2.0,2.0,,,50.0,75.0,2.0,4.0,1.0,3.0,,,,,,,,,
237903403,Вистон,borean-tundra,6.0,1478.0,33.0,,,,,0.0,0.0,0.0,50.0,,50.0,,50.0,,,0.0,,100.0,3.0,,,,,1.0,3.0,1.0,2.0,,2.0,,2.0,,,2.0,,1.0,1.0,,,,,0.0,0.0,0.0,1.0,,1.0,,1.0,,,0.0,,1.0,,100.0,,2.0,,2.0,,,,,,,,,
97305152,Зорбаш,galakrond,210.0,144473.0,75.0,47.0,50.0,50.0,56.0,76.0,46.0,41.0,41.0,,46.0,57.0,80.0,59.0,63.0,84.0,100.0,88.0,471.0,245.0,270.0,202.0,186.0,344.0,263.0,198.0,263.0,,213.0,169.0,41.0,49.0,30.0,116.0,30.0,8.0,354.0,116.0,135.0,101.0,104.0,263.0,120.0,82.0,109.0,,97.0,96.0,33.0,29.0,19.0,98.0,30.0,7.0,67.0,57.0,9.0,14.0,6.0,8.0,62.0,,8.0,,5.0,,100.0,1.0,1.0
177299263,Уругвейн,howling-fjord,1.0,52.0,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,100.0,,1.0,,1.0,,,,,,,,,
202751165,Эжбрингер,eversong,9.0,619.0,0.0,,,,,,100.0,50.0,,,,,20.0,50.0,0.0,,,,1.0,,,,,,1.0,2.0,,,,,5.0,2.0,1.0,,,,0.0,,,,,,1.0,1.0,,,,,1.0,1.0,0.0,,,,,50.0,,2.0,,1.0,,,,,,,,,
73380864,Линвел,howling-fjord,20.0,41907.0,27.0,40.0,50.0,38.0,30.0,41.0,43.0,89.0,43.0,200.0,43.0,75.0,75.0,67.0,50.0,100.0,100.0,100.0,96.0,99.0,215.0,90.0,71.0,102.0,84.0,9.0,212.0,1.0,7.0,4.0,8.0,9.0,6.0,5.0,4.0,2.0,26.0,40.0,107.0,34.0,21.0,42.0,36.0,8.0,91.0,2.0,3.0,3.0,6.0,6.0,3.0,5.0,4.0,2.0,50.0,67.0,2.0,9.0,1.0,6.0,100.0,,1.0,,1.0,,,,
121971102,Унтерлиса,fordragon,67.0,17303.0,37.0,57.0,71.0,62.0,58.0,50.0,68.0,59.0,39.0,,57.0,75.0,50.0,68.0,53.0,46.0,,25.0,19.0,7.0,7.0,29.0,12.0,36.0,19.0,37.0,18.0,,23.0,8.0,18.0,31.0,15.0,13.0,,12.0,7.0,4.0,5.0,18.0,7.0,18.0,13.0,22.0,7.0,,13.0,6.0,9.0,21.0,8.0,6.0,,3.0,50.0,53.0,8.0,19.0,4.0,10.0,54.0,100.0,13.0,1.0,7.0,1.0,,,
199760651,Хозбасс,eversong,18.0,1604.0,50.0,,,,,60.0,,,,,,,,100.0,100.0,100.0,100.0,,2.0,,,,,5.0,,,,,,,,2.0,1.0,1.0,2.0,,1.0,,,,,3.0,,,,,,,,2.0,1.0,1.0,2.0,,100.0,,1.0,,1.0,,50.0,,2.0,,1.0,,,,
144783350,Demux,blackrock,9.0,1579.0,100.0,,,0.0,,50.0,33.0,0.0,62.0,,50.0,80.0,80.0,67.0,25.0,100.0,,,4.0,,,1.0,,2.0,3.0,1.0,8.0,,4.0,5.0,5.0,6.0,4.0,2.0,,,4.0,,,0.0,,1.0,1.0,0.0,5.0,,2.0,4.0,4.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,
176205827,Skyhuk,magtheridon,9.0,1641.0,75.0,,,100.0,,67.0,,25.0,67.0,,75.0,,50.0,50.0,20.0,50.0,,,4.0,,,1.0,,3.0,,4.0,3.0,,4.0,,6.0,2.0,5.0,2.0,,,3.0,,,1.0,,2.0,,1.0,2.0,,3.0,,3.0,1.0,1.0,1.0,,,67.0,100.0,3.0,4.0,2.0,4.0,100.0,,1.0,,1.0,,,,
238757005,Хазмалим,lich-king,19.0,4644.0,50.0,17.0,20.0,55.0,33.0,70.0,60.0,14.0,50.0,,27.0,50.0,67.0,0.0,100.0,67.0,,,8.0,6.0,5.0,11.0,9.0,10.0,5.0,7.0,8.0,,15.0,4.0,3.0,1.0,1.0,3.0,,,4.0,1.0,1.0,6.0,3.0,7.0,3.0,1.0,4.0,,4.0,2.0,2.0,0.0,1.0,2.0,,,60.0,0.0,5.0,1.0,3.0,0.0,,,,,,,,,
181154955,Лоасинг,gordunni,8.0,1041.0,100.0,,,33.0,,100.0,100.0,50.0,,,100.0,,67.0,0.0,,100.0,,,2.0,,,3.0,,1.0,2.0,2.0,,,2.0,,3.0,1.0,,1.0,,,2.0,,,1.0,,1.0,2.0,1.0,,,2.0,,2.0,0.0,,1.0,,,50.0,75.0,2.0,4.0,1.0,3.0,,,,,,,,,
163279745,Amaluria,argent-dawn,20.0,142.0,,,,50.0,,,,,0.0,,0.0,,,0.0,,,,,,,,2.0,,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,0.0,,0.0,,,0.0,,,,,,100.0,,1.0,,1.0,,,,,,,,,
175310737,Gripo,twisting-nether,13.0,2226.0,71.0,,,,,43.0,33.0,,,100.0,,,100.0,100.0,60.0,67.0,,,7.0,,,,,7.0,3.0,,,1.0,,,2.0,2.0,5.0,3.0,,,5.0,,,,,3.0,1.0,,,1.0,,,2.0,2.0,3.0,2.0,,,60.0,67.0,5.0,3.0,3.0,2.0,,,,,,,,,
184063419,Далакис,gordunni,10.0,2087.0,0.0,,,33.0,,,62.0,50.0,80.0,,67.0,25.0,50.0,0.0,,,100.0,,1.0,,,3.0,,,8.0,4.0,5.0,,6.0,4.0,6.0,1.0,,,1.0,,0.0,,,1.0,,,5.0,2.0,4.0,,4.0,1.0,3.0,0.0,,,1.0,,50.0,100.0,2.0,1.0,1.0,1.0,33.0,,3.0,,1.0,,,,
197137246,Норлен,soulflayer,49.0,5991.0,40.0,,,83.0,,50.0,46.0,69.0,44.0,,59.0,,57.0,47.0,78.0,100.0,100.0,33.0,5.0,,,12.0,,2.0,13.0,16.0,16.0,,17.0,,14.0,17.0,9.0,3.0,1.0,3.0,2.0,,,10.0,,1.0,6.0,11.0,7.0,,10.0,,8.0,8.0,7.0,3.0,1.0,1.0,,58.0,,12.0,,7.0,100.0,,1.0,,1.0,,,,
244724008,Пачкангомов,goldrinn,17.0,280.0,100.0,,,,,0.0,,,,,,,,,,100.0,,,3.0,,,,,1.0,,,,,,,,,,1.0,,,3.0,,,,,0.0,,,,,,,,,,1.0,,,0.0,,1.0,,0.0,,,,,,,,,,
159568227,Frutolina,ravencrest,15.0,1114.0,,50.0,50.0,0.0,0.0,,0.0,100.0,100.0,,29.0,57.0,,,,0.0,,,,2.0,2.0,4.0,2.0,,1.0,1.0,1.0,,7.0,7.0,,,,1.0,,,,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,,2.0,4.0,,,,0.0,,,,,,,,,,,,,,,,,
139653617,Bolívar,magtheridon,25.0,10775.0,29.0,56.0,100.0,67.0,0.0,60.0,74.0,55.0,74.0,,45.0,56.0,76.0,50.0,65.0,50.0,100.0,50.0,7.0,9.0,1.0,18.0,1.0,5.0,27.0,20.0,19.0,,22.0,9.0,17.0,20.0,17.0,4.0,2.0,2.0,2.0,5.0,1.0,12.0,0.0,3.0,20.0,11.0,14.0,,10.0,5.0,13.0,10.0,11.0,2.0,2.0,1.0,75.0,74.0,4.0,19.0,3.0,14.0,50.0,100.0,2.0,1.0,1.0,1.0,,,
64791081,Ревирант,gordunni,57.0,7346.0,50.0,45.0,100.0,38.0,71.0,0.0,50.0,29.0,56.0,,72.0,33.0,50.0,59.0,86.0,0.0,100.0,,2.0,22.0,1.0,13.0,7.0,1.0,14.0,31.0,16.0,,18.0,3.0,8.0,17.0,7.0,2.0,5.0,,1.0,10.0,1.0,5.0,5.0,0.0,7.0,9.0,9.0,,13.0,1.0,4.0,10.0,6.0,0.0,5.0,,100.0,33.0,1.0,6.0,1.0,2.0,38.0,,8.0,,3.0,,,,
124508002,Themis,les-sentinelles,13.0,1346.0,50.0,,,,,25.0,100.0,0.0,0.0,,0.0,0.0,75.0,0.0,0.0,50.0,,,2.0,,,,,4.0,2.0,2.0,2.0,,1.0,2.0,4.0,1.0,1.0,4.0,,,1.0,,,,,1.0,2.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,2.0,,,0.0,,1.0,,0.0,,,,,,,,,,
168998405,Sarthigas,dalaran,23.0,7745.0,55.0,,,57.0,,81.0,60.0,50.0,73.0,,43.0,,88.0,64.0,62.0,56.0,,,33.0,,,7.0,,27.0,10.0,16.0,11.0,,7.0,,8.0,11.0,13.0,18.0,,,18.0,,,4.0,,22.0,6.0,8.0,8.0,,3.0,,7.0,7.0,8.0,10.0,,,67.0,57.0,6.0,7.0,4.0,4.0,,,,,,,,,
187527906,Гростер,gordunni,235.0,2193.0,50.0,,,100.0,,0.0,38.0,40.0,25.0,,67.0,0.0,50.0,75.0,50.0,50.0,,,2.0,,,3.0,,1.0,8.0,5.0,4.0,,6.0,1.0,4.0,4.0,4.0,2.0,,,1.0,,,3.0,,0.0,3.0,2.0,1.0,,4.0,0.0,2.0,3.0,2.0,1.0,,,50.0,50.0,2.0,2.0,1.0,1.0,,,,,,,,,
104717668,Тесиняка,gordunni,19.0,106286.0,65.0,47.0,54.0,52.0,52.0,51.0,63.0,70.0,67.0,,50.0,,50.0,50.0,100.0,100.0,,0.0,278.0,260.0,220.0,217.0,235.0,92.0,90.0,10.0,153.0,,14.0,,2.0,2.0,1.0,2.0,,1.0,180.0,122.0,119.0,112.0,122.0,47.0,57.0,7.0,103.0,,7.0,,1.0,1.0,1.0,2.0,,0.0,20.0,0.0,5.0,1.0,1.0,0.0,,,,,,,,,
181483376,Андуралус,gordunni,36.0,5812.0,80.0,33.0,0.0,43.0,,33.0,83.0,50.0,60.0,,36.0,0.0,64.0,45.0,38.0,,,,5.0,3.0,1.0,7.0,,3.0,6.0,6.0,10.0,,11.0,2.0,14.0,11.0,8.0,,,,4.0,1.0,0.0,3.0,,1.0,5.0,3.0,6.0,,4.0,0.0,9.0,5.0,3.0,,,,50.0,62.0,2.0,8.0,1.0,5.0,,,,,,,,,
171490413,Celene,cthun,76.0,23731.0,35.0,48.0,39.0,48.0,51.0,45.0,55.0,31.0,69.0,,53.0,100.0,40.0,50.0,60.0,100.0,,,51.0,110.0,62.0,66.0,91.0,44.0,11.0,13.0,13.0,,15.0,3.0,5.0,2.0,5.0,1.0,,,18.0,53.0,24.0,32.0,46.0,20.0,6.0,4.0,9.0,,8.0,3.0,2.0,1.0,3.0,1.0,,,100.0,100.0,1.0,1.0,1.0,1.0,100.0,,1.0,,1.0,,,,
130524663,Luisha,burning-legion,35.0,1266.0,20.0,,,,,40.0,50.0,,100.0,,0.0,,,,50.0,100.0,,,5.0,,,,,5.0,2.0,,1.0,,2.0,,,,2.0,2.0,,,1.0,,,,,2.0,1.0,,1.0,,0.0,,,,1.0,2.0,,,100.0,50.0,1.0,2.0,1.0,1.0,,,,,,,,,
108619321,Kalantor,aggramar,16.0,375.0,75.0,,,100.0,,,,100.0,,,,,,,,0.0,,,4.0,,,1.0,,,,1.0,,,,,,,,2.0,,,3.0,,,1.0,,,,1.0,,,,,,,,0.0,,,,50.0,,2.0,,1.0,,,,,,,,,
110828335,Hibiya,dun-modr,29.0,6185.0,67.0,67.0,50.0,33.0,100.0,25.0,0.0,40.0,100.0,,67.0,0.0,100.0,,0.0,100.0,,0.0,6.0,3.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,,3.0,1.0,1.0,,1.0,1.0,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,,2.0,0.0,1.0,,0.0,1.0,,0.0,,100.0,,2.0,,2.0,,,,,,,,,
169026627,Extinkt,hyjal,16.0,5184.0,60.0,0.0,,100.0,,67.0,50.0,14.0,67.0,,0.0,100.0,100.0,0.0,50.0,0.0,100.0,,5.0,1.0,,1.0,,6.0,2.0,7.0,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,20.0,,3.0,0.0,,1.0,,4.0,1.0,1.0,2.0,,0.0,1.0,1.0,0.0,1.0,0.0,20.0,,,0.0,,2.0,,0.0,,,,,,,,,
163197530,Nahirri,eitrigg,29.0,1570.0,,,,0.0,50.0,,50.0,33.0,100.0,,,,,,,,,,,,,1.0,2.0,,2.0,3.0,2.0,,,,,,,,,,,,,0.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
156872398,Alexicus,silvermoon,5.0,5395.0,46.0,19.0,61.0,38.0,50.0,57.0,64.0,33.0,33.0,,50.0,67.0,0.0,,0.0,,,,13.0,21.0,18.0,8.0,12.0,14.0,11.0,3.0,6.0,,2.0,3.0,2.0,,1.0,,,,6.0,4.0,11.0,3.0,6.0,8.0,7.0,1.0,2.0,,1.0,2.0,0.0,,0.0,,,,0.0,,1.0,,0.0,,,,,,,,,,
95056547,Нуменорин,blackscar,31.0,14884.0,37.0,46.0,51.0,48.0,38.0,54.0,42.0,55.0,58.0,,67.0,53.0,100.0,,,,,,19.0,46.0,39.0,29.0,32.0,13.0,38.0,38.0,38.0,,48.0,15.0,1.0,,,,,,7.0,21.0,20.0,14.0,12.0,7.0,16.0,21.0,22.0,,32.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,
244306031,Огненныйхрен,gordunni,9.0,473.0,50.0,,,,,,0.0,,,50.0,,,,33.0,100.0,,,,4.0,,,,,,1.0,,,2.0,,,,3.0,1.0,,,,2.0,,,,,,0.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
171408615,Палорутя,goldrinn,39.0,1130.0,0.0,,,0.0,,100.0,25.0,0.0,100.0,,29.0,100.0,40.0,0.0,100.0,0.0,,,2.0,,,3.0,,1.0,4.0,2.0,1.0,,7.0,1.0,5.0,2.0,1.0,1.0,,,0.0,,,0.0,,1.0,1.0,0.0,1.0,,2.0,1.0,2.0,0.0,1.0,0.0,,,75.0,100.0,4.0,3.0,3.0,3.0,,,,,,,,,
175220876,Wrymen,thunderhorn,37.0,7529.0,40.0,63.0,29.0,46.0,,56.0,58.0,47.0,40.0,,57.0,71.0,43.0,58.0,40.0,25.0,,,5.0,19.0,7.0,13.0,,9.0,19.0,17.0,15.0,,7.0,7.0,21.0,12.0,15.0,4.0,,,2.0,12.0,2.0,6.0,,5.0,11.0,8.0,6.0,,4.0,5.0,9.0,7.0,6.0,1.0,,,,0.0,,4.0,,0.0,,,,,,,,,
237896661,Альдрен,borean-tundra,41.0,78.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
73771904,Ðuvel,antonidas,6.0,18954.0,44.0,57.0,37.0,55.0,74.0,59.0,64.0,33.0,35.0,,46.0,,,0.0,0.0,0.0,100.0,,48.0,47.0,46.0,38.0,42.0,39.0,28.0,12.0,20.0,,13.0,,,1.0,1.0,2.0,12.0,,21.0,27.0,17.0,21.0,31.0,23.0,18.0,4.0,7.0,,6.0,,,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,
197231442,Caligine,nemesis,5.0,241.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,100.0,,1.0,,1.0,50.0,,2.0,,1.0,,,,
188915400,Ervinqt,silvermoon,27.0,188.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
177454696,Charlexavier,dalaran,33.0,8413.0,75.0,50.0,40.0,19.0,31.0,25.0,57.0,43.0,38.0,,47.0,56.0,71.0,50.0,17.0,38.0,,,8.0,14.0,10.0,16.0,13.0,4.0,21.0,21.0,24.0,,19.0,16.0,7.0,6.0,6.0,8.0,,,6.0,7.0,4.0,3.0,4.0,1.0,12.0,9.0,9.0,,9.0,9.0,5.0,3.0,1.0,3.0,,,27.0,71.0,11.0,7.0,3.0,5.0,,,,,,,,,
108313845,Kiwiya,ravencrest,9.0,65580.0,52.0,55.0,55.0,49.0,47.0,50.0,71.0,40.0,61.0,,67.0,40.0,50.0,100.0,0.0,,,,81.0,212.0,207.0,113.0,150.0,34.0,42.0,10.0,28.0,,12.0,5.0,2.0,1.0,1.0,,,,42.0,117.0,113.0,55.0,70.0,17.0,30.0,4.0,17.0,,8.0,2.0,1.0,1.0,0.0,,,,,100.0,,1.0,,1.0,,,,,,,,,
166797446,Ёё,ashenvale,13.0,9106.0,45.0,67.0,33.0,50.0,64.0,60.0,71.0,62.0,62.0,,50.0,,50.0,50.0,100.0,100.0,,100.0,22.0,30.0,9.0,16.0,11.0,15.0,7.0,8.0,8.0,,2.0,,2.0,2.0,2.0,5.0,,1.0,10.0,20.0,3.0,8.0,7.0,9.0,5.0,5.0,5.0,,1.0,,1.0,1.0,2.0,5.0,,1.0,50.0,100.0,8.0,2.0,4.0,2.0,,,,,,,,,
97817684,Минстан,goldrinn,32.0,7078.0,50.0,67.0,60.0,65.0,12.0,50.0,38.0,52.0,60.0,,40.0,57.0,67.0,33.0,50.0,80.0,,,8.0,12.0,5.0,17.0,8.0,8.0,16.0,25.0,15.0,,25.0,14.0,6.0,6.0,4.0,5.0,,,4.0,8.0,3.0,11.0,1.0,4.0,6.0,13.0,9.0,,10.0,8.0,4.0,2.0,2.0,4.0,,,100.0,0.0,1.0,5.0,1.0,0.0,,,,,,,,,
190206356,Арианте,gordunni,54.0,2990.0,33.0,0.0,,17.0,,100.0,33.0,36.0,33.0,67.0,50.0,0.0,10.0,33.0,86.0,0.0,,,3.0,2.0,,6.0,,2.0,6.0,11.0,6.0,3.0,8.0,1.0,10.0,6.0,7.0,1.0,,,1.0,0.0,,1.0,,2.0,2.0,4.0,2.0,2.0,4.0,0.0,1.0,2.0,6.0,0.0,,,,0.0,,1.0,,0.0,,,,,,,,,
135967979,Лирроу,gordunni,13.0,17364.0,78.0,53.0,57.0,56.0,46.0,71.0,47.0,48.0,53.0,,62.0,65.0,,100.0,,0.0,,,23.0,47.0,51.0,62.0,54.0,31.0,47.0,31.0,47.0,,45.0,17.0,,1.0,,1.0,,,18.0,25.0,29.0,35.0,25.0,22.0,22.0,15.0,25.0,,28.0,11.0,,1.0,,0.0,,,,,,,,,,,,,,,,,
243130439,Джоэни,lich-king,6.0,1517.0,,,,100.0,,0.0,50.0,33.0,0.0,,50.0,,50.0,,,,,0.0,,,,1.0,,1.0,2.0,3.0,1.0,,2.0,,2.0,,,,,1.0,,,,1.0,,0.0,1.0,1.0,0.0,,1.0,,1.0,,,,,0.0,,67.0,,3.0,,2.0,,,,,,,,,
150750012,Törk,eitrigg,5.0,100392.0,54.0,50.0,47.0,42.0,53.0,51.0,47.0,37.0,49.0,,24.0,0.0,25.0,50.0,100.0,,,,239.0,360.0,358.0,307.0,272.0,319.0,213.0,19.0,214.0,,25.0,2.0,4.0,2.0,2.0,,,,130.0,180.0,168.0,130.0,143.0,162.0,101.0,7.0,105.0,,6.0,0.0,1.0,1.0,2.0,,,,0.0,50.0,6.0,2.0,0.0,1.0,0.0,,1.0,,0.0,,,,
174988454,Люменара,goldrinn,36.0,3965.0,100.0,,,100.0,,50.0,100.0,,0.0,,50.0,,,0.0,0.0,,,,1.0,,,1.0,,2.0,2.0,,1.0,,2.0,,,1.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,0.0,,1.0,,,0.0,0.0,,,,0.0,,1.0,,0.0,,,,,,,,,,
88625152,Bastett,pozzo-delleternità,6.0,453.0,50.0,,,,,100.0,,9.0,,,25.0,100.0,,,,,,,2.0,,,,,2.0,,11.0,,,4.0,2.0,,,,,,,1.0,,,,,2.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
119591576,Paladalon,throkferoth,13.0,739.0,,0.0,0.0,,,,0.0,100.0,,,100.0,,100.0,,,,,,,1.0,1.0,,,,1.0,2.0,,,2.0,,1.0,,,,,,,0.0,0.0,,,,0.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
246126056,Аркним,gordunni,22.0,1424.0,0.0,,,75.0,,50.0,100.0,0.0,33.0,,40.0,,75.0,67.0,100.0,67.0,,,1.0,,,4.0,,2.0,1.0,1.0,3.0,,5.0,,4.0,3.0,1.0,3.0,,,0.0,,,3.0,,1.0,1.0,0.0,1.0,,2.0,,3.0,2.0,1.0,2.0,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,
243619144,Кинги,soulflayer,3.0,520.0,,,,,,0.0,0.0,,,,,,,,,,,50.0,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,,,,,1.0,100.0,,1.0,,1.0,,,,,,,,,,
112401367,Majbritt,emeriss,10.0,2000.0,25.0,35.0,0.0,0.0,,75.0,100.0,100.0,60.0,,67.0,,100.0,100.0,,,,,16.0,17.0,2.0,2.0,,4.0,1.0,1.0,5.0,,3.0,,1.0,1.0,,,,,4.0,6.0,0.0,0.0,,3.0,1.0,1.0,3.0,,2.0,,1.0,1.0,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,
98252115,Паладнаа,eversong,64.0,10515.0,70.0,20.0,35.0,54.0,26.0,56.0,34.0,36.0,44.0,,58.0,44.0,42.0,25.0,50.0,100.0,,0.0,20.0,15.0,23.0,24.0,31.0,18.0,38.0,28.0,27.0,,33.0,16.0,12.0,8.0,4.0,3.0,,2.0,14.0,3.0,8.0,13.0,8.0,10.0,13.0,10.0,12.0,,19.0,7.0,5.0,2.0,2.0,3.0,,0.0,,25.0,,4.0,,1.0,,,,,,,,,
121355785,Tenkannii,ysondre,11.0,1641.0,33.0,,,100.0,,0.0,33.0,71.0,33.0,0.0,,,50.0,67.0,50.0,60.0,,,3.0,,,2.0,,1.0,3.0,7.0,3.0,2.0,,,2.0,3.0,4.0,5.0,,,1.0,,,2.0,,0.0,1.0,5.0,1.0,0.0,,,1.0,2.0,2.0,3.0,,,50.0,0.0,2.0,1.0,1.0,0.0,50.0,,2.0,,1.0,,,,
102719735,Earlgrey,terenas,5.0,1096.0,,,,,,100.0,,33.0,,,50.0,,,100.0,,67.0,,,,,,,,1.0,,3.0,,,2.0,,,1.0,,3.0,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,
166196072,Отжигаю,galakrond,30.0,8079.0,78.0,47.0,50.0,54.0,73.0,22.0,56.0,82.0,14.0,,56.0,67.0,50.0,50.0,50.0,,,,9.0,15.0,10.0,13.0,15.0,9.0,9.0,22.0,7.0,,18.0,12.0,4.0,2.0,2.0,,,,7.0,7.0,5.0,7.0,11.0,2.0,5.0,18.0,1.0,,10.0,8.0,2.0,1.0,1.0,,,,,0.0,,1.0,,0.0,100.0,,1.0,,1.0,,,,
107312948,Дэфрейд,gordunni,1.0,165.0,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,
154138855,Shearduck,silvermoon,27.0,3520.0,75.0,58.0,67.0,25.0,80.0,100.0,44.0,50.0,64.0,0.0,44.0,100.0,75.0,75.0,50.0,100.0,,,4.0,12.0,3.0,4.0,5.0,1.0,9.0,10.0,14.0,1.0,9.0,2.0,4.0,4.0,2.0,1.0,,,3.0,7.0,2.0,1.0,4.0,1.0,4.0,5.0,9.0,0.0,4.0,2.0,3.0,3.0,1.0,1.0,,,50.0,100.0,2.0,3.0,1.0,3.0,,,,,,,,,
76407946,Аразаил,goldrinn,54.0,58236.0,72.0,57.0,62.0,62.0,62.0,70.0,67.0,47.0,66.0,400.0,66.0,75.0,56.0,55.0,67.0,54.0,100.0,100.0,83.0,184.0,82.0,76.0,61.0,70.0,139.0,57.0,148.0,1.0,56.0,4.0,9.0,11.0,3.0,13.0,1.0,2.0,60.0,104.0,51.0,47.0,38.0,49.0,93.0,27.0,97.0,4.0,37.0,3.0,5.0,6.0,2.0,7.0,1.0,2.0,50.0,44.0,10.0,9.0,5.0,4.0,,,,,,,,,
139956677,Dritnz,silvermoon,68.0,2518.0,50.0,33.0,0.0,43.0,50.0,0.0,75.0,50.0,57.0,0.0,44.0,67.0,80.0,0.0,100.0,100.0,,,4.0,3.0,2.0,7.0,2.0,1.0,4.0,8.0,7.0,2.0,9.0,3.0,5.0,3.0,1.0,1.0,,,2.0,1.0,0.0,3.0,1.0,0.0,3.0,4.0,4.0,0.0,4.0,2.0,4.0,0.0,1.0,1.0,,,100.0,67.0,2.0,3.0,2.0,2.0,0.0,,1.0,,0.0,,,,
