character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
181762404,Кеейс,deathguard,13.0,699.0,0.0,,,0.0,,,33.0,0.0,0.0,,100.0,,100.0,100.0,33.0,100.0,100.0,,0.0,1.0,,,1.0,,,3.0,1.0,1.0,,2.0,,1.0,1.0,3.0,1.0,1.0,,1.0,0.0,,,0.0,,,1.0,0.0,0.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,0.0,100.0,,1.0,,1.0,,,,,,,
88842309,Icra,eredar,11.0,1906.0,,33.0,67.0,40.0,80.0,0.0,75.0,67.0,40.0,,40.0,100.0,,50.0,100.0,50.0,,,50.0,,3.0,3.0,5.0,5.0,1.0,4.0,3.0,5.0,,5.0,2.0,,2.0,3.0,2.0,,,2.0,,1.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,,2.0,2.0,,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,
242780746,Шаломейк,gordunni,11.0,68.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
162077971,Lognus,pozzo-delleternità,8.0,669.0,0.0,100.0,33.0,100.0,,,67.0,100.0,,,,,,,,,,,,1.0,1.0,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,0.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
176602415,Sérindëy,dalaran,4.0,1751.0,100.0,33.0,,0.0,,,0.0,0.0,,,0.0,,,,100.0,,,,,1.0,3.0,,1.0,,,1.0,2.0,,,3.0,,,,1.0,,,,,1.0,1.0,,0.0,,,0.0,0.0,,,0.0,,,,1.0,,,,,,100.0,,1.0,,1.0,,,,,,
160396044,Karlepala,alleria,8.0,452.0,,,,,,,,100.0,,,100.0,,,0.0,33.0,50.0,,,50.0,,,,,,,,1.0,,,1.0,,,1.0,3.0,2.0,,,2.0,,,,,,,,1.0,,,1.0,,,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,
115246655,Androhalí,silvermoon,57.0,14813.0,58.0,43.0,38.0,77.0,80.0,64.0,80.0,78.0,86.0,,65.0,0.0,58.0,75.0,75.0,50.0,36.0,,100.0,33.0,7.0,13.0,13.0,5.0,59.0,10.0,9.0,7.0,,23.0,1.0,12.0,4.0,8.0,6.0,11.0,,5.0,19.0,3.0,5.0,10.0,4.0,38.0,8.0,7.0,6.0,,15.0,0.0,7.0,3.0,6.0,3.0,4.0,,5.0,100.0,29.0,1.0,7.0,1.0,2.0,50.0,2.0,1.0,50.0,2.0,1.0
243967204,Inshallã,sylvanas,35.0,379.0,0.0,,,100.0,,,0.0,,,,0.0,,,0.0,100.0,,0.0,,0.0,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,1.0,,2.0,,1.0,0.0,,,1.0,,,0.0,,,,0.0,,,0.0,1.0,,0.0,,0.0,,,,,,,,,,,,
78973088,Киирраа,gordunni,44.0,29121.0,46.0,51.0,39.0,59.0,46.0,66.0,58.0,69.0,57.0,,68.0,54.0,,100.0,,0.0,,,,26.0,136.0,80.0,66.0,56.0,29.0,50.0,26.0,63.0,,19.0,13.0,,1.0,,1.0,,,,12.0,69.0,31.0,39.0,26.0,19.0,29.0,18.0,36.0,,13.0,7.0,,1.0,,0.0,,,,0.0,,1.0,,0.0,,,,,,,
187047459,Cambooty,silvermoon,9.0,1288.0,100.0,,,,,60.0,0.0,,,,60.0,,,0.0,0.0,50.0,67.0,,100.0,1.0,,,,,5.0,2.0,,,,5.0,,,1.0,1.0,2.0,3.0,,1.0,1.0,,,,,3.0,0.0,,,,3.0,,,0.0,0.0,1.0,2.0,,1.0,,,,,,,,,,,,
131280851,Albmeister,ragnaros,14.0,7264.0,47.0,58.0,57.0,52.0,50.0,27.0,58.0,64.0,69.0,,40.0,43.0,,67.0,89.0,83.0,33.0,,50.0,15.0,24.0,7.0,33.0,10.0,11.0,12.0,11.0,13.0,,20.0,21.0,,6.0,9.0,6.0,3.0,,6.0,7.0,14.0,4.0,17.0,5.0,3.0,7.0,7.0,9.0,,8.0,9.0,,4.0,8.0,5.0,1.0,,3.0,,,,,,,,,,,,
188759228,Karmacharger,silvermoon,13.0,410.0,,,,,,,,,50.0,,0.0,,,0.0,,,,,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,
197716879,Дондаррион,soulflayer,4.0,507.0,,,,,,0.0,,,,,,,,100.0,,,100.0,100.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,0.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
191367421,Paganike,archimonde,6.0,1294.0,,,,0.0,,,,,25.0,,0.0,,,0.0,100.0,50.0,,,0.0,,,,1.0,,,,,4.0,,1.0,,,2.0,2.0,2.0,,,1.0,,,,0.0,,,,,1.0,,0.0,,,0.0,2.0,1.0,,,0.0,,50.0,,2.0,,1.0,,,,,,
154475164,Achsios,dun-morogh,1.0,39.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
196676613,Palamely,kazzak,8.0,3831.0,45.0,65.0,33.0,50.0,0.0,71.0,100.0,43.0,100.0,200.0,33.0,0.0,100.0,50.0,,100.0,33.0,,100.0,11.0,20.0,6.0,4.0,2.0,7.0,1.0,7.0,2.0,1.0,3.0,1.0,1.0,2.0,,1.0,3.0,,1.0,5.0,13.0,2.0,2.0,0.0,5.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,,1.0,1.0,,1.0,100.0,,1.0,,1.0,,,,,,,
132054629,Kabu,nozdormu,24.0,5208.0,80.0,30.0,60.0,56.0,17.0,89.0,35.0,33.0,42.0,,60.0,67.0,20.0,67.0,25.0,0.0,100.0,100.0,0.0,10.0,10.0,10.0,16.0,6.0,9.0,26.0,24.0,24.0,,20.0,15.0,5.0,3.0,4.0,2.0,1.0,62.0,1.0,8.0,3.0,6.0,9.0,1.0,8.0,9.0,8.0,10.0,,12.0,10.0,1.0,2.0,1.0,0.0,1.0,62.0,0.0,,,,,,,,,,,,
45002075,Majkina,auchindoun,24.0,7237.0,55.0,0.0,71.0,50.0,69.0,67.0,60.0,83.0,43.0,,17.0,,50.0,50.0,33.0,60.0,,,25.0,11.0,2.0,7.0,12.0,13.0,6.0,5.0,6.0,7.0,,6.0,,2.0,4.0,3.0,5.0,,,4.0,6.0,0.0,5.0,6.0,9.0,4.0,3.0,5.0,3.0,,1.0,,1.0,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,
156363333,Biosync,ravencrest,5.0,58.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,
175400548,Fanetigre,chogall,10.0,2736.0,25.0,43.0,86.0,20.0,50.0,71.0,25.0,100.0,33.0,,60.0,,50.0,100.0,,,50.0,,,4.0,14.0,7.0,5.0,4.0,7.0,4.0,2.0,3.0,,5.0,,4.0,1.0,,,2.0,,,1.0,6.0,6.0,1.0,2.0,5.0,1.0,2.0,1.0,,3.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,
247894298,Каэрвиль,azuregos,11.0,194.0,,,,100.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74095090,Iruunclad,antonidas,17.0,1582.0,,0.0,,0.0,67.0,100.0,0.0,,50.0,,,,40.0,,,0.0,100.0,,,,1.0,,1.0,3.0,4.0,2.0,,2.0,,,,5.0,,,1.0,1.0,,,,0.0,,0.0,2.0,4.0,0.0,,1.0,,,,2.0,,,0.0,1.0,,,,,,,,,,,,,,
159331778,Fobex,earthen-ring,38.0,20305.0,71.0,45.0,68.0,59.0,64.0,73.0,40.0,45.0,32.0,,44.0,47.0,100.0,700.0,0.0,0.0,80.0,,0.0,34.0,60.0,37.0,34.0,28.0,22.0,25.0,29.0,22.0,,50.0,15.0,1.0,1.0,1.0,1.0,5.0,,2.0,24.0,27.0,25.0,20.0,18.0,16.0,10.0,13.0,7.0,,22.0,7.0,1.0,7.0,0.0,0.0,4.0,,0.0,,,,,,,,,,,,
193954314,Ervaduru,silvermoon,3.0,619.0,50.0,,,0.0,,67.0,,,50.0,,,,,,50.0,,,,100.0,2.0,,,2.0,,3.0,,,2.0,,,,,,2.0,,,,2.0,1.0,,,0.0,,2.0,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,
163766313,Karamiá,alleria,13.0,15159.0,55.0,44.0,36.0,24.0,25.0,81.0,54.0,100.0,33.0,,33.0,50.0,,,0.0,0.0,,,,38.0,41.0,28.0,37.0,24.0,16.0,28.0,1.0,21.0,,6.0,2.0,,,1.0,1.0,,,,21.0,18.0,10.0,9.0,6.0,13.0,15.0,1.0,7.0,,2.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,
196923820,Abdullach,silvermoon,9.0,40265.0,61.0,40.0,48.0,52.0,56.0,53.0,50.0,38.0,54.0,,55.0,75.0,60.0,50.0,100.0,,33.0,,100.0,117.0,208.0,204.0,183.0,194.0,78.0,46.0,16.0,41.0,,22.0,8.0,5.0,2.0,1.0,,3.0,,1.0,71.0,83.0,97.0,96.0,108.0,41.0,23.0,6.0,22.0,,12.0,6.0,3.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,
192502249,Grekkon,outland,29.0,2571.0,0.0,,,50.0,,,80.0,78.0,50.0,,50.0,100.0,0.0,0.0,29.0,58.0,,,60.0,1.0,,,12.0,,,5.0,9.0,6.0,,4.0,1.0,1.0,3.0,7.0,12.0,,,5.0,0.0,,,6.0,,,4.0,7.0,3.0,,2.0,1.0,0.0,0.0,2.0,7.0,,,3.0,100.0,,1.0,,1.0,,,,,,,
164311801,Quintora,alleria,16.0,556.0,,,,,,100.0,50.0,100.0,,,0.0,,,100.0,,0.0,100.0,,67.0,,,,,,2.0,2.0,1.0,,,2.0,,,1.0,,3.0,2.0,,3.0,,,,,,2.0,1.0,1.0,,,0.0,,,1.0,,0.0,2.0,,2.0,,,,,,,,,,,,
153429415,Galiard,blackhand,16.0,29991.0,59.0,43.0,53.0,49.0,55.0,53.0,39.0,81.0,45.0,,71.0,58.0,100.0,33.0,100.0,50.0,100.0,,0.0,66.0,61.0,86.0,41.0,38.0,38.0,33.0,16.0,38.0,,14.0,12.0,1.0,3.0,1.0,2.0,3.0,,1.0,39.0,26.0,46.0,20.0,21.0,20.0,13.0,13.0,17.0,,10.0,7.0,1.0,1.0,1.0,1.0,3.0,,0.0,80.0,,5.0,,4.0,,,,,,,
