character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Arathi Basin Winter played,Rated Eye of the Storm won,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
133568156,Victoriel,blackmoore,9.0,754.0,67.0,25.0,0.0,,50.0,67.0,3.0,4.0,1.0,,2.0,3.0,2.0,1.0,0.0,,1.0,2.0,,0.0,0.0,33.0,100.0,50.0,,50.0,100.0,,,1.0,1.0,3.0,1.0,2.0,,2.0,1.0,,,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
192525940,Drwilliam,kazzak,24.0,92.0,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
175394346,Unkown,mazrigos,19.0,609.0,0.0,67.0,0.0,0.0,100.0,,2.0,3.0,1.0,2.0,1.0,,0.0,2.0,0.0,0.0,1.0,,,,100.0,33.0,0.0,0.0,,100.0,100.0,,,,2.0,3.0,1.0,2.0,,1.0,2.0,,,,2.0,1.0,0.0,0.0,,1.0,2.0,,,,,,,,,,,,100.0,,1.0,,1.0,,,,,,
115528707,Syalthiel,draenor,5.0,771.0,,0.0,67.0,,100.0,,,1.0,3.0,,1.0,,,0.0,2.0,,1.0,,,,33.0,67.0,67.0,100.0,,100.0,0.0,100.0,,,3.0,3.0,3.0,2.0,,3.0,2.0,1.0,,,1.0,2.0,2.0,2.0,,3.0,0.0,1.0,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,
160370695,Alydria,lightbringer,15.0,1688.0,50.0,0.0,25.0,67.0,60.0,0.0,4.0,2.0,4.0,3.0,5.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,,,100.0,0.0,33.0,0.0,,80.0,33.0,60.0,,,3.0,1.0,3.0,3.0,,5.0,3.0,5.0,,,3.0,0.0,1.0,0.0,,4.0,1.0,3.0,,,,,,,100.0,1.0,1.0,67.0,100.0,6.0,1.0,4.0,1.0,,,,,,
144463368,Pahapoika,agamaggan,55.0,2652.0,33.0,43.0,71.0,43.0,0.0,,6.0,7.0,7.0,7.0,2.0,,2.0,3.0,5.0,3.0,0.0,,57.0,0.0,67.0,100.0,86.0,50.0,100.0,100.0,100.0,50.0,7.0,1.0,3.0,3.0,7.0,4.0,2.0,1.0,1.0,4.0,4.0,0.0,2.0,3.0,6.0,2.0,2.0,1.0,1.0,2.0,,,,,,,100.0,2.0,2.0,,,,,,,,,,,,
210056226,Dwellinger,nagrand,20.0,6798.0,0.0,100.0,75.0,,91.0,50.0,1.0,1.0,12.0,,11.0,2.0,0.0,1.0,9.0,,10.0,1.0,50.0,0.0,29.0,67.0,67.0,86.0,56.0,67.0,40.0,50.0,4.0,2.0,14.0,6.0,6.0,7.0,9.0,3.0,10.0,2.0,2.0,0.0,4.0,4.0,4.0,6.0,5.0,2.0,4.0,1.0,0.0,10.0,0.0,,,,,,,,33.0,,3.0,,1.0,,,,,,
187244003,Luckseypal,silvermoon,6.0,1230.0,0.0,100.0,0.0,,0.0,100.0,1.0,2.0,3.0,,1.0,1.0,0.0,2.0,0.0,,0.0,1.0,,,67.0,0.0,50.0,,,0.0,0.0,67.0,,,3.0,1.0,2.0,,,1.0,1.0,3.0,,,2.0,0.0,1.0,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,
174652720,Divinecheese,twisting-nether,11.0,549.0,100.0,100.0,100.0,,100.0,,1.0,3.0,1.0,,1.0,,1.0,3.0,1.0,,1.0,,,,,100.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
237865862,Дохаерис,borean-tundra,29.0,13853.0,67.0,85.0,52.0,33.0,67.0,40.0,9.0,13.0,23.0,3.0,12.0,5.0,6.0,11.0,12.0,1.0,8.0,2.0,52.0,54.0,50.0,52.0,49.0,42.0,54.0,40.0,60.0,75.0,31.0,26.0,28.0,27.0,37.0,38.0,28.0,10.0,5.0,8.0,16.0,14.0,14.0,14.0,18.0,16.0,15.0,4.0,3.0,6.0,,,,14.0,7.0,1.0,100.0,1.0,1.0,50.0,,2.0,,1.0,,,,,,,
162773143,Jolitia,lightbringer,9.0,257.0,,100.0,0.0,,,,,1.0,1.0,,,,,1.0,0.0,,,,,,0.0,0.0,,100.0,,,,,,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
