character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Rated Eye of the Storm played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Rated Eye of the Storm won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
225958095,Hendrickz,sylvanas,140.0,56574.0,63.0,41.0,52.0,50.0,53.0,58.0,47.0,55.0,60.0,62.0,75.0,115.0,187.0,125.0,107.0,75.0,50.0,36.0,22.0,35.0,26.0,4.0,72.0,77.0,65.0,53.0,40.0,29.0,17.0,12.0,21.0,16.0,3.0,,0.0,100.0,67.0,,,,0.0,,1.0,1.0,3.0,,,,1.0,,0.0,1.0,2.0,,,,0.0,,,,,,,,,,,,
122159755,Calopala,antonidas,15.0,3037.0,0.0,,,43.0,,60.0,29.0,43.0,56.0,44.0,,1.0,,,7.0,,5.0,7.0,7.0,9.0,9.0,,0.0,,,3.0,,3.0,2.0,3.0,5.0,4.0,,100.0,0.0,67.0,62.0,56.0,100.0,,43.0,2.0,1.0,9.0,8.0,9.0,1.0,,14.0,2.0,0.0,6.0,5.0,5.0,1.0,,6.0,,,,,,,,,,,,
169121051,Йуле,deathguard,18.0,4799.0,33.0,17.0,,83.0,100.0,80.0,38.0,30.0,32.0,62.0,67.0,3.0,6.0,,6.0,1.0,5.0,8.0,10.0,19.0,16.0,3.0,1.0,1.0,,5.0,1.0,4.0,3.0,3.0,6.0,10.0,2.0,100.0,100.0,71.0,100.0,,43.0,,67.0,1.0,1.0,7.0,3.0,,7.0,,6.0,1.0,1.0,5.0,3.0,,3.0,,4.0,,,,,,,,,,,,
196324939,Mushizz,kazzak,3.0,445.0,0.0,,,,,100.0,0.0,,,,,1.0,,,,,1.0,1.0,,,,,0.0,,,,,1.0,0.0,,,,,,100.0,,,,50.0,,0.0,,1.0,,,,2.0,,1.0,,1.0,,,,1.0,,0.0,,,,,,,,,,,,
118742265,Plambi,burning-legion,20.0,17769.0,61.0,58.0,55.0,61.0,63.0,37.0,75.0,80.0,67.0,80.0,,36.0,59.0,42.0,41.0,46.0,27.0,16.0,10.0,12.0,10.0,,22.0,34.0,23.0,25.0,29.0,10.0,12.0,8.0,8.0,8.0,,,50.0,80.0,78.0,78.0,43.0,,69.0,,2.0,10.0,9.0,9.0,7.0,,13.0,,1.0,8.0,7.0,7.0,3.0,,9.0,,,,,,,,,,,,
160212062,Schnipporet,tarren-mill,14.0,240.0,,,,100.0,,,,100.0,,50.0,,,,,1.0,,,,1.0,,2.0,,,,,1.0,,,,1.0,,1.0,,,,,,0.0,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,
108029148,Spirine,ysondre,16.0,2617.0,0.0,100.0,50.0,50.0,,50.0,100.0,50.0,50.0,69.0,60.0,2.0,3.0,2.0,4.0,,4.0,3.0,6.0,4.0,13.0,5.0,0.0,3.0,1.0,2.0,,2.0,3.0,3.0,2.0,9.0,3.0,0.0,,71.0,100.0,100.0,0.0,,100.0,1.0,,14.0,1.0,1.0,1.0,,2.0,0.0,,10.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,
164232595,Ineedyoudead,twisting-nether,80.0,7977.0,56.0,56.0,33.0,57.0,,12.0,50.0,37.0,55.0,12.0,100.0,9.0,9.0,3.0,7.0,,8.0,24.0,19.0,22.0,17.0,2.0,5.0,5.0,1.0,4.0,,1.0,12.0,7.0,12.0,2.0,2.0,42.0,50.0,46.0,44.0,60.0,57.0,100.0,78.0,12.0,2.0,24.0,18.0,20.0,7.0,1.0,9.0,5.0,1.0,11.0,8.0,12.0,4.0,1.0,7.0,,,,,,,,,,,,
156265410,Kalàxzy,ysondre,38.0,1662.0,,,,25.0,,40.0,100.0,,100.0,33.0,,,,,4.0,,5.0,1.0,,1.0,3.0,,,,,1.0,,2.0,1.0,,1.0,1.0,,,50.0,0.0,50.0,50.0,100.0,,75.0,,4.0,2.0,4.0,2.0,2.0,,4.0,,2.0,0.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,
126328414,Overpressure,kazzak,46.0,12092.0,36.0,40.0,75.0,77.0,,38.0,58.0,44.0,67.0,42.0,0.0,22.0,5.0,4.0,22.0,,32.0,19.0,18.0,15.0,33.0,2.0,8.0,2.0,3.0,17.0,,12.0,11.0,8.0,10.0,14.0,0.0,0.0,38.0,60.0,46.0,45.0,43.0,,67.0,3.0,8.0,20.0,26.0,22.0,14.0,,12.0,0.0,3.0,12.0,12.0,10.0,6.0,,8.0,,,,50.0,2.0,1.0,,,,,,
244844901,Танкохилодпс,borean-tundra,7.0,1525.0,29.0,,,33.0,,50.0,50.0,,100.0,67.0,,7.0,,,3.0,,2.0,2.0,,2.0,3.0,,2.0,,,1.0,,1.0,1.0,,2.0,2.0,,,0.0,0.0,100.0,0.0,50.0,,60.0,,2.0,3.0,1.0,3.0,2.0,,5.0,,0.0,0.0,1.0,0.0,1.0,,3.0,,,,,,,,,,,,
155148357,Padogorek,silvermoon,115.0,28240.0,61.0,37.0,35.0,35.0,47.0,74.0,48.0,44.0,47.0,61.0,60.0,41.0,59.0,40.0,46.0,45.0,47.0,64.0,71.0,74.0,116.0,57.0,25.0,22.0,14.0,16.0,21.0,35.0,31.0,31.0,35.0,71.0,34.0,167.0,29.0,60.0,50.0,63.0,54.0,100.0,57.0,3.0,7.0,20.0,22.0,19.0,13.0,5.0,7.0,5.0,2.0,12.0,11.0,12.0,7.0,5.0,4.0,25.0,12.0,3.0,,,,,,,81.0,26.0,21.0
175253057,Khimoa,sanguino,9.0,1309.0,100.0,50.0,50.0,50.0,,100.0,,,0.0,100.0,0.0,1.0,4.0,2.0,2.0,,1.0,,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,0.0,3.0,0.0,,0.0,0.0,100.0,,0.0,,50.0,,1.0,3.0,1.0,,1.0,,2.0,,0.0,0.0,1.0,,0.0,,1.0,,,,,,,,,,,,
75165662,Fnatix,kazzak,26.0,9273.0,50.0,67.0,66.0,64.0,61.0,36.0,67.0,25.0,58.0,25.0,50.0,24.0,30.0,35.0,28.0,18.0,11.0,6.0,4.0,12.0,4.0,6.0,12.0,20.0,23.0,18.0,11.0,4.0,4.0,1.0,7.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185244175,Helliél,pozzo-delleternità,4.0,664.0,,,,100.0,,,43.0,0.0,100.0,67.0,,,,,1.0,,,7.0,2.0,1.0,3.0,,,,,1.0,,,3.0,0.0,1.0,2.0,,,,50.0,33.0,0.0,,,0.0,,,2.0,3.0,2.0,,,2.0,,,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,
119151404,Casemir,antonidas,20.0,421.0,,,,100.0,,,50.0,,0.0,,,,,,2.0,,,2.0,,1.0,,,,,,2.0,,,1.0,,0.0,,,,,100.0,,,,,0.0,,,1.0,,,,,2.0,,,1.0,,,,,0.0,,,,,,,,,,,,
70082112,Majjsthaa,khadgar,12.0,14801.0,41.0,34.0,25.0,25.0,56.0,46.0,44.0,50.0,55.0,25.0,33.0,41.0,41.0,63.0,24.0,9.0,136.0,18.0,6.0,20.0,4.0,3.0,17.0,14.0,16.0,6.0,5.0,63.0,8.0,3.0,11.0,1.0,1.0,,,67.0,67.0,50.0,,,80.0,,,6.0,6.0,2.0,,,5.0,,,4.0,4.0,1.0,,,4.0,,,,,,,,,,,,
182510604,Oswäld,archimonde,42.0,3262.0,50.0,,,67.0,,100.0,40.0,43.0,50.0,57.0,,2.0,,,3.0,,1.0,5.0,7.0,8.0,7.0,,1.0,,,2.0,,1.0,2.0,3.0,4.0,4.0,,67.0,100.0,50.0,17.0,75.0,0.0,,0.0,6.0,1.0,6.0,12.0,4.0,1.0,,5.0,4.0,1.0,3.0,2.0,3.0,0.0,,0.0,67.0,3.0,2.0,50.0,8.0,4.0,,,,,,
176226874,Heracles,trollbane,28.0,2747.0,0.0,55.0,38.0,0.0,50.0,0.0,29.0,70.0,43.0,70.0,,2.0,11.0,8.0,1.0,2.0,1.0,7.0,10.0,7.0,23.0,,0.0,6.0,3.0,0.0,1.0,0.0,2.0,7.0,3.0,16.0,,0.0,,67.0,0.0,100.0,,,,1.0,,3.0,1.0,1.0,,,,0.0,,2.0,0.0,1.0,,,,,,,,,,,,,,,
158091204,Hotwhitegirl,frostwolf,3.0,20152.0,46.0,63.0,57.0,50.0,52.0,60.0,68.0,67.0,62.0,0.0,50.0,26.0,60.0,68.0,44.0,56.0,57.0,28.0,3.0,40.0,3.0,2.0,12.0,38.0,39.0,22.0,29.0,34.0,19.0,2.0,25.0,0.0,1.0,,,,,0.0,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,
170133453,Weavel,genjuros,113.0,183900.0,45.0,63.0,60.0,63.0,52.0,38.0,58.0,57.0,54.0,58.0,58.0,396.0,742.0,427.0,387.0,275.0,213.0,142.0,77.0,130.0,86.0,50.0,179.0,470.0,256.0,244.0,144.0,82.0,82.0,44.0,70.0,50.0,29.0,,72.0,48.0,62.0,39.0,63.0,,42.0,,18.0,23.0,21.0,23.0,27.0,,19.0,,13.0,11.0,13.0,9.0,17.0,,8.0,60.0,5.0,3.0,50.0,2.0,1.0,,,,,,
129327797,Бренсвен,gordunni,139.0,7840.0,73.0,25.0,0.0,,,56.0,,100.0,0.0,,,11.0,4.0,1.0,,,9.0,,1.0,2.0,,,8.0,1.0,0.0,,,5.0,,1.0,0.0,,,,56.0,0.0,100.0,,64.0,,100.0,,9.0,1.0,1.0,,14.0,,1.0,,5.0,0.0,1.0,,9.0,,1.0,,,,,,,,,,,,
166296806,Catablepon,ragnaros,33.0,582.0,,,,100.0,,0.0,100.0,0.0,0.0,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,0.0,1.0,0.0,0.0,,,100.0,0.0,100.0,50.0,75.0,100.0,,0.0,1.0,2.0,2.0,2.0,4.0,1.0,,1.0,1.0,0.0,2.0,1.0,3.0,1.0,,0.0,,,,,,,,,,,,
245895438,Аргоныч,gordunni,7.0,1318.0,44.0,,,100.0,,100.0,50.0,67.0,50.0,0.0,,9.0,,,2.0,,3.0,2.0,3.0,4.0,2.0,,4.0,,,2.0,,3.0,1.0,2.0,2.0,0.0,,,33.0,50.0,67.0,100.0,,,50.0,,3.0,4.0,3.0,2.0,,,2.0,,1.0,2.0,2.0,2.0,,,1.0,50.0,2.0,1.0,,,,,,,,,
88722414,Dundonian,draenor,35.0,8916.0,50.0,45.0,68.0,67.0,33.0,35.0,50.0,75.0,70.0,67.0,,18.0,11.0,19.0,12.0,3.0,17.0,6.0,4.0,10.0,3.0,,9.0,5.0,13.0,8.0,1.0,6.0,3.0,3.0,7.0,2.0,,,75.0,100.0,71.0,0.0,55.0,,50.0,,4.0,2.0,7.0,2.0,11.0,,6.0,,3.0,2.0,5.0,0.0,6.0,,3.0,0.0,2.0,0.0,100.0,1.0,1.0,,,,,,
187047459,Cambooty,silvermoon,9.0,1288.0,100.0,,,,,60.0,0.0,,,60.0,,1.0,,,,,5.0,2.0,,,5.0,,1.0,,,,,3.0,0.0,,,3.0,,,,0.0,0.0,50.0,67.0,,100.0,,,1.0,1.0,2.0,3.0,,1.0,,,0.0,0.0,1.0,2.0,,1.0,,,,,,,,,,,,
116414341,Igand,ravencrest,10.0,51270.0,60.0,47.0,41.0,47.0,50.0,50.0,51.0,46.0,64.0,43.0,41.0,257.0,103.0,127.0,118.0,149.0,197.0,70.0,26.0,110.0,28.0,22.0,153.0,48.0,52.0,55.0,75.0,98.0,36.0,12.0,70.0,12.0,9.0,,0.0,60.0,67.0,43.0,0.0,,80.0,,2.0,5.0,6.0,7.0,2.0,,5.0,,0.0,3.0,4.0,3.0,0.0,,4.0,,,,0.0,3.0,0.0,,,,,,
76731030,Puttekluden,kazzak,5.0,5336.0,46.0,41.0,28.0,48.0,27.0,40.0,53.0,100.0,55.0,100.0,,13.0,32.0,18.0,29.0,15.0,5.0,17.0,1.0,11.0,1.0,,6.0,13.0,5.0,14.0,4.0,2.0,9.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
