character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
164840523,Kreùos,khaz-modan,5.0,1176.0,67.0,,0.0,0.0,,,25.0,0.0,67.0,20.0,,0.0,0.0,100.0,50.0,,0.0,0.0,3.0,,1.0,1.0,,,4.0,2.0,3.0,5.0,,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,,0.0,0.0,,,1.0,0.0,2.0,1.0,,0.0,0.0,1.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,
164602514,Bretzel,ambossar,38.0,1445.0,,,,67.0,,,50.0,0.0,0.0,71.0,,100.0,,,,,,50.0,,,,3.0,,,2.0,2.0,2.0,17.0,,3.0,,,,,,4.0,,,,2.0,,,1.0,0.0,0.0,12.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,
247631101,Злодеятель,gordunni,4.0,968.0,,42.0,100.0,,0.0,,,,,,,,,,,,,,,12.0,6.0,,1.0,,,,,,,,,,,,,,,5.0,6.0,,0.0,,,,,,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,
180657290,Серуге,eversong,9.0,6014.0,,33.0,,75.0,,,50.0,50.0,80.0,33.0,0.0,75.0,25.0,20.0,0.0,,64.0,50.0,,3.0,,4.0,,,6.0,6.0,5.0,3.0,2.0,8.0,4.0,5.0,1.0,,11.0,2.0,,1.0,,3.0,,,3.0,3.0,4.0,1.0,0.0,6.0,1.0,1.0,0.0,,7.0,1.0,,0.0,,,1.0,,,0.0,,,,,,,
195398094,Lightmanu,pozzo-delleternità,27.0,1884.0,0.0,,,67.0,,83.0,0.0,17.0,50.0,50.0,,40.0,40.0,67.0,33.0,,,,2.0,,,3.0,,6.0,1.0,6.0,2.0,4.0,,5.0,5.0,3.0,3.0,,,,0.0,,,2.0,,5.0,0.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,,,,,100.0,20.0,,1.0,5.0,,1.0,1.0,,,,,,
76714138,Elisif,blackhand,9.0,31574.0,52.0,62.0,59.0,71.0,56.0,78.0,60.0,67.0,75.0,20.0,50.0,100.0,67.0,,,100.0,,,21.0,98.0,202.0,14.0,9.0,27.0,10.0,3.0,4.0,5.0,4.0,2.0,46.0,,,2.0,,,11.0,61.0,120.0,10.0,5.0,21.0,6.0,2.0,3.0,1.0,2.0,2.0,31.0,,,2.0,,,,,,,,,,,,,,,,,
23348325,Kayru,ysondre,16.0,18245.0,41.0,57.0,67.0,74.0,46.0,64.0,71.0,44.0,50.0,45.0,,,80.0,,,100.0,100.0,,44.0,68.0,55.0,54.0,57.0,11.0,7.0,9.0,8.0,11.0,,,5.0,,,10.0,1.0,,18.0,39.0,37.0,40.0,26.0,7.0,5.0,4.0,4.0,5.0,,,4.0,,,10.0,1.0,,,,,,,,,,,,,,,,
190326717,Дедика,eversong,12.0,3916.0,40.0,,,92.0,,60.0,100.0,85.0,86.0,69.0,,80.0,88.0,86.0,40.0,,,88.0,5.0,,,12.0,,5.0,7.0,13.0,7.0,13.0,,10.0,16.0,7.0,5.0,,,8.0,2.0,,,11.0,,3.0,7.0,11.0,6.0,9.0,,8.0,14.0,6.0,2.0,,,7.0,,,50.0,,,2.0,,,1.0,,,,,,
172770813,Тенеломыч,howling-fjord,162.0,4972.0,0.0,100.0,50.0,33.0,50.0,0.0,50.0,86.0,50.0,75.0,50.0,50.0,67.0,0.0,0.0,,100.0,60.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,7.0,6.0,4.0,4.0,6.0,3.0,1.0,3.0,,4.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,6.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,,4.0,3.0,,,,,,,,,,,,,,,
156103505,Echnatón,teldrassil,48.0,102085.0,59.0,44.0,39.0,42.0,46.0,58.0,50.0,40.0,52.0,12.0,54.0,0.0,67.0,100.0,0.0,100.0,14.0,,325.0,425.0,328.0,230.0,203.0,117.0,166.0,20.0,111.0,25.0,13.0,3.0,3.0,1.0,1.0,2.0,7.0,,191.0,187.0,128.0,96.0,94.0,68.0,83.0,8.0,58.0,3.0,7.0,0.0,2.0,1.0,0.0,2.0,1.0,,,,100.0,,,1.0,,,1.0,,,,,,
141445649,Adrianie,ysera,126.0,140.0,,,,,,,0.0,,,,,0.0,100.0,0.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
246978378,Панактото,gordunni,27.0,947.0,,,,,,50.0,0.0,100.0,0.0,67.0,,0.0,,100.0,100.0,,,0.0,,,,,,2.0,2.0,2.0,1.0,3.0,,1.0,,2.0,3.0,,,3.0,,,,,,1.0,0.0,2.0,0.0,2.0,,0.0,,2.0,3.0,,,0.0,100.0,,,1.0,,,1.0,,,,,,,,
38372178,Чейдище,howling-fjord,14.0,2578.0,38.0,,0.0,0.0,100.0,83.0,50.0,60.0,67.0,40.0,,25.0,,0.0,60.0,,,,8.0,,1.0,3.0,2.0,6.0,2.0,5.0,6.0,5.0,,4.0,,2.0,5.0,,,,3.0,,0.0,0.0,2.0,5.0,1.0,3.0,4.0,2.0,,1.0,,0.0,3.0,,,,,60.0,,,5.0,,,3.0,,,,,,,
195375648,Thurros,silvermoon,8.0,68.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,100.0,,,1.0,,,1.0,,,,,,
123066735,Meinrad,draenor,35.0,3928.0,50.0,,,80.0,,67.0,67.0,75.0,33.0,40.0,50.0,33.0,50.0,33.0,60.0,100.0,100.0,100.0,6.0,,,5.0,,6.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,5.0,15.0,1.0,1.0,3.0,,,4.0,,4.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,15.0,1.0,1.0,100.0,,50.0,1.0,,2.0,1.0,,1.0,,,,,,
158661428,Painpaté,culte-de-la-rive-noire,61.0,1449.0,,,0.0,75.0,,,0.0,25.0,0.0,80.0,50.0,25.0,,0.0,,,,,,,1.0,4.0,,,5.0,4.0,5.0,5.0,2.0,4.0,,2.0,,,,,,,0.0,3.0,,,0.0,1.0,0.0,4.0,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,
202886880,Святоушлёпок,soulflayer,7.0,209.0,,,,0.0,,100.0,,,,,,,100.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,0.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
245828891,Саннанса,gordunni,85.0,13951.0,67.0,41.0,47.0,47.0,37.0,67.0,50.0,47.0,50.0,49.0,70.0,56.0,0.0,33.0,0.0,,,75.0,12.0,44.0,15.0,32.0,27.0,6.0,38.0,45.0,44.0,61.0,20.0,16.0,2.0,3.0,4.0,,,4.0,8.0,18.0,7.0,15.0,10.0,4.0,19.0,21.0,22.0,30.0,14.0,9.0,0.0,1.0,0.0,,,3.0,,0.0,,,2.0,,,0.0,,,,,,,
244032512,Инестра,gordunni,5.0,2268.0,,,,67.0,,0.0,100.0,,100.0,100.0,,0.0,20.0,25.0,33.0,,,80.0,,,,3.0,,2.0,3.0,,3.0,2.0,,1.0,5.0,4.0,3.0,,,5.0,,,,2.0,,0.0,3.0,,3.0,2.0,,0.0,1.0,1.0,1.0,,,4.0,,0.0,,,1.0,,,0.0,,,,,,,
170304573,Pushinn,drakthul,4.0,1406.0,60.0,,,100.0,,29.0,50.0,20.0,,0.0,,0.0,0.0,0.0,50.0,,,50.0,5.0,,,4.0,,7.0,2.0,5.0,,1.0,,2.0,1.0,1.0,2.0,,,2.0,3.0,,,4.0,,2.0,1.0,1.0,,0.0,,0.0,0.0,0.0,1.0,,,1.0,,40.0,,,5.0,,,2.0,,,,,,,
226355394,Trrish,sylvanas,27.0,1324.0,,50.0,,50.0,,100.0,100.0,,50.0,50.0,0.0,100.0,,0.0,,100.0,100.0,0.0,,2.0,,2.0,,1.0,1.0,,2.0,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,0.0,2.0,,0.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,
83232907,Crixas,ravencrest,33.0,11957.0,62.0,33.0,25.0,65.0,62.0,88.0,70.0,50.0,30.0,59.0,100.0,71.0,46.0,50.0,27.0,,33.0,45.0,32.0,6.0,12.0,17.0,8.0,24.0,23.0,18.0,20.0,27.0,1.0,14.0,13.0,16.0,11.0,,6.0,20.0,20.0,2.0,3.0,11.0,5.0,21.0,16.0,9.0,6.0,16.0,1.0,10.0,6.0,8.0,3.0,,2.0,9.0,55.0,38.0,33.0,11.0,13.0,3.0,6.0,5.0,1.0,,,,,,
130967872,Xyllwan,malorne,19.0,3234.0,80.0,36.0,17.0,29.0,0.0,50.0,41.0,11.0,21.0,23.0,80.0,,0.0,,100.0,,,,10.0,11.0,18.0,7.0,4.0,8.0,17.0,9.0,14.0,13.0,5.0,,2.0,,1.0,,,,8.0,4.0,3.0,2.0,0.0,4.0,7.0,1.0,3.0,3.0,4.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,
193922696,Аиовин,gordunni,8.0,5238.0,91.0,17.0,0.0,33.0,38.0,69.0,31.0,20.0,33.0,20.0,100.0,,,,0.0,,100.0,,32.0,18.0,7.0,12.0,8.0,16.0,13.0,5.0,6.0,10.0,3.0,,,,2.0,,2.0,,29.0,3.0,0.0,4.0,3.0,11.0,4.0,1.0,2.0,2.0,3.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,
175872617,Smasch,ragnaros,10.0,45017.0,57.0,45.0,50.0,50.0,56.0,53.0,56.0,72.0,74.0,61.0,42.0,25.0,75.0,0.0,50.0,,75.0,0.0,145.0,155.0,213.0,145.0,143.0,123.0,32.0,39.0,72.0,38.0,12.0,8.0,4.0,1.0,8.0,,4.0,3.0,82.0,69.0,107.0,73.0,80.0,65.0,18.0,28.0,53.0,23.0,5.0,2.0,3.0,0.0,4.0,,3.0,0.0,,83.0,,,6.0,,,5.0,,,,,,,
199661360,Полльнареф,soulflayer,27.0,3.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
241026765,Напалий,greymane,29.0,9851.0,72.0,40.0,55.0,65.0,44.0,67.0,52.0,54.0,64.0,56.0,47.0,45.0,33.0,0.0,60.0,,,100.0,18.0,5.0,11.0,17.0,16.0,18.0,25.0,13.0,11.0,16.0,17.0,11.0,3.0,3.0,5.0,,,2.0,13.0,2.0,6.0,11.0,7.0,12.0,13.0,7.0,7.0,9.0,8.0,5.0,1.0,0.0,3.0,,,2.0,,0.0,,,2.0,,,0.0,,,,,,,
133598143,Sinthöràs,draenor,12.0,25975.0,30.0,56.0,62.0,72.0,64.0,25.0,67.0,71.0,74.0,62.0,68.0,400.0,67.0,67.0,100.0,100.0,,,10.0,79.0,76.0,76.0,59.0,4.0,84.0,87.0,81.0,80.0,62.0,2.0,3.0,3.0,1.0,2.0,,,3.0,44.0,47.0,55.0,38.0,1.0,56.0,62.0,60.0,50.0,42.0,8.0,2.0,2.0,1.0,2.0,,,,0.0,,,1.0,,,0.0,,,,,,,
191931367,Lunadriael,silvermoon,30.0,18.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
239021495,Втббанк,booty-bay,3.0,1131.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
240221435,Аурус,booty-bay,19.0,615.0,,,,,,,100.0,,33.0,100.0,100.0,0.0,50.0,100.0,0.0,,,100.0,,,,,,,1.0,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,2.0,,,,,,,1.0,,1.0,1.0,1.0,0.0,1.0,2.0,0.0,,,2.0,,,,,,,,,,,,,,,
177028711,Пвпшерс,galakrond,10.0,1480.0,60.0,,,33.0,,100.0,,0.0,50.0,50.0,,,0.0,33.0,0.0,,,50.0,5.0,,,3.0,,3.0,,3.0,2.0,4.0,,,1.0,3.0,7.0,,,2.0,3.0,,,1.0,,3.0,,0.0,1.0,2.0,,,0.0,1.0,0.0,,,1.0,0.0,29.0,0.0,1.0,7.0,1.0,0.0,2.0,0.0,,,,,,
181946047,Сэйшелка,soulflayer,16.0,2676.0,0.0,,,73.0,,25.0,56.0,67.0,50.0,80.0,0.0,64.0,67.0,50.0,0.0,100.0,,67.0,2.0,,,11.0,,4.0,9.0,3.0,4.0,10.0,1.0,11.0,3.0,4.0,1.0,3.0,,3.0,0.0,,,8.0,,1.0,5.0,2.0,2.0,8.0,0.0,7.0,2.0,2.0,0.0,3.0,,2.0,,,,,,,,,,,,,,,
175996733,Самурмурай,galakrond,8.0,1820.0,71.0,,,,,14.0,100.0,0.0,100.0,0.0,,67.0,100.0,50.0,67.0,,,50.0,7.0,,,,,7.0,1.0,2.0,2.0,1.0,,3.0,1.0,4.0,6.0,,,2.0,5.0,,,,,1.0,1.0,0.0,2.0,0.0,,2.0,1.0,2.0,4.0,,,1.0,,33.0,,,3.0,,,1.0,,,,,,,
102038052,Тэотиуакари,howling-fjord,9.0,5516.0,27.0,20.0,62.0,71.0,100.0,20.0,47.0,93.0,78.0,67.0,60.0,50.0,60.0,100.0,,100.0,100.0,,11.0,10.0,8.0,17.0,5.0,10.0,15.0,14.0,9.0,21.0,5.0,2.0,5.0,1.0,,32.0,2.0,,3.0,2.0,5.0,12.0,5.0,2.0,7.0,13.0,7.0,14.0,3.0,1.0,3.0,1.0,,32.0,2.0,,,,,,,,,,,100.0,2.0,2.0,,,
150850433,Джарена,gordunni,64.0,9350.0,100.0,59.0,33.0,61.0,0.0,90.0,39.0,45.0,56.0,47.0,43.0,90.0,55.0,50.0,,,,60.0,1.0,27.0,12.0,18.0,1.0,10.0,23.0,33.0,27.0,34.0,7.0,10.0,11.0,8.0,,,,5.0,1.0,16.0,4.0,11.0,0.0,9.0,9.0,15.0,15.0,16.0,3.0,9.0,6.0,4.0,,,,3.0,43.0,,,7.0,,,3.0,,,,,,,,
16524690,Мистыч,gordunni,3.0,2381.0,,0.0,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
187530121,Искупленная,gordunni,3.0,714.0,,,,100.0,,,100.0,,100.0,33.0,67.0,,67.0,0.0,,,,,,,,1.0,,,1.0,,1.0,3.0,3.0,,3.0,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,2.0,0.0,,,,,,,67.0,,,3.0,,,2.0,,,,,,
191731388,Kæryos,archimonde,3.0,238.0,,,,,,,,100.0,100.0,0.0,,0.0,,,0.0,,,50.0,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,,1.0,1.0,0.0,,0.0,,,0.0,,,1.0,,,,,,,,,,,,,,,
147578997,Goutu,arathi,22.0,7221.0,58.0,35.0,67.0,25.0,,50.0,39.0,45.0,54.0,44.0,38.0,62.0,60.0,55.0,0.0,100.0,,0.0,12.0,17.0,6.0,8.0,,6.0,23.0,31.0,28.0,34.0,16.0,26.0,10.0,11.0,2.0,1.0,,2.0,7.0,6.0,4.0,2.0,,3.0,9.0,14.0,15.0,15.0,6.0,16.0,6.0,6.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,
246800580,Майненвайфу,eversong,4.0,350.0,,,,0.0,,,100.0,,100.0,,,50.0,33.0,100.0,,,,,,,,1.0,,,1.0,,1.0,,,2.0,3.0,2.0,,,,,,,,0.0,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
201516298,Пчёлочка,goldrinn,52.0,497.0,100.0,,,50.0,,33.0,0.0,100.0,,67.0,,,100.0,33.0,,,,,2.0,,,2.0,,3.0,1.0,1.0,,3.0,,,1.0,3.0,,,,,2.0,,,1.0,,1.0,0.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
199152184,Слипноумо,gordunni,16.0,1928.0,50.0,,,100.0,,,67.0,60.0,,50.0,,75.0,0.0,67.0,0.0,,,33.0,2.0,,,5.0,,,6.0,10.0,,2.0,,8.0,1.0,3.0,1.0,,,3.0,1.0,,,5.0,,,4.0,6.0,,1.0,,6.0,0.0,2.0,0.0,,,1.0,,,,,,,,,,,,,,,
154405274,Landro,antonidas,7.0,130.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
106639733,Dyröne,draenor,21.0,4360.0,20.0,40.0,50.0,71.0,60.0,22.0,57.0,50.0,50.0,0.0,60.0,100.0,0.0,83.0,100.0,,,,5.0,5.0,8.0,14.0,10.0,9.0,14.0,8.0,6.0,8.0,5.0,2.0,2.0,6.0,1.0,,,,1.0,2.0,4.0,10.0,6.0,2.0,8.0,4.0,3.0,0.0,3.0,2.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,
159590330,Uuna,archimonde,11.0,661.0,50.0,,0.0,0.0,,,0.0,50.0,50.0,100.0,0.0,,,,0.0,,,,2.0,,2.0,1.0,,,1.0,2.0,2.0,4.0,1.0,,,,1.0,,,,1.0,,0.0,0.0,,,0.0,1.0,1.0,4.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,
156387163,Трэнсквил,ashenvale,8.0,154.0,100.0,,,,0.0,,,,,0.0,,,,,,,,100.0,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,0.0,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,
120019768,Fârley,argent-dawn,12.0,3616.0,79.0,0.0,25.0,20.0,100.0,44.0,45.0,50.0,71.0,67.0,,70.0,71.0,100.0,33.0,,,50.0,14.0,2.0,4.0,5.0,1.0,9.0,11.0,10.0,7.0,6.0,,10.0,7.0,1.0,3.0,,,2.0,11.0,0.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,,7.0,5.0,1.0,1.0,,,1.0,,50.0,100.0,,2.0,1.0,,1.0,1.0,,,,,,
110076509,Vôlpêl,ysondre,2.0,551.0,50.0,100.0,,,,,100.0,0.0,,,,,,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
160300425,Ironhoof,blackmoore,34.0,18943.0,57.0,52.0,52.0,56.0,68.0,50.0,46.0,58.0,49.0,60.0,58.0,200.0,100.0,,,,,,14.0,85.0,67.0,61.0,62.0,24.0,71.0,91.0,72.0,72.0,45.0,1.0,1.0,,,,,,8.0,44.0,35.0,34.0,42.0,12.0,33.0,53.0,35.0,43.0,26.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
193993366,Tidfis,grim-batol,33.0,3712.0,40.0,,,0.0,,75.0,100.0,60.0,50.0,100.0,,60.0,57.0,55.0,75.0,,,40.0,5.0,,,4.0,,4.0,3.0,10.0,2.0,4.0,,10.0,7.0,11.0,4.0,,,10.0,2.0,,,0.0,,3.0,3.0,6.0,1.0,4.0,,6.0,4.0,6.0,3.0,,,4.0,50.0,75.0,,2.0,4.0,,1.0,3.0,,,,,,,
