character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge win_rate,Deepwind Gorge played,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
136643238,Atilaelhuno,dun-modr,41.0,7225.0,44.0,43.0,12.0,28.0,0.0,83.0,46.0,56.0,20.0,21.0,21.0,16.0,14.0,8.0,18.0,3.0,12.0,13.0,9.0,10.0,14.0,19.0,7.0,6.0,1.0,5.0,0.0,10.0,6.0,5.0,2.0,3.0,4.0,,,45.0,40.0,0.0,40.0,100.0,0.0,,,11.0,5.0,6.0,5.0,2.0,1.0,,,5.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,,
225713693,Azshandris,sylvanas,9.0,5580.0,50.0,0.0,0.0,33.0,0.0,50.0,,,,0.0,100.0,20.0,2.0,4.0,3.0,1.0,4.0,,,,3.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,,,,0.0,1.0,,,,0.0,100.0,0.0,,,,,,1.0,1.0,1.0,,,,,,0.0,1.0,0.0,,,0.0,1.0,0.0,,,,,,,,,
226355394,Trrish,sylvanas,27.0,1324.0,,50.0,,50.0,,100.0,100.0,,50.0,50.0,0.0,,2.0,,2.0,,1.0,1.0,,2.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,0.0,,,100.0,,0.0,,100.0,100.0,,,2.0,,1.0,,1.0,1.0,,,2.0,,0.0,,1.0,1.0,0.0,1.0,0.0,,,,,,,,,
154505565,Nanolex,draenor,13.0,1027.0,75.0,,,100.0,,0.0,100.0,75.0,,,,4.0,,,1.0,,1.0,2.0,4.0,,,,3.0,,,1.0,,0.0,2.0,3.0,,,,100.0,,100.0,100.0,0.0,0.0,,,5.0,,1.0,1.0,1.0,1.0,,,5.0,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
200935849,Овитрес,soulflayer,92.0,204.0,0.0,,,50.0,,,0.0,,,100.0,,1.0,,,2.0,,,1.0,,,1.0,,0.0,,,1.0,,,0.0,,,1.0,,,,50.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,100.0,1.0,1.0,,,,,,,,,
173048490,Френзибарб,howling-fjord,95.0,3301.0,60.0,,,50.0,,50.0,57.0,56.0,67.0,42.0,,5.0,,,2.0,,6.0,7.0,18.0,9.0,19.0,,3.0,,,1.0,,3.0,4.0,10.0,6.0,8.0,,50.0,100.0,27.0,50.0,86.0,71.0,,,6.0,1.0,11.0,4.0,7.0,7.0,,,3.0,1.0,3.0,2.0,6.0,5.0,,,78.0,9.0,7.0,67.0,6.0,4.0,,,,,,
187188645,Arthes,silvermoon,15.0,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,50.0,,,2.0,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
208307745,Silverdawn,runetotem,25.0,50078.0,57.0,63.0,58.0,62.0,58.0,57.0,70.0,67.0,56.0,67.0,73.0,130.0,206.0,146.0,165.0,123.0,70.0,201.0,147.0,181.0,153.0,79.0,74.0,129.0,84.0,103.0,71.0,40.0,140.0,99.0,102.0,102.0,58.0,,100.0,67.0,33.0,25.0,33.0,100.0,,,1.0,6.0,3.0,4.0,3.0,2.0,,,1.0,4.0,1.0,1.0,1.0,2.0,,56.0,9.0,5.0,,,,,,,,,
153863408,Osïrïs,kazzak,47.0,6437.0,50.0,33.0,0.0,50.0,,100.0,40.0,33.0,50.0,46.0,67.0,8.0,15.0,2.0,8.0,,4.0,10.0,9.0,12.0,13.0,3.0,4.0,5.0,0.0,4.0,,4.0,4.0,3.0,6.0,6.0,2.0,67.0,25.0,83.0,33.0,50.0,50.0,,88.0,6.0,4.0,6.0,3.0,4.0,6.0,,8.0,4.0,1.0,5.0,1.0,2.0,3.0,,7.0,33.0,6.0,2.0,33.0,3.0,1.0,,,,,,
147510448,Анфет,gordunni,11.0,12989.0,43.0,87.0,47.0,48.0,47.0,53.0,29.0,44.0,25.0,50.0,,14.0,15.0,17.0,21.0,19.0,17.0,7.0,18.0,4.0,6.0,,6.0,13.0,8.0,10.0,9.0,9.0,2.0,8.0,1.0,3.0,,100.0,67.0,57.0,67.0,0.0,50.0,,,1.0,3.0,7.0,3.0,1.0,6.0,,,1.0,2.0,4.0,2.0,0.0,3.0,,,,,,,,,,,,,,
176644890,Артемониус,gordunni,23.0,3210.0,33.0,50.0,100.0,62.0,,50.0,50.0,80.0,50.0,50.0,100.0,3.0,2.0,1.0,8.0,,4.0,8.0,5.0,4.0,6.0,4.0,1.0,1.0,1.0,5.0,,2.0,4.0,4.0,2.0,3.0,4.0,33.0,,20.0,50.0,,50.0,,50.0,3.0,,5.0,2.0,,4.0,,4.0,1.0,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,
47595649,Чицк,fordragon,48.0,8951.0,50.0,0.0,100.0,59.0,100.0,46.0,45.0,50.0,36.0,75.0,60.0,24.0,1.0,2.0,17.0,1.0,13.0,11.0,20.0,11.0,16.0,5.0,12.0,0.0,2.0,10.0,1.0,6.0,5.0,10.0,4.0,12.0,3.0,22.0,80.0,56.0,38.0,83.0,46.0,,,9.0,5.0,9.0,16.0,6.0,24.0,,,2.0,4.0,5.0,6.0,5.0,11.0,,,73.0,11.0,8.0,,,,100.0,2.0,2.0,,,
146319436,Салокин,fordragon,19.0,6913.0,50.0,0.0,100.0,60.0,,67.0,45.0,60.0,31.0,68.0,56.0,4.0,3.0,1.0,10.0,,3.0,11.0,15.0,13.0,22.0,16.0,2.0,0.0,1.0,6.0,,2.0,5.0,9.0,4.0,15.0,9.0,,25.0,53.0,58.0,42.0,100.0,,0.0,,4.0,17.0,12.0,12.0,1.0,,1.0,,1.0,9.0,7.0,5.0,1.0,,0.0,,,,,,,,,,,,
78209257,Арроя,fordragon,9.0,2463.0,100.0,0.0,100.0,60.0,33.0,100.0,67.0,40.0,60.0,100.0,50.0,3.0,2.0,3.0,5.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,,25.0,100.0,,0.0,0.0,,0.0,,4.0,1.0,,1.0,2.0,,2.0,,1.0,1.0,,0.0,0.0,,0.0,,,,,,,,,,,,
166166492,Палвнатуре,fordragon,4.0,62.0,,,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163875207,Grimripper,alleria,22.0,195.0,,,,,,,,,0.0,100.0,,,,,,,,,,1.0,1.0,,,,,,,,,,0.0,1.0,,0.0,,0.0,,,,,,1.0,,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
90306483,Крахоборище,fordragon,17.0,2983.0,100.0,60.0,67.0,25.0,40.0,88.0,80.0,67.0,40.0,83.0,0.0,2.0,5.0,3.0,4.0,5.0,8.0,5.0,9.0,10.0,6.0,4.0,2.0,3.0,2.0,1.0,2.0,7.0,4.0,6.0,4.0,5.0,0.0,100.0,,67.0,,,0.0,,,1.0,,3.0,,,3.0,,,1.0,,2.0,,,0.0,,,100.0,1.0,1.0,,,,,,,,,
187023840,Балдесарини,gordunni,24.0,1692.0,,75.0,33.0,,0.0,,29.0,75.0,57.0,80.0,100.0,,8.0,3.0,,1.0,,7.0,4.0,7.0,5.0,1.0,,6.0,1.0,,0.0,,2.0,3.0,4.0,4.0,1.0,0.0,,,,100.0,0.0,,,1.0,,,,1.0,1.0,,,0.0,,,,1.0,0.0,,,,,,,,,,,,,,
62886283,Awkward,aggramar,76.0,18723.0,34.0,44.0,50.0,43.0,56.0,60.0,37.0,53.0,46.0,41.0,50.0,131.0,117.0,112.0,105.0,101.0,47.0,54.0,19.0,50.0,27.0,4.0,45.0,51.0,56.0,45.0,57.0,28.0,20.0,10.0,23.0,11.0,2.0,,,,67.0,100.0,100.0,,,,,,3.0,2.0,1.0,,,,,,2.0,2.0,1.0,,,100.0,1.0,1.0,3800.0,1.0,38.0,,,,,,
217452273,Крадульф,gordunni,23.0,1076.0,50.0,,,0.0,,100.0,100.0,0.0,100.0,0.0,,4.0,,,2.0,,2.0,1.0,2.0,1.0,2.0,,2.0,,,0.0,,2.0,1.0,0.0,1.0,0.0,,0.0,,25.0,100.0,0.0,0.0,,,4.0,,4.0,2.0,1.0,1.0,,,0.0,,1.0,2.0,0.0,0.0,,,75.0,4.0,3.0,,,,,,,,,
197816108,Zyriaspheri,aegwynn,11.0,2292.0,50.0,33.0,0.0,0.0,33.0,56.0,20.0,0.0,38.0,33.0,,4.0,3.0,2.0,2.0,3.0,9.0,10.0,3.0,8.0,9.0,,2.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,3.0,3.0,,,50.0,80.0,67.0,33.0,100.0,,,,8.0,5.0,3.0,3.0,1.0,,,,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,
245593888,Masimal,sylvanas,29.0,16288.0,20.0,71.0,71.0,70.0,50.0,42.0,60.0,58.0,60.0,56.0,62.0,45.0,17.0,31.0,37.0,30.0,12.0,5.0,12.0,5.0,9.0,8.0,9.0,12.0,22.0,26.0,15.0,5.0,3.0,7.0,3.0,5.0,5.0,0.0,100.0,60.0,67.0,50.0,0.0,100.0,0.0,1.0,2.0,5.0,12.0,8.0,1.0,2.0,1.0,0.0,2.0,3.0,8.0,4.0,0.0,2.0,0.0,100.0,1.0,1.0,,,,,,,,,
148320783,Zleknogodx,blackrock,12.0,2360.0,29.0,,,50.0,,29.0,50.0,67.0,67.0,50.0,,7.0,,,2.0,,7.0,4.0,6.0,3.0,4.0,,2.0,,,1.0,,2.0,2.0,4.0,2.0,2.0,,100.0,,67.0,100.0,,33.0,,,2.0,,3.0,2.0,,6.0,,,2.0,,2.0,2.0,,2.0,,,0.0,2.0,0.0,100.0,1.0,1.0,,,,,,
87111281,Затрещинна,howling-fjord,6.0,29392.0,62.0,45.0,39.0,44.0,32.0,63.0,60.0,100.0,50.0,100.0,,42.0,140.0,114.0,54.0,44.0,27.0,10.0,1.0,4.0,1.0,,26.0,63.0,45.0,24.0,14.0,17.0,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217345498,Xzavier,sylvanas,10.0,3022.0,0.0,,100.0,73.0,50.0,,20.0,60.0,60.0,57.0,,2.0,,1.0,11.0,2.0,,5.0,5.0,5.0,7.0,,0.0,,1.0,8.0,1.0,,1.0,3.0,3.0,4.0,,0.0,,43.0,100.0,40.0,0.0,,,1.0,,7.0,4.0,5.0,1.0,,,0.0,,3.0,4.0,2.0,0.0,,,57.0,7.0,4.0,,,,,,,,,
155456798,Анвитаж,howling-fjord,48.0,4498.0,18.0,,,62.0,,71.0,67.0,75.0,50.0,55.0,,11.0,,,8.0,,7.0,3.0,4.0,6.0,11.0,,2.0,,,5.0,,5.0,2.0,3.0,3.0,6.0,,100.0,,100.0,40.0,80.0,30.0,,,1.0,,3.0,5.0,5.0,10.0,,,1.0,,3.0,2.0,4.0,3.0,,,67.0,3.0,2.0,0.0,1.0,0.0,,,,,,
161471908,Хедин,fordragon,27.0,1262.0,100.0,50.0,,50.0,,50.0,100.0,33.0,100.0,100.0,,1.0,2.0,,2.0,,2.0,1.0,3.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,0.0,100.0,100.0,,,100.0,,,1.0,1.0,1.0,,,1.0,,,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,
73481377,Тазманчик,fordragon,25.0,4406.0,0.0,60.0,43.0,55.0,55.0,12.0,0.0,100.0,83.0,100.0,,11.0,15.0,14.0,11.0,11.0,8.0,3.0,6.0,6.0,1.0,,0.0,9.0,6.0,6.0,6.0,1.0,0.0,6.0,5.0,1.0,,,,50.0,,,67.0,,,,,2.0,,,3.0,,,,,1.0,,,2.0,,,100.0,2.0,2.0,,,,,,,,,
59088983,Любаня,ashenvale,9.0,38603.0,51.0,61.0,59.0,63.0,51.0,40.0,50.0,69.0,74.0,61.0,67.0,87.0,180.0,137.0,107.0,107.0,47.0,34.0,13.0,23.0,18.0,3.0,44.0,110.0,81.0,67.0,55.0,19.0,17.0,9.0,17.0,11.0,2.0,0.0,80.0,100.0,80.0,100.0,50.0,100.0,,2.0,5.0,1.0,5.0,5.0,2.0,1.0,,0.0,4.0,1.0,4.0,5.0,1.0,1.0,,75.0,4.0,3.0,,,,,,,,,
195128378,Ëpøk,hyjal,9.0,3887.0,13.0,38.0,40.0,75.0,60.0,10.0,22.0,44.0,43.0,50.0,50.0,15.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,6.0,8.0,2.0,3.0,4.0,6.0,6.0,1.0,2.0,4.0,3.0,3.0,4.0,100.0,,,33.0,0.0,33.0,,100.0,2.0,,,3.0,3.0,3.0,,2.0,2.0,,,1.0,0.0,1.0,,2.0,,,,,,,,,,,,
129825943,Bizepsfrida,aegwynn,53.0,10450.0,61.0,53.0,62.0,48.0,46.0,32.0,50.0,62.0,33.0,65.0,60.0,28.0,34.0,29.0,21.0,24.0,25.0,34.0,21.0,36.0,17.0,5.0,17.0,18.0,18.0,10.0,11.0,8.0,17.0,13.0,12.0,11.0,3.0,100.0,,100.0,100.0,0.0,100.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,
167267282,Worpax,spinebreaker,10.0,2735.0,40.0,,,83.0,,50.0,50.0,0.0,100.0,,,10.0,,,6.0,,6.0,2.0,2.0,4.0,,,4.0,,,5.0,,3.0,1.0,0.0,4.0,,,100.0,0.0,60.0,25.0,40.0,40.0,,,6.0,1.0,5.0,4.0,5.0,5.0,,,6.0,0.0,3.0,1.0,2.0,2.0,,,33.0,3.0,1.0,0.0,1.0,0.0,,,,,,
180191286,Альтошка,gordunni,17.0,3076.0,75.0,33.0,,67.0,,0.0,25.0,43.0,67.0,25.0,0.0,4.0,6.0,,3.0,,1.0,4.0,7.0,6.0,4.0,1.0,3.0,2.0,,2.0,,0.0,1.0,3.0,4.0,1.0,0.0,100.0,,71.0,100.0,0.0,50.0,,,2.0,,7.0,1.0,2.0,2.0,,,2.0,,5.0,1.0,0.0,1.0,,,33.0,3.0,1.0,,,,,,,,,
81251125,Олейор,fordragon,117.0,14683.0,50.0,24.0,44.0,39.0,50.0,80.0,26.0,53.0,40.0,75.0,71.0,14.0,21.0,18.0,28.0,12.0,20.0,19.0,19.0,25.0,16.0,7.0,7.0,5.0,8.0,11.0,6.0,16.0,5.0,10.0,10.0,12.0,5.0,,,14.0,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
112689435,Elundil,draenor,139.0,16334.0,49.0,53.0,87.0,53.0,50.0,47.0,39.0,44.0,59.0,28.0,48.0,91.0,17.0,15.0,30.0,2.0,19.0,23.0,25.0,17.0,25.0,29.0,45.0,9.0,13.0,16.0,1.0,9.0,9.0,11.0,10.0,7.0,14.0,100.0,33.0,57.0,36.0,42.0,65.0,100.0,82.0,1.0,3.0,28.0,25.0,24.0,20.0,34.0,11.0,1.0,1.0,16.0,9.0,10.0,13.0,34.0,9.0,67.0,3.0,2.0,,,,,,,,,
63211228,Bragi,aggramar,33.0,10186.0,64.0,50.0,45.0,38.0,60.0,36.0,46.0,40.0,50.0,75.0,,58.0,105.0,20.0,8.0,5.0,11.0,13.0,5.0,8.0,4.0,,37.0,52.0,9.0,3.0,3.0,4.0,6.0,2.0,4.0,3.0,,0.0,,50.0,100.0,100.0,67.0,,,1.0,,4.0,2.0,5.0,3.0,,,0.0,,2.0,2.0,5.0,2.0,,,33.0,3.0,1.0,,,,,,,,,
165427440,Lithî,azshara,6.0,114.0,,,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,100.0,,,0.0,100.0,,,,1.0,,,1.0,1.0,,,,1.0,,,0.0,1.0,,,,,,,,,,,,,,,
57836312,Релокин,gordunni,18.0,58770.0,71.0,52.0,49.0,61.0,41.0,65.0,57.0,59.0,62.0,53.0,43.0,72.0,184.0,189.0,132.0,109.0,86.0,109.0,29.0,90.0,36.0,23.0,51.0,96.0,93.0,80.0,45.0,56.0,62.0,17.0,56.0,19.0,10.0,75.0,,67.0,100.0,67.0,,,,4.0,,6.0,2.0,3.0,,,,3.0,,4.0,2.0,2.0,,,,33.0,3.0,1.0,6100.0,1.0,61.0,100.0,1.0,1.0,,,
123945950,Денойз,howling-fjord,27.0,2086.0,,100.0,60.0,,,100.0,25.0,50.0,80.0,,0.0,,3.0,5.0,,,1.0,4.0,4.0,5.0,,1.0,,3.0,3.0,,,1.0,1.0,2.0,4.0,,0.0,,,50.0,,,,100.0,,,,2.0,,,,2.0,,,,1.0,,,,2.0,,,,,,,,,,,,,
119151404,Casemir,antonidas,20.0,421.0,,,,100.0,,,50.0,,0.0,,,,,,2.0,,,2.0,,1.0,,,,,,2.0,,,1.0,,0.0,,,,,100.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,0.0,2.0,0.0,,,,,,,,,
167238257,Isotheos,azjolnerub,1.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
86978976,Дэбити,fordragon,66.0,3005.0,100.0,33.0,75.0,62.0,100.0,22.0,100.0,78.0,20.0,43.0,60.0,1.0,3.0,4.0,8.0,4.0,9.0,4.0,9.0,5.0,7.0,5.0,1.0,1.0,3.0,5.0,4.0,2.0,4.0,7.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173440088,Тэсон,howling-fjord,16.0,24771.0,33.0,49.0,56.0,48.0,48.0,50.0,37.0,38.0,45.0,48.0,46.0,33.0,70.0,55.0,40.0,61.0,46.0,46.0,24.0,47.0,33.0,13.0,11.0,34.0,31.0,19.0,29.0,23.0,17.0,9.0,21.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180748302,Мирамора,gordunni,34.0,938.0,0.0,0.0,,0.0,,,33.0,33.0,60.0,0.0,,1.0,1.0,,2.0,,,3.0,3.0,5.0,2.0,,0.0,0.0,,0.0,,,1.0,1.0,3.0,0.0,,,100.0,33.0,50.0,67.0,0.0,,,,1.0,3.0,2.0,3.0,1.0,,,,1.0,1.0,1.0,2.0,0.0,,,50.0,2.0,1.0,,,,,,,,,
193453749,Самоволие,gordunni,16.0,2523.0,50.0,,,0.0,,33.0,,100.0,,,100.0,4.0,,,1.0,,3.0,,2.0,,,1.0,2.0,,,0.0,,1.0,,2.0,,,1.0,100.0,,100.0,100.0,0.0,50.0,100.0,0.0,1.0,,3.0,1.0,1.0,2.0,10.0,2.0,1.0,,3.0,1.0,0.0,1.0,10.0,0.0,,,,,,,,,,,,
154542929,Zandril,ragnaros,40.0,5387.0,25.0,,,33.0,,70.0,25.0,55.0,60.0,67.0,,8.0,,,3.0,,10.0,8.0,11.0,10.0,6.0,,2.0,,,1.0,,7.0,2.0,6.0,6.0,4.0,,33.0,50.0,64.0,50.0,40.0,40.0,,,3.0,2.0,14.0,12.0,10.0,15.0,,,1.0,1.0,9.0,6.0,4.0,6.0,,,25.0,12.0,3.0,100.0,2.0,2.0,,,,,,
149110157,Palazini,stormreaver,3.0,16441.0,36.0,65.0,55.0,59.0,62.0,33.0,56.0,74.0,59.0,32.0,100.0,25.0,46.0,62.0,66.0,32.0,30.0,9.0,42.0,29.0,22.0,5.0,9.0,30.0,34.0,39.0,20.0,10.0,5.0,31.0,17.0,7.0,5.0,,,50.0,,100.0,50.0,,,,,2.0,,1.0,2.0,,,,,1.0,,1.0,1.0,,,100.0,1.0,1.0,,,,,,,,,
123574807,Infaze,nethersturm,16.0,214.0,,100.0,0.0,100.0,,,0.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,0.0,1.0,,,0.0,,,,,,,,0.0,0.0,,,,,,,1.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
