character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
158112757,Làzarùs,thrall,7.0,1253.0,100.0,25.0,0.0,60.0,100.0,25.0,,80.0,,75.0,100.0,33.0,,,1.0,4.0,1.0,5.0,2.0,4.0,,5.0,,4.0,3.0,3.0,,,1.0,1.0,0.0,3.0,2.0,1.0,,4.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181393909,Darkfellix,aggra-português,53.0,8642.0,71.0,39.0,78.0,38.0,35.0,35.0,83.0,42.0,,68.0,44.0,45.0,50.0,41.0,7.0,23.0,9.0,24.0,26.0,20.0,6.0,26.0,,19.0,43.0,33.0,4.0,32.0,5.0,9.0,7.0,9.0,9.0,7.0,5.0,11.0,,13.0,19.0,15.0,2.0,13.0,,,,0.0,0.0,,,,,2.0,1.0,,,,,0.0,0.0,,100.0,10.0,10.0,,,,,,
155141153,Aradax,antonidas,14.0,1428.0,100.0,100.0,33.0,0.0,100.0,,,100.0,20.0,0.0,0.0,,33.0,,4.0,2.0,3.0,1.0,2.0,,,1.0,5.0,1.0,2.0,,3.0,,4.0,2.0,1.0,0.0,2.0,,,1.0,1.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,
117244225,Ethakor,ysondre,7.0,5235.0,62.0,52.0,20.0,38.0,,62.0,,,,,,,,,13.0,29.0,10.0,8.0,,8.0,,,,,,,,,8.0,15.0,2.0,3.0,,5.0,,,,,,,,,48.0,53.0,83.0,,,,29.0,19.0,6.0,,,,14.0,10.0,5.0,,,,,,,,,,,,
120278986,Muuhhskete,norgannon,3.0,617.0,,100.0,0.0,0.0,100.0,100.0,,0.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,0.0,0.0,1.0,1.0,,0.0,,,,,,,50.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,
115797994,Helmhut,dun-morogh,33.0,1827.0,67.0,100.0,0.0,,,,,,100.0,,0.0,100.0,67.0,,3.0,1.0,3.0,,,,,,1.0,,1.0,1.0,3.0,,2.0,1.0,0.0,,,,,,1.0,,0.0,1.0,2.0,,,,,100.0,,22.0,,,,1.0,,9.0,,,,1.0,,2.0,100.0,1.0,1.0,,,,,,
161155112,Astreol,dun-morogh,1.0,249.0,,100.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,0.0,,,,,1.0,1.0,,,,,0.0,0.0,,,,,,,,,,,,,
107016596,Scoxx,twilights-hammer,14.0,30351.0,32.0,46.0,0.0,73.0,38.0,40.0,1500.0,57.0,100.0,67.0,20.0,75.0,40.0,36.0,98.0,72.0,8.0,15.0,8.0,10.0,2.0,14.0,10.0,6.0,5.0,4.0,5.0,11.0,31.0,33.0,0.0,11.0,3.0,4.0,30.0,8.0,10.0,4.0,1.0,3.0,2.0,4.0,66.0,56.0,42.0,0.0,100.0,,38.0,62.0,84.0,3.0,3.0,,25.0,35.0,35.0,0.0,3.0,,,,,,,,,,
195387984,Goldlight,hyjal,45.0,2119.0,,91.0,0.0,55.0,100.0,50.0,100.0,38.0,100.0,33.0,60.0,75.0,100.0,33.0,,11.0,1.0,11.0,5.0,2.0,1.0,8.0,1.0,3.0,5.0,4.0,1.0,6.0,,10.0,0.0,6.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77877412,Kenra,dun-morogh,39.0,8763.0,0.0,100.0,0.0,,0.0,0.0,,,,100.0,0.0,,,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,0.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,,,,60.0,67.0,,,,,5.0,3.0,,,,,3.0,2.0,,,,,,,,,,,,,
121408275,Nikkipala,kazzak,10.0,22895.0,67.0,60.0,62.0,50.0,36.0,53.0,,59.0,,,,100.0,,,112.0,95.0,71.0,26.0,50.0,43.0,,27.0,,,,1.0,,,75.0,57.0,44.0,13.0,18.0,23.0,,16.0,,,,1.0,,,51.0,57.0,44.0,40.0,,,81.0,74.0,82.0,5.0,,,41.0,42.0,36.0,2.0,,,,,,,,,,,
195420025,Bilyalovà,archimonde,20.0,1145.0,50.0,50.0,67.0,100.0,100.0,,,,60.0,100.0,100.0,0.0,67.0,67.0,2.0,2.0,3.0,2.0,1.0,,,,5.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,3.0,2.0,1.0,0.0,2.0,2.0,,,,,50.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,
116650501,Misiraa,antonidas,12.0,5433.0,100.0,25.0,,33.0,0.0,100.0,,100.0,25.0,,,100.0,33.0,67.0,3.0,4.0,,3.0,2.0,1.0,,1.0,4.0,,,1.0,3.0,3.0,3.0,1.0,,1.0,0.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,0.0,100.0,0.0,100.0,,0.0,1.0,2.0,2.0,1.0,,2.0,0.0,2.0,0.0,1.0,,0.0,,,,,,,,,
118699603,Cyruz,eonar,18.0,3192.0,25.0,50.0,67.0,78.0,0.0,83.0,,50.0,67.0,33.0,50.0,33.0,100.0,0.0,4.0,6.0,3.0,9.0,3.0,6.0,,2.0,3.0,3.0,4.0,6.0,3.0,1.0,1.0,3.0,2.0,7.0,0.0,5.0,,1.0,2.0,1.0,2.0,2.0,3.0,0.0,,,,75.0,,0.0,,,,4.0,,1.0,,,,3.0,,0.0,,,,,,,,,
77743395,Âlandra,dun-morogh,1.0,52.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194739259,Snutzler,aegwynn,5.0,2029.0,100.0,75.0,50.0,0.0,75.0,50.0,,50.0,,60.0,50.0,67.0,100.0,75.0,1.0,4.0,2.0,1.0,4.0,2.0,,6.0,,5.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,0.0,3.0,1.0,,3.0,,3.0,1.0,2.0,1.0,3.0,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,0.0,1.0,0.0,,,
173299223,Lociina,terokkar,12.0,7595.0,81.0,29.0,80.0,53.0,57.0,60.0,,67.0,,,,,,,86.0,14.0,41.0,15.0,23.0,10.0,,12.0,,,,,,,70.0,4.0,33.0,8.0,13.0,6.0,,8.0,,,,,,,61.0,33.0,33.0,67.0,,,23.0,24.0,6.0,9.0,,,14.0,8.0,2.0,6.0,,,,,,,,,,,
156159367,Chubacker,norgannon,25.0,27.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166507726,Zhakii,alleria,20.0,570.0,,100.0,100.0,,,,,0.0,50.0,100.0,,,50.0,,,2.0,1.0,,,,,1.0,2.0,1.0,,,2.0,,,2.0,1.0,,,,,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132378379,Ikumano,norgannon,71.0,18260.0,53.0,69.0,60.0,48.0,31.0,55.0,86.0,47.0,82.0,46.0,33.0,68.0,71.0,38.0,15.0,16.0,10.0,25.0,26.0,22.0,7.0,30.0,55.0,28.0,21.0,28.0,14.0,21.0,8.0,11.0,6.0,12.0,8.0,12.0,6.0,14.0,45.0,13.0,7.0,19.0,10.0,8.0,,,,0.0,50.0,56.0,,,,6.0,4.0,9.0,,,,0.0,2.0,5.0,100.0,66.0,66.0,60.0,10.0,6.0,,,
55915862,Kayneen,arygos,95.0,9602.0,55.0,35.0,59.0,48.0,44.0,32.0,,31.0,,100.0,100.0,17.0,,25.0,11.0,26.0,17.0,27.0,27.0,31.0,,32.0,,3.0,2.0,6.0,,4.0,6.0,9.0,10.0,13.0,12.0,10.0,,10.0,,3.0,2.0,1.0,,1.0,41.0,50.0,10.0,44.0,,,32.0,24.0,10.0,16.0,,,13.0,12.0,1.0,7.0,,,,,,,,,,,
160835993,Kiith,silvermoon,13.0,2445.0,62.0,25.0,83.0,100.0,0.0,67.0,,50.0,25.0,50.0,100.0,100.0,100.0,,8.0,4.0,6.0,2.0,2.0,3.0,,4.0,4.0,2.0,1.0,2.0,2.0,,5.0,1.0,5.0,2.0,0.0,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,,50.0,0.0,,,50.0,,2.0,1.0,,,2.0,,1.0,0.0,,,1.0,,,,,,,,,,
153838832,Dizzlybubele,antonidas,8.0,1450.0,50.0,,71.0,60.0,0.0,100.0,,0.0,0.0,50.0,75.0,,40.0,,2.0,,7.0,5.0,3.0,2.0,,4.0,2.0,2.0,4.0,,5.0,,1.0,,5.0,3.0,0.0,2.0,,0.0,0.0,1.0,3.0,,2.0,,,50.0,100.0,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,
146092653,Baat,malganis,2.0,3729.0,75.0,56.0,50.0,50.0,,0.0,,,0.0,,,,0.0,,4.0,9.0,14.0,2.0,,2.0,,,1.0,,,,1.0,,3.0,5.0,7.0,1.0,,0.0,,,0.0,,,,0.0,,75.0,43.0,58.0,,,,12.0,14.0,12.0,,,,9.0,6.0,7.0,,,,,,,,,,,,
127090994,Rezzurection,archimonde,14.0,2303.0,50.0,100.0,0.0,0.0,100.0,100.0,,40.0,,100.0,,,100.0,,2.0,1.0,2.0,2.0,1.0,1.0,,5.0,,1.0,,,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,,2.0,,1.0,,,1.0,,0.0,,100.0,0.0,,,1.0,,1.0,1.0,,,0.0,,1.0,0.0,,,,,,,,,,,
245739784,Tacobubble,sylvanas,31.0,6489.0,50.0,44.0,50.0,19.0,18.0,29.0,,64.0,100.0,56.0,18.0,58.0,,40.0,12.0,9.0,4.0,16.0,11.0,7.0,,22.0,2.0,9.0,11.0,12.0,,5.0,6.0,4.0,2.0,3.0,2.0,2.0,,14.0,2.0,5.0,2.0,7.0,,2.0,78.0,50.0,67.0,50.0,,0.0,9.0,10.0,3.0,2.0,,3.0,7.0,5.0,2.0,1.0,,0.0,,,,,,,,,
120605132,Boennliu,dun-morogh,27.0,2947.0,,67.0,0.0,67.0,71.0,50.0,,48.0,,75.0,,0.0,,50.0,,6.0,1.0,6.0,7.0,8.0,,21.0,,8.0,,2.0,,4.0,,4.0,0.0,4.0,5.0,4.0,,10.0,,6.0,,0.0,,2.0,18.0,67.0,,14.0,100.0,,11.0,3.0,,7.0,2.0,,2.0,2.0,,1.0,2.0,,100.0,5.0,5.0,,,,50.0,2.0,1.0
144047958,Ryutai,blackrock,26.0,5564.0,0.0,71.0,56.0,56.0,46.0,67.0,,57.0,,50.0,100.0,100.0,50.0,,5.0,7.0,9.0,9.0,13.0,9.0,,7.0,,2.0,2.0,1.0,2.0,,0.0,5.0,5.0,5.0,6.0,6.0,,4.0,,1.0,2.0,1.0,1.0,,14.0,43.0,33.0,45.0,,,7.0,7.0,6.0,11.0,,,1.0,3.0,2.0,5.0,,,100.0,1.0,1.0,,,,,,
147664448,Bügelschloss,blackmoore,11.0,2938.0,80.0,,50.0,50.0,40.0,20.0,,70.0,50.0,62.0,50.0,100.0,38.0,100.0,5.0,,2.0,2.0,5.0,5.0,,10.0,4.0,8.0,2.0,2.0,8.0,3.0,4.0,,1.0,1.0,2.0,1.0,,7.0,2.0,5.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
140390071,Líonia,blackmoore,14.0,8649.0,51.0,41.0,30.0,17.0,25.0,25.0,,100.0,,,,,,,41.0,22.0,20.0,6.0,4.0,8.0,,1.0,,,,,,,21.0,9.0,6.0,1.0,1.0,2.0,,1.0,,,,,,,21.0,30.0,21.0,100.0,,,28.0,30.0,14.0,1.0,,,6.0,9.0,3.0,1.0,,,,,,,,,,,
166818918,Zahnfleisch,blackmoore,13.0,32.0,,,,,,,,0.0,,,100.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152134467,Icarius,kirin-tor,7.0,20247.0,,42.0,10.0,46.0,39.0,30.0,,54.0,,,,,,,,57.0,10.0,82.0,89.0,66.0,,95.0,,,,,,,,24.0,1.0,38.0,35.0,20.0,,51.0,,,,,,,40.0,55.0,59.0,57.0,,,99.0,67.0,54.0,49.0,,,40.0,37.0,32.0,28.0,,,,,,,,,,,
81201385,Pyt,frostwolf,4.0,1166.0,0.0,50.0,43.0,0.0,33.0,50.0,,44.0,,,,,,,4.0,4.0,7.0,3.0,3.0,4.0,,9.0,,,,,,,0.0,2.0,3.0,0.0,1.0,2.0,,4.0,,,,,,,50.0,50.0,33.0,25.0,,,4.0,2.0,3.0,4.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
167267282,Worpax,spinebreaker,10.0,2735.0,40.0,83.0,50.0,50.0,0.0,100.0,0.0,,100.0,60.0,25.0,40.0,40.0,33.0,10.0,6.0,6.0,2.0,2.0,4.0,1.0,,6.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,0.0,4.0,0.0,,6.0,3.0,1.0,2.0,2.0,1.0,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,
147510448,Анфет,gordunni,11.0,12989.0,43.0,48.0,53.0,29.0,44.0,25.0,,50.0,100.0,57.0,67.0,0.0,50.0,,14.0,21.0,17.0,7.0,18.0,4.0,,6.0,1.0,7.0,3.0,1.0,6.0,,6.0,10.0,9.0,2.0,8.0,1.0,,3.0,1.0,4.0,2.0,0.0,3.0,,87.0,47.0,47.0,,67.0,,15.0,17.0,19.0,,3.0,,13.0,8.0,9.0,,2.0,,,,,,,,,,
154475164,Achsios,dun-morogh,1.0,39.0,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132054629,Kabu,nozdormu,24.0,5208.0,80.0,56.0,89.0,35.0,33.0,42.0,,60.0,20.0,67.0,25.0,0.0,100.0,0.0,10.0,16.0,9.0,26.0,24.0,24.0,,20.0,5.0,3.0,4.0,2.0,1.0,1.0,8.0,9.0,8.0,9.0,8.0,10.0,,12.0,1.0,2.0,1.0,0.0,1.0,0.0,30.0,60.0,17.0,67.0,,,10.0,10.0,6.0,15.0,,,3.0,6.0,1.0,10.0,,,100.0,62.0,62.0,,,,,,
131998620,Jamaine,the-maelstrom,14.0,10858.0,71.0,31.0,86.0,32.0,35.0,42.0,,59.0,0.0,80.0,67.0,100.0,43.0,,31.0,29.0,22.0,19.0,31.0,26.0,,22.0,2.0,5.0,3.0,2.0,7.0,,22.0,9.0,19.0,6.0,11.0,11.0,,13.0,0.0,4.0,2.0,2.0,3.0,,0.0,41.0,22.0,66.0,100.0,0.0,2.0,32.0,36.0,32.0,1.0,3.0,0.0,13.0,8.0,21.0,1.0,0.0,,,,,,,,,
132689909,Schnäcke,norgannon,27.0,12899.0,50.0,59.0,44.0,82.0,44.0,38.0,,31.0,77.0,38.0,58.0,59.0,56.0,41.0,28.0,27.0,25.0,22.0,27.0,21.0,,13.0,13.0,21.0,19.0,22.0,16.0,17.0,14.0,16.0,11.0,18.0,12.0,8.0,,4.0,10.0,8.0,11.0,13.0,9.0,7.0,,,,,,75.0,,,,,,4.0,,,,,,3.0,,,,25.0,4.0,1.0,,,
165453733,Aurélion,lothar,14.0,1788.0,50.0,67.0,60.0,0.0,0.0,0.0,,0.0,20.0,50.0,0.0,17.0,20.0,25.0,2.0,3.0,5.0,1.0,4.0,1.0,,1.0,5.0,4.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,1.0,1.0,1.0,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,
78267303,Testomat,dun-morogh,21.0,4770.0,57.0,44.0,60.0,44.0,10.0,54.0,,36.0,0.0,50.0,,,,,7.0,9.0,10.0,9.0,10.0,13.0,,11.0,1.0,2.0,,,,,4.0,4.0,6.0,4.0,1.0,7.0,,4.0,0.0,1.0,,,,,40.0,38.0,22.0,40.0,,,15.0,8.0,9.0,15.0,,,6.0,3.0,2.0,6.0,,,,,,,,,,,
116264718,Nerroc,aegwynn,74.0,2018.0,100.0,100.0,,57.0,50.0,0.0,,33.0,,100.0,,,,,1.0,1.0,,7.0,6.0,5.0,,6.0,,2.0,,,,,1.0,1.0,,4.0,3.0,0.0,,2.0,,2.0,,,,,50.0,50.0,,50.0,,,8.0,8.0,,2.0,,,4.0,4.0,,1.0,,,,,,,,,,,
89899065,Gavin,malorne,8.0,16494.0,77.0,75.0,56.0,71.0,50.0,89.0,,100.0,100.0,100.0,,0.0,83.0,,47.0,16.0,18.0,7.0,2.0,9.0,,1.0,2.0,1.0,,2.0,6.0,,36.0,12.0,10.0,5.0,1.0,8.0,,1.0,2.0,1.0,,0.0,5.0,,57.0,77.0,33.0,,,78.0,7.0,26.0,12.0,,,9.0,4.0,20.0,4.0,,,7.0,100.0,5.0,5.0,,,,,,
166794899,Ihrie,thrall,51.0,540.0,,,0.0,,100.0,,,,,,,,,100.0,,,1.0,,1.0,,,,,,,,,1.0,,,0.0,,1.0,,,,,,,,,1.0,,,,,0.0,50.0,,,,,1.0,2.0,,,,,0.0,1.0,100.0,4.0,4.0,,,,,,
172407675,Щапчихну,howling-fjord,9.0,2796.0,50.0,,67.0,33.0,67.0,58.0,50.0,54.0,29.0,58.0,0.0,33.0,0.0,50.0,2.0,,3.0,6.0,6.0,12.0,4.0,13.0,7.0,12.0,3.0,6.0,1.0,10.0,1.0,,2.0,2.0,4.0,7.0,2.0,7.0,2.0,7.0,0.0,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163826053,Stîfflersdad,dun-morogh,10.0,751.0,0.0,75.0,100.0,50.0,40.0,40.0,0.0,20.0,,0.0,,,,0.0,1.0,4.0,2.0,2.0,5.0,5.0,1.0,5.0,,1.0,,,,1.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,,0.0,,,,0.0,20.0,0.0,100.0,33.0,,,5.0,1.0,2.0,3.0,,,1.0,0.0,2.0,1.0,,,,,,,,,,,
78010337,Ponti,dun-morogh,33.0,987.0,0.0,0.0,0.0,,,,,,,,100.0,,0.0,0.0,2.0,1.0,1.0,,,,,,,,1.0,,2.0,1.0,0.0,0.0,0.0,,,,,,,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137125436,Nanra,norgannon,2.0,67.0,,,,,,,,,,100.0,,,0.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115443203,Exxc,blackhand,5.0,483.0,100.0,,,,50.0,0.0,,,,,0.0,,,,1.0,,,,4.0,1.0,,,,,1.0,,,,1.0,,,,2.0,0.0,,,,,0.0,,,,0.0,50.0,,0.0,,,2.0,2.0,,1.0,,,0.0,1.0,,0.0,,,,,,,,,,,
162637936,Liborius,dun-morogh,11.0,4529.0,62.0,50.0,83.0,57.0,33.0,75.0,,62.0,100.0,0.0,64.0,43.0,25.0,100.0,8.0,6.0,6.0,7.0,6.0,4.0,,8.0,1.0,3.0,14.0,7.0,8.0,1.0,5.0,3.0,5.0,4.0,2.0,3.0,,5.0,1.0,0.0,9.0,3.0,2.0,1.0,,,,100.0,,,,,,1.0,,,,,,1.0,,,100.0,1.0,1.0,,,,,,
