character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Seething Shore win_rate,Arathi Basin win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Ashran played,Seething Shore played,Arathi Basin played,Korrak's Revenge played,Rated Eye of the Storm won,Ashran won,Seething Shore won,Arathi Basin won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
102792376,Lisux,outland,39.0,2695.0,57.0,33.0,17.0,12.0,25.0,78.0,60.0,100.0,67.0,50.0,0.0,,50.0,,,7.0,3.0,6.0,8.0,4.0,9.0,5.0,2.0,9.0,8.0,3.0,,2.0,,,4.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,6.0,4.0,0.0,,1.0,,,,25.0,50.0,,,,4.0,2.0,,,,1.0,1.0,,,,,,,,,,,
186610076,Guildjoker,silvermoon,9.0,1732.0,100.0,100.0,80.0,0.0,,,67.0,50.0,50.0,50.0,,,100.0,,,1.0,2.0,5.0,1.0,,,3.0,2.0,2.0,4.0,,,2.0,,,1.0,2.0,4.0,0.0,,,2.0,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
125664210,Estraa,argent-dawn,5.0,801.0,,67.0,100.0,100.0,,50.0,100.0,,40.0,,,,,,,,3.0,1.0,1.0,,2.0,2.0,,5.0,,,,,,,,2.0,1.0,1.0,,1.0,2.0,,2.0,,,,,,,,,67.0,0.0,,,,3.0,1.0,,,,2.0,0.0,,33.0,3.0,1.0,,,,,,
116830495,Collydin,magtheridon,13.0,2213.0,100.0,,,50.0,,0.0,33.0,38.0,44.0,69.0,,62.0,50.0,,62.0,2.0,,,2.0,,1.0,6.0,8.0,9.0,13.0,,8.0,2.0,,8.0,2.0,,,1.0,,0.0,2.0,3.0,4.0,9.0,,5.0,1.0,,5.0,0.0,50.0,42.0,67.0,,2.0,2.0,12.0,6.0,,0.0,1.0,5.0,4.0,,100.0,1.0,1.0,,,,,,
200979987,Kuldora,auchindoun,1.0,61.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109409196,Ksanamenos,silvermoon,26.0,540.0,67.0,,,,0.0,,,50.0,,100.0,,,,,,15.0,,,,1.0,,,2.0,,1.0,,,,,,10.0,,,,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191057530,Arjean,frostmane,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,
226284551,Uormazd,sylvanas,24.0,8314.0,50.0,,,50.0,,100.0,33.0,67.0,40.0,50.0,,60.0,71.0,100.0,33.0,6.0,,,16.0,,4.0,6.0,3.0,5.0,6.0,,10.0,7.0,27.0,6.0,3.0,,,8.0,,4.0,2.0,2.0,2.0,3.0,,6.0,5.0,27.0,2.0,,33.0,67.0,70.0,29.0,,3.0,3.0,10.0,7.0,,1.0,2.0,7.0,2.0,60.0,5.0,3.0,,,,,,
170022543,Paladinita,kul-tiras,2.0,18442.0,54.0,47.0,44.0,39.0,40.0,52.0,47.0,30.0,68.0,55.0,50.0,,,,,57.0,59.0,48.0,66.0,68.0,40.0,60.0,10.0,19.0,11.0,2.0,,,,,31.0,28.0,21.0,26.0,27.0,21.0,28.0,3.0,13.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161306078,Xourin,deathwing,71.0,33049.0,43.0,44.0,20.0,42.0,83.0,51.0,32.0,42.0,43.0,46.0,55.0,23.0,41.0,100.0,40.0,148.0,36.0,20.0,50.0,6.0,129.0,25.0,50.0,37.0,57.0,31.0,13.0,27.0,4.0,10.0,64.0,16.0,4.0,21.0,5.0,66.0,8.0,21.0,16.0,26.0,17.0,3.0,11.0,4.0,4.0,,30.0,33.0,50.0,25.0,,20.0,24.0,8.0,8.0,,6.0,8.0,4.0,2.0,43.0,7.0,3.0,33.0,3.0,1.0,50.0,2.0,1.0
91284478,Erimel,colinas-pardas,1.0,2091.0,40.0,50.0,60.0,71.0,62.0,38.0,17.0,,50.0,,,,,,,5.0,14.0,10.0,7.0,8.0,8.0,6.0,,8.0,,,,,,,2.0,7.0,6.0,5.0,5.0,3.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166641588,Caírns,azuremyst,10.0,15757.0,45.0,49.0,40.0,44.0,40.0,60.0,42.0,60.0,40.0,80.0,100.0,100.0,,,,31.0,69.0,45.0,45.0,52.0,35.0,38.0,5.0,20.0,5.0,2.0,2.0,,,,14.0,34.0,18.0,20.0,21.0,21.0,16.0,3.0,8.0,4.0,2.0,2.0,,,,,,50.0,100.0,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,
163088376,Tauriul,doomhammer,2.0,548.0,100.0,,,0.0,,,100.0,0.0,100.0,0.0,,0.0,0.0,,100.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,0.0,,,1.0,0.0,1.0,0.0,,0.0,0.0,,1.0,,100.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,
163001243,Gifbob,aerie-peak,6.0,10245.0,46.0,42.0,40.0,18.0,29.0,75.0,32.0,25.0,12.0,12.0,36.0,33.0,0.0,,67.0,72.0,45.0,43.0,17.0,24.0,20.0,25.0,28.0,17.0,8.0,22.0,3.0,2.0,,3.0,33.0,19.0,17.0,3.0,7.0,15.0,8.0,7.0,2.0,1.0,8.0,1.0,0.0,,2.0,,,0.0,67.0,,,,4.0,3.0,,,,0.0,2.0,,,,,,,,,,
154562841,Enchantrei,hellscream,6.0,909.0,100.0,,,0.0,,100.0,0.0,,33.0,33.0,,25.0,,,25.0,2.0,,,2.0,,2.0,1.0,,3.0,3.0,,4.0,,,4.0,2.0,,,0.0,,2.0,0.0,,1.0,1.0,,1.0,,,1.0,,67.0,50.0,100.0,,,3.0,2.0,2.0,,,2.0,1.0,2.0,,,,,,,,,,
195803253,Boblashdk,silvermoon,36.0,1683.0,100.0,,,0.0,,25.0,38.0,25.0,40.0,57.0,,60.0,100.0,,22.0,2.0,,,1.0,,4.0,8.0,4.0,5.0,7.0,,5.0,1.0,,9.0,2.0,,,0.0,,1.0,3.0,1.0,2.0,4.0,,3.0,1.0,,2.0,57.0,20.0,78.0,50.0,0.0,7.0,5.0,9.0,4.0,2.0,4.0,1.0,7.0,2.0,0.0,,,,,,,,,
197300422,Overstrong,frostmane,4.0,562.0,0.0,,,33.0,,0.0,,100.0,0.0,,,,0.0,,100.0,1.0,,,3.0,,1.0,,1.0,1.0,,,,1.0,,1.0,0.0,,,1.0,,0.0,,1.0,0.0,,,,0.0,,1.0,,0.0,,0.0,,,3.0,,1.0,,,0.0,,0.0,,25.0,4.0,1.0,,,,,,
131143031,Júðgér,emerald-dream,1.0,283.0,,75.0,100.0,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174765777,Akitakka,chogall,34.0,1342.0,67.0,,,,,100.0,50.0,100.0,,,,,25.0,,,6.0,,,,,1.0,4.0,1.0,,,,,4.0,,,4.0,,,,,1.0,2.0,1.0,,,,,1.0,,,,38.0,0.0,0.0,100.0,,8.0,2.0,1.0,1.0,,3.0,0.0,0.0,1.0,,,,,,,,,
160278911,Koog,doomhammer,11.0,2165.0,100.0,,,50.0,,0.0,75.0,60.0,67.0,50.0,,62.0,,,100.0,1.0,,,8.0,,1.0,8.0,5.0,3.0,2.0,,8.0,,,2.0,1.0,,,4.0,,0.0,6.0,3.0,2.0,1.0,,5.0,,,2.0,,50.0,50.0,75.0,,,2.0,6.0,4.0,,,1.0,3.0,3.0,,,,,,,,,,
80390799,Mkoll,dragonmaw,4.0,9245.0,71.0,50.0,75.0,50.0,0.0,90.0,100.0,67.0,67.0,100.0,50.0,,,,,62.0,6.0,4.0,4.0,3.0,10.0,3.0,3.0,3.0,2.0,2.0,,,,,44.0,3.0,3.0,2.0,0.0,9.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167602447,Yellowcat,stormrage,19.0,12595.0,50.0,56.0,40.0,55.0,50.0,59.0,62.0,48.0,64.0,62.0,67.0,0.0,50.0,,,42.0,43.0,35.0,29.0,30.0,32.0,16.0,21.0,22.0,26.0,6.0,1.0,2.0,,,21.0,24.0,14.0,16.0,15.0,19.0,10.0,10.0,14.0,16.0,4.0,0.0,1.0,,,,50.0,67.0,0.0,100.0,,2.0,3.0,1.0,1.0,,1.0,2.0,0.0,1.0,,,,50.0,2.0,1.0,,,
162801635,Disert,turalyon,3.0,1044.0,33.0,,,100.0,,0.0,60.0,100.0,,0.0,,,100.0,,,3.0,,,1.0,,1.0,5.0,1.0,,2.0,,,2.0,,,1.0,,,1.0,,0.0,3.0,1.0,,0.0,,,2.0,,,,100.0,,0.0,,,1.0,,1.0,,,1.0,,0.0,,,,,,,,,,
209977712,Tésh,nagrand,13.0,3269.0,100.0,68.0,80.0,29.0,79.0,0.0,,,,,,,,,,3.0,37.0,5.0,7.0,14.0,1.0,,,,,,,,,,3.0,25.0,4.0,2.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214836177,Auera,sylvanas,61.0,10328.0,60.0,66.0,47.0,63.0,50.0,56.0,52.0,23.0,59.0,65.0,25.0,,20.0,,,42.0,32.0,19.0,27.0,20.0,25.0,25.0,13.0,17.0,17.0,4.0,,5.0,,,25.0,21.0,9.0,17.0,10.0,14.0,13.0,3.0,10.0,11.0,1.0,,1.0,,,,,,,80.0,,,,,5.0,,,,,4.0,,,,,,,,,
100330881,Toastbringer,ravencrest,46.0,4739.0,20.0,47.0,55.0,60.0,58.0,69.0,71.0,78.0,50.0,67.0,57.0,,0.0,,,5.0,17.0,11.0,5.0,19.0,13.0,7.0,9.0,10.0,6.0,7.0,,1.0,,,1.0,8.0,6.0,3.0,11.0,9.0,5.0,7.0,5.0,4.0,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
166002765,Gerlak,malfurion,17.0,904.0,100.0,,,,,,100.0,50.0,,50.0,,,,,0.0,4.0,,,,,,1.0,2.0,,4.0,,,,,1.0,4.0,,,,,,1.0,1.0,,2.0,,,,,0.0,,,33.0,0.0,,,,3.0,1.0,,,,1.0,0.0,,,,,,,,,,
96588270,Gumgum,arygos,27.0,2582.0,0.0,0.0,0.0,40.0,0.0,0.0,33.0,33.0,0.0,0.0,100.0,100.0,,,,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,
156092404,Malkóm,argent-dawn,53.0,2202.0,25.0,,,100.0,,25.0,0.0,33.0,83.0,0.0,,50.0,17.0,,50.0,8.0,,,2.0,,8.0,2.0,3.0,6.0,1.0,,2.0,6.0,,8.0,2.0,,,2.0,,2.0,0.0,1.0,5.0,0.0,,1.0,1.0,,4.0,100.0,14.0,38.0,50.0,,1.0,7.0,8.0,8.0,,1.0,1.0,3.0,4.0,,,,,,,,,,
155465560,Kekwpala,tirion,26.0,2680.0,100.0,,,50.0,,60.0,43.0,38.0,33.0,71.0,,75.0,0.0,,17.0,2.0,,,2.0,,5.0,7.0,8.0,6.0,7.0,,4.0,3.0,,6.0,2.0,,,1.0,,3.0,3.0,3.0,2.0,5.0,,3.0,0.0,,1.0,67.0,75.0,33.0,62.0,,3.0,4.0,3.0,8.0,,2.0,3.0,1.0,5.0,,,,,,,,,,
189513892,Darklink,frostmane,27.0,21493.0,48.0,50.0,48.0,42.0,57.0,64.0,40.0,42.0,40.0,60.0,0.0,80.0,83.0,,43.0,29.0,30.0,66.0,50.0,44.0,39.0,10.0,19.0,48.0,30.0,3.0,5.0,6.0,,7.0,14.0,15.0,32.0,21.0,25.0,25.0,4.0,8.0,19.0,18.0,0.0,4.0,5.0,,3.0,500.0,40.0,77.0,82.0,,4.0,10.0,13.0,11.0,,20.0,4.0,10.0,9.0,,25.0,4.0,1.0,,,,,,
122152146,Buruthor,tyrande,30.0,2868.0,58.0,64.0,38.0,50.0,38.0,82.0,50.0,33.0,67.0,22.0,22.0,,,,,12.0,14.0,8.0,6.0,8.0,11.0,6.0,12.0,9.0,9.0,9.0,,,,,7.0,9.0,3.0,3.0,3.0,9.0,3.0,4.0,6.0,2.0,2.0,,,,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,,,
168073276,Chottodir,burning-blade,20.0,5154.0,88.0,100.0,0.0,71.0,75.0,100.0,47.0,57.0,43.0,100.0,33.0,0.0,100.0,,67.0,8.0,3.0,4.0,7.0,4.0,3.0,15.0,7.0,7.0,15.0,6.0,2.0,1.0,,9.0,7.0,3.0,0.0,5.0,3.0,3.0,7.0,4.0,3.0,15.0,2.0,0.0,1.0,,6.0,0.0,25.0,50.0,100.0,,1.0,4.0,8.0,2.0,,0.0,1.0,4.0,2.0,,,,,,,,,,
187938586,Riverstar,silvermoon,6.0,2020.0,,,,60.0,,100.0,50.0,0.0,75.0,100.0,,67.0,67.0,,100.0,,,,5.0,,2.0,2.0,3.0,4.0,2.0,,3.0,3.0,,1.0,,,,3.0,,2.0,1.0,0.0,3.0,2.0,,2.0,2.0,,1.0,,67.0,50.0,60.0,,,3.0,2.0,5.0,,,2.0,1.0,3.0,,,,,,,,,,
149984806,Øul,dalaran,46.0,4797.0,67.0,43.0,60.0,55.0,,0.0,50.0,20.0,67.0,21.0,25.0,17.0,100.0,,,3.0,7.0,5.0,11.0,,2.0,10.0,15.0,12.0,14.0,4.0,6.0,1.0,,,2.0,3.0,3.0,6.0,,0.0,5.0,3.0,8.0,3.0,1.0,1.0,1.0,,,,,64.0,,,,,14.0,,,,,9.0,,,,,,,,,,,
130354810,Banmarr,auchindoun,16.0,5425.0,62.0,50.0,33.0,33.0,40.0,55.0,33.0,50.0,29.0,29.0,25.0,,50.0,,100.0,45.0,12.0,3.0,6.0,5.0,11.0,6.0,6.0,7.0,7.0,4.0,,4.0,,1.0,28.0,6.0,1.0,2.0,2.0,6.0,2.0,3.0,2.0,2.0,1.0,,2.0,,1.0,,100.0,75.0,50.0,50.0,,1.0,4.0,2.0,2.0,,1.0,3.0,1.0,1.0,,,,0.0,1.0,0.0,,,
125764292,Whatthefock,outland,6.0,1167.0,,50.0,,,,,20.0,75.0,0.0,0.0,50.0,,,,,,2.0,,,,,5.0,4.0,2.0,1.0,4.0,,,,,,1.0,,,,,1.0,3.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171268022,Mentlock,thunderhorn,34.0,7219.0,37.0,0.0,100.0,50.0,,74.0,64.0,50.0,62.0,71.0,65.0,65.0,38.0,100.0,,27.0,2.0,1.0,14.0,,23.0,14.0,14.0,16.0,14.0,20.0,20.0,13.0,5.0,,10.0,0.0,1.0,7.0,,17.0,9.0,7.0,10.0,10.0,13.0,13.0,5.0,5.0,,,,63.0,53.0,,,,19.0,17.0,,,,12.0,9.0,,33.0,3.0,1.0,,,,,,
87769201,Smö,suramar,10.0,5109.0,33.0,50.0,0.0,40.0,33.0,78.0,50.0,0.0,50.0,29.0,40.0,100.0,,,,3.0,4.0,4.0,5.0,3.0,9.0,2.0,2.0,4.0,7.0,5.0,2.0,,,,1.0,2.0,0.0,2.0,1.0,7.0,1.0,0.0,2.0,2.0,2.0,2.0,,,,,,100.0,67.0,,,,1.0,3.0,,,,1.0,2.0,,,,,,,,,,
159949443,Asbell,argent-dawn,39.0,23836.0,81.0,51.0,47.0,48.0,48.0,62.0,44.0,55.0,45.0,40.0,45.0,100.0,54.0,,0.0,134.0,96.0,64.0,50.0,54.0,69.0,54.0,22.0,65.0,35.0,11.0,3.0,13.0,,1.0,108.0,49.0,30.0,24.0,26.0,43.0,24.0,12.0,29.0,14.0,5.0,3.0,7.0,,0.0,,100.0,0.0,80.0,,,3.0,1.0,5.0,,,3.0,0.0,4.0,,,,,,,,,,
64574861,Frozenhammer,area-52,11.0,6115.0,62.0,39.0,44.0,42.0,38.0,91.0,57.0,25.0,60.0,33.0,0.0,,,,,24.0,31.0,34.0,26.0,21.0,11.0,14.0,8.0,15.0,3.0,2.0,,,,,15.0,12.0,15.0,11.0,8.0,10.0,8.0,2.0,9.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132263605,Sympthom,outland,23.0,4479.0,36.0,0.0,40.0,17.0,0.0,67.0,67.0,50.0,25.0,50.0,50.0,47.0,57.0,,,11.0,1.0,5.0,6.0,4.0,9.0,6.0,6.0,4.0,10.0,10.0,15.0,7.0,,,4.0,0.0,2.0,1.0,0.0,6.0,4.0,3.0,1.0,5.0,5.0,7.0,4.0,,,0.0,,75.0,50.0,,1.0,,4.0,6.0,,0.0,,3.0,3.0,,,,,,,,,,
119397051,Siubhan,dun-morogh,32.0,133.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52741199,Draenier,azuremyst,33.0,9263.0,63.0,32.0,50.0,29.0,50.0,70.0,21.0,39.0,30.0,25.0,46.0,100.0,0.0,,,43.0,22.0,20.0,24.0,36.0,47.0,14.0,18.0,27.0,8.0,24.0,1.0,1.0,,,27.0,7.0,10.0,7.0,18.0,33.0,3.0,7.0,8.0,2.0,11.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111091009,Yukimura,ravencrest,2.0,3992.0,60.0,36.0,40.0,29.0,67.0,0.0,0.0,,0.0,0.0,,,,,,10.0,14.0,5.0,7.0,3.0,1.0,1.0,,1.0,1.0,,,,,,6.0,5.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,
143582177,Isthisapex,blackmoore,21.0,198.0,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,
240578837,Сетрэн,greymane,37.0,21433.0,50.0,46.0,43.0,63.0,49.0,61.0,38.0,33.0,47.0,55.0,44.0,25.0,,,0.0,14.0,94.0,67.0,51.0,39.0,18.0,52.0,43.0,75.0,47.0,34.0,4.0,,,1.0,7.0,43.0,29.0,32.0,19.0,11.0,20.0,14.0,35.0,26.0,15.0,1.0,,,0.0,1100.0,,56.0,67.0,100.0,1.0,,18.0,3.0,1.0,11.0,,10.0,2.0,1.0,,,,,,,,,
176488007,Kranos,auchindoun,16.0,8711.0,50.0,52.0,40.0,54.0,38.0,76.0,25.0,33.0,61.0,40.0,0.0,,40.0,,100.0,62.0,27.0,20.0,28.0,34.0,25.0,12.0,6.0,18.0,5.0,3.0,,5.0,,2.0,31.0,14.0,8.0,15.0,13.0,19.0,3.0,2.0,11.0,2.0,0.0,,2.0,,2.0,,100.0,,75.0,,,1.0,,4.0,,,1.0,,3.0,,,,,,,,,,
169680156,Батипомошник,galakrond,107.0,224.0,100.0,,,,,,,,,50.0,,,,,,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,50.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,
195952038,Yunälescä,pozzo-delleternità,8.0,326.0,100.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,0.0,,,,,,,,0.0,100.0,33.0,,,1.0,1.0,3.0,,,0.0,1.0,1.0,,,,,,,,,,,
