character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Twin Peaks played,Silvershard Mines played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Twin Peaks won,Silvershard Mines won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Deepwind Gorge won,Alterac Valley win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,The Battle for Gilneas win_rate,Ashran win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,The Battle for Gilneas played,Ashran played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,The Battle for Gilneas won,Ashran won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
88157160,Hki,kazzak,7.0,6557.0,39.0,65.0,53.0,67.0,,43.0,80.0,,,33.0,17.0,19.0,15.0,,23.0,5.0,,,13.0,11.0,10.0,10.0,,10.0,4.0,,,36.0,42.0,30.0,10.0,29.0,,,,,28.0,19.0,20.0,29.0,17.0,,,,,10.0,8.0,6.0,3.0,5.0,,,,,,,,,,,,,,,,,,,
189513892,Darklink,frostmane,27.0,21493.0,50.0,48.0,40.0,42.0,500.0,60.0,0.0,77.0,43.0,30.0,66.0,10.0,19.0,4.0,30.0,3.0,13.0,7.0,15.0,32.0,4.0,8.0,20.0,18.0,0.0,10.0,3.0,48.0,42.0,57.0,64.0,40.0,40.0,80.0,82.0,83.0,29.0,50.0,44.0,39.0,48.0,10.0,5.0,11.0,6.0,14.0,21.0,25.0,25.0,19.0,4.0,4.0,9.0,5.0,,,,25.0,4.0,1.0,,,,,,,,,
245117475,Втсбабл,gordunni,53.0,13191.0,33.0,31.0,38.0,41.0,,62.0,60.0,117.0,71.0,15.0,13.0,21.0,17.0,,21.0,15.0,6.0,7.0,5.0,4.0,8.0,7.0,,13.0,9.0,7.0,5.0,61.0,71.0,100.0,37.0,64.0,100.0,100.0,80.0,56.0,18.0,14.0,1.0,27.0,25.0,2.0,6.0,5.0,9.0,11.0,10.0,1.0,10.0,16.0,2.0,6.0,4.0,5.0,50.0,2.0,1.0,50.0,4.0,2.0,100.0,8.0,8.0,,,,,,
166510399,Shany,thrall,62.0,355.0,,,100.0,50.0,,,,,,,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,50.0,0.0,,100.0,0.0,0.0,0.0,,,2.0,1.0,,1.0,2.0,2.0,1.0,,,1.0,0.0,,1.0,0.0,0.0,0.0,,,,,,100.0,1.0,1.0,,,,,,,,,
175169023,Артипал,azuregos,21.0,1122.0,50.0,,62.0,100.0,,50.0,,,,2.0,,8.0,3.0,,2.0,,,,1.0,,5.0,3.0,,1.0,,,,,,0.0,,100.0,,,,,,,1.0,,2.0,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,
156434218,Bakhos,ysondre,6.0,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,50.0,100.0,100.0,,,,,,3.0,2.0,2.0,1.0,,,,,,2.0,1.0,2.0,1.0,,,,,,67.0,3.0,2.0,,,,,,,,,
159281279,Schockadin,burning-legion,60.0,2958.0,,,100.0,50.0,,17.0,50.0,0.0,0.0,,,4.0,10.0,,6.0,2.0,4.0,1.0,,,4.0,5.0,,1.0,1.0,0.0,0.0,50.0,29.0,,100.0,50.0,0.0,40.0,25.0,100.0,2.0,7.0,,1.0,6.0,1.0,5.0,4.0,1.0,1.0,2.0,,1.0,3.0,0.0,2.0,1.0,1.0,86.0,7.0,6.0,,,,,,,,,,,,
165793821,Oldmanslagn,argent-dawn,13.0,1751.0,80.0,0.0,57.0,100.0,,67.0,40.0,,50.0,5.0,1.0,7.0,2.0,,6.0,5.0,,2.0,4.0,0.0,4.0,2.0,,4.0,2.0,,1.0,0.0,50.0,0.0,75.0,20.0,,,100.0,,2.0,4.0,5.0,4.0,5.0,,,2.0,,0.0,2.0,0.0,3.0,1.0,,,2.0,,,,,,,,,,,,,,,,
111677500,Othenzio,aegwynn,13.0,37677.0,43.0,50.0,51.0,56.0,,50.0,59.0,,,125.0,117.0,59.0,59.0,,58.0,27.0,,,54.0,59.0,30.0,33.0,,29.0,16.0,,,52.0,52.0,42.0,65.0,56.0,,,,,107.0,114.0,109.0,51.0,82.0,,,,,56.0,59.0,46.0,33.0,46.0,,,,,,,,,,,,,,,,,,,
175276044,Erahel,dalaran,10.0,2999.0,33.0,67.0,50.0,75.0,,50.0,67.0,,,6.0,6.0,10.0,4.0,,2.0,3.0,,,2.0,4.0,5.0,3.0,,1.0,2.0,,,50.0,29.0,33.0,73.0,33.0,,100.0,100.0,,4.0,7.0,3.0,11.0,6.0,,1.0,1.0,,2.0,2.0,1.0,8.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
138541466,Sacramentum,defias-brotherhood,13.0,1286.0,72.0,0.0,50.0,50.0,,0.0,67.0,,,18.0,3.0,2.0,2.0,,2.0,3.0,,,13.0,0.0,1.0,1.0,,0.0,2.0,,,67.0,67.0,0.0,75.0,,,,,,3.0,3.0,3.0,4.0,,,,,,2.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,
117319660,Zýlh,ysondre,113.0,2498.0,0.0,50.0,33.0,0.0,,0.0,33.0,,,1.0,2.0,6.0,3.0,,2.0,6.0,,,0.0,1.0,2.0,0.0,,0.0,2.0,,,67.0,0.0,,,40.0,,,,,3.0,2.0,,,5.0,,,,,2.0,0.0,,,2.0,,,,,25.0,4.0,1.0,,,,100.0,3.0,3.0,,,,,,
192823712,Rammelsurium,aegwynn,5.0,683.0,,,50.0,,100.0,,,100.0,0.0,,,2.0,,1.0,,,2.0,1.0,,,1.0,,1.0,,,2.0,0.0,75.0,,,33.0,50.0,0.0,,0.0,50.0,4.0,,,3.0,4.0,1.0,,1.0,2.0,3.0,,,1.0,2.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,
133303515,Элькар,howling-fjord,44.0,10244.0,57.0,52.0,33.0,53.0,,73.0,67.0,133.0,,30.0,21.0,15.0,15.0,,15.0,12.0,3.0,,17.0,11.0,5.0,8.0,,11.0,8.0,4.0,,55.0,55.0,62.0,0.0,27.0,,0.0,0.0,0.0,11.0,22.0,8.0,3.0,15.0,,1.0,2.0,1.0,6.0,12.0,5.0,0.0,4.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,
193054276,Shyliin,silvermoon,4.0,1029.0,,,0.0,100.0,,100.0,,,33.0,,,1.0,1.0,,1.0,,,3.0,,,0.0,1.0,,1.0,,,1.0,,,,,0.0,0.0,,100.0,33.0,,,,,1.0,2.0,,1.0,3.0,,,,,0.0,0.0,,1.0,1.0,,,,,,,,,,,,,,,
150778403,Yasumâ,amanthul,28.0,396.0,,,,0.0,,100.0,,100.0,0.0,,,,1.0,,2.0,,1.0,2.0,,,,0.0,,2.0,,1.0,0.0,100.0,,,100.0,,50.0,,,,1.0,,,1.0,,2.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
176011005,Пошлыйпал,soulflayer,9.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,,,,,,1.0,,1.0,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,
172005302,Равэнор,howling-fjord,4.0,294.0,,,,,,50.0,,0.0,,,,,,,4.0,,1.0,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186484369,Силугор,soulflayer,34.0,7999.0,0.0,75.0,69.0,62.0,,70.0,67.0,88.0,33.0,1.0,4.0,13.0,21.0,,20.0,15.0,8.0,3.0,0.0,3.0,9.0,13.0,,14.0,10.0,7.0,1.0,71.0,56.0,,33.0,75.0,50.0,70.0,38.0,100.0,7.0,27.0,,6.0,20.0,4.0,10.0,8.0,5.0,5.0,15.0,,2.0,15.0,2.0,7.0,3.0,5.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,4.0,4.0,,,,,,
94628678,Berethör,uldaman,39.0,17241.0,42.0,52.0,52.0,35.0,,61.0,50.0,60.0,100.0,26.0,33.0,23.0,20.0,,18.0,10.0,5.0,1.0,11.0,17.0,12.0,7.0,,11.0,5.0,3.0,1.0,60.0,45.0,89.0,50.0,63.0,0.0,33.0,50.0,67.0,10.0,11.0,9.0,14.0,19.0,6.0,3.0,2.0,3.0,6.0,5.0,8.0,7.0,12.0,0.0,1.0,1.0,2.0,,,,,,,100.0,2.0,2.0,,,,,,
120950605,Aserinus,doomhammer,67.0,1495.0,0.0,,50.0,50.0,,50.0,,50.0,33.0,1.0,,4.0,2.0,,2.0,,2.0,3.0,0.0,,2.0,1.0,,1.0,,1.0,1.0,33.0,25.0,,50.0,0.0,50.0,0.0,100.0,33.0,6.0,8.0,,6.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,,3.0,0.0,2.0,0.0,1.0,1.0,,,,0.0,1.0,0.0,,,,,,,,,
121761200,Matourterèle,uldaman,30.0,6213.0,33.0,75.0,50.0,33.0,,38.0,50.0,60.0,,6.0,4.0,16.0,15.0,,13.0,8.0,5.0,,2.0,3.0,8.0,5.0,,5.0,4.0,3.0,,45.0,14.0,,47.0,44.0,,44.0,36.0,100.0,11.0,7.0,,15.0,16.0,,9.0,11.0,5.0,5.0,1.0,,7.0,7.0,,4.0,4.0,5.0,,,,100.0,1.0,1.0,,,,,,,,,
50971691,Vidi,uldaman,30.0,8819.0,41.0,57.0,31.0,44.0,,53.0,50.0,,,17.0,28.0,13.0,16.0,,15.0,4.0,,,7.0,16.0,4.0,7.0,,8.0,2.0,,,39.0,64.0,54.0,40.0,67.0,,,,,23.0,14.0,13.0,15.0,15.0,,,,,9.0,9.0,7.0,6.0,10.0,,,,,,,,,,,,,,,,,,,
101621130,Cribby,stormscale,19.0,20280.0,67.0,79.0,60.0,44.0,,43.0,62.0,,,24.0,42.0,25.0,18.0,,14.0,8.0,,,16.0,33.0,15.0,8.0,,6.0,5.0,,,58.0,50.0,50.0,50.0,47.0,,,,,31.0,26.0,28.0,12.0,17.0,,,,,18.0,13.0,14.0,6.0,8.0,,,,,,,,,,,,,,,,,,,
231402231,Tagaros,dragonblight,5.0,12215.0,50.0,100.0,,0.0,,,,33.0,,10.0,2.0,,1.0,,,,3.0,,5.0,2.0,,0.0,,,,1.0,,50.0,,0.0,0.0,100.0,,,100.0,0.0,8.0,,5.0,1.0,2.0,,,1.0,1.0,4.0,,0.0,0.0,2.0,,,1.0,0.0,,,,,,,,,,,,,,,
134721680,Snajperable,burning-legion,23.0,2927.0,33.0,0.0,0.0,,,0.0,,50.0,,6.0,1.0,1.0,,,2.0,,2.0,,2.0,0.0,0.0,,,0.0,,1.0,,,,0.0,,0.0,100.0,,,100.0,,,1.0,,2.0,1.0,,,1.0,,,0.0,,0.0,1.0,,,1.0,86.0,7.0,6.0,,,,,,,,,,,,
163786683,Mïmorï,hyjal,26.0,3908.0,12.0,33.0,73.0,50.0,,42.0,33.0,38.0,67.0,8.0,6.0,11.0,12.0,,12.0,6.0,8.0,3.0,1.0,2.0,8.0,6.0,,5.0,2.0,3.0,2.0,38.0,67.0,,67.0,44.0,0.0,67.0,100.0,50.0,8.0,3.0,,6.0,9.0,3.0,3.0,1.0,4.0,3.0,2.0,,4.0,4.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
