character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Eye of the Storm win_rate,Arathi Basin Comp Stomp win_rate,Eye of the Storm played,Arathi Basin Comp Stomp played,Eye of the Storm won,Arathi Basin Comp Stomp won,The Battle for Gilneas win_rate,The Battle for Gilneas played,The Battle for Gilneas won,Strand of the Ancients win_rate,Battle for Wintergrasp win_rate,Strand of the Ancients played,Battle for Wintergrasp played,Strand of the Ancients won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Ashran win_rate,Ashran played,Ashran won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
97967676,Eromine,draenor,31.0,2870.0,44.0,0.0,0.0,40.0,67.0,75.0,67.0,100.0,,100.0,67.0,0.0,9.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,,2.0,3.0,1.0,4.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,,2.0,2.0,0.0,50.0,100.0,4.0,1.0,2.0,1.0,100.0,2.0,2.0,,40.0,,5.0,,2.0,100.0,,1.0,,1.0,,,,,,,,,,
164232595,Ineedyoudead,twisting-nether,80.0,7977.0,56.0,56.0,33.0,12.0,50.0,37.0,12.0,100.0,46.0,44.0,60.0,78.0,9.0,9.0,3.0,8.0,24.0,19.0,17.0,2.0,24.0,18.0,20.0,9.0,5.0,5.0,1.0,1.0,12.0,7.0,2.0,2.0,11.0,8.0,12.0,7.0,57.0,100.0,7.0,1.0,4.0,1.0,55.0,22.0,12.0,,57.0,,7.0,,4.0,,,,,,,42.0,12.0,5.0,50.0,2.0,1.0,,,
109090209,Sïgmûnd,stormscale,22.0,1132.0,100.0,,100.0,100.0,80.0,50.0,75.0,50.0,100.0,100.0,50.0,0.0,1.0,,1.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,75.0,,4.0,,3.0,,100.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
104414483,Kixzo,ragnaros,61.0,11094.0,42.0,44.0,51.0,9.0,56.0,47.0,42.0,46.0,600.0,100.0,,,36.0,45.0,43.0,11.0,39.0,38.0,33.0,26.0,1.0,2.0,,,15.0,20.0,22.0,1.0,22.0,18.0,14.0,12.0,6.0,2.0,,,37.0,,19.0,,7.0,,50.0,30.0,15.0,31.0,,16.0,,5.0,,,,,,,,,,,,,,,,
167884326,Kongozuna,tarren-mill,95.0,25523.0,62.0,56.0,61.0,43.0,75.0,53.0,77.0,56.0,75.0,100.0,33.0,50.0,8.0,55.0,36.0,7.0,24.0,17.0,35.0,18.0,12.0,2.0,6.0,2.0,5.0,31.0,22.0,3.0,18.0,9.0,27.0,10.0,9.0,2.0,2.0,1.0,64.0,100.0,70.0,37.0,45.0,37.0,48.0,25.0,12.0,71.0,50.0,7.0,2.0,5.0,1.0,,100.0,,1.0,,1.0,,,,,,,,,
83741128,Talaessa,pozzo-delleternità,8.0,9343.0,65.0,45.0,22.0,20.0,,0.0,,,,100.0,,,17.0,11.0,9.0,10.0,,1.0,,,,1.0,,,11.0,5.0,2.0,2.0,,0.0,,,,1.0,,,38.0,100.0,13.0,11.0,5.0,11.0,,,,70.0,100.0,10.0,1.0,7.0,1.0,,,,,,,,,,,,,,,
68332358,Insidiøus,kazzak,29.0,17412.0,53.0,66.0,71.0,51.0,71.0,43.0,50.0,75.0,,100.0,50.0,,34.0,73.0,85.0,35.0,83.0,7.0,4.0,4.0,,1.0,2.0,,18.0,48.0,60.0,18.0,59.0,3.0,2.0,3.0,,1.0,1.0,,68.0,,91.0,,62.0,,69.0,64.0,44.0,67.0,,58.0,,39.0,,,,,,,,,,,,,,,,
172378614,Ðarkz,twisting-nether,197.0,770.0,67.0,,,0.0,0.0,,,,,,,100.0,3.0,,,4.0,1.0,,,,,,,1.0,2.0,,,0.0,0.0,,,,,,,1.0,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,,,,,60.0,5.0,3.0,,,
134547837,Bully,uldum,82.0,7572.0,,72.0,65.0,,73.0,76.0,57.0,59.0,,,100.0,100.0,,18.0,17.0,,15.0,17.0,21.0,22.0,,,1.0,1.0,,13.0,11.0,,11.0,13.0,12.0,13.0,,,1.0,1.0,68.0,,19.0,,13.0,,71.0,17.0,12.0,67.0,,18.0,,12.0,,,,,,,,,,,,,,,,
118441754,Gingerlicker,drakthul,24.0,7273.0,38.0,,100.0,100.0,76.0,58.0,88.0,100.0,55.0,100.0,92.0,70.0,8.0,,1.0,1.0,17.0,12.0,16.0,5.0,11.0,12.0,12.0,10.0,3.0,,1.0,1.0,13.0,7.0,14.0,5.0,6.0,12.0,11.0,7.0,73.0,,11.0,,8.0,,94.0,16.0,15.0,0.0,100.0,1.0,5.0,0.0,5.0,,100.0,,2.0,,2.0,,,,0.0,1.0,0.0,,,
154699600,Saladyr,blackhand,48.0,900.0,100.0,,,44.0,,,,,,0.0,,,4.0,,,9.0,,,,,,1.0,,,4.0,,,4.0,,,,,,0.0,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,,,,,50.0,4.0,2.0,,,
102761668,Celedith,blackhand,15.0,949.0,100.0,100.0,,,67.0,33.0,33.0,100.0,,,,,1.0,4.0,,,3.0,3.0,3.0,3.0,,,,,1.0,4.0,,,2.0,1.0,1.0,3.0,,,,,100.0,,1.0,,1.0,,100.0,2.0,2.0,100.0,,2.0,,2.0,,,,,,,,,,,,,,,,
139956677,Dritnz,silvermoon,68.0,2518.0,50.0,33.0,0.0,0.0,75.0,50.0,44.0,67.0,80.0,0.0,100.0,67.0,4.0,3.0,2.0,1.0,4.0,8.0,9.0,3.0,5.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,4.0,2.0,4.0,0.0,1.0,2.0,43.0,,7.0,,3.0,,57.0,7.0,4.0,50.0,100.0,2.0,1.0,1.0,1.0,0.0,,1.0,,0.0,,0.0,2.0,0.0,100.0,2.0,2.0,,,
166201753,Maxdin,tarren-mill,7.0,361.0,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,2.0,,,
164846369,Klexe,blackrock,12.0,4952.0,75.0,,,33.0,50.0,50.0,73.0,,60.0,44.0,50.0,31.0,8.0,,,3.0,8.0,6.0,11.0,,5.0,9.0,8.0,13.0,6.0,,,1.0,4.0,3.0,8.0,,3.0,4.0,4.0,4.0,60.0,,5.0,,3.0,,67.0,3.0,2.0,,50.0,,6.0,,3.0,,83.0,,6.0,,5.0,0.0,1.0,0.0,57.0,14.0,8.0,,,
158069165,Atrexnew,eredar,2.0,14816.0,61.0,67.0,70.0,60.0,100.0,0.0,50.0,50.0,,,,,41.0,73.0,61.0,25.0,6.0,1.0,4.0,2.0,,,,,25.0,49.0,43.0,15.0,6.0,0.0,2.0,1.0,,,,,62.0,,34.0,,21.0,,100.0,3.0,3.0,76.0,,21.0,,16.0,,,,,,,,,,,,,,,,
192017612,Pomfritzel,silvermoon,15.0,885.0,67.0,,,50.0,,100.0,,,100.0,100.0,0.0,67.0,3.0,,,2.0,,1.0,,,1.0,2.0,1.0,3.0,2.0,,,1.0,,1.0,,,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144489860,Kubeckson,drakthul,31.0,5354.0,67.0,80.0,,71.0,77.0,71.0,71.0,36.0,40.0,50.0,50.0,100.0,9.0,5.0,,7.0,13.0,14.0,7.0,11.0,10.0,4.0,6.0,1.0,6.0,4.0,,5.0,10.0,10.0,5.0,4.0,4.0,2.0,3.0,1.0,100.0,100.0,12.0,25.0,12.0,25.0,69.0,13.0,9.0,,50.0,,4.0,,2.0,,,,,,,,,,,,,,,
112776766,Noizdx,tarren-mill,133.0,6376.0,45.0,50.0,65.0,56.0,67.0,53.0,70.0,80.0,100.0,,50.0,100.0,33.0,14.0,17.0,9.0,9.0,15.0,10.0,5.0,1.0,,2.0,3.0,15.0,7.0,11.0,5.0,6.0,8.0,7.0,4.0,1.0,,1.0,3.0,50.0,,18.0,,9.0,,58.0,12.0,7.0,70.0,100.0,30.0,1.0,21.0,1.0,,,,,,,800.0,1.0,8.0,,,,,,
195442580,Выклучатель,soulflayer,15.0,4833.0,,,,100.0,100.0,100.0,100.0,,50.0,50.0,100.0,67.0,,,,1.0,2.0,3.0,1.0,,4.0,6.0,2.0,3.0,,,,1.0,2.0,3.0,1.0,,2.0,3.0,2.0,2.0,67.0,,9.0,,6.0,,100.0,1.0,1.0,,100.0,,5.0,,5.0,,100.0,,3.0,,3.0,,,,,,,,,
150052703,Festok,drakthul,23.0,2708.0,100.0,,,,25.0,56.0,44.0,100.0,12.0,56.0,50.0,50.0,2.0,,,,8.0,9.0,9.0,1.0,8.0,9.0,8.0,6.0,2.0,,,,2.0,5.0,4.0,1.0,1.0,5.0,4.0,3.0,55.0,,11.0,,6.0,,45.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,
158299906,Cptfabulous,ravencrest,5.0,308.0,,,,100.0,,,,,,,100.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,33.0,3.0,1.0,,,
113735410,Konnpala,drakthul,9.0,4346.0,53.0,43.0,100.0,17.0,40.0,100.0,25.0,60.0,,,,100.0,15.0,7.0,5.0,6.0,5.0,3.0,4.0,5.0,,,,1.0,8.0,3.0,5.0,1.0,2.0,3.0,1.0,3.0,,,,1.0,71.0,,7.0,,5.0,,67.0,3.0,2.0,33.0,100.0,3.0,1.0,1.0,1.0,,100.0,,2.0,,2.0,,,,,,,,,
128604042,Kintara,drakthul,2.0,303.0,0.0,,,,,,,100.0,0.0,,,,1.0,,,,,,,1.0,1.0,,,,0.0,,,,,,,1.0,0.0,,,,100.0,,1.0,,1.0,,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
129605274,Tyraf,tarren-mill,23.0,6214.0,35.0,76.0,64.0,24.0,46.0,80.0,65.0,75.0,300.0,0.0,,,20.0,17.0,25.0,17.0,13.0,15.0,20.0,12.0,2.0,1.0,,,7.0,13.0,16.0,4.0,6.0,12.0,13.0,9.0,6.0,0.0,,,61.0,100.0,18.0,39.0,11.0,39.0,74.0,19.0,14.0,50.0,,10.0,,5.0,,,,,,,,,,,,,,,,
106800348,Iliriel,archimonde,7.0,2700.0,57.0,67.0,40.0,50.0,0.0,100.0,33.0,,,,,,7.0,6.0,5.0,2.0,1.0,1.0,3.0,,,,,,4.0,4.0,2.0,1.0,0.0,1.0,1.0,,,,,,40.0,,5.0,,2.0,,50.0,2.0,1.0,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,
119384637,Zurîe,draenor,12.0,2582.0,50.0,67.0,50.0,0.0,60.0,80.0,50.0,,67.0,0.0,33.0,100.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,4.0,2.0,,2.0,0.0,1.0,1.0,100.0,,1.0,,1.0,,100.0,3.0,3.0,,0.0,,2.0,,0.0,,100.0,,1.0,,1.0,,,,0.0,1.0,0.0,,,
154584007,Aglón,eredar,74.0,678.0,0.0,,,100.0,0.0,,50.0,,,,,0.0,1.0,,,2.0,1.0,,2.0,,,,,2.0,0.0,,,2.0,0.0,,1.0,,,,,0.0,0.0,,2.0,,0.0,,67.0,3.0,2.0,,100.0,,1.0,,1.0,,,,,,,,,,0.0,1.0,0.0,,,
195092052,Plöry,archimonde,37.0,565.0,0.0,,,,,100.0,,,,,,0.0,1.0,,,,,1.0,,,,,,1.0,0.0,,,,,1.0,,,,,,0.0,,,,,,,,,,,100.0,,1.0,,1.0,,,,,,,,,,100.0,2.0,2.0,,,
141446147,Prcinka,twisting-nether,2.0,39.0,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140706614,Pâlitan,blackrock,13.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,1.0,,1.0,,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,
160597285,Póhma,draenor,18.0,533.0,,,,0.0,100.0,100.0,67.0,,,100.0,,,,,,1.0,1.0,2.0,3.0,,,1.0,,,,,,0.0,1.0,2.0,2.0,,,1.0,,,,,,,,,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
183917942,Zacefron,hyjal,32.0,136.0,,,,,0.0,,,,0.0,,100.0,,,,,,1.0,,,,1.0,,1.0,,,,,,0.0,,,,0.0,,1.0,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
84566364,Sariwa,blackhand,45.0,20242.0,30.0,60.0,54.0,18.0,65.0,52.0,50.0,56.0,100.0,0.0,50.0,0.0,37.0,45.0,37.0,22.0,26.0,31.0,12.0,16.0,2.0,2.0,2.0,1.0,11.0,27.0,20.0,4.0,17.0,16.0,6.0,9.0,2.0,0.0,1.0,0.0,48.0,100.0,40.0,22.0,19.0,22.0,42.0,26.0,11.0,62.0,43.0,32.0,7.0,20.0,3.0,,,,,,,,,,,,,,,
123519101,Lanceloth,draenor,13.0,1229.0,,,,,25.0,100.0,100.0,,50.0,100.0,100.0,33.0,,,,,4.0,2.0,2.0,,4.0,2.0,2.0,3.0,,,,,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,67.0,,6.0,,4.0,,75.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,
89592022,Kisassi,sargeras,49.0,4025.0,0.0,52.0,57.0,,50.0,,50.0,,0.0,0.0,,,1.0,21.0,14.0,,4.0,,2.0,,2.0,1.0,,,0.0,11.0,8.0,,2.0,,1.0,,0.0,0.0,,,53.0,,19.0,,10.0,,100.0,2.0,2.0,80.0,100.0,10.0,1.0,8.0,1.0,,,,,,,,,,,,,,,
175255710,Ferethor,darksorrow,6.0,233.0,,,,,100.0,,,,,100.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,100.0,2.0,2.0,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,
188182727,Skâzam,hyjal,49.0,7026.0,56.0,29.0,38.0,68.0,50.0,69.0,40.0,50.0,80.0,50.0,29.0,80.0,9.0,14.0,13.0,19.0,16.0,13.0,15.0,8.0,5.0,4.0,7.0,5.0,5.0,4.0,5.0,13.0,8.0,9.0,6.0,4.0,4.0,2.0,2.0,4.0,67.0,100.0,9.0,15.0,6.0,15.0,50.0,16.0,8.0,42.0,20.0,12.0,5.0,5.0,1.0,50.0,40.0,2.0,5.0,1.0,2.0,50.0,4.0,2.0,100.0,2.0,2.0,100.0,1.0,1.0
123307976,Redzirey,drakthul,29.0,10734.0,20.0,65.0,75.0,0.0,58.0,87.0,58.0,62.0,67.0,50.0,100.0,100.0,10.0,17.0,16.0,6.0,19.0,23.0,19.0,24.0,6.0,4.0,1.0,1.0,2.0,11.0,12.0,0.0,11.0,20.0,11.0,15.0,4.0,2.0,1.0,1.0,64.0,,14.0,,9.0,,67.0,15.0,10.0,50.0,100.0,12.0,1.0,6.0,1.0,,,,,,,,,,,,,,,
175572397,Pjpal,khaz-modan,9.0,2380.0,60.0,,,86.0,100.0,100.0,100.0,,0.0,0.0,25.0,50.0,5.0,,,7.0,1.0,1.0,2.0,,2.0,2.0,4.0,4.0,3.0,,,6.0,1.0,1.0,2.0,,0.0,0.0,1.0,2.0,0.0,,1.0,,0.0,,60.0,5.0,3.0,,50.0,,2.0,,1.0,,,,,,,,,,88.0,8.0,7.0,,,
149506563,Luthîén,tarren-mill,86.0,75370.0,55.0,56.0,58.0,59.0,58.0,36.0,65.0,38.0,50.0,0.0,100.0,,246.0,299.0,206.0,111.0,55.0,44.0,20.0,16.0,4.0,1.0,1.0,,135.0,168.0,119.0,66.0,32.0,16.0,13.0,6.0,2.0,0.0,1.0,,48.0,,219.0,,105.0,,59.0,69.0,41.0,43.0,75.0,160.0,4.0,69.0,3.0,,,,,,,,,,75.0,4.0,3.0,,,
198091753,Mavtank,hyjal,14.0,1638.0,50.0,,,50.0,0.0,0.0,67.0,,0.0,50.0,,100.0,4.0,,,4.0,3.0,2.0,3.0,,1.0,2.0,,1.0,2.0,,,2.0,0.0,0.0,2.0,,0.0,1.0,,1.0,67.0,,3.0,,2.0,,67.0,3.0,2.0,,100.0,,3.0,,3.0,,,,,,,,,,50.0,4.0,2.0,,,
172362562,Clarimónd,twisting-nether,19.0,391.0,,,,,100.0,67.0,50.0,,,67.0,0.0,50.0,,,,,1.0,3.0,2.0,,,3.0,1.0,2.0,,,,,1.0,2.0,1.0,,,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,33.0,3.0,1.0,,,,,,
101881612,Nîtram,drakthul,53.0,5477.0,50.0,60.0,60.0,43.0,56.0,100.0,73.0,50.0,25.0,100.0,20.0,100.0,2.0,5.0,5.0,7.0,9.0,7.0,11.0,4.0,4.0,5.0,5.0,2.0,1.0,3.0,3.0,3.0,5.0,7.0,8.0,2.0,1.0,5.0,1.0,2.0,75.0,100.0,8.0,7.0,6.0,7.0,100.0,1.0,1.0,100.0,0.0,2.0,2.0,2.0,0.0,100.0,50.0,1.0,6.0,1.0,3.0,,,,,,,,,
133236058,Tøtørpal,drekthar,72.0,1281.0,,,,100.0,0.0,100.0,33.0,,100.0,67.0,50.0,0.0,,,,1.0,2.0,2.0,3.0,,1.0,3.0,2.0,2.0,,,,1.0,0.0,2.0,1.0,,1.0,2.0,1.0,0.0,100.0,,1.0,,1.0,,33.0,3.0,1.0,,100.0,,1.0,,1.0,,0.0,,1.0,,0.0,,,,100.0,1.0,1.0,,,
74440951,Theressa,arygos,61.0,3264.0,80.0,50.0,0.0,40.0,100.0,100.0,80.0,50.0,,0.0,33.0,50.0,5.0,8.0,2.0,5.0,1.0,1.0,5.0,4.0,,1.0,3.0,2.0,4.0,4.0,0.0,2.0,1.0,1.0,4.0,2.0,,0.0,1.0,1.0,33.0,100.0,6.0,1.0,2.0,1.0,50.0,4.0,2.0,0.0,50.0,2.0,2.0,0.0,1.0,,,,,,,,,,67.0,3.0,2.0,,,
97512289,Lhatron,ragnaros,30.0,1988.0,57.0,,,67.0,33.0,67.0,50.0,0.0,75.0,75.0,50.0,67.0,7.0,,,3.0,3.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,4.0,,,2.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,75.0,,4.0,,3.0,,,,,100.0,67.0,1.0,3.0,1.0,2.0,100.0,,1.0,,1.0,,,,,60.0,5.0,3.0,,,
139945419,Grancigula,kazzak,16.0,1253.0,100.0,100.0,,50.0,83.0,0.0,40.0,100.0,75.0,50.0,,,4.0,1.0,,4.0,6.0,1.0,5.0,1.0,4.0,2.0,,,4.0,1.0,,2.0,5.0,0.0,2.0,1.0,3.0,1.0,,,,,,,,,67.0,3.0,2.0,50.0,,2.0,,1.0,,,100.0,,1.0,,1.0,,,,,,,,,
159933105,Purificaohs,sanguino,18.0,435.0,,,,67.0,0.0,100.0,,,,,,0.0,,,,3.0,2.0,1.0,,,,,,1.0,,,,2.0,0.0,1.0,,,,,,0.0,100.0,,1.0,,1.0,,,,,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,
166287986,Akiwachî,drakthul,21.0,986.0,,,,,100.0,67.0,50.0,,50.0,0.0,33.0,33.0,,,,,3.0,3.0,2.0,,2.0,1.0,3.0,3.0,,,,,3.0,2.0,1.0,,1.0,0.0,1.0,1.0,100.0,,1.0,,1.0,,75.0,4.0,3.0,,,,,,,,,,,,,,,,50.0,2.0,1.0,,,
111851357,Radek,drakthul,16.0,1839.0,25.0,100.0,50.0,17.0,25.0,33.0,33.0,75.0,,,,,8.0,3.0,2.0,12.0,4.0,3.0,3.0,4.0,,,,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,33.0,,3.0,,1.0,,67.0,3.0,2.0,100.0,,3.0,,3.0,,,,,,,,,,,,,,,,
