character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
99440777,Koniria,zuluhed,55.0,10882.0,42.0,44.0,64.0,59.0,65.0,54.0,50.0,38.0,57.0,43.0,,33.0,57.0,50.0,25.0,75.0,0.0,24.0,64.0,22.0,17.0,17.0,39.0,8.0,8.0,7.0,7.0,,3.0,7.0,4.0,4.0,4.0,1.0,10.0,28.0,14.0,10.0,11.0,21.0,4.0,3.0,4.0,3.0,,1.0,4.0,2.0,1.0,3.0,0.0,71.0,7.0,5.0,,,,,,,100.0,1.0,1.0,,,,,,
118609313,Wipepower,ravencrest,26.0,2890.0,78.0,,,100.0,,17.0,50.0,100.0,100.0,100.0,,0.0,86.0,33.0,75.0,33.0,0.0,9.0,,,4.0,,6.0,2.0,1.0,1.0,2.0,,1.0,7.0,3.0,4.0,6.0,1.0,7.0,,,4.0,,1.0,1.0,1.0,1.0,2.0,,0.0,6.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,,,,100.0,1.0,1.0,,,,,,,,,
166307760,Areshe,thrall,3.0,179.0,,,,0.0,,,,,,,,100.0,,100.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,0.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
119925571,Goldenweek,nefarian,21.0,1805.0,100.0,40.0,71.0,100.0,,,,,,,,,,,,,,2.0,10.0,7.0,1.0,,,,,,,,,,,,,,2.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10699933,Hugopala,dethecus,5.0,11235.0,45.0,62.0,42.0,61.0,45.0,59.0,67.0,,50.0,0.0,,,0.0,,100.0,,,31.0,21.0,26.0,23.0,22.0,29.0,9.0,,14.0,1.0,,,1.0,,2.0,,,14.0,13.0,11.0,14.0,10.0,17.0,6.0,,7.0,0.0,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,
90954620,Dairus,mannoroth,40.0,11402.0,71.0,68.0,77.0,44.0,75.0,67.0,61.0,77.0,67.0,81.0,46.0,75.0,33.0,50.0,100.0,0.0,50.0,7.0,25.0,13.0,18.0,20.0,3.0,18.0,13.0,18.0,16.0,13.0,4.0,6.0,2.0,2.0,1.0,2.0,5.0,17.0,10.0,8.0,15.0,2.0,11.0,10.0,12.0,13.0,6.0,3.0,2.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,
90587176,Wickedy,nerathor,22.0,10714.0,30.0,50.0,59.0,60.0,45.0,33.0,62.0,89.0,56.0,38.0,50.0,,33.0,83.0,50.0,,67.0,23.0,12.0,27.0,15.0,11.0,6.0,13.0,9.0,9.0,8.0,2.0,,3.0,6.0,4.0,,9.0,7.0,6.0,16.0,9.0,5.0,2.0,8.0,8.0,5.0,3.0,1.0,,1.0,5.0,2.0,,6.0,86.0,7.0,6.0,100.0,42.0,42.0,,,,,,,,,,,,
123988351,Erikson,alexstrasza,20.0,4113.0,50.0,60.0,33.0,50.0,40.0,50.0,54.0,67.0,43.0,25.0,33.0,,,,,,,16.0,10.0,3.0,4.0,10.0,8.0,13.0,6.0,7.0,12.0,3.0,,,,,,,8.0,6.0,1.0,2.0,4.0,4.0,7.0,4.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
134244517,Marhun,drakthul,37.0,1067.0,,80.0,100.0,50.0,,,0.0,100.0,33.0,60.0,,,0.0,100.0,75.0,,100.0,,5.0,2.0,4.0,,,3.0,1.0,3.0,5.0,,,2.0,1.0,4.0,,2.0,,4.0,2.0,2.0,,,0.0,1.0,1.0,3.0,,,0.0,1.0,3.0,,2.0,,,,,,,0.0,1.0,0.0,,,,,,,,,
146721019,Kecksadin,destromath,14.0,657.0,,,,,,,,0.0,100.0,100.0,,,100.0,,100.0,0.0,100.0,,,,,,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,,,,,,,,0.0,1.0,1.0,,,1.0,,2.0,0.0,1.0,,,,,,,,,,40.0,5.0,2.0,,,,,,
94017367,Parisha,frostwolf,23.0,3125.0,33.0,100.0,,50.0,100.0,60.0,67.0,100.0,50.0,,0.0,,50.0,,,100.0,,3.0,1.0,,2.0,1.0,5.0,3.0,1.0,2.0,,1.0,,2.0,,,2.0,,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,1.0,,0.0,,1.0,,,2.0,,100.0,1.0,1.0,,,,,,,,,,,,,,,
65143466,Amris,blackmoore,7.0,187.0,,100.0,,,,,,100.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,,,
83903609,Pløkun,ysondre,13.0,1390.0,33.0,25.0,0.0,67.0,100.0,,20.0,100.0,100.0,67.0,100.0,,0.0,,,100.0,,3.0,4.0,4.0,3.0,1.0,,5.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,,1.0,1.0,0.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,,0.0,,,1.0,,,,,100.0,2.0,2.0,,,,100.0,1.0,1.0,,,,,,
150790113,Aleriy,amanthul,14.0,22927.0,61.0,49.0,45.0,52.0,36.0,56.0,39.0,50.0,63.0,46.0,25.0,100.0,50.0,0.0,67.0,60.0,25.0,46.0,41.0,64.0,63.0,36.0,36.0,23.0,6.0,38.0,13.0,4.0,1.0,4.0,6.0,3.0,5.0,4.0,28.0,20.0,29.0,33.0,13.0,20.0,9.0,3.0,24.0,6.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,,,,,,,,,,33.0,3.0,1.0,,,,,,
134267725,Sétsuna,gorgonnash,14.0,2596.0,,50.0,50.0,,,100.0,75.0,50.0,0.0,80.0,50.0,0.0,100.0,100.0,100.0,0.0,0.0,,2.0,4.0,,,1.0,4.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,67.0,6.0,4.0,,,,,,,,,,,,,,,
158112757,Làzarùs,thrall,7.0,1253.0,100.0,,,25.0,,0.0,60.0,100.0,25.0,80.0,,,75.0,100.0,33.0,,,1.0,,,4.0,,1.0,5.0,2.0,4.0,5.0,,,4.0,3.0,3.0,,,1.0,,,1.0,,0.0,3.0,2.0,1.0,4.0,,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
116034566,Klîxx,antonidas,28.0,193.0,,,,,,,,,,100.0,,,,,,100.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
193054276,Shyliin,silvermoon,4.0,1029.0,,,,,,,0.0,100.0,0.0,100.0,,0.0,,,100.0,33.0,33.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,1.0,3.0,3.0,,,,,,,0.0,1.0,0.0,1.0,,0.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
97664025,Orleans,gorgonnash,30.0,30826.0,100.0,56.0,60.0,71.0,44.0,67.0,50.0,67.0,75.0,67.0,,,57.0,67.0,33.0,,100.0,2.0,9.0,5.0,7.0,9.0,3.0,4.0,6.0,8.0,3.0,,,7.0,3.0,3.0,,1.0,2.0,5.0,3.0,5.0,4.0,2.0,2.0,4.0,6.0,2.0,,,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
207861356,Yael,kilrogg,7.0,978.0,,50.0,100.0,,,50.0,0.0,0.0,0.0,,50.0,100.0,0.0,,,,,,10.0,3.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,,,,,,5.0,3.0,,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
147410169,Saze,ragnaros,18.0,2680.0,50.0,,100.0,0.0,,33.0,45.0,67.0,57.0,44.0,,,33.0,62.0,38.0,,67.0,2.0,,1.0,2.0,,3.0,11.0,15.0,7.0,9.0,,,9.0,8.0,13.0,,6.0,1.0,,1.0,0.0,,1.0,5.0,10.0,4.0,4.0,,,3.0,5.0,5.0,,4.0,,,,,,,43.0,7.0,3.0,,,,,,,,,
119268203,Deicide,guldan,61.0,2492.0,,25.0,0.0,50.0,0.0,0.0,100.0,38.0,33.0,14.0,50.0,,100.0,0.0,,,,,4.0,3.0,2.0,1.0,1.0,2.0,8.0,3.0,7.0,4.0,,1.0,1.0,,,,,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,,1.0,0.0,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
96884524,Zinora,gorgonnash,37.0,15904.0,59.0,48.0,74.0,67.0,63.0,58.0,43.0,33.0,44.0,60.0,75.0,,,,,100.0,,58.0,54.0,43.0,46.0,52.0,26.0,7.0,3.0,9.0,5.0,4.0,,,,,1.0,,34.0,26.0,32.0,31.0,33.0,15.0,3.0,1.0,4.0,3.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
166455008,Consecratío,gilneas,14.0,707.0,0.0,,,100.0,100.0,,50.0,0.0,,0.0,,100.0,,100.0,100.0,,,2.0,,,1.0,1.0,,2.0,1.0,,2.0,,2.0,,1.0,1.0,,,0.0,,,1.0,1.0,,1.0,0.0,,0.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
158746586,Kohanayim,twilights-hammer,83.0,6181.0,73.0,,,57.0,,50.0,64.0,48.0,65.0,36.0,,78.0,52.0,46.0,56.0,78.0,58.0,15.0,,,14.0,,12.0,22.0,29.0,23.0,22.0,,9.0,33.0,24.0,25.0,9.0,19.0,11.0,,,8.0,,6.0,14.0,14.0,15.0,8.0,,7.0,17.0,11.0,14.0,7.0,11.0,0.0,1.0,0.0,,,,29.0,17.0,5.0,67.0,3.0,2.0,,,,,,
147812300,Runeman,nefarian,39.0,12588.0,58.0,,,56.0,,72.0,58.0,50.0,71.0,56.0,,50.0,43.0,55.0,52.0,50.0,53.0,31.0,,,18.0,,29.0,19.0,16.0,14.0,27.0,,4.0,28.0,22.0,21.0,24.0,19.0,18.0,,,10.0,,21.0,11.0,8.0,10.0,15.0,,2.0,12.0,12.0,11.0,12.0,10.0,,,,100.0,3.0,3.0,,,,38.0,8.0,3.0,,,,,,
164690528,Velazquez,kazzak,20.0,5904.0,73.0,57.0,45.0,9.0,36.0,45.0,64.0,33.0,40.0,50.0,36.0,33.0,100.0,,0.0,33.0,50.0,11.0,7.0,11.0,11.0,11.0,20.0,11.0,18.0,15.0,12.0,11.0,3.0,1.0,,1.0,3.0,2.0,8.0,4.0,5.0,1.0,4.0,9.0,7.0,6.0,6.0,6.0,4.0,1.0,1.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,
152131674,Ozeanburger,gilneas,6.0,3133.0,0.0,30.0,75.0,46.0,88.0,0.0,58.0,62.0,71.0,78.0,62.0,,,,,,0.0,1.0,10.0,12.0,13.0,8.0,1.0,12.0,21.0,7.0,9.0,13.0,,,,,,1.0,0.0,3.0,9.0,6.0,7.0,0.0,7.0,13.0,5.0,7.0,8.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
166433029,Learak,destromath,8.0,266.0,,,,,,0.0,100.0,,100.0,,,0.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,0.0,1.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
120746768,Leöson,ravencrest,13.0,1073.0,50.0,,,50.0,,0.0,75.0,80.0,,75.0,,,,50.0,25.0,,50.0,2.0,,,2.0,,1.0,4.0,5.0,,4.0,,,,2.0,4.0,,2.0,1.0,,,1.0,,0.0,3.0,4.0,,3.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
142260104,Benjipala,nefarian,39.0,5789.0,43.0,40.0,100.0,17.0,50.0,53.0,43.0,75.0,60.0,100.0,100.0,,100.0,67.0,100.0,70.0,,7.0,5.0,2.0,6.0,4.0,15.0,7.0,12.0,10.0,3.0,4.0,,2.0,3.0,1.0,10.0,,3.0,2.0,2.0,1.0,2.0,8.0,3.0,9.0,6.0,3.0,4.0,,2.0,2.0,1.0,7.0,,,,,,,,,,,,,,,,,,,
116996178,Janiah,doomhammer,17.0,8678.0,55.0,,,50.0,,40.0,60.0,60.0,43.0,40.0,50.0,100.0,25.0,25.0,80.0,20.0,100.0,11.0,,,6.0,,10.0,5.0,5.0,7.0,5.0,8.0,1.0,4.0,4.0,5.0,10.0,2.0,6.0,,,3.0,,4.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,67.0,3.0,2.0,,,,,,,,,,,,,,,
154902094,Apfelmost,blackhand,27.0,6065.0,38.0,100.0,,25.0,,44.0,80.0,38.0,50.0,33.0,,56.0,56.0,60.0,60.0,50.0,43.0,8.0,1.0,,4.0,,9.0,5.0,8.0,6.0,9.0,,18.0,9.0,10.0,10.0,6.0,7.0,3.0,1.0,,1.0,,4.0,4.0,3.0,3.0,3.0,,10.0,5.0,6.0,6.0,3.0,3.0,,,,,,,80.0,5.0,4.0,,,,,,,,,
136699263,Lliane,destromath,5.0,144.0,,,,,,,,,,,,,50.0,,,0.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
165422020,Ulfine,blades-edge,12.0,558.0,,,,,,,100.0,100.0,50.0,0.0,,,50.0,,0.0,,0.0,,,,,,,1.0,4.0,2.0,2.0,,,2.0,,1.0,,1.0,,,,,,,1.0,4.0,1.0,0.0,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,
175816260,Palakø,zuljin,34.0,9350.0,78.0,59.0,56.0,37.0,43.0,44.0,60.0,33.0,50.0,75.0,50.0,,100.0,100.0,,100.0,,27.0,61.0,50.0,19.0,14.0,9.0,35.0,3.0,28.0,4.0,2.0,,1.0,1.0,,1.0,,21.0,36.0,28.0,7.0,6.0,4.0,21.0,1.0,14.0,3.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
81215794,Antor,frostwolf,119.0,48570.0,56.0,60.0,69.0,63.0,53.0,51.0,61.0,47.0,58.0,63.0,57.0,9.0,50.0,30.0,0.0,25.0,50.0,138.0,97.0,71.0,43.0,66.0,90.0,88.0,19.0,84.0,41.0,7.0,11.0,6.0,43.0,1.0,12.0,2.0,77.0,58.0,49.0,27.0,35.0,46.0,54.0,9.0,49.0,26.0,4.0,1.0,3.0,13.0,0.0,3.0,1.0,29.0,7.0,2.0,100.0,23.0,23.0,,,,,,,,,,,,
175158446,Strunfy,twisting-nether,11.0,900.0,0.0,,,,,67.0,100.0,,,67.0,,100.0,100.0,100.0,,25.0,0.0,1.0,,,,,3.0,1.0,,,3.0,,1.0,1.0,1.0,,4.0,1.0,0.0,,,,,2.0,1.0,,,2.0,,1.0,1.0,1.0,,1.0,0.0,,,,,,,0.0,1.0,0.0,,,,,,,,,
114099878,ßlackßull,hyjal,12.0,1250.0,50.0,67.0,0.0,,,0.0,0.0,0.0,100.0,0.0,,,,,0.0,50.0,,2.0,3.0,1.0,,,1.0,4.0,3.0,1.0,4.0,,,,,1.0,2.0,,1.0,2.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
152789283,Bimm,gilneas,69.0,3766.0,40.0,50.0,33.0,50.0,,71.0,60.0,50.0,100.0,100.0,21.0,50.0,50.0,67.0,0.0,50.0,50.0,5.0,4.0,3.0,4.0,,7.0,5.0,4.0,5.0,1.0,14.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,5.0,3.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,1.0,,,,100.0,2.0,2.0,,,,100.0,2.0,2.0,,,,,,
242780746,Шаломейк,gordunni,11.0,68.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
129841285,Arathõr,archimonde,31.0,8023.0,62.0,33.0,56.0,36.0,57.0,33.0,57.0,36.0,57.0,41.0,33.0,,50.0,100.0,50.0,50.0,,16.0,18.0,18.0,11.0,7.0,18.0,14.0,22.0,14.0,29.0,15.0,,4.0,1.0,2.0,2.0,,10.0,6.0,10.0,4.0,4.0,6.0,8.0,8.0,8.0,12.0,5.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
191641209,Lindandriel,hyjal,40.0,547.0,,,,0.0,,100.0,0.0,0.0,100.0,,,,,,0.0,50.0,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,1.0,4.0,,,,,0.0,,1.0,0.0,0.0,1.0,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
93089091,Eliminato,stormrage,72.0,17903.0,55.0,59.0,57.0,61.0,44.0,62.0,69.0,32.0,69.0,48.0,67.0,100.0,59.0,67.0,52.0,70.0,46.0,29.0,51.0,30.0,38.0,9.0,21.0,26.0,22.0,26.0,40.0,12.0,3.0,22.0,27.0,21.0,10.0,13.0,16.0,30.0,17.0,23.0,4.0,13.0,18.0,7.0,18.0,19.0,8.0,3.0,13.0,18.0,11.0,7.0,6.0,100.0,11.0,11.0,100.0,2.0,2.0,,,,60.0,10.0,6.0,,,,,,
166402155,Madoff,chamber-of-aspects,25.0,17008.0,74.0,100.0,,67.0,,69.0,79.0,60.0,93.0,50.0,75.0,57.0,56.0,53.0,81.0,64.0,58.0,34.0,1.0,,12.0,,42.0,24.0,15.0,15.0,16.0,4.0,7.0,18.0,15.0,16.0,39.0,12.0,25.0,1.0,,8.0,,29.0,19.0,9.0,14.0,8.0,3.0,4.0,10.0,8.0,13.0,25.0,7.0,100.0,1.0,1.0,,,,,,,,,,,,,,,
195697014,Zannv,kazzak,31.0,28025.0,59.0,42.0,54.0,48.0,34.0,45.0,42.0,45.0,52.0,62.0,14.0,0.0,60.0,55.0,62.0,100.0,70.0,82.0,106.0,113.0,92.0,73.0,53.0,106.0,29.0,102.0,26.0,7.0,1.0,10.0,11.0,8.0,2.0,10.0,48.0,45.0,61.0,44.0,25.0,24.0,45.0,13.0,53.0,16.0,1.0,0.0,6.0,6.0,5.0,2.0,7.0,80.0,5.0,4.0,100.0,3.0,3.0,1300.0,3.0,39.0,100.0,2.0,2.0,,,,,,
134733100,Golakhtashan,draenor,18.0,476.0,,,,100.0,,0.0,100.0,,0.0,50.0,,0.0,0.0,50.0,0.0,,33.0,,,,1.0,,1.0,1.0,,3.0,2.0,,1.0,1.0,2.0,1.0,,3.0,,,,1.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,
91876135,Ânna,destromath,14.0,42266.0,52.0,49.0,46.0,40.0,41.0,43.0,63.0,27.0,65.0,27.0,33.0,,,,100.0,,,94.0,190.0,122.0,84.0,132.0,91.0,19.0,11.0,37.0,11.0,6.0,,,,1.0,,,49.0,94.0,56.0,34.0,54.0,39.0,12.0,3.0,24.0,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
105676761,Bade,destromath,29.0,8583.0,19.0,52.0,46.0,50.0,50.0,12.0,67.0,50.0,43.0,67.0,71.0,,,,,,,21.0,23.0,13.0,20.0,12.0,8.0,6.0,16.0,21.0,12.0,21.0,,,,,,,4.0,12.0,6.0,10.0,6.0,1.0,4.0,8.0,9.0,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
136830172,Akupala,draenor,57.0,243.0,,,,0.0,,100.0,,,,,,,,,,0.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,0.0,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
108090546,Sygfrid,blackhand,15.0,3561.0,40.0,0.0,,50.0,,100.0,60.0,57.0,50.0,50.0,80.0,,60.0,29.0,40.0,75.0,,5.0,1.0,,4.0,,2.0,5.0,7.0,6.0,10.0,5.0,,5.0,7.0,5.0,8.0,,2.0,0.0,,2.0,,2.0,3.0,4.0,3.0,5.0,4.0,,3.0,2.0,2.0,6.0,,0.0,1.0,0.0,100.0,2.0,2.0,,,,,,,,,,,,
165566705,Johawk,kargath,44.0,1455.0,75.0,,,50.0,,17.0,75.0,33.0,0.0,67.0,,100.0,0.0,50.0,100.0,50.0,33.0,4.0,,,4.0,,6.0,4.0,3.0,1.0,3.0,,3.0,2.0,2.0,1.0,2.0,3.0,3.0,,,2.0,,1.0,3.0,1.0,0.0,2.0,,3.0,0.0,1.0,1.0,1.0,1.0,,,,,,,0.0,2.0,0.0,,,,,,,,,
156434218,Bakhos,ysondre,6.0,485.0,,,,,,67.0,,,50.0,,,100.0,,100.0,,,,,,,,,3.0,,,2.0,,,2.0,,1.0,,,,,,,,,2.0,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,67.0,3.0,2.0,,,,,,
43454168,Rylee,emeriss,4.0,18975.0,79.0,41.0,70.0,77.0,69.0,20.0,45.0,71.0,83.0,40.0,100.0,,,,,,,19.0,27.0,27.0,22.0,16.0,5.0,11.0,7.0,6.0,10.0,1.0,,,,,,,15.0,11.0,19.0,17.0,11.0,1.0,5.0,5.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
90748591,Malita,mannoroth,39.0,37567.0,47.0,63.0,62.0,63.0,48.0,67.0,67.0,80.0,65.0,56.0,,,55.0,22.0,50.0,,50.0,83.0,112.0,126.0,97.0,150.0,43.0,15.0,5.0,17.0,9.0,,,11.0,9.0,8.0,,8.0,39.0,71.0,78.0,61.0,72.0,29.0,10.0,4.0,11.0,5.0,,,6.0,2.0,4.0,,4.0,100.0,3.0,3.0,100.0,5.0,5.0,1083.0,6.0,65.0,100.0,1.0,1.0,,,,,,
91185659,Depoon,mannoroth,22.0,2112.0,50.0,100.0,0.0,50.0,,100.0,33.0,58.0,40.0,30.0,0.0,,50.0,0.0,100.0,50.0,0.0,2.0,4.0,1.0,2.0,,1.0,6.0,12.0,5.0,10.0,1.0,,4.0,1.0,3.0,2.0,2.0,1.0,4.0,0.0,1.0,,1.0,2.0,7.0,2.0,3.0,0.0,,2.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,
143595086,Thorndin,nerathor,23.0,527.0,100.0,,,33.0,,100.0,,100.0,100.0,100.0,,0.0,75.0,33.0,,,0.0,1.0,,,3.0,,1.0,,1.0,2.0,1.0,,2.0,4.0,3.0,,,1.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
79870080,Dexas,frostwolf,12.0,4752.0,56.0,47.0,39.0,31.0,40.0,50.0,44.0,33.0,38.0,75.0,50.0,,67.0,75.0,0.0,,,18.0,15.0,18.0,13.0,5.0,6.0,9.0,3.0,8.0,4.0,2.0,,3.0,4.0,1.0,,,10.0,7.0,7.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,,2.0,3.0,0.0,,,0.0,1.0,0.0,,,,,,,,,,,,,,,
195065586,Freeyla,pozzo-delleternità,5.0,1064.0,,,,,,100.0,33.0,,100.0,,,,0.0,,0.0,0.0,,,,,,,1.0,3.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,0.0,,0.0,0.0,,40.0,5.0,2.0,,,,,,,,,,,,,,,
195763496,Gammeldin,chamber-of-aspects,7.0,2393.0,50.0,,,100.0,,33.0,33.0,100.0,67.0,60.0,,100.0,67.0,33.0,50.0,67.0,,2.0,,,3.0,,3.0,3.0,5.0,3.0,5.0,,3.0,3.0,3.0,2.0,3.0,,1.0,,,3.0,,1.0,1.0,5.0,2.0,3.0,,3.0,2.0,1.0,1.0,2.0,,0.0,1.0,0.0,100.0,1.0,1.0,67.0,3.0,2.0,0.0,1.0,0.0,,,,,,
144676157,Ariá,mannoroth,29.0,661.0,,,,,,100.0,,100.0,100.0,0.0,,,75.0,100.0,,100.0,,,,,,,1.0,,2.0,5.0,2.0,,,4.0,2.0,,1.0,,,,,,,1.0,,2.0,5.0,0.0,,,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,
208725076,Дэздемона,soulflayer,3.0,2623.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,50.0,10.0,5.0,,,,,,,,,,,,,,,
149997292,Korxi,aegwynn,24.0,23263.0,41.0,58.0,62.0,57.0,62.0,48.0,54.0,33.0,77.0,14.0,73.0,33.0,67.0,50.0,,,50.0,93.0,83.0,66.0,60.0,65.0,27.0,13.0,12.0,13.0,14.0,11.0,3.0,3.0,2.0,,,2.0,38.0,48.0,41.0,34.0,40.0,13.0,7.0,4.0,10.0,2.0,8.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
90781252,Heilbutt,mannoroth,30.0,14061.0,25.0,18.0,38.0,58.0,33.0,43.0,33.0,50.0,33.0,0.0,0.0,100.0,,,,0.0,,8.0,11.0,16.0,12.0,12.0,7.0,6.0,2.0,3.0,1.0,1.0,1.0,,,,2.0,,2.0,2.0,6.0,7.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,
164675258,Finnpala,destromath,16.0,787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,5.0,2.0,,,,,,,,,,,,,,,
92097117,Torukh,destromath,109.0,1013.0,50.0,,100.0,100.0,0.0,60.0,,33.0,33.0,50.0,,,,100.0,,0.0,,4.0,,2.0,1.0,3.0,5.0,,3.0,3.0,2.0,,,,2.0,,2.0,,2.0,,2.0,1.0,0.0,3.0,,1.0,1.0,1.0,,,,2.0,,0.0,,,,,100.0,13.0,13.0,,,,,,,,,,,,
146597771,Kániblade,nerathor,4.0,182.0,0.0,,,,,,,,100.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
