character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
171538124,Kehro,silvermoon,44.0,22900.0,76.0,46.0,50.0,52.0,60.0,47.0,51.0,39.0,60.0,50.0,50.0,0.0,67.0,50.0,45.0,0.0,,30.0,42.0,85.0,56.0,27.0,25.0,17.0,45.0,18.0,43.0,22.0,32.0,1.0,15.0,10.0,11.0,3.0,,10.0,32.0,39.0,28.0,14.0,15.0,8.0,23.0,7.0,26.0,11.0,16.0,0.0,10.0,5.0,5.0,0.0,,3.0,200.0,,9.0,,18.0,,,,,,,,,,
242363131,Джиммиджи,gordunni,155.0,11779.0,40.0,20.0,33.0,47.0,50.0,17.0,60.0,8.0,67.0,47.0,100.0,,50.0,50.0,0.0,0.0,100.0,67.0,5.0,10.0,6.0,15.0,6.0,6.0,5.0,12.0,6.0,17.0,1.0,,6.0,2.0,1.0,3.0,8.0,3.0,2.0,2.0,2.0,7.0,3.0,1.0,3.0,1.0,4.0,8.0,1.0,,3.0,1.0,0.0,0.0,8.0,2.0,,100.0,,1.0,,1.0,,,,,,,,,
217146555,Whiteknight,sylvanas,21.0,236.0,,,,100.0,,,100.0,,0.0,100.0,,,,,,,,75.0,,,,1.0,,,1.0,,1.0,2.0,,,,,,,,4.0,,,,1.0,,,1.0,,0.0,2.0,,,,,,,,3.0,100.0,,1.0,,1.0,,,,,,,,,,
165287936,Holzkûh,blackmoore,28.0,2449.0,100.0,,,100.0,,,71.0,67.0,43.0,60.0,,,40.0,50.0,25.0,,,86.0,1.0,,,4.0,,,7.0,3.0,7.0,10.0,,,5.0,4.0,4.0,,,7.0,1.0,,,4.0,,,5.0,2.0,3.0,6.0,,,2.0,2.0,1.0,,,6.0,50.0,,4.0,,2.0,,,,,,,,,,
122084915,Chinaps,blackhand,63.0,2945.0,,,,,,67.0,50.0,50.0,57.0,50.0,,,40.0,50.0,50.0,100.0,,60.0,,,,,,3.0,4.0,4.0,7.0,4.0,,,5.0,4.0,2.0,1.0,,5.0,,,,,,2.0,2.0,2.0,4.0,2.0,,,2.0,2.0,1.0,1.0,,3.0,0.0,89.0,2.0,9.0,0.0,8.0,,,,,,,0.0,1.0,0.0
154395030,Tayluh,silvermoon,10.0,456.0,,,,67.0,,,,0.0,100.0,,,,,,,,,100.0,,,,3.0,,,,1.0,1.0,,,,,,,,,1.0,,,,2.0,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
155554810,Balem,alonsus,21.0,24915.0,68.0,22.0,43.0,47.0,45.0,49.0,41.0,41.0,36.0,50.0,44.0,0.0,60.0,50.0,50.0,75.0,,42.0,44.0,54.0,79.0,64.0,66.0,72.0,34.0,27.0,39.0,18.0,18.0,1.0,10.0,16.0,8.0,4.0,,12.0,30.0,12.0,34.0,30.0,30.0,35.0,14.0,11.0,14.0,9.0,8.0,0.0,6.0,8.0,4.0,3.0,,5.0,,0.0,,5.0,,0.0,60.0,5.0,3.0,,,,,,
78851325,Awakë,dun-modr,69.0,22585.0,68.0,66.0,63.0,67.0,61.0,68.0,74.0,61.0,62.0,62.0,52.0,29.0,112.0,67.0,71.0,100.0,,100.0,71.0,56.0,51.0,36.0,18.0,63.0,53.0,49.0,58.0,61.0,21.0,7.0,8.0,9.0,7.0,4.0,,2.0,48.0,37.0,32.0,24.0,11.0,43.0,39.0,30.0,36.0,38.0,11.0,2.0,9.0,6.0,5.0,4.0,,2.0,283.0,,6.0,,17.0,,,,,,,,,,
112893615,Boukitos,drekthar,30.0,153578.0,49.0,64.0,63.0,61.0,63.0,55.0,46.0,38.0,47.0,14.0,,,,,,,,,358.0,356.0,343.0,303.0,267.0,223.0,13.0,16.0,15.0,7.0,,,,,,,,,174.0,227.0,216.0,185.0,167.0,123.0,6.0,6.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
155318483,Subreze,ragnaros,66.0,3391.0,45.0,100.0,100.0,100.0,0.0,67.0,0.0,50.0,33.0,50.0,100.0,,33.0,25.0,,100.0,100.0,0.0,11.0,2.0,2.0,1.0,1.0,6.0,2.0,2.0,3.0,4.0,3.0,,3.0,4.0,,3.0,29.0,1.0,5.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,2.0,3.0,,1.0,1.0,,3.0,29.0,0.0,,,,,,,,,,,,,,,
97512289,Lhatron,ragnaros,30.0,1988.0,57.0,,,75.0,100.0,67.0,33.0,67.0,,50.0,0.0,60.0,75.0,75.0,50.0,67.0,,67.0,7.0,,,4.0,1.0,3.0,3.0,3.0,,2.0,1.0,5.0,4.0,4.0,2.0,3.0,,3.0,4.0,,,3.0,1.0,2.0,1.0,2.0,,1.0,0.0,3.0,3.0,3.0,1.0,2.0,,2.0,,,,,,,100.0,1.0,1.0,,,,,,
169471389,Lílium,tarren-mill,13.0,20502.0,55.0,51.0,58.0,38.0,50.0,60.0,50.0,90.0,65.0,67.0,44.0,100.0,,0.0,67.0,100.0,,67.0,99.0,98.0,59.0,56.0,58.0,45.0,20.0,10.0,17.0,6.0,9.0,1.0,,1.0,3.0,2.0,,3.0,54.0,50.0,34.0,21.0,29.0,27.0,10.0,9.0,11.0,4.0,4.0,1.0,,0.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,
68858661,Sárá,blackmoore,11.0,22491.0,50.0,55.0,51.0,62.0,64.0,68.0,56.0,64.0,71.0,47.0,80.0,0.0,90.0,89.0,100.0,50.0,100.0,0.0,36.0,40.0,35.0,39.0,39.0,28.0,18.0,11.0,21.0,15.0,5.0,1.0,10.0,9.0,3.0,6.0,4.0,1.0,18.0,22.0,18.0,24.0,25.0,19.0,10.0,7.0,15.0,7.0,4.0,0.0,9.0,8.0,3.0,3.0,4.0,0.0,,,,,,,,,,,,,,,
123450366,Dayls,uldaman,21.0,19725.0,58.0,44.0,44.0,57.0,60.0,67.0,55.0,57.0,33.0,64.0,0.0,33.0,50.0,38.0,17.0,0.0,,60.0,36.0,43.0,36.0,44.0,42.0,6.0,11.0,7.0,6.0,11.0,1.0,3.0,8.0,8.0,6.0,3.0,,5.0,21.0,19.0,16.0,25.0,25.0,4.0,6.0,4.0,2.0,7.0,0.0,1.0,4.0,3.0,1.0,0.0,,3.0,,,,,,,100.0,1.0,1.0,,,,,,
154192014,Pinkye,stormscale,15.0,2010.0,33.0,,,,,57.0,50.0,50.0,50.0,0.0,,57.0,100.0,50.0,33.0,67.0,,50.0,3.0,,,,,7.0,2.0,2.0,2.0,3.0,,7.0,1.0,2.0,6.0,3.0,,2.0,1.0,,,,,4.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2.0,2.0,,1.0,0.0,,1.0,,0.0,,,,,,,,,,
226355394,Trrish,sylvanas,27.0,1324.0,,50.0,,50.0,,100.0,100.0,,50.0,50.0,0.0,,100.0,,0.0,,100.0,0.0,,2.0,,2.0,,1.0,1.0,,2.0,2.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,0.0,,2.0,,0.0,,1.0,0.0,,100.0,,1.0,,1.0,,,,,,,,,
155675651,Bietox,blackhand,10.0,5285.0,38.0,34.0,62.0,75.0,100.0,50.0,25.0,67.0,50.0,,33.0,71.0,50.0,50.0,0.0,80.0,100.0,0.0,16.0,35.0,8.0,4.0,2.0,6.0,4.0,3.0,4.0,,3.0,7.0,2.0,2.0,1.0,5.0,1.0,2.0,6.0,12.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0,,1.0,5.0,1.0,1.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,,,,
155917952,Supacupa,ravencrest,25.0,1215.0,50.0,,,50.0,,75.0,0.0,100.0,100.0,50.0,,,0.0,33.0,33.0,100.0,,50.0,4.0,,,2.0,,4.0,1.0,2.0,2.0,4.0,,,1.0,3.0,3.0,1.0,,2.0,2.0,,,1.0,,3.0,0.0,2.0,2.0,2.0,,,0.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
209872256,Rhinono,runetotem,32.0,2707.0,65.0,33.0,44.0,56.0,80.0,11.0,0.0,50.0,50.0,,,,,,,,,,17.0,9.0,16.0,9.0,5.0,9.0,2.0,2.0,2.0,,,,,,,,,,11.0,3.0,7.0,5.0,4.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
155191902,Mandoow,stormscale,5.0,84.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
243762459,Моргуличка,gordunni,12.0,667.0,33.0,,,,,75.0,,,50.0,100.0,,,100.0,,100.0,100.0,,,3.0,,,,,4.0,,,2.0,2.0,,,1.0,,1.0,1.0,,,1.0,,,,,3.0,,,1.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
156196167,Autismmeistr,ravencrest,15.0,3840.0,75.0,,,75.0,,44.0,83.0,45.0,20.0,67.0,,33.0,71.0,62.0,50.0,0.0,,75.0,4.0,,,8.0,,9.0,6.0,11.0,5.0,12.0,,6.0,7.0,8.0,6.0,2.0,,8.0,3.0,,,6.0,,4.0,5.0,5.0,1.0,8.0,,2.0,5.0,5.0,3.0,0.0,,6.0,0.0,,1.0,,0.0,,,,,,,,,,
110828335,Hibiya,dun-modr,29.0,6185.0,67.0,67.0,50.0,33.0,100.0,25.0,0.0,40.0,100.0,67.0,0.0,,100.0,,0.0,100.0,,100.0,6.0,3.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,,1.0,,1.0,1.0,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,,1.0,,0.0,1.0,,2.0,,0.0,,2.0,,0.0,,,,,,,,,
171896083,Ooby,silvermoon,17.0,332.0,,,,33.0,,100.0,,25.0,,50.0,,,,,,,,,,,,3.0,,1.0,,4.0,,2.0,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
137478706,Jimioo,argent-dawn,50.0,7416.0,67.0,53.0,22.0,25.0,67.0,67.0,52.0,61.0,36.0,57.0,36.0,,46.0,62.0,50.0,100.0,100.0,43.0,15.0,15.0,9.0,8.0,9.0,9.0,27.0,33.0,25.0,30.0,11.0,,13.0,13.0,8.0,1.0,3.0,7.0,10.0,8.0,2.0,2.0,6.0,6.0,14.0,20.0,9.0,17.0,4.0,,6.0,8.0,4.0,1.0,3.0,3.0,78.0,,9.0,,7.0,,,,,,,,,,
137177891,Heartfilia,norgannon,22.0,3935.0,83.0,,,40.0,,100.0,20.0,43.0,67.0,71.0,,100.0,71.0,60.0,100.0,50.0,,71.0,12.0,,,5.0,,6.0,5.0,7.0,6.0,7.0,,6.0,7.0,5.0,1.0,4.0,,7.0,10.0,,,2.0,,6.0,1.0,3.0,4.0,5.0,,6.0,5.0,3.0,1.0,2.0,,5.0,0.0,,1.0,,0.0,,,,,,,,,,
88987312,Engmor,grim-batol,7.0,2052.0,80.0,,,100.0,,50.0,100.0,0.0,67.0,100.0,,60.0,50.0,50.0,,100.0,,50.0,5.0,,,2.0,,6.0,1.0,1.0,3.0,1.0,,5.0,2.0,6.0,,2.0,,2.0,4.0,,,2.0,,3.0,1.0,0.0,2.0,1.0,,3.0,1.0,3.0,,2.0,,1.0,100.0,,1.0,,1.0,,,,,,,,,,
166754709,Лаордан,gordunni,32.0,2389.0,0.0,57.0,50.0,,0.0,,62.0,64.0,20.0,33.0,67.0,0.0,250.0,100.0,40.0,0.0,100.0,100.0,1.0,7.0,2.0,,3.0,,8.0,14.0,10.0,9.0,3.0,1.0,2.0,4.0,5.0,1.0,8.0,1.0,0.0,4.0,1.0,,0.0,,5.0,9.0,2.0,3.0,2.0,0.0,5.0,4.0,2.0,0.0,8.0,1.0,,,,,,,,,,,,,,,
30076378,Jodilyn,outland,66.0,7840.0,59.0,40.0,56.0,45.0,0.0,82.0,100.0,25.0,67.0,83.0,50.0,,88.0,33.0,,100.0,,,22.0,10.0,9.0,11.0,2.0,17.0,2.0,4.0,3.0,6.0,2.0,,8.0,3.0,,1.0,,,13.0,4.0,5.0,5.0,0.0,14.0,2.0,1.0,2.0,5.0,1.0,,7.0,1.0,,1.0,,,,,,,,,,,,,,,,,
160013505,Ayven,dalaran,1.0,241.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
183885727,Пропаладос,gordunni,58.0,344.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
95300108,Janaros,zenedar,5.0,6212.0,89.0,46.0,56.0,70.0,50.0,,,,,,,,,,,,,,9.0,13.0,9.0,10.0,14.0,,,,,,,,,,,,,,8.0,6.0,5.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218895418,Drothari,sylvanas,3.0,227.0,50.0,,,0.0,,,,,,,,,0.0,,100.0,0.0,,,2.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,0.0,,,,,,,,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,
85818897,Tizzuidal,dun-modr,7.0,5460.0,86.0,46.0,32.0,44.0,33.0,80.0,32.0,42.0,45.0,53.0,23.0,0.0,,,,,,,7.0,13.0,22.0,9.0,12.0,5.0,19.0,12.0,11.0,15.0,13.0,1.0,,,,,,,6.0,6.0,7.0,4.0,4.0,4.0,6.0,5.0,5.0,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
192769228,Zucalarucca,outland,9.0,14882.0,49.0,38.0,39.0,38.0,50.0,32.0,38.0,50.0,57.0,100.0,,,50.0,100.0,100.0,100.0,,,45.0,56.0,75.0,61.0,32.0,19.0,8.0,4.0,7.0,4.0,,,2.0,1.0,1.0,1.0,,,22.0,21.0,29.0,23.0,16.0,6.0,3.0,2.0,4.0,4.0,,,1.0,1.0,1.0,1.0,,,,50.0,,2.0,,1.0,,,,,,,,,
165422020,Ulfine,blades-edge,12.0,558.0,,,,,,,100.0,100.0,50.0,0.0,,,50.0,,0.0,,,0.0,,,,,,,1.0,4.0,2.0,2.0,,,2.0,,1.0,,,1.0,,,,,,,1.0,4.0,1.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,
165389341,Niffapala,twisting-nether,4.0,130.0,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152557344,Noirac,kirin-tor,24.0,1304.0,,50.0,33.0,,,,100.0,33.0,50.0,50.0,100.0,,50.0,0.0,,,,100.0,,2.0,3.0,,,,2.0,3.0,10.0,6.0,1.0,,6.0,1.0,,,,1.0,,1.0,1.0,,,,2.0,1.0,5.0,3.0,1.0,,3.0,0.0,,,,1.0,,40.0,,5.0,,2.0,,,,,,,,,
155366716,Ohelga,ravencrest,8.0,595.0,100.0,,,,,0.0,,,,,,50.0,100.0,,,0.0,,0.0,1.0,,,,,2.0,,,,,,2.0,1.0,,,1.0,,1.0,1.0,,,,,0.0,,,,,,1.0,1.0,,,0.0,,0.0,,,,,,,,,,,,,,,
188155932,Haawwker,silvermoon,27.0,1966.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,67.0,,3.0,,2.0,,,,,,,,,
