character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Ashran played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
195387984,Goldlight,hyjal,45.0,2119.0,,91.0,0.0,55.0,100.0,50.0,100.0,38.0,,33.0,60.0,75.0,100.0,33.0,,11.0,1.0,11.0,5.0,2.0,1.0,8.0,,3.0,5.0,4.0,1.0,6.0,,10.0,0.0,6.0,5.0,1.0,1.0,3.0,,1.0,3.0,3.0,1.0,2.0,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
10699933,Hugopala,dethecus,5.0,11235.0,45.0,61.0,59.0,67.0,,50.0,,0.0,,0.0,,100.0,,,31.0,23.0,29.0,9.0,,14.0,,1.0,,1.0,,2.0,,,14.0,14.0,17.0,6.0,,7.0,,0.0,,0.0,,2.0,,,62.0,42.0,45.0,,,,,21.0,26.0,22.0,,,,,13.0,11.0,10.0,,,,,,,,,,
100695388,Ileila,alleria,5.0,23717.0,52.0,42.0,17.0,29.0,,33.0,,25.0,,,0.0,0.0,,,64.0,24.0,12.0,7.0,,3.0,,4.0,,,1.0,1.0,,,33.0,10.0,2.0,2.0,,1.0,,1.0,,,0.0,0.0,,,57.0,36.0,33.0,,,,,107.0,75.0,30.0,,,,,61.0,27.0,10.0,,,,,,,,,,
152769195,Ригармортис,howling-fjord,32.0,138.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,
72227975,Latchman,antonidas,14.0,7357.0,67.0,36.0,42.0,25.0,50.0,25.0,,67.0,36.0,100.0,60.0,67.0,64.0,38.0,21.0,11.0,12.0,12.0,22.0,20.0,,12.0,11.0,7.0,5.0,6.0,11.0,8.0,14.0,4.0,5.0,3.0,11.0,5.0,,8.0,4.0,7.0,3.0,4.0,7.0,3.0,43.0,22.0,40.0,18.0,,,,14.0,9.0,5.0,11.0,,,,6.0,2.0,2.0,2.0,,,,,,,,,
161535981,Malchoriak,azshara,5.0,280.0,100.0,100.0,,33.0,0.0,,,,,0.0,,,,,1.0,1.0,,3.0,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,0.0,,,,,0.0,,,,,100.0,100.0,,,,,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,
165381210,Goerean,argent-dawn,63.0,4639.0,12.0,50.0,38.0,42.0,62.0,78.0,80.0,50.0,,62.0,59.0,42.0,50.0,50.0,8.0,10.0,13.0,12.0,21.0,9.0,5.0,12.0,,13.0,17.0,12.0,6.0,12.0,1.0,5.0,5.0,5.0,13.0,7.0,4.0,6.0,,8.0,10.0,5.0,3.0,6.0,100.0,100.0,,33.0,43.0,,,1.0,1.0,,6.0,7.0,,,1.0,1.0,,2.0,3.0,,,,,,,,
110117923,Sîlîan,blackmoore,17.0,27798.0,64.0,59.0,56.0,56.0,69.0,44.0,,36.0,71.0,67.0,38.0,56.0,0.0,43.0,50.0,66.0,36.0,18.0,13.0,18.0,,14.0,7.0,18.0,8.0,9.0,1.0,7.0,32.0,39.0,20.0,10.0,9.0,8.0,,5.0,5.0,12.0,3.0,5.0,0.0,3.0,64.0,52.0,56.0,100.0,100.0,,50.0,83.0,83.0,48.0,2.0,1.0,,2.0,53.0,43.0,27.0,2.0,1.0,,1.0,100.0,1.0,1.0,,,
156018554,Pestiferos,ysondre,7.0,43.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112822523,Hyros,khazgoroth,28.0,4836.0,0.0,38.0,67.0,47.0,50.0,47.0,,53.0,60.0,0.0,0.0,,,,1.0,13.0,6.0,19.0,18.0,19.0,,15.0,10.0,1.0,1.0,,,,0.0,5.0,4.0,9.0,9.0,9.0,,8.0,6.0,0.0,0.0,,,,44.0,73.0,50.0,,,,,16.0,11.0,12.0,,,,,7.0,8.0,6.0,,,,,,,,,,
163177389,Borderland,azshara,112.0,102802.0,47.0,44.0,45.0,44.0,57.0,52.0,,56.0,36.0,267.0,50.0,33.0,50.0,,473.0,242.0,319.0,168.0,35.0,473.0,,61.0,14.0,3.0,14.0,3.0,10.0,,224.0,106.0,143.0,74.0,20.0,246.0,,34.0,5.0,8.0,7.0,1.0,5.0,,47.0,51.0,46.0,75.0,,100.0,100.0,423.0,398.0,227.0,8.0,,22.0,2.0,197.0,203.0,104.0,6.0,,22.0,2.0,,,,,,
160947050,Feorgegloyd,burning-legion,25.0,161.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242639633,Ффитоняшка,eversong,4.0,395.0,,50.0,,67.0,,,,100.0,,,100.0,,100.0,,,2.0,,3.0,,,,1.0,,,1.0,,1.0,,,1.0,,2.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111200851,Zioclick,eredar,64.0,282.0,,,50.0,,,,,0.0,,100.0,0.0,0.0,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,0.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125179086,Anietyx,blackrock,12.0,3521.0,90.0,67.0,86.0,50.0,44.0,50.0,,60.0,100.0,200.0,33.0,50.0,20.0,50.0,10.0,3.0,7.0,4.0,9.0,2.0,,5.0,1.0,2.0,3.0,2.0,5.0,2.0,9.0,2.0,6.0,2.0,4.0,1.0,,3.0,1.0,4.0,1.0,1.0,1.0,1.0,100.0,50.0,100.0,60.0,,,,4.0,4.0,2.0,5.0,,,,4.0,2.0,2.0,3.0,,,,,,,,,
194231961,Selliuocsem,archimonde,22.0,2547.0,100.0,50.0,100.0,36.0,56.0,62.0,33.0,25.0,,50.0,60.0,50.0,50.0,75.0,1.0,2.0,3.0,11.0,16.0,13.0,9.0,8.0,,10.0,10.0,10.0,2.0,4.0,1.0,1.0,3.0,4.0,9.0,8.0,3.0,2.0,,5.0,6.0,5.0,1.0,3.0,,,,33.0,,,,,,,3.0,,,,,,,1.0,,,,,,,,,
196436232,Jale,wildhammer,28.0,567.0,,100.0,,50.0,100.0,100.0,,60.0,,0.0,0.0,100.0,,0.0,,2.0,,2.0,2.0,4.0,,5.0,,1.0,1.0,1.0,,1.0,,2.0,,1.0,2.0,4.0,,3.0,,0.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138541466,Sacramentum,defias-brotherhood,13.0,1286.0,67.0,67.0,75.0,50.0,50.0,,,0.0,67.0,,,,,,3.0,3.0,4.0,2.0,2.0,,,2.0,3.0,,,,,,2.0,2.0,3.0,1.0,1.0,,,0.0,2.0,,,,,,72.0,0.0,0.0,,,,,18.0,3.0,3.0,,,,,13.0,0.0,0.0,,,,,,,,,,
165962447,Àcci,blackrock,15.0,2091.0,25.0,75.0,100.0,60.0,100.0,67.0,,100.0,,75.0,0.0,100.0,50.0,67.0,4.0,4.0,1.0,5.0,1.0,3.0,,3.0,,4.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,,3.0,,3.0,0.0,1.0,2.0,2.0,,,,50.0,,,,,,,4.0,,,,,,,2.0,,,,,,,,,
98623220,Malteschrek,zuluhed,51.0,28174.0,62.0,59.0,51.0,42.0,40.0,47.0,,50.0,57.0,50.0,100.0,50.0,50.0,,65.0,29.0,43.0,38.0,15.0,30.0,,12.0,7.0,10.0,1.0,2.0,2.0,,40.0,17.0,22.0,16.0,6.0,14.0,,6.0,4.0,5.0,1.0,1.0,1.0,,42.0,52.0,50.0,,,100.0,0.0,62.0,61.0,72.0,,,1.0,1.0,26.0,32.0,36.0,,,1.0,0.0,,,,,,
143727190,Rothirsch,blackmoore,67.0,25161.0,27.0,37.0,64.0,34.0,34.0,34.0,83.0,39.0,37.0,36.0,43.0,45.0,23.0,41.0,30.0,60.0,50.0,68.0,96.0,79.0,6.0,89.0,54.0,92.0,68.0,58.0,13.0,22.0,8.0,22.0,32.0,23.0,33.0,27.0,5.0,35.0,20.0,33.0,29.0,26.0,3.0,9.0,50.0,75.0,,0.0,0.0,100.0,29.0,8.0,4.0,,5.0,2.0,42.0,14.0,4.0,3.0,,0.0,0.0,42.0,4.0,,,,,,
101848727,Rommanos,ravencrest,28.0,2294.0,0.0,100.0,100.0,75.0,0.0,25.0,,75.0,100.0,,50.0,0.0,0.0,33.0,1.0,1.0,3.0,4.0,5.0,4.0,,8.0,1.0,,2.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,,6.0,1.0,,1.0,0.0,0.0,1.0,0.0,100.0,,,,,14.0,1.0,2.0,,,,,7.0,0.0,2.0,,,,,1.0,,,,,,
237883055,Tyrenis,dragonblight,4.0,203.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159866635,Milkadiin,tarren-mill,21.0,305.0,,,,100.0,0.0,,,,,100.0,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,1.0,0.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144364813,Blacksid,dun-modr,7.0,12796.0,40.0,33.0,60.0,17.0,25.0,0.0,,25.0,0.0,33.0,0.0,20.0,,100.0,15.0,24.0,5.0,6.0,4.0,2.0,,4.0,1.0,3.0,1.0,5.0,,1.0,6.0,8.0,3.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,1.0,,1.0,36.0,21.0,56.0,,,,17.0,11.0,14.0,16.0,,,,18.0,4.0,3.0,9.0,,,,3.0,,,,,,
156795128,Déstial,ravencrest,14.0,12530.0,33.0,51.0,44.0,54.0,0.0,57.0,,100.0,,0.0,,,,,51.0,35.0,25.0,39.0,1.0,37.0,,1.0,,2.0,,,,,17.0,18.0,11.0,21.0,0.0,21.0,,1.0,,0.0,,,,,44.0,52.0,54.0,,,,,135.0,40.0,56.0,,,,,60.0,21.0,30.0,,,,,,,,,,
163405904,Fløy,draenor,8.0,149.0,,50.0,,,,,,,,0.0,0.0,,,100.0,,2.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
170099367,Kazo,darksorrow,97.0,21548.0,53.0,63.0,50.0,65.0,73.0,63.0,,65.0,69.0,0.0,,,,,49.0,41.0,20.0,46.0,15.0,27.0,,20.0,16.0,1.0,,,,,26.0,26.0,10.0,30.0,11.0,17.0,,13.0,11.0,0.0,,,,,59.0,56.0,68.0,100.0,,,,59.0,55.0,31.0,1.0,,,,35.0,31.0,21.0,1.0,,,,,,,,,
162429935,Hehtmonghour,sanguino,187.0,1640.0,50.0,40.0,0.0,67.0,80.0,50.0,,75.0,,,57.0,75.0,50.0,50.0,2.0,5.0,3.0,6.0,5.0,6.0,,4.0,,,7.0,4.0,2.0,8.0,1.0,2.0,0.0,4.0,4.0,3.0,,3.0,,,4.0,3.0,1.0,4.0,,,,50.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,
123223712,Ketherian,blutkessel,28.0,2226.0,25.0,,14.0,25.0,88.0,25.0,,33.0,17.0,100.0,,100.0,0.0,50.0,8.0,,7.0,4.0,8.0,4.0,,3.0,6.0,1.0,,1.0,3.0,2.0,2.0,,1.0,1.0,7.0,1.0,,1.0,1.0,1.0,,1.0,0.0,1.0,67.0,50.0,,0.0,,,,9.0,2.0,,1.0,,,,6.0,1.0,,0.0,,,,,,,,,
164912695,Flakslodd,kazzak,39.0,1194.0,,50.0,,25.0,33.0,50.0,,50.0,100.0,80.0,,0.0,,0.0,,2.0,,4.0,6.0,8.0,,4.0,1.0,5.0,,1.0,,1.0,,1.0,,1.0,2.0,4.0,,2.0,1.0,4.0,,0.0,,0.0,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
226308889,Яалон,gordunni,22.0,2920.0,0.0,14.0,,73.0,45.0,79.0,,50.0,,53.0,33.0,50.0,40.0,50.0,1.0,7.0,,11.0,11.0,14.0,,12.0,,15.0,6.0,12.0,5.0,6.0,0.0,1.0,,8.0,5.0,11.0,,6.0,,8.0,2.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
165453733,Aurélion,lothar,14.0,1788.0,50.0,67.0,60.0,0.0,0.0,0.0,,0.0,,50.0,0.0,17.0,20.0,25.0,2.0,3.0,5.0,1.0,4.0,1.0,,1.0,,4.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,,2.0,0.0,1.0,1.0,1.0,,,,20.0,100.0,,,,,,5.0,1.0,,,,,,1.0,1.0,,,,,,,,
162792865,Xemia,azshara,6.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,67.0,,,,,,1.0,3.0,,,,,,0.0,2.0,,,,,,,,,,,
35756301,Mînerva,lothar,30.0,2976.0,67.0,60.0,,,,,,,,,,,,,6.0,5.0,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,25.0,50.0,71.0,,,,,8.0,6.0,7.0,,,,,2.0,3.0,5.0,,,,,,,,,,
192548701,Acèd,silvermoon,19.0,12203.0,74.0,54.0,68.0,56.0,67.0,38.0,,55.0,56.0,,,100.0,,,38.0,37.0,38.0,18.0,12.0,34.0,,11.0,16.0,,,1.0,,,28.0,20.0,26.0,10.0,8.0,13.0,,6.0,9.0,,,1.0,,,39.0,42.0,28.0,,,,,28.0,24.0,32.0,,,,,11.0,10.0,9.0,,,,,,,,,,
177603671,Lodewig,ragnaros,14.0,1310.0,67.0,50.0,100.0,50.0,100.0,0.0,100.0,40.0,,33.0,67.0,0.0,60.0,11.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,5.0,,3.0,6.0,3.0,5.0,9.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,,1.0,4.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
195573032,Hellbladee,silvermoon,11.0,19315.0,57.0,39.0,47.0,76.0,44.0,17.0,,30.0,33.0,100.0,,0.0,0.0,100.0,30.0,57.0,30.0,17.0,9.0,6.0,,10.0,3.0,3.0,,1.0,1.0,1.0,17.0,22.0,14.0,13.0,4.0,1.0,,3.0,1.0,3.0,,0.0,0.0,1.0,37.0,26.0,47.0,0.0,,,17.0,68.0,58.0,47.0,1.0,,,6.0,25.0,15.0,22.0,0.0,,,1.0,,,,,,
161634081,Heâthcliff,azshara,10.0,1370.0,100.0,33.0,,86.0,38.0,100.0,,,100.0,,,,,,2.0,3.0,,7.0,8.0,2.0,,,4.0,,,,,,2.0,1.0,,6.0,3.0,2.0,,,4.0,,,,,,,50.0,100.0,0.0,,,,,4.0,1.0,1.0,,,,,2.0,1.0,0.0,,,,,,,,,
144877160,Sakyvarr,twisting-nether,7.0,616.0,0.0,0.0,100.0,50.0,,,,,,0.0,,0.0,50.0,0.0,1.0,3.0,1.0,2.0,,,,,,1.0,,1.0,2.0,2.0,0.0,0.0,1.0,1.0,,,,,,0.0,,0.0,1.0,0.0,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,
154395030,Tayluh,silvermoon,10.0,456.0,,67.0,,,0.0,100.0,,,,,,,,100.0,,3.0,,,1.0,1.0,,,,,,,,1.0,,2.0,,,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
165158669,Seleey,blackmoore,5.0,743.0,0.0,50.0,25.0,,50.0,,,50.0,,100.0,,,,0.0,1.0,2.0,4.0,,2.0,,,2.0,,1.0,,,,2.0,0.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,0.0,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
109588698,Furcás,draenor,72.0,38167.0,41.0,57.0,36.0,74.0,56.0,64.0,,61.0,67.0,44.0,60.0,67.0,50.0,20.0,345.0,75.0,59.0,34.0,45.0,61.0,,36.0,30.0,9.0,15.0,3.0,8.0,5.0,143.0,43.0,21.0,25.0,25.0,39.0,,22.0,20.0,4.0,9.0,2.0,4.0,1.0,65.0,59.0,59.0,,100.0,100.0,60.0,83.0,59.0,44.0,,2.0,36.0,5.0,54.0,35.0,26.0,,2.0,36.0,3.0,,,,,,
118843925,Trévór,blackhand,3.0,4917.0,25.0,67.0,67.0,0.0,67.0,,,,,50.0,100.0,100.0,0.0,0.0,4.0,3.0,3.0,1.0,3.0,,,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,,,,,1.0,2.0,1.0,0.0,0.0,,,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,
92015115,Eiskonfekt,destromath,12.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
114356122,Ratterrich,blackhand,40.0,2872.0,0.0,40.0,29.0,62.0,67.0,38.0,50.0,40.0,50.0,67.0,50.0,12.0,100.0,38.0,1.0,5.0,7.0,8.0,3.0,8.0,2.0,10.0,4.0,6.0,4.0,8.0,2.0,8.0,0.0,2.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,67.0,0.0,,0.0,100.0,,,6.0,1.0,,1.0,1.0,,,4.0,0.0,,0.0,1.0,,,,,,,,
175709795,Goldress,ragnaros,10.0,864.0,33.0,100.0,50.0,100.0,,,,,,67.0,100.0,50.0,75.0,50.0,3.0,1.0,2.0,1.0,,,,,,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158655554,Asterian,lothar,30.0,3736.0,0.0,33.0,,50.0,60.0,50.0,,65.0,100.0,57.0,20.0,80.0,,100.0,3.0,3.0,,4.0,5.0,6.0,,31.0,2.0,7.0,5.0,5.0,,4.0,0.0,1.0,,2.0,3.0,3.0,,20.0,2.0,4.0,1.0,4.0,,4.0,,,,,33.0,,30.0,,,,,6.0,,10.0,,,,,2.0,,3.0,100.0,1.0,1.0,,,
173916380,Ysumar,khaz-modan,32.0,972.0,100.0,0.0,50.0,33.0,100.0,40.0,,33.0,0.0,,0.0,0.0,,0.0,1.0,4.0,2.0,3.0,1.0,5.0,,3.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,1.0,0.0,,0.0,0.0,,0.0,25.0,0.0,0.0,,,,0.0,4.0,1.0,2.0,,,,1.0,1.0,0.0,0.0,,,,0.0,,,,,,
158112895,Neosense,thrall,6.0,213.0,100.0,,,,0.0,100.0,,,,100.0,50.0,0.0,,0.0,1.0,,,,1.0,1.0,,,,1.0,2.0,1.0,,1.0,1.0,,,,0.0,1.0,,,,1.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163178310,Cypê,azshara,25.0,2330.0,100.0,0.0,0.0,50.0,78.0,62.0,,17.0,67.0,80.0,62.0,83.0,80.0,,1.0,3.0,1.0,2.0,9.0,8.0,,6.0,3.0,5.0,13.0,6.0,5.0,,1.0,0.0,0.0,1.0,7.0,5.0,,1.0,2.0,4.0,8.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96768294,Vasilipupkin,antonidas,122.0,141705.0,62.0,53.0,60.0,56.0,52.0,53.0,3225.0,63.0,51.0,77.0,19.0,50.0,33.0,50.0,271.0,300.0,121.0,209.0,132.0,202.0,4.0,144.0,89.0,13.0,16.0,4.0,6.0,2.0,168.0,160.0,73.0,117.0,68.0,107.0,129.0,91.0,45.0,10.0,3.0,2.0,2.0,1.0,57.0,55.0,55.0,,33.0,100.0,0.0,512.0,477.0,211.0,,3.0,10.0,2.0,294.0,263.0,116.0,,1.0,10.0,0.0,,,,,,
164108514,Torkas,alleria,25.0,569.0,100.0,0.0,,100.0,0.0,,,100.0,,,100.0,,100.0,0.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,0.0,,1.0,0.0,,,1.0,,,2.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
162704422,Masania,azshara,248.0,2336.0,20.0,33.0,100.0,40.0,40.0,64.0,133.0,67.0,33.0,67.0,0.0,50.0,,80.0,5.0,3.0,2.0,5.0,10.0,11.0,3.0,6.0,3.0,3.0,2.0,8.0,,5.0,1.0,1.0,2.0,2.0,4.0,7.0,4.0,4.0,1.0,2.0,0.0,4.0,,4.0,100.0,50.0,75.0,,,,100.0,3.0,2.0,8.0,,,,1.0,3.0,1.0,6.0,,,,1.0,,,,,,
175138076,Tomahawktim,twisting-nether,39.0,1317.0,,50.0,,67.0,100.0,100.0,,60.0,,,,50.0,,0.0,,2.0,,3.0,1.0,1.0,,5.0,,,,8.0,,7.0,,1.0,,2.0,1.0,1.0,,3.0,,,,4.0,,0.0,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,
138465092,Misstag,twisting-nether,25.0,2101.0,33.0,50.0,0.0,83.0,60.0,50.0,25.0,67.0,,43.0,71.0,67.0,,43.0,3.0,2.0,1.0,6.0,5.0,6.0,4.0,12.0,,7.0,7.0,3.0,,7.0,1.0,1.0,0.0,5.0,3.0,3.0,1.0,8.0,,3.0,5.0,2.0,,3.0,,100.0,,100.0,,,,,1.0,,3.0,,,,,1.0,,3.0,,,,,,,,,
165703894,Pepydring,khaz-modan,15.0,53.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133969872,Bootstrap,draenor,38.0,488.0,100.0,100.0,50.0,100.0,50.0,100.0,,0.0,,0.0,,,0.0,100.0,1.0,1.0,2.0,1.0,2.0,3.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,0.0,,0.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163150583,Karaji,azshara,26.0,4009.0,,,0.0,100.0,,,,,100.0,,100.0,100.0,100.0,,,,1.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,,0.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,,,50.0,100.0,,83.0,,,,2.0,1.0,,24.0,,,,1.0,1.0,,20.0,,,,,,
110939843,Lazerus,lothar,123.0,416.0,33.0,,,,100.0,,,,,,100.0,,,,3.0,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,
53690588,Allika,ysondre,161.0,106144.0,47.0,56.0,50.0,63.0,61.0,66.0,,61.0,52.0,150.0,33.0,,56.0,0.0,131.0,279.0,117.0,206.0,152.0,233.0,,174.0,117.0,6.0,6.0,,9.0,1.0,61.0,156.0,59.0,129.0,93.0,154.0,,106.0,61.0,9.0,2.0,,5.0,0.0,66.0,58.0,56.0,33.0,0.0,100.0,,446.0,243.0,324.0,6.0,1.0,1.0,,296.0,141.0,183.0,2.0,0.0,1.0,,,,,,,
7184567,Rondinia,blackrock,29.0,16713.0,48.0,43.0,60.0,56.0,33.0,33.0,,100.0,,,,,,,33.0,14.0,10.0,9.0,3.0,9.0,,3.0,,,,,,,16.0,6.0,6.0,5.0,1.0,3.0,,3.0,,,,,,,66.0,68.0,50.0,,,,,44.0,19.0,10.0,,,,,29.0,13.0,5.0,,,,,,,,,,
120588514,Opusak,doomhammer,22.0,217.0,,0.0,,,100.0,,,,0.0,,,100.0,,,,1.0,,,1.0,,,,2.0,,,1.0,,,,0.0,,,1.0,,,,0.0,,,1.0,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,
172319967,Aïathanos,elune,26.0,6023.0,25.0,23.0,50.0,28.0,28.0,31.0,,21.0,38.0,0.0,0.0,0.0,25.0,,4.0,13.0,4.0,18.0,25.0,26.0,,28.0,8.0,2.0,1.0,1.0,4.0,,1.0,3.0,2.0,5.0,7.0,8.0,,6.0,3.0,0.0,0.0,0.0,1.0,,14.0,14.0,0.0,,,,,22.0,7.0,2.0,,,,,3.0,1.0,0.0,,,,,,,,,,
159259145,Neoll,lothar,49.0,2976.0,100.0,17.0,60.0,45.0,38.0,18.0,,24.0,38.0,57.0,67.0,100.0,33.0,100.0,4.0,6.0,5.0,11.0,16.0,11.0,,17.0,8.0,7.0,9.0,3.0,3.0,1.0,4.0,1.0,3.0,5.0,6.0,2.0,,4.0,3.0,4.0,6.0,3.0,1.0,1.0,50.0,,,,100.0,100.0,0.0,2.0,,,,1.0,1.0,3.0,1.0,,,,1.0,1.0,0.0,,,,,,
165388212,Sjèfke,silvermoon,20.0,25971.0,60.0,58.0,68.0,64.0,54.0,58.0,,64.0,,50.0,38.0,100.0,50.0,50.0,73.0,48.0,22.0,11.0,13.0,12.0,,11.0,,6.0,8.0,4.0,6.0,8.0,44.0,28.0,15.0,7.0,7.0,7.0,,7.0,,3.0,3.0,4.0,3.0,4.0,56.0,37.0,58.0,75.0,,100.0,,36.0,19.0,59.0,4.0,,2.0,,20.0,7.0,34.0,3.0,,2.0,,,,,,,
111730213,Bulbuci,draenor,25.0,3602.0,,100.0,33.0,100.0,100.0,,,0.0,,100.0,75.0,67.0,60.0,100.0,,1.0,3.0,1.0,1.0,,,1.0,,2.0,4.0,3.0,5.0,2.0,,1.0,1.0,1.0,1.0,,,0.0,,2.0,3.0,2.0,3.0,2.0,,,,67.0,,,80.0,,,,6.0,,,5.0,,,,4.0,,,4.0,,,,,,
154431466,Mysterybox,doomhammer,22.0,536.0,0.0,100.0,50.0,,0.0,100.0,,0.0,,,50.0,,,100.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,,2.0,,,1.0,0.0,1.0,1.0,,0.0,1.0,,0.0,,,1.0,,,1.0,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
