character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Arathi Basin win_rate,Isle of Conquest played,Arathi Basin played,Isle of Conquest won,Arathi Basin won,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Arathi Basin Winter win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Arathi Basin Winter played,Classic Warsong Gulch won,Classic Arathi Basin won,Arathi Basin Winter won,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
164525223,Gìngerturtle,blackmoore,23.0,202.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155879663,Honeymelon,antonidas,9.0,18426.0,89.0,,9.0,,8.0,,54.0,52.0,17.0,,62.0,,,0.0,,0.0,,,50.0,63.0,6.0,,8.0,,,1.0,,1.0,,,27.0,33.0,1.0,,5.0,,,0.0,,0.0,,,54.0,60.0,,52.0,53.0,,28.0,32.0,,56.0,,57.0,,32.0,,,,,,,,,,,,,
180109619,Yaminosenshi,hellfire,7.0,3749.0,0.0,0.0,2.0,1.0,0.0,0.0,67.0,67.0,33.0,67.0,0.0,,,,,60.0,33.0,67.0,3.0,3.0,3.0,3.0,1.0,,,,,5.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,,,,,3.0,1.0,2.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,,,,,,,50.0,4.0,2.0,,,,,,,,,
59225057,Thorklæs,ysondre,28.0,8225.0,50.0,100.0,6.0,1.0,3.0,1.0,67.0,40.0,54.0,73.0,59.0,,43.0,,100.0,0.0,100.0,50.0,12.0,15.0,13.0,15.0,17.0,,14.0,,3.0,1.0,1.0,2.0,8.0,6.0,7.0,11.0,10.0,,6.0,,3.0,0.0,1.0,1.0,59.0,50.0,,27.0,16.0,,16.0,8.0,,50.0,71.0,16.0,7.0,8.0,5.0,,,,,,,,,,,,
186337053,Wermie,aggra-português,10.0,7940.0,29.0,67.0,21.0,3.0,6.0,2.0,55.0,43.0,20.0,17.0,31.0,,0.0,,100.0,,,,20.0,21.0,20.0,6.0,13.0,,2.0,,1.0,,,,11.0,9.0,4.0,1.0,4.0,,0.0,,1.0,,,,50.0,46.0,,20.0,28.0,,10.0,13.0,,27.0,20.0,22.0,5.0,6.0,1.0,,,,,,,,,,,,
155333734,Licht,sanguino,181.0,133.0,,,,,,,,,,,,,0.0,,100.0,0.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,
176011045,Lüciusverus,kazzak,37.0,1136.0,0.0,,1.0,,0.0,,100.0,100.0,0.0,100.0,,,0.0,,33.0,,,,1.0,2.0,2.0,1.0,,,1.0,,3.0,,,,1.0,2.0,0.0,1.0,,,0.0,,1.0,,,,45.0,50.0,,11.0,2.0,,5.0,1.0,,100.0,0.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,
175495365,Фрига,galakrond,14.0,4640.0,64.0,43.0,11.0,7.0,7.0,3.0,38.0,31.0,20.0,50.0,78.0,,50.0,33.0,0.0,50.0,33.0,60.0,8.0,16.0,5.0,6.0,9.0,,6.0,3.0,5.0,16.0,6.0,5.0,3.0,5.0,1.0,3.0,7.0,,3.0,1.0,0.0,8.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112027855,Sveti,deathwing,32.0,21696.0,45.0,0.0,40.0,1.0,18.0,0.0,48.0,59.0,65.0,75.0,46.0,,44.0,,0.0,50.0,,0.0,44.0,32.0,17.0,8.0,28.0,,9.0,,1.0,2.0,,1.0,21.0,19.0,11.0,6.0,13.0,,4.0,,0.0,1.0,,0.0,60.0,66.0,,47.0,80.0,,28.0,53.0,,64.0,100.0,28.0,1.0,18.0,1.0,0.0,1.0,0.0,,,,,,,,,
123881245,Madutzu,tarren-mill,28.0,1702.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,33.0,50.0,75.0,100.0,,67.0,33.0,50.0,33.0,,50.0,1.0,3.0,4.0,4.0,3.0,,3.0,3.0,4.0,3.0,,2.0,1.0,1.0,2.0,3.0,3.0,,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,100.0,2.0,2.0,,,,50.0,2.0,1.0,,,
184512059,Trunkjunk,silvermoon,21.0,45.0,,0.0,,1.0,,0.0,,,0.0,,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83756952,Skädi,ysondre,39.0,24289.0,68.0,,22.0,,15.0,,52.0,61.0,40.0,14.0,46.0,,67.0,,33.0,,100.0,,25.0,46.0,15.0,7.0,13.0,,9.0,,3.0,,2.0,,13.0,28.0,6.0,1.0,6.0,,6.0,,1.0,,2.0,,55.0,76.0,,56.0,45.0,,31.0,34.0,,66.0,29.0,38.0,7.0,25.0,2.0,,,,,,,,,,,,
242124297,Просторожки,gordunni,41.0,434.0,,,,,,,,,33.0,0.0,,,100.0,100.0,0.0,50.0,100.0,,,,3.0,1.0,,,2.0,1.0,1.0,2.0,1.0,,,,1.0,0.0,,,2.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157739997,Martinuther,dun-modr,20.0,5480.0,25.0,80.0,4.0,10.0,1.0,8.0,43.0,67.0,54.0,67.0,30.0,,90.0,,81.0,55.0,100.0,83.0,7.0,9.0,13.0,9.0,10.0,,21.0,,16.0,11.0,1.0,6.0,3.0,6.0,7.0,6.0,3.0,,19.0,,13.0,6.0,1.0,5.0,,,100.0,,,2.0,,,2.0,,100.0,,1.0,,1.0,50.0,2.0,1.0,,,,,,,,,
140826339,Luthers,pozzo-delleternità,127.0,5901.0,61.0,,28.0,,17.0,,40.0,100.0,33.0,53.0,62.0,,58.0,,0.0,100.0,33.0,,15.0,5.0,9.0,15.0,8.0,,19.0,,3.0,1.0,6.0,,6.0,5.0,3.0,8.0,5.0,,11.0,,0.0,1.0,2.0,,44.0,60.0,,9.0,5.0,,4.0,3.0,,50.0,88.0,4.0,8.0,2.0,7.0,0.0,1.0,0.0,,,,,,,,,
218020568,Zephyrindark,sylvanas,62.0,5598.0,0.0,56.0,1.0,9.0,0.0,5.0,100.0,62.0,53.0,62.0,71.0,100.0,94.0,50.0,50.0,77.0,100.0,60.0,2.0,8.0,17.0,21.0,14.0,2.0,17.0,2.0,18.0,13.0,1.0,15.0,2.0,5.0,9.0,13.0,10.0,2.0,16.0,1.0,9.0,10.0,1.0,9.0,100.0,,100.0,1.0,,1.0,1.0,,1.0,,67.0,,6.0,,4.0,,,,,,,,,,,,
175721864,Ondelia,hyjal,16.0,1150.0,33.0,100.0,3.0,1.0,1.0,1.0,50.0,100.0,0.0,50.0,100.0,,50.0,,,100.0,50.0,,4.0,1.0,1.0,4.0,1.0,,4.0,,,2.0,2.0,,2.0,1.0,0.0,2.0,1.0,,2.0,,,2.0,1.0,,50.0,100.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,100.0,3.0,3.0,,,,,,
188759228,Karmacharger,silvermoon,13.0,410.0,,,,,,,,,,,50.0,,0.0,,0.0,,,,,,,,2.0,,1.0,,1.0,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183958955,Lmaowtf,kazzak,15.0,429.0,,67.0,,3.0,,2.0,,0.0,,,67.0,50.0,0.0,,33.0,60.0,,100.0,,1.0,,,3.0,2.0,1.0,,3.0,5.0,,2.0,,0.0,,,2.0,1.0,0.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69296778,Wtsfood,stormscale,12.0,17680.0,64.0,,39.0,,25.0,,43.0,55.0,43.0,,88.0,,100.0,100.0,,,25.0,,134.0,85.0,7.0,,8.0,,2.0,2.0,,,4.0,,58.0,47.0,3.0,,7.0,,2.0,2.0,,,1.0,,62.0,52.0,,97.0,77.0,,60.0,40.0,,46.0,0.0,83.0,1.0,38.0,0.0,,,,,,,,,,,,
155352004,Løoby,dalaran,121.0,11772.0,100.0,55.0,2.0,20.0,2.0,11.0,100.0,45.0,67.0,47.0,61.0,100.0,37.0,0.0,55.0,78.0,67.0,58.0,1.0,40.0,58.0,51.0,57.0,8.0,52.0,4.0,65.0,18.0,6.0,12.0,1.0,18.0,39.0,24.0,35.0,8.0,19.0,0.0,36.0,14.0,4.0,7.0,77.0,33.0,,26.0,15.0,,20.0,5.0,,,47.0,,17.0,,8.0,,,,,,,,,,,,
111730213,Bulbuci,draenor,25.0,3602.0,33.0,67.0,3.0,3.0,1.0,2.0,,100.0,100.0,100.0,,,0.0,67.0,100.0,75.0,60.0,100.0,,1.0,1.0,1.0,,,1.0,6.0,2.0,4.0,5.0,2.0,,1.0,1.0,1.0,,,0.0,4.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,80.0,5.0,4.0,,,,,,,,,
95484374,Dpms,twisting-nether,110.0,92301.0,47.0,60.0,116.0,5.0,55.0,3.0,49.0,53.0,55.0,70.0,54.0,,60.0,50.0,80.0,70.0,100.0,75.0,134.0,281.0,225.0,138.0,236.0,,176.0,4.0,5.0,10.0,2.0,8.0,66.0,148.0,123.0,97.0,128.0,,106.0,2.0,4.0,7.0,2.0,6.0,57.0,58.0,100.0,306.0,292.0,1.0,175.0,168.0,1.0,52.0,69.0,286.0,118.0,149.0,81.0,,,,,,,,,,,,
166161372,Lexaniqt,blackmoore,53.0,57718.0,43.0,0.0,46.0,2.0,20.0,0.0,43.0,60.0,62.0,50.0,65.0,,,,,,,0.0,28.0,30.0,29.0,6.0,34.0,,,,,,,1.0,12.0,18.0,18.0,3.0,22.0,,,,,,,0.0,59.0,55.0,,90.0,38.0,,53.0,21.0,,53.0,40.0,45.0,5.0,24.0,2.0,,,,,,,,,,,,
141664274,Artenil,dalaran,105.0,6876.0,86.0,,7.0,,6.0,,83.0,100.0,0.0,25.0,80.0,,100.0,,80.0,100.0,57.0,,6.0,1.0,2.0,4.0,5.0,,5.0,,5.0,1.0,7.0,,5.0,1.0,0.0,1.0,4.0,,5.0,,4.0,1.0,4.0,,0.0,0.0,,1.0,1.0,,0.0,0.0,,,25.0,,4.0,,1.0,0.0,1.0,0.0,,,,,,,,,
193807290,Holydj,deathwing,40.0,726.0,0.0,0.0,1.0,2.0,0.0,0.0,33.0,,,50.0,50.0,,,100.0,,0.0,,,3.0,,,2.0,2.0,,,3.0,,3.0,,,1.0,,,1.0,1.0,,,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121736760,Éle,frostwolf,5.0,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,1.0,,,,,,,,,
156301178,Makoer,stormscale,22.0,77250.0,55.0,100.0,176.0,3.0,96.0,3.0,51.0,55.0,64.0,67.0,54.0,,53.0,0.0,100.0,0.0,100.0,0.0,462.0,279.0,77.0,24.0,72.0,,19.0,1.0,5.0,1.0,1.0,2.0,237.0,153.0,49.0,16.0,39.0,,10.0,0.0,5.0,0.0,1.0,0.0,58.0,61.0,,283.0,251.0,,163.0,152.0,,53.0,56.0,244.0,9.0,130.0,5.0,,,,,,,,,,,,
115246655,Androhalí,silvermoon,57.0,14813.0,64.0,50.0,59.0,6.0,38.0,3.0,58.0,77.0,80.0,78.0,86.0,,65.0,58.0,75.0,75.0,36.0,100.0,33.0,13.0,10.0,9.0,7.0,,23.0,12.0,4.0,8.0,11.0,5.0,19.0,10.0,8.0,7.0,6.0,,15.0,7.0,3.0,6.0,4.0,5.0,43.0,38.0,100.0,7.0,13.0,1.0,3.0,5.0,1.0,80.0,0.0,5.0,1.0,4.0,0.0,29.0,7.0,2.0,,,,50.0,2.0,1.0,50.0,2.0,1.0
175531570,Fedobig,twisting-nether,12.0,841.0,40.0,100.0,5.0,2.0,2.0,2.0,100.0,,,0.0,,,,100.0,,,100.0,0.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,0.0,,,,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
105519186,Cuculainn,alonsus,7.0,982.0,,,,,,,,,50.0,0.0,,,50.0,,0.0,,,,,,2.0,1.0,,,2.0,,1.0,,,,,,1.0,0.0,,,1.0,,0.0,,,,40.0,0.0,,5.0,1.0,,2.0,0.0,,67.0,50.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,
159237336,Relbena,argent-dawn,2.0,9693.0,43.0,,47.0,,20.0,,53.0,42.0,48.0,25.0,31.0,,41.0,,67.0,0.0,,0.0,43.0,26.0,31.0,8.0,29.0,,22.0,,3.0,1.0,,1.0,23.0,11.0,15.0,2.0,9.0,,9.0,,2.0,0.0,,0.0,48.0,31.0,,40.0,35.0,,19.0,11.0,,40.0,10.0,42.0,10.0,17.0,1.0,,,,,,,,,,,,
195061020,Broyyeur,hyjal,3.0,615.0,,0.0,,1.0,,0.0,,100.0,0.0,100.0,50.0,,67.0,,0.0,33.0,,50.0,,1.0,2.0,1.0,2.0,,3.0,,2.0,3.0,,2.0,,1.0,0.0,1.0,1.0,,2.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166002765,Gerlak,malfurion,17.0,904.0,,0.0,,1.0,,0.0,100.0,,100.0,50.0,,,50.0,,33.0,,,0.0,4.0,,1.0,2.0,,,4.0,,3.0,,,1.0,4.0,,1.0,1.0,,,2.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166849639,Plude,defias-brotherhood,8.0,19.0,,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154184421,Ludotwins,kirin-tor,4.0,390.0,,0.0,,1.0,,0.0,100.0,0.0,,0.0,100.0,0.0,0.0,,50.0,0.0,100.0,50.0,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,0.0,,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126696949,Oathkèeper,ragnaros,10.0,2172.0,0.0,100.0,3.0,2.0,0.0,2.0,33.0,100.0,80.0,,25.0,,100.0,,33.0,67.0,40.0,0.0,6.0,3.0,5.0,,4.0,,2.0,,3.0,3.0,5.0,2.0,2.0,3.0,4.0,,1.0,,2.0,,1.0,2.0,2.0,0.0,,,67.0,,,6.0,,,4.0,,,,,,,100.0,1.0,1.0,,,,,,,,,
