character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Isle of Conquest played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Isle of Conquest won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin win_rate,Deepwind Gorge win_rate,Arathi Basin played,Deepwind Gorge played,Arathi Basin won,Deepwind Gorge won,Ashran win_rate,Ashran played,Ashran won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won
148078900,Арахнея,howling-fjord,56.0,289.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150451053,Koyjin,kazzak,104.0,57121.0,43.0,,,,72.0,,,,31.0,,,,55.0,49.0,49.0,61.0,53.0,78.0,67.0,58.0,69.0,53.0,87.0,449.0,170.0,114.0,109.0,45.0,9.0,31.0,13.0,15.0,48.0,219.0,83.0,69.0,58.0,35.0,6.0,18.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,
198291286,Бариарт,soulflayer,33.0,3107.0,33.0,83.0,100.0,100.0,3.0,6.0,3.0,1.0,1.0,5.0,3.0,1.0,50.0,,,75.0,,50.0,67.0,70.0,40.0,,2.0,,,4.0,,4.0,3.0,10.0,5.0,,1.0,,,3.0,,2.0,2.0,7.0,2.0,,50.0,43.0,6.0,7.0,3.0,3.0,,,,,,,,,,,,,,,
106800348,Iliriel,archimonde,7.0,2700.0,50.0,,,,2.0,,,,1.0,,,,57.0,67.0,40.0,40.0,0.0,0.0,100.0,50.0,33.0,,7.0,6.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
33356986,Лаунч,howling-fjord,22.0,20308.0,53.0,100.0,57.0,,32.0,1.0,7.0,,17.0,1.0,4.0,,72.0,72.0,61.0,68.0,69.0,60.0,67.0,75.0,33.0,33.0,39.0,78.0,71.0,62.0,64.0,20.0,3.0,8.0,6.0,3.0,28.0,56.0,43.0,42.0,44.0,12.0,2.0,6.0,2.0,1.0,0.0,100.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,
157662037,Капсиз,soulflayer,33.0,1865.0,0.0,,0.0,,4.0,,1.0,,0.0,,0.0,,0.0,0.0,43.0,0.0,100.0,33.0,50.0,67.0,60.0,38.0,1.0,4.0,7.0,1.0,2.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,4.0,3.0,3.0,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,
89907460,Nimsy,blackhand,45.0,22814.0,29.0,71.0,64.0,100.0,7.0,34.0,25.0,1.0,2.0,24.0,16.0,1.0,33.0,52.0,61.0,47.0,53.0,45.0,45.0,53.0,57.0,38.0,12.0,107.0,66.0,62.0,15.0,77.0,100.0,100.0,127.0,26.0,4.0,56.0,40.0,29.0,8.0,35.0,45.0,53.0,72.0,10.0,65.0,50.0,26.0,26.0,17.0,13.0,,,,500.0,1.0,5.0,40.0,100.0,5.0,5.0,2.0,5.0,,,
147483914,Furbyqt,blackmoore,45.0,63162.0,44.0,60.0,25.0,43.0,96.0,15.0,12.0,7.0,42.0,9.0,3.0,3.0,52.0,42.0,44.0,44.0,48.0,49.0,60.0,50.0,51.0,66.0,204.0,346.0,279.0,127.0,123.0,136.0,97.0,135.0,83.0,53.0,106.0,147.0,123.0,56.0,59.0,66.0,58.0,68.0,42.0,35.0,40.0,80.0,5.0,5.0,2.0,4.0,50.0,2.0,1.0,4900.0,1.0,49.0,,100.0,,7.0,,7.0,75.0,4.0,3.0
158487277,Crazywings,blackhand,14.0,1206.0,,100.0,50.0,100.0,,2.0,2.0,1.0,,2.0,1.0,1.0,100.0,,,100.0,,50.0,100.0,75.0,100.0,,1.0,,,3.0,,4.0,1.0,4.0,2.0,,1.0,,,3.0,,2.0,1.0,3.0,2.0,,50.0,50.0,2.0,2.0,1.0,1.0,,,,50.0,2.0,1.0,100.0,,1.0,,1.0,,,,
179027754,Толомир,soulflayer,12.0,56.0,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,
143372979,Илетил,soulflayer,36.0,66522.0,60.0,75.0,80.0,60.0,72.0,8.0,5.0,5.0,43.0,6.0,4.0,3.0,54.0,76.0,62.0,73.0,69.0,56.0,66.0,63.0,65.0,63.0,74.0,231.0,205.0,144.0,118.0,61.0,29.0,62.0,20.0,27.0,40.0,175.0,127.0,105.0,81.0,34.0,19.0,39.0,13.0,17.0,55.0,83.0,11.0,12.0,6.0,10.0,71.0,7.0,5.0,,,,,,,,,,,,
184277328,Proposition,hyjal,9.0,429.0,0.0,0.0,0.0,33.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,50.0,,1.0,,,,,1.0,1.0,,4.0,,0.0,,,,,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
113646499,Элтиш,soulflayer,53.0,42971.0,59.0,,,,63.0,,,,37.0,,,,47.0,56.0,62.0,61.0,48.0,54.0,25.0,64.0,50.0,80.0,107.0,85.0,173.0,56.0,79.0,26.0,4.0,55.0,14.0,5.0,50.0,48.0,108.0,34.0,38.0,14.0,1.0,35.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,
136574123,Логинчик,soulflayer,57.0,34246.0,35.0,100.0,62.0,40.0,20.0,6.0,8.0,5.0,7.0,6.0,5.0,2.0,52.0,57.0,52.0,59.0,63.0,43.0,58.0,55.0,55.0,66.0,25.0,51.0,66.0,59.0,46.0,61.0,36.0,119.0,51.0,35.0,13.0,29.0,34.0,35.0,29.0,26.0,21.0,66.0,28.0,23.0,,100.0,,1.0,,1.0,100.0,4.0,4.0,,,,0.0,100.0,1.0,1.0,0.0,1.0,83.0,6.0,5.0
110447787,Ayyah,stormscale,4.0,466.0,,,50.0,,,,2.0,,,,1.0,,,0.0,,,,100.0,100.0,,,,,1.0,,,,1.0,1.0,,,,,0.0,,,,1.0,1.0,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,
145980831,Этожестко,howling-fjord,6.0,297.0,,100.0,0.0,,,1.0,1.0,,,1.0,0.0,,0.0,,,0.0,,,0.0,50.0,0.0,,2.0,,,1.0,,,1.0,2.0,1.0,,0.0,,,0.0,,,0.0,1.0,0.0,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,
42015450,Retzrik,kazzak,54.0,37177.0,31.0,76.0,79.0,67.0,32.0,29.0,149.0,6.0,10.0,22.0,118.0,4.0,41.0,54.0,56.0,49.0,54.0,47.0,68.0,54.0,49.0,57.0,112.0,72.0,55.0,94.0,46.0,57.0,47.0,54.0,41.0,21.0,46.0,39.0,31.0,46.0,25.0,27.0,32.0,29.0,20.0,12.0,44.0,50.0,48.0,22.0,21.0,11.0,75.0,4.0,3.0,833.0,3.0,25.0,75.0,100.0,4.0,33.0,3.0,33.0,75.0,8.0,6.0
174023878,Adûriel,sanguino,73.0,14164.0,60.0,123.0,55.0,100.0,10.0,13.0,11.0,1.0,6.0,16.0,6.0,1.0,60.0,58.0,50.0,47.0,67.0,58.0,59.0,58.0,55.0,56.0,10.0,12.0,12.0,17.0,3.0,12.0,17.0,19.0,29.0,18.0,6.0,7.0,6.0,8.0,2.0,7.0,10.0,11.0,16.0,10.0,75.0,57.0,8.0,7.0,6.0,4.0,100.0,5.0,5.0,0.0,2.0,0.0,75.0,100.0,4.0,5.0,3.0,5.0,,,
195442580,Выклучатель,soulflayer,15.0,4833.0,100.0,50.0,50.0,100.0,1.0,4.0,6.0,5.0,1.0,2.0,3.0,5.0,,,,67.0,,100.0,100.0,100.0,100.0,,,,,9.0,,2.0,3.0,1.0,1.0,,,,,6.0,,2.0,3.0,1.0,1.0,,100.0,67.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,100.0,3.0,3.0
171439082,Grippingcnt,kazzak,55.0,1134.0,,80.0,33.0,,,5.0,6.0,,,4.0,2.0,,100.0,100.0,50.0,0.0,,67.0,33.0,100.0,100.0,0.0,1.0,1.0,2.0,1.0,,6.0,3.0,9.0,4.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,9.0,4.0,0.0,50.0,100.0,6.0,1.0,3.0,1.0,,,,100.0,2.0,2.0,,,,,,,,,
105455006,Anomindara,bladefist,8.0,8103.0,50.0,67.0,100.0,67.0,10.0,3.0,3.0,9.0,5.0,2.0,3.0,6.0,58.0,46.0,64.0,62.0,50.0,100.0,100.0,80.0,0.0,100.0,19.0,24.0,22.0,8.0,2.0,2.0,4.0,5.0,2.0,2.0,11.0,11.0,14.0,5.0,1.0,2.0,4.0,4.0,0.0,2.0,100.0,,1.0,,1.0,,75.0,4.0,3.0,,,,,,,,,,,,
153765540,Йосяфлексер,howling-fjord,120.0,4664.0,100.0,77.0,60.0,,1.0,13.0,5.0,,1.0,10.0,3.0,,,75.0,100.0,67.0,,39.0,50.0,90.0,57.0,55.0,,4.0,1.0,9.0,,18.0,16.0,10.0,14.0,11.0,,3.0,1.0,6.0,,7.0,8.0,9.0,8.0,6.0,67.0,75.0,9.0,4.0,6.0,3.0,,,,71.0,7.0,5.0,,,,,,,100.0,1.0,1.0
183621841,Тарлиф,soulflayer,21.0,3310.0,,43.0,100.0,50.0,,7.0,1.0,2.0,,3.0,1.0,1.0,100.0,0.0,50.0,80.0,,40.0,100.0,100.0,82.0,0.0,4.0,2.0,4.0,5.0,,5.0,2.0,5.0,11.0,1.0,4.0,0.0,2.0,4.0,,2.0,2.0,5.0,9.0,0.0,100.0,100.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,,,,100.0,,1.0,,1.0,,,,
185742940,Аисандра,soulflayer,38.0,1362.0,100.0,33.0,,0.0,2.0,3.0,,1.0,2.0,1.0,,0.0,0.0,,,0.0,,100.0,100.0,40.0,0.0,100.0,1.0,,,1.0,,2.0,3.0,5.0,1.0,1.0,0.0,,,0.0,,2.0,3.0,2.0,0.0,1.0,100.0,,1.0,,1.0,,,,,,,,100.0,,1.0,,1.0,,,,
168873055,Капитанбрукс,howling-fjord,41.0,742.0,50.0,67.0,0.0,33.0,4.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,100.0,,,50.0,,,,100.0,,,1.0,,,2.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,100.0,,1.0,,1.0,,100.0,1.0,1.0,,,,,,,,,,,,
195177961,Anthonel,nemesis,65.0,41330.0,36.0,60.0,67.0,74.0,87.0,25.0,39.0,27.0,31.0,15.0,26.0,20.0,42.0,50.0,53.0,60.0,58.0,57.0,65.0,59.0,54.0,50.0,91.0,44.0,30.0,63.0,24.0,46.0,46.0,34.0,52.0,34.0,38.0,22.0,16.0,38.0,14.0,26.0,30.0,20.0,28.0,17.0,75.0,50.0,20.0,6.0,15.0,3.0,100.0,2.0,2.0,,,,60.0,100.0,15.0,18.0,9.0,18.0,75.0,4.0,3.0
168959257,Bultsax,tarren-mill,3.0,249.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,50.0,,1.0,,,,,1.0,,,2.0,,0.0,,,,,0.0,,,1.0,50.0,,2.0,,1.0,,,,,,,,,,,,,,,,
176474438,Vìzzer,burning-legion,55.0,2516.0,,100.0,78.0,,,5.0,9.0,,,5.0,7.0,,0.0,100.0,100.0,33.0,,43.0,33.0,50.0,55.0,60.0,1.0,2.0,1.0,9.0,,7.0,9.0,10.0,11.0,5.0,0.0,2.0,1.0,3.0,,3.0,3.0,5.0,6.0,3.0,57.0,62.0,14.0,8.0,8.0,5.0,100.0,1.0,1.0,,,,,,,,,,,,
102761668,Celedith,blackhand,15.0,949.0,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,67.0,33.0,100.0,33.0,100.0,1.0,4.0,,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,,1.0,2.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
183958955,Lmaowtf,kazzak,15.0,429.0,,33.0,60.0,,,3.0,5.0,,,1.0,3.0,,,,,0.0,,,,67.0,0.0,,,,,1.0,,,,3.0,1.0,,,,,0.0,,,,2.0,0.0,,67.0,100.0,3.0,2.0,2.0,2.0,,,,50.0,2.0,1.0,,,,,,,,,
161552105,Steverogers,burning-legion,21.0,149.0,,,,,,,,,,,,,,50.0,,0.0,,100.0,,,0.0,,,2.0,,1.0,,1.0,,,1.0,,,1.0,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
155664226,Nenia,ysondre,12.0,307.0,,0.0,0.0,,,1.0,2.0,,,0.0,0.0,,,,,0.0,,,,100.0,,,,,,1.0,,,,2.0,,,,,,0.0,,,,2.0,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,
145191273,Парломис,howling-fjord,26.0,6164.0,67.0,67.0,50.0,50.0,3.0,9.0,2.0,2.0,2.0,6.0,1.0,1.0,100.0,67.0,50.0,100.0,,88.0,69.0,100.0,67.0,50.0,2.0,3.0,4.0,2.0,,8.0,13.0,5.0,12.0,2.0,2.0,2.0,2.0,2.0,,7.0,9.0,5.0,8.0,1.0,0.0,67.0,2.0,3.0,0.0,2.0,50.0,2.0,1.0,,,,,,,,,,,,
175857019,Tindertank,twisting-nether,21.0,242.0,,75.0,0.0,,,4.0,1.0,,,3.0,0.0,,,,,,,0.0,0.0,100.0,100.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,1.0,1.0,,,50.0,,2.0,,1.0,,,,,,,,,,,,,,,
182266402,Аманарис,soulflayer,150.0,7750.0,33.0,0.0,100.0,,3.0,1.0,1.0,,1.0,0.0,1.0,,50.0,56.0,44.0,50.0,50.0,48.0,33.0,63.0,62.0,72.0,4.0,18.0,18.0,2.0,2.0,23.0,15.0,19.0,21.0,18.0,2.0,10.0,8.0,1.0,1.0,11.0,5.0,12.0,13.0,13.0,0.0,,1.0,,0.0,,100.0,1.0,1.0,150.0,2.0,3.0,,,,,,,,,
154538607,Angeloladin,blackrock,137.0,2624.0,50.0,43.0,88.0,100.0,2.0,7.0,8.0,3.0,1.0,3.0,7.0,3.0,67.0,,,67.0,,83.0,86.0,67.0,33.0,,6.0,,,3.0,,6.0,7.0,6.0,12.0,,4.0,,,2.0,,5.0,6.0,4.0,4.0,,100.0,20.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,
151740789,Аббигайль,howling-fjord,58.0,14103.0,33.0,69.0,67.0,100.0,3.0,32.0,21.0,3.0,1.0,22.0,14.0,3.0,43.0,89.0,100.0,74.0,0.0,64.0,65.0,64.0,63.0,71.0,7.0,9.0,3.0,19.0,1.0,36.0,31.0,33.0,35.0,21.0,3.0,8.0,3.0,14.0,0.0,23.0,20.0,21.0,22.0,15.0,60.0,73.0,30.0,11.0,18.0,8.0,,,,,,,100.0,,3.0,,3.0,,50.0,2.0,1.0
81214680,Blaxxtariam,frostwolf,39.0,32622.0,51.0,79.0,47.0,43.0,72.0,19.0,15.0,7.0,37.0,15.0,7.0,3.0,43.0,53.0,55.0,56.0,48.0,51.0,48.0,59.0,49.0,52.0,51.0,116.0,84.0,78.0,82.0,109.0,86.0,121.0,65.0,23.0,22.0,62.0,46.0,44.0,39.0,56.0,41.0,71.0,32.0,12.0,50.0,,12.0,,6.0,,,,,,,,,,,,,,,,
197137246,Норлен,soulflayer,49.0,5991.0,50.0,57.0,47.0,100.0,2.0,14.0,17.0,3.0,1.0,8.0,8.0,3.0,40.0,,,83.0,,46.0,69.0,44.0,59.0,,5.0,,,12.0,,13.0,16.0,16.0,17.0,,2.0,,,10.0,,6.0,11.0,7.0,10.0,,78.0,58.0,9.0,12.0,7.0,7.0,,,,,,,100.0,100.0,1.0,1.0,1.0,1.0,33.0,3.0,1.0
175158446,Strunfy,twisting-nether,11.0,900.0,67.0,100.0,100.0,25.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,,,,,100.0,,,67.0,,1.0,,,,,1.0,,,3.0,,0.0,,,,,1.0,,,2.0,,,0.0,,1.0,,0.0,100.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,
193148121,Aléxr,kazzak,71.0,31170.0,63.0,64.0,100.0,50.0,73.0,11.0,7.0,2.0,46.0,7.0,7.0,1.0,60.0,46.0,53.0,48.0,43.0,44.0,56.0,67.0,57.0,57.0,78.0,127.0,116.0,98.0,100.0,34.0,18.0,30.0,28.0,7.0,47.0,58.0,62.0,47.0,43.0,15.0,10.0,20.0,16.0,4.0,100.0,100.0,1.0,2.0,1.0,2.0,100.0,2.0,2.0,4200.0,1.0,42.0,,,,,,,,,
181402947,Альтик,ashenvale,60.0,44595.0,44.0,57.0,43.0,45.0,81.0,30.0,21.0,38.0,36.0,17.0,9.0,17.0,72.0,52.0,38.0,59.0,,72.0,67.0,61.0,62.0,81.0,79.0,21.0,8.0,34.0,,32.0,42.0,38.0,52.0,31.0,57.0,11.0,3.0,20.0,,23.0,28.0,23.0,32.0,25.0,50.0,56.0,14.0,9.0,7.0,5.0,57.0,14.0,8.0,,,,100.0,100.0,4.0,10.0,4.0,10.0,100.0,10.0,10.0
113387085,Acashic,blackhand,9.0,1896.0,,33.0,0.0,100.0,,3.0,1.0,1.0,,1.0,0.0,1.0,50.0,,33.0,40.0,,67.0,0.0,50.0,80.0,0.0,4.0,,3.0,5.0,,3.0,1.0,4.0,5.0,1.0,2.0,,1.0,2.0,,2.0,0.0,2.0,4.0,0.0,0.0,50.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,100.0,1.0,1.0
69296778,Wtsfood,stormscale,12.0,17680.0,64.0,,,25.0,39.0,,,4.0,25.0,,,1.0,43.0,62.0,52.0,55.0,46.0,43.0,,88.0,100.0,0.0,134.0,97.0,77.0,85.0,83.0,7.0,,8.0,2.0,1.0,58.0,60.0,40.0,47.0,38.0,3.0,,7.0,2.0,0.0,,,,,,,100.0,2.0,2.0,,,,,,,,,,,,
194396987,Crael,hyjal,22.0,412.0,,100.0,,50.0,,1.0,,2.0,,1.0,,1.0,,,,,,100.0,100.0,50.0,100.0,,,,,,,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,50.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,
245287039,Патисоныч,soulflayer,4.0,178.0,0.0,,,,1.0,,,,0.0,,,,,,,,,,100.0,100.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,0.0,100.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
110625023,Palidinøs,ysondre,12.0,1145.0,67.0,,,,3.0,,,,2.0,,,,50.0,50.0,0.0,0.0,0.0,100.0,40.0,100.0,67.0,50.0,2.0,2.0,1.0,2.0,4.0,3.0,5.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
173345426,Фариб,soulflayer,31.0,4799.0,38.0,55.0,50.0,100.0,8.0,11.0,6.0,3.0,3.0,6.0,3.0,3.0,50.0,100.0,,67.0,,70.0,67.0,62.0,70.0,67.0,6.0,2.0,,15.0,,10.0,6.0,8.0,10.0,3.0,3.0,2.0,,10.0,,7.0,4.0,5.0,7.0,2.0,80.0,100.0,5.0,2.0,4.0,2.0,,,,0.0,1.0,0.0,,100.0,,12.0,,12.0,,,
157089399,Wudji,ysondre,131.0,1683.0,,,67.0,,,,3.0,,,,2.0,,,,,50.0,,25.0,17.0,50.0,20.0,,,,,4.0,,4.0,6.0,2.0,5.0,,,,,2.0,,1.0,1.0,1.0,1.0,,83.0,29.0,6.0,7.0,5.0,2.0,,,,,,,,,,,,,100.0,1.0,1.0
