character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
108831605,Lodeon,ysondre,4.0,586.0,100.0,,,,,,50.0,,0.0,50.0,,,100.0,33.0,20.0,0.0,,1.0,,,,,,2.0,,2.0,2.0,,,1.0,3.0,5.0,1.0,,1.0,,,,,,1.0,,0.0,1.0,,,1.0,1.0,1.0,0.0,,,,,,,,,,,100.0,2.0,2.0,,,,,,
155768477,Tryskael,ysondre,6.0,756.0,100.0,,,100.0,,100.0,,,0.0,,,25.0,100.0,0.0,,100.0,,1.0,,,1.0,,2.0,,,1.0,,,4.0,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,,,0.0,,,1.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,
182192346,Ёпы,gordunni,47.0,299.0,,,,,,,100.0,100.0,100.0,0.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
73380864,Линвел,howling-fjord,20.0,41907.0,27.0,40.0,50.0,38.0,30.0,41.0,43.0,89.0,43.0,43.0,75.0,50.0,75.0,67.0,50.0,100.0,67.0,96.0,99.0,215.0,90.0,71.0,102.0,84.0,9.0,212.0,7.0,4.0,2.0,8.0,9.0,6.0,5.0,9.0,26.0,40.0,107.0,34.0,21.0,42.0,36.0,8.0,91.0,3.0,3.0,1.0,6.0,6.0,3.0,5.0,6.0,100.0,100.0,100.0,1.0,4.0,2.0,1.0,4.0,2.0,200.0,1.0,2.0,,,,,,
242326694,Жекарепитанс,soulflayer,114.0,185627.0,55.0,70.0,66.0,64.0,62.0,56.0,76.0,44.0,66.0,59.0,63.0,0.0,40.0,75.0,0.0,100.0,100.0,316.0,1030.0,819.0,571.0,559.0,330.0,376.0,36.0,422.0,49.0,27.0,3.0,5.0,4.0,2.0,1.0,2.0,175.0,718.0,544.0,366.0,344.0,185.0,286.0,16.0,280.0,29.0,17.0,0.0,2.0,3.0,0.0,1.0,2.0,,100.0,,,1.0,,,1.0,,34800.0,1.0,348.0,50.0,2.0,1.0,,,
241568352,Военврач,blackscar,8.0,2895.0,100.0,,,0.0,,100.0,100.0,0.0,,33.0,,57.0,0.0,0.0,,29.0,,3.0,,,1.0,,3.0,2.0,2.0,,3.0,,7.0,1.0,1.0,,7.0,,3.0,,,0.0,,3.0,2.0,0.0,,1.0,,4.0,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,
89158482,Сяське,soulflayer,49.0,308848.0,57.0,68.0,62.0,52.0,41.0,59.0,65.0,69.0,65.0,61.0,100.0,67.0,58.0,57.0,67.0,55.0,45.0,345.0,597.0,564.0,270.0,207.0,339.0,272.0,88.0,269.0,117.0,3.0,30.0,38.0,42.0,24.0,71.0,31.0,196.0,405.0,348.0,141.0,85.0,199.0,178.0,61.0,176.0,71.0,3.0,20.0,22.0,24.0,16.0,39.0,14.0,71.0,,,7.0,,,5.0,,,7100.0,1.0,71.0,,,,,,
141176681,Белад,howling-fjord,4.0,1152.0,,,,50.0,,0.0,0.0,67.0,100.0,100.0,,0.0,50.0,0.0,20.0,50.0,33.0,,,,4.0,,1.0,1.0,3.0,4.0,2.0,,1.0,4.0,1.0,5.0,2.0,3.0,,,,2.0,,0.0,0.0,2.0,4.0,2.0,,0.0,2.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
126063957,Pumblum,draenor,9.0,3632.0,80.0,,,0.0,,11.0,0.0,100.0,100.0,0.0,,50.0,25.0,100.0,100.0,29.0,,5.0,,,1.0,,9.0,1.0,2.0,1.0,2.0,,2.0,4.0,5.0,2.0,14.0,,4.0,,,0.0,,1.0,0.0,2.0,1.0,0.0,,1.0,1.0,5.0,2.0,4.0,,,100.0,100.0,,7.0,1.0,,7.0,1.0,,,,,,,,,
134238884,Zendrin,draenor,19.0,3514.0,50.0,,,67.0,,67.0,75.0,40.0,50.0,64.0,,100.0,40.0,33.0,83.0,33.0,57.0,6.0,,,3.0,,6.0,8.0,10.0,4.0,11.0,,1.0,5.0,3.0,6.0,6.0,7.0,3.0,,,2.0,,4.0,6.0,4.0,2.0,7.0,,1.0,2.0,1.0,5.0,2.0,4.0,,,100.0,,,1.0,,,1.0,,,,,,,,,
186492602,Redjunk,archimonde,3.0,1000.0,100.0,,,50.0,,0.0,100.0,,,,,0.0,,100.0,,,100.0,1.0,,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,0.0,1.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
153391084,Ereboss,argent-dawn,32.0,7666.0,67.0,,,71.0,,0.0,56.0,77.0,70.0,70.0,100.0,0.0,62.0,71.0,62.0,100.0,29.0,6.0,,,7.0,,1.0,9.0,13.0,10.0,27.0,1.0,1.0,8.0,28.0,13.0,2.0,7.0,4.0,,,5.0,,0.0,5.0,10.0,7.0,19.0,1.0,0.0,5.0,20.0,8.0,2.0,2.0,100.0,100.0,60.0,1.0,1.0,5.0,1.0,1.0,3.0,,,,,,,100.0,4.0,4.0
131667346,Falsak,uldum,22.0,707.0,,,,,,0.0,,,,,,100.0,,,0.0,0.0,,,,,,,1.0,,,,,,1.0,,,1.0,2.0,,,,,,,0.0,,,,,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
176995816,Chroner,burning-legion,4.0,375.0,,,,,,,,,100.0,67.0,,100.0,100.0,0.0,0.0,,,,,,,,,,,1.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,,,100.0,,,1.0,,,1.0,,,,,,,,,,,
81515841,Palimes,thrall,11.0,2003.0,100.0,0.0,100.0,50.0,,100.0,60.0,67.0,57.0,27.0,100.0,,33.0,67.0,50.0,50.0,,1.0,1.0,1.0,8.0,,2.0,5.0,6.0,7.0,15.0,1.0,,9.0,3.0,4.0,2.0,,1.0,0.0,1.0,4.0,,2.0,3.0,4.0,4.0,4.0,1.0,,3.0,2.0,2.0,1.0,,,100.0,,,72.0,,,72.0,,,,,,,,,,
176737844,Actionn,twisting-nether,29.0,1795.0,,0.0,,0.0,100.0,,57.0,100.0,86.0,75.0,100.0,0.0,25.0,83.0,100.0,,100.0,,1.0,,3.0,1.0,,7.0,4.0,7.0,4.0,1.0,1.0,12.0,6.0,8.0,,1.0,,0.0,,0.0,1.0,,4.0,4.0,6.0,3.0,1.0,0.0,3.0,5.0,8.0,,1.0,0.0,,0.0,1.0,,1.0,0.0,,0.0,,,,,,,,,
156375463,Nrseven,aggramar,5.0,34.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
73476542,Eàrànël,les-clairvoyants,89.0,100773.0,49.0,57.0,51.0,51.0,47.0,38.0,55.0,52.0,47.0,47.0,44.0,83.0,42.0,46.0,44.0,67.0,50.0,190.0,497.0,295.0,245.0,157.0,109.0,213.0,122.0,213.0,190.0,108.0,6.0,80.0,67.0,36.0,18.0,22.0,93.0,282.0,149.0,124.0,74.0,41.0,117.0,64.0,100.0,90.0,48.0,5.0,34.0,31.0,16.0,12.0,11.0,55.0,100.0,100.0,11.0,4.0,1.0,6.0,4.0,1.0,2700.0,2.0,54.0,,,,,,
91300363,Undefeated,illidan,3.0,7334.0,50.0,72.0,33.0,25.0,43.0,17.0,,,67.0,,50.0,,,,,,,6.0,18.0,6.0,4.0,7.0,6.0,,,3.0,,2.0,,,,,,,3.0,13.0,2.0,1.0,3.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
114000867,Venchetolol,ravencrest,37.0,1473.0,60.0,,,100.0,,100.0,50.0,100.0,0.0,40.0,,100.0,0.0,100.0,0.0,0.0,100.0,5.0,,,1.0,,2.0,2.0,4.0,2.0,5.0,,3.0,1.0,2.0,1.0,3.0,1.0,3.0,,,1.0,,2.0,1.0,4.0,0.0,2.0,,3.0,0.0,2.0,0.0,0.0,1.0,50.0,,,2.0,,,1.0,,,0.0,1.0,0.0,,,,,,
162041477,Lorelei,garona,10.0,3316.0,71.0,,,60.0,,100.0,43.0,44.0,62.0,50.0,,67.0,50.0,50.0,29.0,33.0,50.0,7.0,,,10.0,,3.0,7.0,9.0,8.0,10.0,,6.0,8.0,12.0,7.0,6.0,4.0,5.0,,,6.0,,3.0,3.0,4.0,5.0,5.0,,4.0,4.0,6.0,2.0,2.0,2.0,0.0,,,1.0,,,0.0,,,,,,,,,,,
194407697,Stanks,hyjal,5.0,451.0,50.0,,,,,,33.0,0.0,,50.0,,0.0,,0.0,,0.0,0.0,2.0,,,,,,3.0,3.0,,2.0,,1.0,,1.0,,2.0,2.0,1.0,,,,,,1.0,0.0,,1.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,1.0,0.0,,,,,,
139419311,Ferulë,dun-modr,6.0,1283.0,100.0,,0.0,100.0,,,100.0,100.0,50.0,,0.0,,,0.0,0.0,100.0,100.0,1.0,,1.0,4.0,,,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,0.0,4.0,,,1.0,1.0,1.0,,0.0,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,
246628619,Beefycawk,dragonblight,44.0,18603.0,45.0,44.0,35.0,46.0,51.0,49.0,67.0,67.0,35.0,43.0,50.0,0.0,67.0,100.0,50.0,0.0,100.0,51.0,146.0,63.0,61.0,37.0,35.0,12.0,6.0,17.0,7.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,23.0,64.0,22.0,28.0,19.0,17.0,8.0,4.0,6.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,
175892083,Dalinnar,ragnaros,8.0,90.0,,,,,,,,,,,,,100.0,,,,0.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,
177775653,Tchaokoko,illidan,2.0,524.0,100.0,,,,,100.0,,,100.0,,,,100.0,,,50.0,,3.0,,,,,1.0,,,1.0,,,,1.0,,,2.0,,3.0,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
101466059,Thereclis,temple-noir,6.0,14213.0,45.0,42.0,46.0,50.0,50.0,33.0,50.0,100.0,67.0,25.0,,,,,100.0,33.0,0.0,83.0,53.0,50.0,44.0,42.0,12.0,2.0,1.0,3.0,4.0,,,,,1.0,3.0,1.0,37.0,22.0,23.0,22.0,21.0,4.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,0.0,,,50.0,,,4.0,,,2.0,,,,,,,,,
198216897,Wetwipes,kazzak,85.0,16769.0,46.0,50.0,44.0,66.0,53.0,41.0,24.0,62.0,46.0,54.0,40.0,100.0,33.0,60.0,38.0,0.0,40.0,67.0,52.0,43.0,41.0,62.0,32.0,34.0,26.0,48.0,26.0,20.0,1.0,3.0,5.0,8.0,1.0,10.0,31.0,26.0,19.0,27.0,33.0,13.0,8.0,16.0,22.0,14.0,8.0,1.0,1.0,3.0,3.0,0.0,4.0,,,,,,,,,,967.0,3.0,29.0,,,,,,
157844050,Uwukekowo,stormscale,13.0,268.0,,,,0.0,,,0.0,,,,,50.0,,0.0,,,0.0,,,,1.0,,,1.0,,,,,2.0,,1.0,,,1.0,,,,0.0,,,0.0,,,,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,
176608692,Fald,naxxramas,50.0,502.0,0.0,,,,,0.0,50.0,0.0,100.0,100.0,,,100.0,67.0,,100.0,,1.0,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,3.0,,2.0,,0.0,,,,,0.0,1.0,0.0,1.0,1.0,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,
104654161,Sketikz,draenor,51.0,507.0,50.0,,,,,50.0,0.0,100.0,,100.0,,,,50.0,,0.0,33.0,2.0,,,,,2.0,1.0,1.0,,1.0,,,,2.0,,1.0,3.0,1.0,,,,,1.0,0.0,1.0,,1.0,,,,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,
158103304,Chalumo,ysondre,14.0,61702.0,49.0,50.0,43.0,32.0,38.0,41.0,40.0,50.0,75.0,100.0,67.0,,43.0,50.0,,,,90.0,149.0,126.0,56.0,55.0,17.0,15.0,2.0,12.0,2.0,3.0,,7.0,2.0,,,,44.0,74.0,54.0,18.0,21.0,7.0,6.0,1.0,9.0,2.0,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
93030662,Walor,ysondre,11.0,886.0,50.0,,,,,,50.0,100.0,100.0,80.0,,,67.0,0.0,100.0,,33.0,2.0,,,,,,2.0,2.0,1.0,5.0,,,3.0,1.0,1.0,,3.0,1.0,,,,,,1.0,2.0,1.0,4.0,,,2.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
97667229,Eldrin,tarren-mill,10.0,48126.0,44.0,58.0,60.0,56.0,56.0,51.0,44.0,64.0,57.0,53.0,58.0,100.0,200.0,,,,,61.0,156.0,153.0,123.0,120.0,47.0,59.0,25.0,49.0,57.0,26.0,1.0,2.0,,,,,27.0,90.0,92.0,69.0,67.0,24.0,26.0,16.0,28.0,30.0,15.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
107271066,Twardziejszy,ravencrest,5.0,872.0,100.0,,,0.0,,100.0,33.0,0.0,100.0,100.0,,,50.0,100.0,100.0,50.0,100.0,1.0,,,1.0,,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,1.0,4.0,1.0,1.0,,,0.0,,1.0,1.0,0.0,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,,100.0,,,1.0,,,1.0,0.0,1.0,0.0,,,,,,
166383385,Hollyblood,naxxramas,13.0,12104.0,44.0,62.0,60.0,59.0,66.0,69.0,0.0,50.0,0.0,,100.0,,,,,,,16.0,53.0,52.0,39.0,38.0,13.0,4.0,6.0,3.0,,1.0,,,,,,,7.0,33.0,31.0,23.0,25.0,9.0,0.0,3.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
195345749,Laynda,hyjal,69.0,871.0,100.0,,,0.0,,100.0,100.0,0.0,33.0,50.0,,67.0,40.0,0.0,0.0,,67.0,2.0,,,3.0,,1.0,1.0,1.0,3.0,2.0,,3.0,5.0,2.0,1.0,,3.0,2.0,,,0.0,,1.0,1.0,0.0,1.0,1.0,,2.0,2.0,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,
164759615,Beler,kazzak,21.0,1785.0,0.0,100.0,,33.0,,100.0,50.0,40.0,,100.0,,0.0,25.0,33.0,100.0,0.0,80.0,1.0,3.0,,3.0,,1.0,4.0,5.0,,2.0,,3.0,4.0,3.0,1.0,3.0,5.0,0.0,3.0,,1.0,,1.0,2.0,2.0,,2.0,,0.0,1.0,1.0,1.0,0.0,4.0,,,,,,,,,,40.0,5.0,2.0,,,,,,
117392030,Luxdom,pozzo-delleternità,7.0,4511.0,17.0,20.0,33.0,24.0,0.0,23.0,43.0,14.0,25.0,11.0,0.0,67.0,0.0,67.0,0.0,50.0,100.0,18.0,5.0,6.0,17.0,2.0,13.0,7.0,7.0,4.0,9.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,100.0,100.0,15.0,1.0,3.0,13.0,1.0,3.0,2.0,,,,,,,,,
159710400,Hestiä,sanguino,14.0,314.0,,,,,,,0.0,,,0.0,,0.0,,,0.0,,100.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,,2.0,,,,,,,0.0,,,0.0,,0.0,,,0.0,,2.0,,,,,,,,,,,,,,,,,,
75791424,Blatrix,kazzak,10.0,4878.0,17.0,38.0,67.0,20.0,38.0,0.0,,75.0,50.0,100.0,50.0,,,,,,,18.0,8.0,6.0,5.0,8.0,1.0,,4.0,2.0,1.0,2.0,,,,,,,3.0,3.0,4.0,1.0,3.0,0.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
176360167,Ghørze,archimonde,49.0,20221.0,38.0,61.0,26.0,48.0,50.0,30.0,44.0,39.0,66.0,54.0,46.0,0.0,25.0,,100.0,,50.0,13.0,41.0,23.0,31.0,26.0,10.0,36.0,23.0,35.0,35.0,26.0,1.0,4.0,,1.0,,2.0,5.0,25.0,6.0,15.0,13.0,3.0,16.0,9.0,23.0,19.0,12.0,0.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
149763852,Aurum,frostwhisper,111.0,70544.0,59.0,52.0,57.0,54.0,49.0,55.0,44.0,47.0,51.0,56.0,52.0,100.0,57.0,50.0,40.0,75.0,60.0,262.0,218.0,212.0,208.0,92.0,156.0,63.0,55.0,106.0,66.0,33.0,8.0,21.0,12.0,5.0,12.0,5.0,154.0,114.0,121.0,113.0,45.0,86.0,28.0,26.0,54.0,37.0,17.0,8.0,12.0,6.0,2.0,9.0,3.0,75.0,100.0,,4.0,11.0,,3.0,11.0,,,,,,,,,,
191367421,Paganike,archimonde,6.0,1294.0,,,,0.0,,,,,25.0,0.0,,,0.0,100.0,50.0,,0.0,,,,1.0,,,,,4.0,1.0,,,2.0,2.0,2.0,,1.0,,,,0.0,,,,,1.0,0.0,,,0.0,2.0,1.0,,0.0,,,50.0,,,2.0,,,1.0,,,,,,,,,
175828779,Холисмайл,howling-fjord,3.0,396.0,100.0,,,,,,100.0,,100.0,,,,,,0.0,100.0,,1.0,,,,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
135592201,Pathrocle,ysondre,1.0,705.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,,2.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
166472207,Sancipanci,defias-brotherhood,2.0,196.0,,,,0.0,,,,,100.0,,,,100.0,,,,100.0,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,0.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
148431706,Lychro,blackmoore,7.0,1458.0,,,,25.0,,,33.0,40.0,43.0,100.0,,,67.0,67.0,40.0,0.0,100.0,,,,4.0,,,3.0,5.0,7.0,1.0,,,3.0,6.0,5.0,1.0,1.0,,,,1.0,,,1.0,2.0,3.0,1.0,,,2.0,4.0,2.0,0.0,1.0,,,,,,,,,,0.0,1.0,0.0,,,,,,
89899065,Gavin,malorne,8.0,16494.0,77.0,57.0,77.0,75.0,33.0,56.0,71.0,50.0,89.0,100.0,,100.0,100.0,,0.0,83.0,,47.0,7.0,26.0,16.0,12.0,18.0,7.0,2.0,9.0,1.0,,2.0,1.0,,2.0,6.0,,36.0,4.0,20.0,12.0,4.0,10.0,5.0,1.0,8.0,1.0,,2.0,1.0,,0.0,5.0,,,100.0,78.0,,5.0,9.0,,5.0,7.0,,,,,,,,,
164078609,Ranzá,sanguino,5.0,337.0,,,,100.0,,,,,,0.0,,,100.0,100.0,0.0,,,,,,4.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,4.0,,,,,,0.0,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
123079866,Lithiss,drekthar,10.0,6442.0,20.0,36.0,50.0,50.0,57.0,0.0,39.0,67.0,53.0,33.0,50.0,100.0,0.0,,,,,5.0,25.0,16.0,16.0,14.0,6.0,18.0,3.0,30.0,6.0,2.0,2.0,1.0,,,,,1.0,9.0,8.0,8.0,8.0,0.0,7.0,2.0,16.0,2.0,1.0,2.0,0.0,,,,,,100.0,,,1.0,,,1.0,,,,,,,,,,
155194876,Shotaromoon,burning-legion,11.0,791.0,67.0,,,100.0,,100.0,100.0,100.0,,,,,,,,100.0,100.0,3.0,,,2.0,,1.0,3.0,1.0,,,,,,,,1.0,1.0,2.0,,,2.0,,1.0,3.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
116882174,Sâyajil,blackhand,21.0,966.0,0.0,,,,,100.0,0.0,,100.0,50.0,,,0.0,50.0,100.0,100.0,0.0,1.0,,,,,1.0,1.0,,1.0,2.0,,,2.0,2.0,1.0,3.0,1.0,0.0,,,,,1.0,0.0,,1.0,1.0,,,0.0,1.0,1.0,3.0,0.0,,100.0,,,1.0,,,1.0,,,,,,,,,,
159225413,Palmangue,dun-modr,44.0,1043.0,86.0,67.0,67.0,50.0,0.0,,,14.0,,100.0,,,,0.0,,,,7.0,3.0,3.0,4.0,1.0,,,7.0,,1.0,,,,1.0,,,,6.0,2.0,2.0,2.0,0.0,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
71347128,Iawful,stormscale,8.0,20063.0,55.0,51.0,54.0,55.0,37.0,66.0,50.0,73.0,61.0,60.0,0.0,,,,,,,105.0,90.0,46.0,38.0,38.0,41.0,50.0,15.0,41.0,15.0,3.0,,,,,,,58.0,46.0,25.0,21.0,14.0,27.0,25.0,11.0,25.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
88240571,Octawiuss,draenor,60.0,3678.0,67.0,100.0,,33.0,,,50.0,62.0,50.0,70.0,50.0,100.0,33.0,29.0,43.0,50.0,20.0,3.0,1.0,,6.0,,,6.0,8.0,8.0,10.0,2.0,1.0,12.0,7.0,7.0,2.0,5.0,2.0,1.0,,2.0,,,3.0,5.0,4.0,7.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,,100.0,100.0,,60.0,1.0,,60.0,1.0,80.0,5.0,4.0,,,,,,
184927243,Cirifice,archimonde,16.0,3553.0,33.0,100.0,100.0,,50.0,,0.0,100.0,,,,,67.0,0.0,,,100.0,3.0,1.0,2.0,,4.0,,1.0,1.0,,,,,3.0,1.0,,,1.0,1.0,1.0,2.0,,2.0,,0.0,1.0,,,,,2.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,
191407351,Ranouk,nemesis,24.0,205.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,,,
106403243,Kiwikopf,blackhand,13.0,1817.0,33.0,40.0,67.0,0.0,,,25.0,33.0,50.0,80.0,,,,,,,100.0,3.0,5.0,3.0,1.0,,,4.0,3.0,2.0,5.0,,,,,,,1.0,1.0,2.0,2.0,0.0,,,1.0,1.0,1.0,4.0,,,,,,,1.0,,100.0,,,2.0,,,2.0,,,,,,,,,,
91230841,Ëven,illidan,10.0,3776.0,40.0,43.0,50.0,40.0,56.0,20.0,0.0,0.0,100.0,25.0,,50.0,,100.0,,,,10.0,14.0,10.0,10.0,9.0,5.0,8.0,1.0,2.0,4.0,,2.0,,1.0,,,,4.0,6.0,5.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
107524371,Omkara,ysondre,1.0,9870.0,55.0,56.0,59.0,71.0,60.0,50.0,,,,,,,,,,,,38.0,25.0,29.0,17.0,10.0,8.0,,,,,,,,,,,,21.0,14.0,17.0,12.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141445649,Adrianie,ysera,126.0,140.0,,,,,,,0.0,,,,,,0.0,100.0,0.0,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
94673446,Megnar,twisting-nether,176.0,24035.0,24.0,59.0,55.0,57.0,48.0,7.0,54.0,53.0,60.0,61.0,67.0,33.0,860.0,50.0,50.0,50.0,43.0,29.0,103.0,64.0,42.0,25.0,14.0,100.0,95.0,97.0,107.0,45.0,3.0,5.0,4.0,4.0,6.0,7.0,7.0,61.0,35.0,24.0,12.0,1.0,54.0,50.0,58.0,65.0,30.0,1.0,43.0,2.0,2.0,3.0,3.0,,,,,,,,,,81.0,16.0,13.0,,,,,,
140116630,Talang,tarren-mill,26.0,1727.0,50.0,,,100.0,,,100.0,60.0,100.0,100.0,,100.0,67.0,100.0,60.0,,75.0,2.0,,,2.0,,,1.0,5.0,4.0,4.0,,2.0,3.0,6.0,5.0,,4.0,1.0,,,2.0,,,1.0,3.0,4.0,4.0,,2.0,2.0,6.0,3.0,,3.0,,,,,,,,,,,,,,,,,,
179868022,Mùtan,archimonde,8.0,2414.0,33.0,,,,,0.0,100.0,67.0,20.0,67.0,0.0,,0.0,0.0,100.0,,0.0,3.0,,,,,1.0,2.0,3.0,5.0,3.0,3.0,,1.0,1.0,1.0,,2.0,1.0,,,,,0.0,2.0,2.0,1.0,2.0,0.0,,0.0,0.0,1.0,,0.0,,100.0,82.0,,3.0,11.0,,3.0,9.0,,,,,,,,,
185322365,Aertine,hyjal,38.0,46849.0,59.0,69.0,71.0,68.0,50.0,56.0,65.0,57.0,60.0,57.0,44.0,33.0,56.0,68.0,38.0,69.0,50.0,95.0,89.0,89.0,117.0,58.0,78.0,80.0,53.0,60.0,40.0,27.0,3.0,25.0,31.0,21.0,36.0,10.0,56.0,61.0,63.0,80.0,29.0,44.0,52.0,30.0,36.0,23.0,12.0,1.0,14.0,21.0,8.0,25.0,5.0,83.0,100.0,100.0,6.0,11.0,1.0,5.0,11.0,1.0,,,,,,,,,
193054276,Shyliin,silvermoon,4.0,1029.0,,,,,,,0.0,100.0,0.0,100.0,,0.0,,,100.0,33.0,33.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,1.0,3.0,3.0,,,,,,,0.0,1.0,0.0,1.0,,0.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
143450883,Alphane,twisting-nether,7.0,344.0,,,,,,,,0.0,,,,,,,,100.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
