character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
128957568,Aeth,argent-dawn,9.0,700.0,100.0,0.0,0.0,50.0,50.0,0.0,,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,40.0,,100.0,0.0,0.0,,1.0,,5.0,,1.0,2.0,1.0,,0.0,,2.0,,1.0,0.0,0.0,,,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,
175255710,Ferethor,darksorrow,6.0,233.0,,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,100.0,,100.0,,,,,,1.0,,2.0,,,,,,1.0,,2.0,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
196142318,Оливьешька,deathguard,13.0,1256.0,,75.0,0.0,33.0,33.0,100.0,100.0,,4.0,1.0,3.0,3.0,1.0,1.0,,3.0,0.0,1.0,1.0,1.0,1.0,,,0.0,,75.0,0.0,67.0,,,,1.0,,4.0,1.0,3.0,,,,0.0,,3.0,0.0,2.0,,100.0,0.0,,,,0.0,1.0,1.0,,,,1.0,1.0,0.0,,,,0.0,,,,,,
163298454,Putling,draenor,22.0,6120.0,62.0,53.0,50.0,,0.0,,0.0,24.0,17.0,4.0,,1.0,,1.0,15.0,9.0,2.0,,0.0,,0.0,77.0,41.0,58.0,65.0,65.0,100.0,62.0,0.0,22.0,17.0,12.0,17.0,20.0,2.0,32.0,1.0,17.0,7.0,7.0,11.0,13.0,2.0,20.0,0.0,,,,100.0,,,,,,3.0,,,,,,3.0,,,,,,,,
101386919,Azadaka,khaz-modan,8.0,2330.0,57.0,33.0,50.0,100.0,100.0,,0.0,7.0,9.0,2.0,1.0,1.0,,1.0,4.0,3.0,1.0,1.0,1.0,,0.0,29.0,0.0,33.0,50.0,100.0,0.0,0.0,25.0,21.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,17.0,,,,,,6.0,,,,,,1.0,,,,,,,
83696336,Palast,nemesis,5.0,290.0,,,100.0,,100.0,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,0.0,,,50.0,0.0,0.0,,,1.0,,,2.0,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,
162135842,Roridia,dun-modr,18.0,466.0,,100.0,,100.0,100.0,0.0,0.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,,2.0,1.0,0.0,0.0,,,100.0,,100.0,0.0,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,0.0,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,
99349083,Helligkoen,chamber-of-aspects,31.0,2168.0,54.0,0.0,67.0,,,,,13.0,2.0,9.0,,,,,7.0,0.0,6.0,,,,,0.0,100.0,25.0,50.0,38.0,50.0,33.0,0.0,3.0,4.0,4.0,4.0,8.0,6.0,3.0,1.0,0.0,4.0,1.0,2.0,3.0,3.0,1.0,0.0,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,
121408275,Nikkipala,kazzak,10.0,22895.0,67.0,62.0,59.0,,,100.0,,112.0,71.0,27.0,,,1.0,,75.0,44.0,16.0,,,1.0,,51.0,57.0,60.0,44.0,50.0,36.0,53.0,40.0,81.0,74.0,95.0,82.0,26.0,50.0,43.0,5.0,41.0,42.0,57.0,36.0,13.0,18.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
195387984,Goldlight,hyjal,45.0,2119.0,,0.0,38.0,33.0,60.0,75.0,100.0,,1.0,8.0,3.0,5.0,4.0,1.0,,0.0,3.0,1.0,3.0,3.0,1.0,,,91.0,,55.0,100.0,50.0,,,,11.0,,11.0,5.0,2.0,,,,10.0,,6.0,5.0,1.0,,100.0,100.0,,,,33.0,1.0,1.0,,,,6.0,1.0,1.0,,,,2.0,,,,,,
155185138,Noobgotohell,twisting-nether,16.0,3199.0,57.0,43.0,0.0,25.0,57.0,50.0,17.0,7.0,7.0,3.0,4.0,7.0,8.0,6.0,4.0,3.0,0.0,1.0,4.0,4.0,1.0,,,100.0,,67.0,50.0,75.0,,,,2.0,,3.0,6.0,4.0,,,,2.0,,2.0,3.0,3.0,,0.0,60.0,33.0,,,80.0,1.0,5.0,3.0,,,5.0,0.0,3.0,1.0,,,4.0,,,,,,
138549087,Rheidar,defias-brotherhood,19.0,6178.0,39.0,14.0,60.0,150.0,100.0,60.0,80.0,18.0,21.0,5.0,2.0,2.0,5.0,5.0,7.0,3.0,3.0,3.0,2.0,3.0,4.0,33.0,80.0,83.0,0.0,56.0,71.0,60.0,100.0,3.0,5.0,6.0,1.0,9.0,7.0,5.0,1.0,1.0,4.0,5.0,0.0,5.0,5.0,3.0,1.0,,67.0,,,100.0,50.0,,3.0,,,4.0,4.0,,2.0,,,4.0,2.0,,,,,,
115287737,Look,throkferoth,87.0,3041.0,50.0,,67.0,67.0,50.0,50.0,33.0,2.0,,9.0,12.0,4.0,4.0,3.0,1.0,,6.0,8.0,2.0,2.0,1.0,,,57.0,,50.0,58.0,50.0,50.0,,,7.0,,8.0,12.0,10.0,2.0,,,4.0,,4.0,7.0,5.0,1.0,,,,,,20.0,,,,,,5.0,,,,,,1.0,,,,,,
175857019,Tindertank,twisting-nether,21.0,242.0,,,100.0,75.0,0.0,,,,,1.0,4.0,1.0,,,,,1.0,3.0,0.0,,,,,,,0.0,0.0,100.0,,,,,,1.0,1.0,1.0,,,,,,0.0,0.0,1.0,,,,,,,50.0,,,,,,2.0,,,,,,1.0,,,,,,
191641209,Lindandriel,hyjal,40.0,547.0,,100.0,,,,0.0,50.0,,1.0,,,,1.0,4.0,,1.0,,,,0.0,2.0,,,0.0,,0.0,0.0,100.0,,,,1.0,,1.0,2.0,1.0,,,,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
177514687,Grunnbeld,dalaran,9.0,2278.0,,,42.0,56.0,60.0,44.0,,,,19.0,9.0,5.0,9.0,,,,8.0,5.0,3.0,4.0,,,,100.0,,46.0,69.0,44.0,,,,1.0,,13.0,13.0,9.0,,,,1.0,,6.0,9.0,4.0,,71.0,,,,0.0,38.0,7.0,,,,1.0,8.0,5.0,,,,0.0,3.0,,,,,,
73001556,Clîmâxx,eredar,20.0,28961.0,45.0,42.0,47.0,0.0,0.0,,100.0,88.0,43.0,15.0,1.0,1.0,,1.0,40.0,18.0,7.0,0.0,0.0,,1.0,52.0,57.0,56.0,60.0,61.0,58.0,75.0,67.0,205.0,120.0,63.0,62.0,54.0,19.0,53.0,12.0,107.0,69.0,35.0,37.0,33.0,11.0,40.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
110118309,Hopefool,defias-brotherhood,8.0,5071.0,55.0,56.0,,,,,,31.0,9.0,,,,,,17.0,5.0,,,,,,20.0,50.0,64.0,43.0,33.0,100.0,80.0,50.0,10.0,6.0,11.0,14.0,3.0,1.0,5.0,2.0,2.0,3.0,7.0,6.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
195803253,Boblashdk,silvermoon,36.0,1683.0,100.0,25.0,57.0,78.0,60.0,50.0,100.0,2.0,4.0,7.0,9.0,5.0,4.0,1.0,2.0,1.0,4.0,7.0,3.0,2.0,1.0,,,0.0,,38.0,25.0,40.0,,,,1.0,,8.0,4.0,5.0,,,,0.0,,3.0,1.0,2.0,,57.0,20.0,,,0.0,22.0,7.0,5.0,,,2.0,9.0,4.0,1.0,,,0.0,2.0,,,,,,
57836312,Релокин,gordunni,18.0,58770.0,71.0,65.0,53.0,67.0,100.0,67.0,,72.0,86.0,36.0,6.0,2.0,3.0,,51.0,56.0,19.0,4.0,2.0,2.0,,52.0,49.0,61.0,41.0,57.0,59.0,62.0,43.0,184.0,189.0,132.0,109.0,109.0,29.0,90.0,23.0,96.0,93.0,80.0,45.0,62.0,17.0,56.0,10.0,6100.0,75.0,,,,33.0,1.0,4.0,,,,3.0,61.0,3.0,,,,1.0,100.0,1.0,1.0,,,
158006360,Erokan,antonidas,33.0,48229.0,52.0,51.0,68.0,50.0,67.0,,,90.0,96.0,31.0,2.0,3.0,,,47.0,49.0,21.0,1.0,2.0,,,45.0,43.0,47.0,44.0,51.0,38.0,60.0,60.0,251.0,175.0,187.0,180.0,142.0,29.0,73.0,5.0,113.0,76.0,88.0,80.0,73.0,11.0,44.0,3.0,,0.0,,,,33.0,,2.0,,,,3.0,,0.0,,,,1.0,,,,,,
139945419,Grancigula,kazzak,16.0,1253.0,100.0,50.0,40.0,75.0,50.0,,,4.0,4.0,5.0,4.0,2.0,,,4.0,2.0,2.0,3.0,1.0,,,100.0,,,50.0,83.0,0.0,67.0,100.0,1.0,,,2.0,6.0,1.0,3.0,1.0,1.0,,,1.0,5.0,0.0,2.0,1.0,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,
161350120,Guldmormor,ragnaros,9.0,1218.0,,67.0,100.0,40.0,33.0,25.0,50.0,,3.0,3.0,5.0,6.0,8.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0,,,,,40.0,40.0,33.0,,,,,,5.0,5.0,3.0,,,,,,2.0,2.0,1.0,,50.0,,,,,25.0,2.0,,,,,4.0,1.0,,,,,1.0,,,,,,
176206603,Palathör,sanguino,12.0,2073.0,67.0,100.0,40.0,25.0,67.0,56.0,,3.0,1.0,5.0,4.0,6.0,9.0,,2.0,1.0,2.0,1.0,4.0,5.0,,,,25.0,,40.0,62.0,53.0,,,,4.0,,5.0,8.0,15.0,,,,1.0,,2.0,5.0,8.0,,43.0,100.0,100.0,,,40.0,7.0,2.0,1.0,,,5.0,3.0,2.0,1.0,,,2.0,,,,,,
164171574,Skylla,kazzak,13.0,760.0,,,60.0,0.0,50.0,100.0,,,,5.0,3.0,6.0,3.0,,,,3.0,0.0,3.0,3.0,,,,,,0.0,33.0,67.0,,,,,,2.0,6.0,3.0,,,,,,0.0,2.0,2.0,,50.0,,,,,33.0,4.0,,,,,3.0,2.0,,,,,1.0,,,,,,
79918519,Æxellent,frostwolf,61.0,20656.0,56.0,33.0,20.0,0.0,100.0,50.0,50.0,109.0,18.0,5.0,1.0,1.0,2.0,2.0,61.0,6.0,1.0,0.0,1.0,1.0,1.0,40.0,62.0,52.0,53.0,56.0,50.0,60.0,,60.0,78.0,69.0,43.0,16.0,2.0,15.0,,24.0,48.0,36.0,23.0,9.0,1.0,9.0,,,33.0,,,,0.0,,3.0,,,,4.0,,1.0,,,,0.0,,,,,,
170229125,Элитныи,gordunni,51.0,24170.0,49.0,40.0,79.0,100.0,0.0,,,39.0,30.0,24.0,1.0,2.0,,,19.0,12.0,19.0,1.0,0.0,,,62.0,54.0,60.0,58.0,56.0,59.0,70.0,76.0,110.0,79.0,52.0,53.0,70.0,27.0,91.0,21.0,68.0,43.0,31.0,31.0,39.0,16.0,64.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
136406542,Rancho,burning-legion,6.0,2966.0,50.0,14.0,0.0,0.0,,,100.0,12.0,7.0,1.0,1.0,,,1.0,6.0,1.0,0.0,0.0,,,1.0,50.0,50.0,50.0,25.0,60.0,50.0,50.0,40.0,2.0,8.0,6.0,8.0,5.0,2.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,,0.0,,,,0.0,,1.0,,,,1.0,,0.0,,,,0.0,,,,,,
133289054,Babadins,ravencrest,21.0,2549.0,50.0,,57.0,50.0,44.0,80.0,0.0,2.0,,7.0,8.0,9.0,5.0,1.0,1.0,,4.0,4.0,4.0,4.0,0.0,,,33.0,,60.0,56.0,56.0,,,,3.0,,10.0,9.0,9.0,,,,1.0,,6.0,5.0,5.0,,50.0,67.0,100.0,,,50.0,4.0,3.0,1.0,,,4.0,2.0,2.0,1.0,,,2.0,,,,,,
135697800,Thaennis,defias-brotherhood,44.0,1554.0,50.0,100.0,67.0,0.0,,,100.0,2.0,1.0,3.0,2.0,,,2.0,1.0,1.0,2.0,0.0,,,2.0,,0.0,57.0,,,50.0,0.0,,,2.0,7.0,,,2.0,2.0,,,0.0,4.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
160013505,Ayven,dalaran,1.0,241.0,,,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159590330,Uuna,archimonde,11.0,661.0,50.0,,100.0,,,,0.0,2.0,,4.0,,,,1.0,1.0,,4.0,,,,0.0,,0.0,0.0,,0.0,50.0,50.0,0.0,,2.0,1.0,,1.0,2.0,2.0,1.0,,0.0,0.0,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
160475810,Hashiramakun,darkmoon-faire,34.0,8379.0,33.0,46.0,62.0,57.0,50.0,60.0,56.0,21.0,13.0,8.0,14.0,8.0,15.0,16.0,7.0,6.0,5.0,8.0,4.0,9.0,9.0,0.0,57.0,42.0,,50.0,30.0,36.0,0.0,1.0,7.0,12.0,,4.0,10.0,11.0,3.0,0.0,4.0,5.0,,2.0,3.0,4.0,0.0,,,,100.0,20.0,50.0,,,,1.0,5.0,6.0,,,,1.0,1.0,3.0,,,,,,
142937633,Caesar,rexxar,93.0,1375.0,0.0,0.0,78.0,,,,,1.0,1.0,9.0,,,,,0.0,0.0,7.0,,,,,17.0,100.0,,0.0,57.0,67.0,71.0,50.0,6.0,3.0,,1.0,7.0,6.0,7.0,4.0,1.0,3.0,,0.0,4.0,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
118742265,Plambi,burning-legion,20.0,17769.0,61.0,37.0,80.0,80.0,78.0,78.0,43.0,36.0,27.0,10.0,10.0,9.0,9.0,7.0,22.0,10.0,8.0,8.0,7.0,7.0,3.0,58.0,55.0,61.0,63.0,75.0,80.0,67.0,,59.0,42.0,41.0,46.0,16.0,10.0,12.0,,34.0,23.0,25.0,29.0,12.0,8.0,8.0,,,50.0,,,,69.0,,2.0,,,,13.0,,1.0,,,,9.0,,,,,,
209552371,Noderneder,deathwing,22.0,1059.0,,,,100.0,0.0,60.0,,,,,1.0,1.0,5.0,,,,,1.0,0.0,3.0,,,,100.0,,0.0,75.0,0.0,,,,3.0,,3.0,4.0,4.0,,,,3.0,,0.0,3.0,0.0,,100.0,,,,,40.0,1.0,,,,,5.0,1.0,,,,,2.0,,,,,,
113387085,Acashic,blackhand,9.0,1896.0,50.0,,80.0,33.0,0.0,0.0,100.0,4.0,,5.0,3.0,1.0,1.0,1.0,2.0,,4.0,1.0,0.0,0.0,1.0,,33.0,40.0,,67.0,0.0,50.0,0.0,,3.0,5.0,,3.0,1.0,4.0,1.0,,1.0,2.0,,2.0,0.0,2.0,0.0,,,,,100.0,50.0,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,
136676508,Tonínoo,dun-modr,22.0,6186.0,67.0,33.0,50.0,67.0,53.0,40.0,,3.0,3.0,20.0,12.0,15.0,15.0,,2.0,1.0,10.0,8.0,8.0,6.0,,75.0,50.0,56.0,0.0,54.0,57.0,33.0,67.0,8.0,8.0,9.0,2.0,13.0,23.0,12.0,3.0,6.0,4.0,5.0,0.0,7.0,13.0,4.0,2.0,50.0,100.0,,,,70.0,2.0,2.0,,,,10.0,1.0,2.0,,,,7.0,,,,,,
161527401,Frantiq,draenor,16.0,680.0,50.0,0.0,,100.0,0.0,,0.0,2.0,2.0,,2.0,1.0,,4.0,1.0,0.0,,2.0,0.0,,0.0,,,,,,100.0,100.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,
196175533,Бихэпи,soulflayer,174.0,80871.0,66.0,50.0,58.0,67.0,72.0,61.0,57.0,112.0,111.0,163.0,90.0,61.0,46.0,46.0,74.0,55.0,94.0,60.0,44.0,28.0,26.0,61.0,65.0,71.0,52.0,66.0,66.0,63.0,67.0,186.0,75.0,107.0,42.0,177.0,202.0,171.0,162.0,114.0,49.0,76.0,22.0,116.0,134.0,107.0,108.0,,80.0,33.0,100.0,75.0,56.0,,5.0,3.0,24.0,4.0,52.0,,4.0,1.0,24.0,3.0,29.0,,,,,,
170187128,Elique,darksorrow,73.0,93636.0,67.0,61.0,55.0,50.0,0.0,67.0,0.0,134.0,79.0,65.0,6.0,4.0,3.0,1.0,90.0,48.0,36.0,3.0,0.0,2.0,0.0,63.0,60.0,59.0,56.0,52.0,38.0,45.0,37.0,291.0,246.0,212.0,118.0,75.0,45.0,75.0,41.0,182.0,148.0,125.0,66.0,39.0,17.0,34.0,15.0,,,50.0,100.0,22.0,50.0,,,2.0,1.0,9.0,2.0,,,1.0,1.0,2.0,1.0,,,,,,
107271066,Twardziejszy,ravencrest,5.0,872.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,0.0,,33.0,0.0,100.0,,,,1.0,,3.0,1.0,1.0,,,,0.0,,1.0,0.0,1.0,,0.0,,,,100.0,100.0,1.0,,,,1.0,1.0,0.0,,,,1.0,1.0,,,,,,
245745408,Asireth,the-maelstrom,4.0,10315.0,43.0,0.0,80.0,,,,,23.0,2.0,5.0,,,,,10.0,0.0,4.0,,,,,50.0,100.0,25.0,67.0,33.0,100.0,67.0,75.0,10.0,2.0,4.0,3.0,6.0,1.0,3.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
123405796,Yrela,draenor,16.0,22225.0,54.0,65.0,29.0,33.0,,0.0,50.0,137.0,69.0,28.0,3.0,,2.0,2.0,74.0,45.0,8.0,1.0,,0.0,1.0,42.0,40.0,50.0,53.0,43.0,38.0,33.0,45.0,83.0,87.0,111.0,73.0,47.0,24.0,51.0,20.0,35.0,35.0,55.0,39.0,20.0,9.0,17.0,9.0,,100.0,,100.0,,100.0,,2.0,,1.0,,1.0,,2.0,,1.0,,1.0,,,,,,
197550361,Lustucrü,archimonde,64.0,16985.0,25.0,45.0,56.0,150.0,0.0,,,12.0,11.0,16.0,2.0,1.0,,,3.0,5.0,9.0,3.0,0.0,,,64.0,43.0,51.0,31.0,55.0,25.0,29.0,60.0,96.0,103.0,43.0,39.0,22.0,24.0,24.0,5.0,61.0,44.0,22.0,12.0,12.0,6.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
155884508,Saintsmite,draenor,30.0,46.0,,,,,100.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,
110125756,Holizer,blackhand,19.0,476.0,,50.0,100.0,,100.0,100.0,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,0.0,,100.0,,100.0,,100.0,,1.0,,1.0,,1.0,,1.0,,0.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
162077971,Lognus,pozzo-delleternità,8.0,669.0,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,100.0,33.0,100.0,,67.0,100.0,,,1.0,3.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
127904128,Triis,defias-brotherhood,42.0,1061.0,50.0,50.0,50.0,,0.0,33.0,,2.0,2.0,2.0,,1.0,3.0,,1.0,1.0,1.0,,0.0,1.0,,,,100.0,,50.0,67.0,50.0,,,,1.0,,2.0,3.0,4.0,,,,1.0,,1.0,2.0,2.0,,,67.0,,,,,,3.0,,,,,,2.0,,,,,,,,,,
