character.id,character.name,character.realm.slug,honor_level,honorable_kills,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Alterac Valley win_rate,Ashran win_rate,Cooking: Impossible win_rate,Korrak's Revenge win_rate,Alterac Valley played,Ashran played,Cooking: Impossible played,Korrak's Revenge played,Alterac Valley won,Ashran won,Cooking: Impossible won,Korrak's Revenge won,Strand of the Ancients win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Strand of the Ancients played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Strand of the Ancients won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
164232595,Ineedyoudead,twisting-nether,80.0,7977.0,56.0,33.0,57.0,12.0,50.0,37.0,55.0,12.0,,46.0,44.0,60.0,57.0,100.0,78.0,9.0,3.0,7.0,8.0,24.0,19.0,22.0,17.0,,24.0,18.0,20.0,7.0,1.0,9.0,5.0,1.0,4.0,1.0,12.0,7.0,12.0,2.0,,11.0,8.0,12.0,4.0,1.0,7.0,56.0,50.0,,,9.0,2.0,,,5.0,1.0,,,,42.0,100.0,,12.0,2.0,,5.0,2.0,,,
180862156,Mythterhawk,outland,48.0,8751.0,43.0,60.0,58.0,54.0,68.0,78.0,68.0,59.0,,75.0,79.0,77.0,89.0,,75.0,7.0,5.0,12.0,13.0,19.0,27.0,19.0,22.0,,8.0,14.0,13.0,9.0,,4.0,3.0,3.0,7.0,7.0,13.0,21.0,13.0,13.0,,6.0,11.0,10.0,8.0,,3.0,40.0,,,,5.0,,,,2.0,,,,50.0,125.0,60.0,2.0,4.0,15.0,1.0,5.0,9.0,,,
158311249,Odêns,antonidas,6.0,1318.0,,0.0,,50.0,0.0,100.0,50.0,100.0,,67.0,33.0,100.0,100.0,,100.0,,2.0,,4.0,4.0,2.0,2.0,1.0,,3.0,3.0,1.0,1.0,,1.0,,0.0,,2.0,0.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,50.0,,,,2.0,,,,1.0,,,0.0,,,1.0,,,0.0,,,,,
167238257,Isotheos,azjolnerub,1.0,55.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
172826969,Sabríel,ragnaros,11.0,1324.0,,,60.0,0.0,100.0,67.0,0.0,100.0,,0.0,50.0,,,,75.0,,,5.0,1.0,1.0,3.0,3.0,3.0,,3.0,4.0,,,,4.0,,,3.0,0.0,1.0,2.0,0.0,3.0,,0.0,2.0,,,,3.0,67.0,50.0,,,3.0,4.0,,,2.0,2.0,,,,0.0,,,1.0,,,0.0,,,,
164851558,Therapeut,blackmoore,19.0,7998.0,56.0,73.0,69.0,58.0,14.0,,57.0,50.0,,0.0,33.0,40.0,50.0,,50.0,16.0,11.0,13.0,12.0,7.0,,7.0,2.0,,1.0,3.0,5.0,4.0,,2.0,9.0,8.0,9.0,7.0,1.0,,4.0,1.0,,0.0,1.0,2.0,2.0,,1.0,63.0,33.0,,75.0,19.0,3.0,,4.0,12.0,1.0,,3.0,56.0,,,9.0,,,5.0,,,,,
154745985,Inkeipan,antonidas,13.0,39.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
64809407,Trance,area-52,14.0,399.0,100.0,100.0,,,,50.0,,100.0,,,,,,,,1.0,1.0,,,,2.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,29.0,,,,7.0,,,,2.0,,,,,,,,,,,,
149168674,Lozi,bloodhoof,7.0,1154.0,,,100.0,,57.0,50.0,60.0,67.0,,50.0,75.0,40.0,,,75.0,,,2.0,,7.0,6.0,5.0,3.0,,2.0,4.0,5.0,,,4.0,,,2.0,,4.0,3.0,3.0,2.0,,1.0,3.0,2.0,,,3.0,,,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,
134874515,Weedinette,dalaran,58.0,857.0,100.0,100.0,,0.0,,,0.0,50.0,20.0,,0.0,0.0,50.0,,,1.0,1.0,,1.0,,,1.0,2.0,5.0,,1.0,1.0,2.0,,,1.0,1.0,,0.0,,,0.0,1.0,1.0,,0.0,0.0,1.0,,,,0.0,,,,1.0,,,,0.0,,,0.0,,0.0,1.0,,1.0,0.0,,0.0,,,
187262237,Palarez,silvermoon,3.0,717.0,,,0.0,100.0,100.0,40.0,0.0,33.0,,,100.0,33.0,,,100.0,,,2.0,2.0,3.0,5.0,1.0,3.0,,,1.0,3.0,,,1.0,,,0.0,2.0,3.0,2.0,0.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
165462806,Alanay,baelgun,3.0,1918.0,20.0,67.0,0.0,100.0,17.0,71.0,83.0,29.0,,,,,,,,5.0,6.0,6.0,1.0,12.0,7.0,6.0,7.0,,,,,,,,1.0,4.0,0.0,1.0,2.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,67.0,,80.0,3.0,,5.0,2.0,,4.0,,,
169724618,Verag,alleria,5.0,524.0,,,100.0,50.0,,0.0,,50.0,100.0,,100.0,100.0,,,100.0,,,1.0,2.0,,1.0,,2.0,1.0,,1.0,2.0,,,1.0,,,1.0,1.0,,0.0,,1.0,1.0,,1.0,2.0,,,1.0,100.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,
175036092,Bonden,grim-batol,8.0,3587.0,,,60.0,,50.0,82.0,73.0,53.0,,62.0,57.0,38.0,,,18.0,,,10.0,,4.0,11.0,11.0,15.0,,8.0,14.0,8.0,,,11.0,,,6.0,,2.0,9.0,8.0,8.0,,5.0,8.0,3.0,,,2.0,50.0,,,,2.0,,,,1.0,,,,,,100.0,,,1.0,,,1.0,100.0,1.0,1.0
155812282,Offspring,hyjal,25.0,5659.0,33.0,50.0,91.0,53.0,27.0,57.0,45.0,55.0,,71.0,40.0,40.0,62.0,,71.0,6.0,4.0,11.0,15.0,15.0,14.0,11.0,11.0,,7.0,10.0,5.0,8.0,,7.0,2.0,2.0,10.0,8.0,4.0,8.0,5.0,6.0,,5.0,4.0,2.0,5.0,,5.0,43.0,38.0,,,7.0,8.0,,,3.0,3.0,,,43.0,,100.0,7.0,,2.0,3.0,,2.0,,,
64657564,Vodkahontas,area-52,33.0,21351.0,29.0,49.0,53.0,45.0,30.0,20.0,47.0,50.0,,,,,100.0,,,84.0,68.0,51.0,53.0,20.0,5.0,32.0,12.0,,,,,2.0,,,24.0,33.0,27.0,24.0,6.0,1.0,15.0,6.0,,,,,2.0,,,61.0,,,,109.0,,,,66.0,,,,52.0,,17.0,54.0,,6.0,28.0,,1.0,,,
91994485,Siniia,kaelthas,9.0,2960.0,60.0,60.0,,0.0,,,50.0,,,,,,0.0,,,47.0,5.0,,2.0,,,4.0,,,,,,1.0,,,28.0,3.0,,0.0,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,33.0,,100.0,3.0,,1.0,1.0,,1.0,,,
73629240,Wiser,antonidas,2.0,12876.0,50.0,52.0,50.0,79.0,45.0,100.0,42.0,80.0,,100.0,,,100.0,,,48.0,29.0,26.0,24.0,22.0,2.0,24.0,5.0,,1.0,,,1.0,,,24.0,15.0,13.0,19.0,10.0,2.0,10.0,4.0,,1.0,,,1.0,,,61.0,,,,33.0,,,,20.0,,,,32.0,,,19.0,,,6.0,,,,,
131256580,Valwala,senjin,22.0,3106.0,50.0,67.0,62.0,75.0,36.0,,29.0,0.0,,,100.0,,,,,8.0,12.0,13.0,4.0,11.0,,7.0,1.0,,,1.0,,,,,4.0,8.0,8.0,3.0,4.0,,2.0,0.0,,,1.0,,,,,62.0,,,,8.0,,,,5.0,,,,50.0,,,4.0,,,2.0,,,,,
159270577,Djivà,tarren-mill,137.0,2919.0,60.0,75.0,100.0,100.0,57.0,88.0,62.0,69.0,,50.0,60.0,100.0,,,75.0,5.0,4.0,2.0,4.0,7.0,8.0,8.0,13.0,,14.0,5.0,4.0,,,4.0,3.0,3.0,2.0,4.0,4.0,7.0,5.0,9.0,,7.0,3.0,4.0,,,3.0,44.0,50.0,,,9.0,2.0,,,4.0,1.0,,,67.0,,100.0,3.0,,1.0,2.0,,1.0,,,
64848500,Liquidamber,area-52,23.0,60018.0,39.0,40.0,52.0,63.0,39.0,43.0,49.0,43.0,50.0,57.0,47.0,53.0,45.0,100.0,60.0,246.0,237.0,180.0,189.0,143.0,160.0,251.0,205.0,6.0,21.0,17.0,17.0,20.0,5.0,10.0,97.0,95.0,94.0,120.0,56.0,69.0,123.0,88.0,3.0,12.0,8.0,9.0,9.0,5.0,6.0,59.0,0.0,,18.0,195.0,1.0,,17.0,116.0,0.0,,3.0,55.0,,41.0,182.0,,82.0,101.0,,34.0,,,
198582212,Froppy,pozzo-delleternità,45.0,334.0,,,,100.0,,100.0,,,,,0.0,100.0,0.0,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,0.0,1.0,0.0,,,,0.0,,,,3.0,,,,0.0,,,,,,,,,,,,,,
112935736,Ayisha,kiljaeden,34.0,5744.0,33.0,67.0,40.0,64.0,0.0,40.0,44.0,75.0,50.0,50.0,50.0,0.0,50.0,,50.0,3.0,3.0,5.0,14.0,3.0,10.0,9.0,8.0,4.0,6.0,6.0,2.0,8.0,,2.0,1.0,2.0,2.0,9.0,0.0,4.0,4.0,6.0,2.0,3.0,3.0,0.0,4.0,,1.0,62.0,57.0,,,13.0,7.0,,,8.0,4.0,,,25.0,,100.0,4.0,,3.0,1.0,,3.0,,,
98452786,Térrorfussel,antonidas,14.0,295.0,0.0,0.0,0.0,,,,,,,,,100.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
146926326,Thyròn,thrall,24.0,2867.0,,,0.0,73.0,0.0,40.0,0.0,50.0,,57.0,100.0,67.0,80.0,100.0,50.0,,,5.0,11.0,4.0,5.0,1.0,2.0,,7.0,1.0,3.0,5.0,6.0,2.0,,,0.0,8.0,0.0,2.0,0.0,1.0,,4.0,1.0,2.0,4.0,6.0,1.0,67.0,44.0,,,6.0,9.0,,,4.0,4.0,,,,,,,,,,,,,,
100725956,Marsupílami,blackhand,42.0,108.0,0.0,,,,,,,,,,100.0,,,,,1.0,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119960905,Kayara,area-52,14.0,1347.0,50.0,0.0,0.0,,0.0,25.0,100.0,50.0,,43.0,67.0,0.0,0.0,100.0,100.0,2.0,1.0,1.0,,4.0,4.0,2.0,2.0,,7.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,,0.0,1.0,2.0,1.0,,3.0,2.0,0.0,0.0,5.0,2.0,,,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,
208291921,Jamés,nagrand,47.0,1304.0,,,67.0,0.0,0.0,100.0,0.0,67.0,100.0,67.0,100.0,,43.0,,50.0,,,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,,7.0,,2.0,,,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,,3.0,,1.0,25.0,0.0,,,4.0,2.0,,,1.0,0.0,,,,,,,,,,,,,,
123680099,Kunay,senjin,4.0,56337.0,8.0,0.0,35.0,24.0,0.0,12.0,100.0,40.0,,,,,75.0,,,12.0,3.0,26.0,29.0,2.0,8.0,1.0,5.0,,,,,4.0,,,1.0,0.0,9.0,7.0,0.0,1.0,1.0,2.0,,,,,3.0,,,44.0,50.0,,,147.0,2.0,,,65.0,1.0,,,40.0,,75.0,10.0,,4.0,4.0,,3.0,,,
128335235,Galbor,senjin,12.0,4314.0,50.0,17.0,50.0,67.0,67.0,33.0,29.0,29.0,,60.0,50.0,33.0,50.0,100.0,50.0,6.0,6.0,2.0,6.0,6.0,3.0,7.0,7.0,,5.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,,3.0,1.0,1.0,2.0,2.0,1.0,60.0,0.0,,,5.0,2.0,,,3.0,0.0,,,0.0,0.0,100.0,1.0,1.0,1.0,0.0,0.0,1.0,,,
159374812,Flimp,dentarg,23.0,6411.0,61.0,50.0,42.0,50.0,43.0,50.0,50.0,57.0,,,,,,,,28.0,22.0,36.0,12.0,14.0,8.0,18.0,7.0,,,,,,,,17.0,11.0,15.0,6.0,6.0,4.0,9.0,4.0,,,,,,,,50.0,,,,24.0,,,,12.0,,,,56.0,,80.0,25.0,,5.0,14.0,,4.0,,,
96366851,Paldéria,les-sentinelles,14.0,8679.0,45.0,53.0,59.0,50.0,56.0,52.0,53.0,64.0,100.0,40.0,100.0,,,,0.0,20.0,17.0,17.0,2.0,27.0,21.0,32.0,25.0,2.0,5.0,1.0,,,,1.0,9.0,9.0,10.0,1.0,15.0,11.0,17.0,16.0,2.0,2.0,1.0,,,,0.0,100.0,,,,8.0,,,,8.0,,,,33.0,,79.0,12.0,,14.0,4.0,,11.0,,,
174391675,Anâx,dalaran,49.0,5005.0,0.0,0.0,100.0,59.0,0.0,29.0,,100.0,33.0,50.0,100.0,,32.0,,,1.0,1.0,1.0,29.0,1.0,7.0,,1.0,3.0,2.0,1.0,,25.0,,,0.0,0.0,1.0,17.0,0.0,2.0,,1.0,1.0,1.0,1.0,,8.0,,,50.0,35.0,,,20.0,20.0,,,10.0,7.0,,,,,67.0,,,3.0,,,2.0,,,
154955111,Dûrstlöscher,blackrock,6.0,64.0,,,0.0,,0.0,,0.0,100.0,,0.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115595196,Dämmersonne,die-aldor,43.0,5589.0,67.0,,38.0,57.0,17.0,22.0,40.0,50.0,,,,,25.0,,,3.0,,13.0,30.0,6.0,9.0,5.0,4.0,,,,,4.0,,,2.0,,5.0,17.0,1.0,2.0,2.0,2.0,,,,,1.0,,,60.0,75.0,,,20.0,4.0,,,12.0,3.0,,,0.0,,50.0,2.0,,6.0,0.0,,3.0,,,
128545942,Valvidia,dun-morogh,1.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.0,,,,0.0,,,,,,,,,,,,
243818862,Killogram,sylvanas,1.0,57.0,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30745312,Legioss,todeswache,11.0,6431.0,72.0,75.0,89.0,40.0,,,,,,,,,,,,25.0,28.0,9.0,5.0,,,,,,,,,,,,18.0,21.0,8.0,2.0,,,,,,,,,,,,50.0,,,,32.0,,,,16.0,,,,43.0,,,7.0,,,3.0,,,,,
156109118,Forsake,frostwolf,3.0,458.0,,,,,,,,0.0,,,,100.0,100.0,,0.0,,,,,,,,1.0,,,,1.0,2.0,,1.0,,,,,,,,0.0,,,,1.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
153385986,Laertes,echsenkessel,1.0,7394.0,55.0,57.0,56.0,48.0,58.0,,67.0,,,,,,,,,42.0,40.0,25.0,33.0,12.0,,21.0,,,,,,,,,23.0,23.0,14.0,16.0,7.0,,14.0,,,,,,,,,36.0,,,,28.0,,,,10.0,,,,50.0,,,30.0,,,15.0,,,,,
191456001,Bubblícíous,frostmane,14.0,4026.0,36.0,61.0,33.0,100.0,100.0,,50.0,,,0.0,,,,,100.0,36.0,38.0,3.0,3.0,2.0,,2.0,,,1.0,,,,,1.0,13.0,23.0,1.0,3.0,2.0,,1.0,,,0.0,,,,,1.0,85.0,,,,26.0,,,,22.0,,,,,,,,,,,,,,,
163721017,Stêin,senjin,22.0,7744.0,31.0,43.0,28.0,50.0,35.0,11.0,41.0,80.0,,75.0,60.0,67.0,75.0,,67.0,26.0,23.0,18.0,24.0,17.0,9.0,22.0,10.0,,8.0,10.0,3.0,4.0,,3.0,8.0,10.0,5.0,12.0,6.0,1.0,9.0,8.0,,6.0,6.0,2.0,3.0,,2.0,40.0,33.0,,,47.0,6.0,,,19.0,2.0,,,0.0,,62.0,2.0,,8.0,0.0,,5.0,,,
177454696,Charlexavier,dalaran,33.0,8413.0,50.0,40.0,19.0,25.0,57.0,43.0,38.0,47.0,,71.0,50.0,17.0,38.0,,71.0,14.0,10.0,16.0,4.0,21.0,21.0,24.0,19.0,,7.0,6.0,6.0,8.0,,7.0,7.0,4.0,3.0,1.0,12.0,9.0,9.0,9.0,,5.0,3.0,1.0,3.0,,5.0,75.0,27.0,,,8.0,11.0,,,6.0,3.0,,,31.0,,56.0,13.0,,16.0,4.0,,9.0,,,
139723203,Икугу,galakrond,12.0,3177.0,33.0,12.0,50.0,0.0,14.0,33.0,33.0,50.0,,40.0,,,,,,9.0,8.0,6.0,1.0,7.0,6.0,3.0,4.0,,5.0,,,,,,3.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,,2.0,,,,,,0.0,,,100.0,1.0,,,1.0,0.0,,,1.0,,,71.0,,,7.0,,,5.0,,,
169134117,Khanza,temple-noir,15.0,1434.0,60.0,50.0,100.0,0.0,60.0,33.0,20.0,67.0,,,,,,,,5.0,2.0,1.0,3.0,5.0,6.0,5.0,3.0,,,,,,,,3.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,,,,,,,,0.0,,,,2.0,,,,0.0,,,,75.0,,0.0,4.0,,1.0,3.0,,0.0,,,
133434784,Boowty,uldaman,18.0,2027.0,,,100.0,40.0,50.0,0.0,100.0,83.0,100.0,100.0,,33.0,50.0,,75.0,,,3.0,5.0,2.0,1.0,2.0,6.0,1.0,3.0,,3.0,4.0,,4.0,,,3.0,2.0,1.0,0.0,2.0,5.0,1.0,3.0,,1.0,2.0,,3.0,62.0,75.0,,,8.0,4.0,,,5.0,3.0,,,,,,,,,,,,,,
116195236,Swäggli,blackhand,23.0,604.0,,,0.0,,33.0,33.0,100.0,60.0,,,,50.0,,,100.0,,,1.0,,3.0,3.0,1.0,5.0,,,,4.0,,,1.0,,,0.0,,1.0,1.0,1.0,3.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192823712,Rammelsurium,aegwynn,5.0,683.0,,,,33.0,50.0,,50.0,,,100.0,,0.0,50.0,,0.0,,,,3.0,2.0,,4.0,,,2.0,,1.0,2.0,,1.0,,,,1.0,1.0,,2.0,,,2.0,,0.0,1.0,,0.0,75.0,0.0,,,4.0,1.0,,,3.0,0.0,,,,100.0,,,1.0,,,1.0,,,,
130221389,Pikcolo,twisting-nether,6.0,13.0,,,,,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150876686,Kyrestia,thrall,31.0,2614.0,,,100.0,,33.0,100.0,50.0,,,20.0,60.0,100.0,100.0,,,,,2.0,,3.0,2.0,4.0,,,5.0,5.0,2.0,6.0,,,,,2.0,,1.0,2.0,2.0,,,1.0,3.0,2.0,6.0,,,43.0,50.0,,,7.0,6.0,,,3.0,3.0,,,,,,,,,,,,33.0,3.0,1.0
162406418,Blesshope,azshara,8.0,1678.0,,29.0,0.0,0.0,,50.0,40.0,100.0,,50.0,50.0,50.0,,100.0,0.0,,7.0,2.0,1.0,,4.0,5.0,1.0,,2.0,2.0,4.0,,1.0,1.0,,2.0,0.0,0.0,,2.0,2.0,1.0,,1.0,1.0,2.0,,1.0,0.0,86.0,100.0,,,14.0,2.0,,,12.0,2.0,,,100.0,,,1.0,,,1.0,,,,,
75686497,Theoverlord,senjin,145.0,72236.0,45.0,43.0,47.0,55.0,49.0,33.0,55.0,42.0,,64.0,48.0,38.0,50.0,100.0,58.0,297.0,237.0,184.0,130.0,63.0,48.0,88.0,53.0,,28.0,21.0,8.0,10.0,7.0,19.0,134.0,101.0,87.0,71.0,31.0,16.0,48.0,22.0,,18.0,10.0,3.0,5.0,7.0,11.0,52.0,29.0,50.0,15.0,237.0,7.0,2.0,13.0,123.0,2.0,1.0,2.0,56.0,,29.0,180.0,,21.0,100.0,,6.0,,,
1028324,Chrysanthia,malygos,31.0,4391.0,0.0,25.0,19.0,100.0,0.0,100.0,,33.0,,,,,,,,4.0,4.0,16.0,1.0,1.0,1.0,,3.0,,,,,,,,0.0,1.0,3.0,1.0,0.0,1.0,,1.0,,,,,,,,18.0,,,,11.0,,,,2.0,,,,100.0,,,1.0,,,1.0,,,,,
209699961,Finchmeister,kilrogg,16.0,35337.0,38.0,44.0,53.0,52.0,45.0,43.0,29.0,50.0,,33.0,0.0,0.0,56.0,,40.0,117.0,108.0,70.0,63.0,38.0,7.0,31.0,4.0,,3.0,2.0,3.0,9.0,,5.0,45.0,48.0,37.0,33.0,17.0,3.0,9.0,2.0,,1.0,0.0,0.0,5.0,,2.0,52.0,40.0,,14.0,94.0,15.0,,7.0,49.0,6.0,,1.0,50.0,,67.0,56.0,,3.0,28.0,,2.0,,,
132112813,Zeraphiel,senjin,19.0,4200.0,25.0,0.0,33.0,50.0,50.0,50.0,0.0,40.0,,0.0,50.0,0.0,0.0,,,12.0,3.0,9.0,2.0,2.0,2.0,2.0,5.0,,1.0,2.0,2.0,1.0,,,3.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,,0.0,1.0,0.0,0.0,,,55.0,0.0,,,29.0,1.0,,,16.0,0.0,,,0.0,,33.0,4.0,,3.0,0.0,,1.0,,,
237060421,Эйзу,borean-tundra,11.0,256.0,,,,100.0,,,100.0,100.0,,,,,,,100.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,0.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,
195128378,Ëpøk,hyjal,9.0,3887.0,38.0,40.0,75.0,10.0,22.0,44.0,43.0,50.0,,,33.0,0.0,33.0,,,8.0,10.0,8.0,10.0,9.0,9.0,7.0,6.0,,,3.0,3.0,3.0,,,3.0,4.0,6.0,1.0,2.0,4.0,3.0,3.0,,,1.0,0.0,1.0,,,13.0,100.0,,100.0,15.0,2.0,,2.0,2.0,2.0,,2.0,60.0,,50.0,10.0,,8.0,6.0,,4.0,,,
118459876,Crenn,ravencrest,55.0,119.0,,,,,,,100.0,100.0,,0.0,,,,,50.0,,,,,,,1.0,1.0,,1.0,,,,,2.0,,,,,,,1.0,1.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
99637792,Sâmur,area-52,71.0,13919.0,53.0,43.0,53.0,64.0,20.0,56.0,40.0,73.0,,,,,,100.0,,15.0,7.0,17.0,14.0,10.0,9.0,5.0,11.0,,,,,,1.0,,8.0,3.0,9.0,9.0,2.0,5.0,2.0,8.0,,,,,,1.0,,33.0,,,33.0,6.0,,,6.0,2.0,,,2.0,40.0,,60.0,5.0,,5.0,2.0,,3.0,,,
64163263,Bonessaw,area-52,31.0,13186.0,44.0,29.0,48.0,49.0,31.0,45.0,38.0,53.0,,50.0,62.0,33.0,67.0,100.0,0.0,63.0,48.0,42.0,35.0,36.0,11.0,34.0,15.0,,10.0,13.0,9.0,3.0,3.0,1.0,28.0,14.0,20.0,17.0,11.0,5.0,13.0,8.0,,5.0,8.0,3.0,2.0,3.0,0.0,60.0,0.0,,,35.0,1.0,,,21.0,0.0,,,54.0,,50.0,24.0,,4.0,13.0,,2.0,,,
197156221,Grugthul,silvermoon,10.0,1642.0,,,,67.0,50.0,0.0,57.0,50.0,,62.0,100.0,100.0,50.0,,83.0,,,,3.0,4.0,2.0,7.0,4.0,,8.0,1.0,2.0,4.0,,6.0,,,,2.0,2.0,0.0,4.0,2.0,,5.0,1.0,2.0,2.0,,5.0,20.0,100.0,,,5.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
159423076,Merogion,medivh,13.0,2333.0,25.0,,100.0,0.0,50.0,43.0,0.0,50.0,0.0,0.0,,,67.0,,,4.0,,2.0,3.0,6.0,7.0,4.0,6.0,1.0,1.0,,,3.0,,,1.0,,2.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,,,2.0,,,0.0,100.0,,,2.0,3.0,,,0.0,3.0,,,67.0,,33.0,3.0,,3.0,2.0,,1.0,,,
95295872,Pradapala,eredar,9.0,293.0,,,100.0,,,100.0,75.0,,,,,,,,0.0,,,1.0,,,1.0,4.0,,,,,,,,1.0,,,1.0,,,1.0,3.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
185783876,Uankota,nemesis,1.0,26.0,,,,,,0.0,,,,,0.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136297394,Kràzy,aegwynn,5.0,47.0,,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130842787,Emaríel,senjin,48.0,6369.0,30.0,25.0,25.0,67.0,33.0,46.0,26.0,23.0,,1000.0,100.0,,0.0,,0.0,27.0,8.0,8.0,6.0,12.0,26.0,19.0,13.0,,1.0,2.0,,4.0,,1.0,8.0,2.0,2.0,4.0,4.0,12.0,5.0,3.0,,10.0,2.0,,0.0,,0.0,50.0,,,40.0,8.0,,,10.0,4.0,,,4.0,40.0,,25.0,5.0,,12.0,2.0,,3.0,,,
51427632,Maltazar,arygos,132.0,17057.0,41.0,37.0,28.0,44.0,36.0,38.0,37.0,50.0,100.0,64.0,0.0,75.0,0.0,100.0,0.0,59.0,54.0,43.0,16.0,55.0,60.0,81.0,68.0,2.0,11.0,3.0,4.0,2.0,1.0,4.0,24.0,20.0,12.0,7.0,20.0,23.0,30.0,34.0,2.0,7.0,0.0,3.0,0.0,1.0,0.0,53.0,0.0,,,19.0,1.0,,,10.0,0.0,,,35.0,100.0,27.0,34.0,1.0,41.0,12.0,1.0,11.0,,,
102027117,Fistinmt,ravencrest,29.0,1645.0,44.0,0.0,33.0,,62.0,67.0,83.0,38.0,,,,,,,,9.0,2.0,6.0,,8.0,9.0,6.0,13.0,,,,,,,,4.0,0.0,2.0,,5.0,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,100.0,,50.0,1.0,,4.0,1.0,,2.0,,,
