character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
125134364,Frânkie,blackrock,22.0,6080.0,50.0,47.0,58.0,67.0,65.0,55.0,67.0,65.0,53.0,55.0,46.0,,50.0,,25.0,50.0,100.0,100.0,,,,10.0,15.0,19.0,18.0,17.0,11.0,6.0,17.0,19.0,20.0,13.0,,2.0,,4.0,2.0,1.0,1.0,,,,5.0,7.0,11.0,12.0,11.0,6.0,4.0,11.0,10.0,11.0,6.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
241867924,Скарбрандт,soulflayer,156.0,1010.0,0.0,,,50.0,,100.0,0.0,20.0,67.0,50.0,,0.0,,,100.0,0.0,100.0,50.0,,,25.0,1.0,,,2.0,,1.0,2.0,5.0,3.0,2.0,,1.0,,,1.0,2.0,1.0,2.0,,,4.0,0.0,,,1.0,,1.0,0.0,1.0,2.0,1.0,,0.0,,,1.0,0.0,1.0,1.0,,,1.0,,,,,,
132795147,Papyjm,kaelthas,24.0,10078.0,60.0,,,83.0,,70.0,100.0,71.0,89.0,68.0,,25.0,,,77.0,62.0,54.0,33.0,,33.0,55.0,40.0,,,6.0,,10.0,3.0,14.0,9.0,22.0,,4.0,,,13.0,37.0,24.0,3.0,,6.0,11.0,24.0,,,5.0,,7.0,3.0,10.0,8.0,15.0,,1.0,,,10.0,23.0,13.0,1.0,,2.0,6.0,,,,,,
158303395,Loves,dun-modr,17.0,2087.0,0.0,,,100.0,,50.0,,100.0,50.0,60.0,,,,,100.0,100.0,100.0,50.0,,,,1.0,,,2.0,,2.0,,3.0,2.0,5.0,,,,,1.0,1.0,1.0,4.0,,,,0.0,,,2.0,,1.0,,3.0,1.0,3.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,,
94644508,Akenna,antonidas,21.0,3534.0,100.0,68.0,0.0,0.0,50.0,50.0,71.0,67.0,20.0,62.0,33.0,,,,100.0,50.0,0.0,,100.0,40.0,100.0,2.0,22.0,4.0,2.0,4.0,4.0,7.0,6.0,5.0,8.0,3.0,,,,3.0,2.0,1.0,,76.0,5.0,2.0,2.0,15.0,0.0,0.0,2.0,2.0,5.0,4.0,1.0,5.0,1.0,,,,3.0,1.0,0.0,,76.0,2.0,2.0,,,,,,
145849552,Jhonnycrash,pozzo-delleternità,45.0,4630.0,40.0,25.0,75.0,55.0,14.0,71.0,18.0,55.0,67.0,12.0,67.0,20.0,,,0.0,50.0,40.0,0.0,,50.0,25.0,5.0,4.0,4.0,11.0,7.0,14.0,11.0,11.0,15.0,8.0,3.0,5.0,,,1.0,6.0,5.0,2.0,,2.0,4.0,2.0,1.0,3.0,6.0,1.0,10.0,2.0,6.0,10.0,1.0,2.0,1.0,,,0.0,3.0,2.0,0.0,,1.0,1.0,100.0,1.0,1.0,,,
174725578,Chinchillo,sanguino,8.0,2859.0,62.0,,,100.0,,60.0,25.0,67.0,89.0,40.0,,50.0,25.0,0.0,0.0,50.0,25.0,50.0,,,50.0,8.0,,,5.0,,5.0,4.0,9.0,9.0,5.0,,2.0,4.0,3.0,3.0,4.0,4.0,6.0,,,4.0,5.0,,,5.0,,3.0,1.0,6.0,8.0,2.0,,1.0,1.0,0.0,0.0,2.0,1.0,3.0,,,2.0,,,,,,
166420355,Orionsayten,blackmoore,21.0,1415.0,100.0,,,,,50.0,70.0,57.0,67.0,50.0,,0.0,33.0,,43.0,50.0,57.0,,,,25.0,2.0,,,,,2.0,10.0,7.0,3.0,6.0,,1.0,3.0,,7.0,4.0,7.0,,,,4.0,2.0,,,,,1.0,7.0,4.0,2.0,3.0,,0.0,1.0,,3.0,2.0,4.0,,,,1.0,50.0,8.0,4.0,,,
119192209,Thurdur,ravencrest,9.0,431.0,0.0,,,,,0.0,100.0,0.0,,0.0,,,,,100.0,,,100.0,,,0.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,2.0,0.0,,,,,0.0,1.0,0.0,,0.0,,,,,1.0,,,1.0,,,0.0,,,,,,
156159630,Blàkê,tirion,17.0,5261.0,43.0,,,67.0,,62.0,50.0,45.0,60.0,56.0,,100.0,100.0,,75.0,75.0,0.0,33.0,,0.0,83.0,7.0,,,6.0,,8.0,6.0,11.0,10.0,9.0,,1.0,1.0,,8.0,4.0,3.0,6.0,,6.0,6.0,3.0,,,4.0,,5.0,3.0,5.0,6.0,5.0,,1.0,1.0,,6.0,3.0,0.0,2.0,,0.0,5.0,,,,,,
169474372,Rdee,silvermoon,4.0,616.0,,,,,,,0.0,50.0,100.0,67.0,,0.0,,,,0.0,,100.0,,,100.0,,,,,,,1.0,2.0,1.0,3.0,,2.0,,,,1.0,,1.0,,,2.0,,,,,,,0.0,1.0,1.0,2.0,,0.0,,,,0.0,,1.0,,,2.0,,,,,,
117723870,Arthiss,confrérie-du-thorium,18.0,3551.0,56.0,20.0,20.0,33.0,,20.0,0.0,25.0,0.0,25.0,50.0,50.0,0.0,,83.0,0.0,0.0,50.0,100.0,,,9.0,10.0,5.0,3.0,,5.0,5.0,4.0,2.0,4.0,4.0,2.0,1.0,,6.0,2.0,1.0,4.0,1.0,,,5.0,2.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,,5.0,0.0,0.0,2.0,1.0,,,,,,,,
163788066,Herezor,minahonda,14.0,1543.0,100.0,,,80.0,,,40.0,20.0,29.0,14.0,,,,,30.0,33.0,33.0,0.0,,,100.0,1.0,,,5.0,,,5.0,5.0,7.0,7.0,,,,,10.0,9.0,6.0,1.0,,,1.0,1.0,,,4.0,,,2.0,1.0,2.0,1.0,,,,,3.0,3.0,2.0,0.0,,,1.0,,,,,,
243882259,Чертнаимбе,gordunni,44.0,599.0,25.0,,,0.0,,0.0,,0.0,33.0,100.0,,0.0,,,0.0,50.0,100.0,0.0,,,0.0,4.0,,,1.0,,1.0,,1.0,3.0,1.0,,1.0,,,1.0,4.0,1.0,1.0,,,1.0,1.0,,,0.0,,0.0,,0.0,1.0,1.0,,0.0,,,0.0,2.0,1.0,0.0,,,0.0,,,,,,
169134117,Khanza,temple-noir,15.0,1434.0,0.0,60.0,50.0,100.0,75.0,0.0,60.0,33.0,20.0,67.0,0.0,,,,,,,,,,,2.0,5.0,2.0,1.0,4.0,3.0,5.0,6.0,5.0,3.0,1.0,,,,,,,,,,,0.0,3.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,
90945725,Popodîn,blackhand,7.0,188.0,100.0,,,,,,,,,,,,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
177299263,Уругвейн,howling-fjord,1.0,52.0,0.0,,,,,,,,,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
162304832,Kakaopulver,kargath,7.0,4688.0,75.0,80.0,54.0,80.0,46.0,87.0,36.0,,53.0,,,100.0,,,,,,100.0,,,,12.0,10.0,13.0,10.0,13.0,15.0,11.0,,15.0,,,2.0,,,,,,1.0,,,,9.0,8.0,7.0,8.0,6.0,13.0,4.0,,8.0,,,2.0,,,,,,1.0,,,,,,,,,
194150373,Эмундсон,gordunni,95.0,132.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
13968658,Giemmli,lothar,13.0,24055.0,73.0,44.0,56.0,59.0,54.0,43.0,33.0,0.0,0.0,71.0,100.0,50.0,0.0,,,0.0,,100.0,100.0,,,75.0,120.0,100.0,75.0,87.0,51.0,3.0,3.0,1.0,7.0,1.0,2.0,1.0,,,1.0,,1.0,2.0,,,55.0,53.0,56.0,44.0,47.0,22.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,,,0.0,,1.0,2.0,,,,,,,,
175160994,Wrathane,skullcrusher,2.0,281.0,,,,,,100.0,,100.0,,0.0,,0.0,,,,100.0,,0.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,0.0,,0.0,,,,1.0,,0.0,,,,,,,,,
112622250,Bailatra,shadowsong,7.0,499.0,,0.0,0.0,100.0,50.0,,,0.0,100.0,50.0,,0.0,,,,,,,,,,,1.0,1.0,2.0,2.0,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,0.0,0.0,2.0,1.0,,,0.0,1.0,1.0,,0.0,,,,,,,,,,,,,,,
156356594,Wyrea,antonidas,16.0,234.0,0.0,,,,,,,,,,,,50.0,,,100.0,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,0.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
226283851,Doríáth,sylvanas,47.0,56222.0,38.0,67.0,43.0,39.0,46.0,58.0,43.0,59.0,45.0,57.0,43.0,,,,58.0,40.0,50.0,31.0,,,44.0,29.0,6.0,7.0,23.0,13.0,19.0,21.0,27.0,20.0,28.0,7.0,,,,12.0,15.0,12.0,13.0,,,18.0,11.0,4.0,3.0,9.0,6.0,11.0,9.0,16.0,9.0,16.0,3.0,,,,7.0,6.0,6.0,4.0,,,8.0,,,,,,
107271066,Twardziejszy,ravencrest,5.0,872.0,100.0,,,0.0,,100.0,33.0,0.0,100.0,100.0,,,,,50.0,100.0,100.0,50.0,,100.0,100.0,1.0,,,1.0,,1.0,3.0,1.0,1.0,2.0,,,,,2.0,1.0,1.0,4.0,,1.0,1.0,1.0,,,0.0,,1.0,1.0,0.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,,1.0,1.0,0.0,1.0,0.0,,,
184106006,Спангебуб,gordunni,59.0,13508.0,70.0,33.0,100.0,82.0,,40.0,33.0,69.0,86.0,52.0,80.0,100.0,100.0,,77.0,75.0,57.0,53.0,100.0,40.0,33.0,10.0,3.0,2.0,11.0,,10.0,12.0,26.0,7.0,25.0,5.0,2.0,3.0,,22.0,16.0,7.0,17.0,19.0,5.0,6.0,7.0,1.0,2.0,9.0,,4.0,4.0,18.0,6.0,13.0,4.0,2.0,3.0,,17.0,12.0,4.0,9.0,19.0,2.0,2.0,50.0,4.0,2.0,,,
174726760,Польнорев,gordunni,11.0,3901.0,100.0,50.0,100.0,67.0,,,78.0,50.0,56.0,83.0,,33.0,,,60.0,80.0,43.0,50.0,,,100.0,1.0,6.0,1.0,9.0,,,9.0,4.0,9.0,12.0,,3.0,,,5.0,5.0,7.0,2.0,,,2.0,1.0,3.0,1.0,6.0,,,7.0,2.0,5.0,10.0,,1.0,,,3.0,4.0,3.0,1.0,,,2.0,50.0,2.0,1.0,,,
63211228,Bragi,aggramar,33.0,10186.0,64.0,50.0,45.0,38.0,60.0,36.0,46.0,40.0,50.0,75.0,,0.0,,,50.0,100.0,100.0,67.0,,,33.0,58.0,105.0,20.0,8.0,5.0,11.0,13.0,5.0,8.0,4.0,,1.0,,,4.0,2.0,5.0,3.0,,,3.0,37.0,52.0,9.0,3.0,3.0,4.0,6.0,2.0,4.0,3.0,,0.0,,,2.0,2.0,5.0,2.0,,,1.0,,,,,,
133969872,Bootstrap,draenor,38.0,488.0,100.0,,,100.0,,50.0,100.0,50.0,100.0,0.0,,,,,0.0,,,0.0,,,100.0,1.0,,,1.0,,2.0,1.0,2.0,3.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,0.0,,,,,0.0,,,0.0,,,1.0,,,,,,
175169023,Артипал,azuregos,21.0,1122.0,,50.0,,,0.0,,62.0,100.0,100.0,50.0,,,,,,,,,,,,,2.0,,,1.0,,8.0,3.0,2.0,2.0,,,,,,,,,,,,,1.0,,,0.0,,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
140514592,Láress,defias-brotherhood,9.0,7852.0,58.0,75.0,50.0,46.0,25.0,50.0,46.0,100.0,50.0,100.0,,,,,,,,,,,,19.0,20.0,50.0,39.0,12.0,10.0,13.0,2.0,18.0,1.0,,,,,,,,,,,,11.0,15.0,25.0,18.0,3.0,5.0,6.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,
193673568,Pikapala,kazzak,9.0,791.0,25.0,,,,,100.0,,,,,,17.0,,,,,,25.0,,,,4.0,,,,,4.0,,,,,,6.0,,,,,,4.0,,,,1.0,,,,,4.0,,,,,,1.0,,,,,,1.0,,,,,,,,,
147281597,Chrinø,khaz-modan,2.0,561.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,
242652601,Ilja,trollbane,39.0,857.0,,,,100.0,,100.0,0.0,100.0,50.0,50.0,,,,,33.0,100.0,,100.0,,,100.0,,,,1.0,,1.0,1.0,1.0,2.0,4.0,,,,,3.0,3.0,,1.0,,,2.0,,,,1.0,,1.0,0.0,1.0,1.0,2.0,,,,,1.0,3.0,,1.0,,,2.0,,,,,,
93030662,Walor,ysondre,11.0,886.0,50.0,,,,,,50.0,100.0,100.0,80.0,,,,,67.0,0.0,100.0,,,,33.0,2.0,,,,,,2.0,2.0,1.0,5.0,,,,,3.0,1.0,1.0,,,,3.0,1.0,,,,,,1.0,2.0,1.0,4.0,,,,,2.0,0.0,1.0,,,,1.0,,,,,,
196969136,Pitma,the-maelstrom,3.0,542.0,100.0,,,100.0,,,0.0,,,,,,,,0.0,,100.0,,,,0.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,0.0,,,,,,,,0.0,,1.0,,,,0.0,,,,,,
175873776,Форрготэн,howling-fjord,6.0,1741.0,25.0,,,25.0,,50.0,0.0,50.0,25.0,71.0,,0.0,,,,67.0,0.0,0.0,,,33.0,4.0,,,4.0,,2.0,3.0,2.0,4.0,7.0,,3.0,,,,3.0,2.0,3.0,,,6.0,1.0,,,1.0,,1.0,0.0,1.0,1.0,5.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,
161729898,Chewba,voljin,3.0,386.0,,,,100.0,,,50.0,,0.0,0.0,,,,,0.0,,100.0,0.0,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,0.0,0.0,,,,,0.0,,1.0,0.0,,,,,,,,,
174970275,Harada,uldum,31.0,9997.0,0.0,,,57.0,,67.0,65.0,62.0,69.0,63.0,48.0,,40.0,,56.0,46.0,33.0,33.0,100.0,,0.0,3.0,,,21.0,,3.0,20.0,26.0,16.0,19.0,21.0,,5.0,,16.0,41.0,27.0,6.0,6.0,,2.0,0.0,,,12.0,,2.0,13.0,16.0,11.0,12.0,10.0,,2.0,,9.0,19.0,9.0,2.0,6.0,,0.0,,,,,,
97970901,Szamii,ragnaros,5.0,768.0,50.0,,,100.0,,,0.0,100.0,100.0,100.0,,0.0,,,,100.0,50.0,0.0,,100.0,0.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,2.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,0.0,1.0,1.0,1.0,,0.0,,,,2.0,1.0,0.0,,1.0,0.0,,,,,,
176644890,Артемониус,gordunni,23.0,3210.0,33.0,50.0,100.0,62.0,,50.0,50.0,80.0,50.0,50.0,100.0,33.0,,,20.0,50.0,,50.0,,50.0,,3.0,2.0,1.0,8.0,,4.0,8.0,5.0,4.0,6.0,4.0,3.0,,,5.0,2.0,,4.0,,4.0,,1.0,1.0,1.0,5.0,,2.0,4.0,4.0,2.0,3.0,4.0,1.0,,,1.0,1.0,,2.0,,2.0,,,,,,,
25602165,Drengur,grim-batol,6.0,30749.0,36.0,53.0,55.0,49.0,57.0,56.0,50.0,36.0,52.0,36.0,33.0,50.0,,,100.0,50.0,,80.0,,,67.0,114.0,130.0,109.0,105.0,101.0,80.0,34.0,11.0,25.0,11.0,6.0,2.0,,,1.0,4.0,,5.0,,,3.0,41.0,69.0,60.0,51.0,58.0,45.0,17.0,4.0,13.0,4.0,2.0,1.0,,,1.0,2.0,,4.0,,,2.0,,,,,,
103866719,Thonra,ravencrest,53.0,1543.0,50.0,,0.0,67.0,,0.0,50.0,,50.0,67.0,50.0,,,,60.0,,50.0,50.0,,,67.0,2.0,,2.0,3.0,,1.0,2.0,,2.0,3.0,2.0,,,,5.0,,2.0,2.0,,,3.0,1.0,,0.0,2.0,,0.0,1.0,,1.0,2.0,1.0,,,,3.0,,1.0,1.0,,,2.0,67.0,3.0,2.0,,,
98572179,Greycloak,kult-der-verdammten,43.0,113872.0,57.0,66.0,60.0,62.0,55.0,58.0,57.0,42.0,46.0,48.0,69.0,,,,62.0,67.0,50.0,25.0,,,100.0,191.0,320.0,283.0,258.0,232.0,111.0,49.0,31.0,57.0,31.0,16.0,,,,8.0,9.0,4.0,4.0,,,1.0,108.0,210.0,169.0,160.0,127.0,64.0,28.0,13.0,26.0,15.0,11.0,,,,5.0,6.0,2.0,1.0,,,1.0,7400.0,2.0,148.0,,,
181483376,Андуралус,gordunni,36.0,5812.0,80.0,33.0,0.0,43.0,,33.0,83.0,50.0,60.0,36.0,0.0,50.0,,,64.0,45.0,38.0,,,,62.0,5.0,3.0,1.0,7.0,,3.0,6.0,6.0,10.0,11.0,2.0,2.0,,,14.0,11.0,8.0,,,,8.0,4.0,1.0,0.0,3.0,,1.0,5.0,3.0,6.0,4.0,0.0,1.0,,,9.0,5.0,3.0,,,,5.0,,,,,,
110935105,Achabae,aegwynn,28.0,2505.0,50.0,36.0,30.0,36.0,33.0,,33.0,75.0,100.0,25.0,,,0.0,,67.0,0.0,50.0,,,,100.0,2.0,14.0,10.0,11.0,6.0,,3.0,4.0,3.0,4.0,,,2.0,,6.0,1.0,2.0,,,,1.0,1.0,5.0,3.0,4.0,2.0,,1.0,3.0,3.0,1.0,,,0.0,,4.0,0.0,1.0,,,,1.0,,,,,,
148519852,Blooddrünk,kaelthas,21.0,981.0,78.0,,,100.0,,50.0,,0.0,100.0,0.0,,50.0,,,100.0,100.0,,50.0,,,,9.0,,,1.0,,6.0,,1.0,1.0,1.0,,2.0,,,1.0,2.0,,2.0,,,,7.0,,,1.0,,3.0,,0.0,1.0,0.0,,1.0,,,1.0,2.0,,1.0,,,,,,,,,
215249824,Duranon,sylvanas,28.0,6290.0,79.0,36.0,42.0,18.0,25.0,100.0,40.0,29.0,45.0,31.0,50.0,,,,,,0.0,,,8.0,,14.0,39.0,12.0,11.0,8.0,6.0,20.0,28.0,11.0,16.0,6.0,,,,,,1.0,,,12.0,,11.0,14.0,5.0,2.0,2.0,6.0,8.0,8.0,5.0,5.0,3.0,,,,,,0.0,,,1.0,,,,,,,
170932560,Leptitsoo,elune,4.0,727.0,,,,100.0,,,0.0,20.0,,0.0,,,,,0.0,67.0,0.0,100.0,,,0.0,,,,3.0,,,2.0,5.0,,3.0,,,,,3.0,3.0,1.0,1.0,,,2.0,,,,3.0,,,0.0,1.0,,0.0,,,,,0.0,2.0,0.0,1.0,,,0.0,,,,,,
151732448,Henix,the-maelstrom,6.0,1819.0,75.0,,,67.0,0.0,50.0,67.0,50.0,0.0,75.0,,67.0,0.0,,0.0,0.0,0.0,100.0,,,0.0,4.0,,,3.0,1.0,4.0,3.0,4.0,2.0,4.0,,3.0,1.0,,2.0,2.0,1.0,1.0,,,3.0,3.0,,,2.0,0.0,2.0,2.0,2.0,0.0,3.0,,2.0,0.0,,0.0,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,
