character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
176231782,Intrøper,outland,11.0,3109.0,50.0,50.0,29.0,,83.0,67.0,2.0,2.0,7.0,,6.0,3.0,1.0,1.0,2.0,,5.0,2.0,50.0,100.0,38.0,,33.0,67.0,44.0,,50.0,,75.0,75.0,,,0.0,4.0,3.0,8.0,,3.0,6.0,9.0,,4.0,,4.0,4.0,,,1.0,2.0,3.0,3.0,,1.0,4.0,4.0,,2.0,,3.0,3.0,,,0.0,,,,,,
154704488,Jitizim,ravencrest,15.0,3998.0,60.0,80.0,45.0,67.0,60.0,33.0,10.0,10.0,11.0,3.0,10.0,3.0,6.0,8.0,5.0,2.0,6.0,1.0,,,100.0,,64.0,40.0,82.0,100.0,,,71.0,73.0,,,67.0,,,3.0,,11.0,5.0,11.0,4.0,,,7.0,15.0,,,12.0,,,3.0,,7.0,2.0,9.0,4.0,,,5.0,11.0,,,8.0,,,,,,
123852462,Klerdinia,thunderhorn,49.0,4881.0,0.0,67.0,50.0,,100.0,100.0,1.0,3.0,12.0,,6.0,1.0,0.0,2.0,6.0,,6.0,1.0,100.0,100.0,75.0,0.0,50.0,56.0,75.0,,80.0,,65.0,75.0,,,100.0,2.0,1.0,8.0,1.0,8.0,9.0,8.0,,5.0,,60.0,4.0,,,2.0,2.0,1.0,6.0,0.0,4.0,5.0,6.0,,4.0,,39.0,3.0,,,2.0,,,,,,
130863518,Pinpar,los-errantes,148.0,14438.0,50.0,54.0,75.0,,150.0,0.0,22.0,13.0,24.0,,2.0,1.0,11.0,7.0,18.0,,3.0,0.0,44.0,58.0,59.0,79.0,55.0,60.0,65.0,,45.0,,50.0,100.0,,,75.0,27.0,33.0,22.0,14.0,22.0,20.0,17.0,,11.0,,4.0,2.0,,,4.0,12.0,19.0,13.0,11.0,12.0,12.0,11.0,,5.0,,2.0,2.0,,,3.0,,,,,,
173384373,Vàllo,hyjal,8.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
139653617,Bolívar,magtheridon,25.0,10775.0,29.0,60.0,45.0,75.0,76.0,50.0,7.0,5.0,22.0,4.0,17.0,4.0,2.0,3.0,10.0,3.0,13.0,2.0,56.0,100.0,67.0,0.0,74.0,55.0,74.0,,56.0,50.0,50.0,65.0,100.0,50.0,74.0,9.0,1.0,18.0,1.0,27.0,20.0,19.0,,9.0,2.0,20.0,17.0,2.0,2.0,19.0,5.0,1.0,12.0,0.0,20.0,11.0,14.0,,5.0,1.0,10.0,11.0,2.0,1.0,14.0,100.0,1.0,1.0,,,
193772441,Madares,silvermoon,15.0,1545.0,0.0,50.0,50.0,50.0,0.0,100.0,1.0,4.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,,,0.0,,100.0,50.0,50.0,100.0,,,100.0,0.0,,,25.0,,,1.0,,1.0,2.0,2.0,1.0,,,3.0,2.0,,,4.0,,,0.0,,1.0,1.0,1.0,1.0,,,3.0,0.0,,,1.0,,,,,,
194386574,Bigclock,outland,43.0,1762.0,,,50.0,,71.0,,,,6.0,,7.0,,,,3.0,,5.0,,,,80.0,,17.0,55.0,100.0,57.0,,,50.0,80.0,,,78.0,,,5.0,,6.0,11.0,6.0,7.0,,,10.0,10.0,,,9.0,,,4.0,,1.0,6.0,6.0,4.0,,,5.0,8.0,,,7.0,,,,,,
153197999,Gordain,malfurion,17.0,4505.0,38.0,86.0,50.0,67.0,50.0,33.0,8.0,7.0,4.0,6.0,4.0,9.0,3.0,6.0,2.0,4.0,2.0,3.0,,,50.0,,38.0,50.0,33.0,,50.0,100.0,40.0,75.0,100.0,0.0,0.0,,,6.0,,8.0,8.0,3.0,,2.0,1.0,5.0,4.0,2.0,4.0,2.0,,,3.0,,3.0,4.0,1.0,,1.0,1.0,2.0,3.0,2.0,0.0,0.0,,,,,,
136676508,Tonínoo,dun-modr,22.0,6186.0,67.0,33.0,50.0,100.0,67.0,,3.0,3.0,20.0,2.0,12.0,,2.0,1.0,10.0,2.0,8.0,,75.0,50.0,56.0,0.0,54.0,57.0,33.0,50.0,67.0,,53.0,40.0,,,70.0,8.0,8.0,9.0,2.0,13.0,23.0,12.0,2.0,3.0,,15.0,15.0,,,10.0,6.0,4.0,5.0,0.0,7.0,13.0,4.0,1.0,2.0,,8.0,6.0,,,7.0,,,,,,
196113285,Visermand,outland,12.0,1815.0,0.0,75.0,33.0,50.0,0.0,75.0,1.0,4.0,3.0,2.0,3.0,4.0,0.0,3.0,1.0,1.0,0.0,3.0,,,0.0,,100.0,50.0,,,,,67.0,25.0,,,67.0,,,1.0,,2.0,2.0,,,,,3.0,4.0,,,3.0,,,0.0,,2.0,1.0,,,,,2.0,1.0,,,2.0,,,,,,
161940989,Ramegrag,dun-modr,68.0,28829.0,41.0,40.0,74.0,53.0,62.0,30.0,37.0,30.0,93.0,17.0,48.0,33.0,15.0,12.0,69.0,9.0,30.0,10.0,33.0,100.0,72.0,,72.0,69.0,46.0,75.0,0.0,25.0,70.0,72.0,,29.0,67.0,6.0,1.0,47.0,,60.0,59.0,54.0,12.0,1.0,4.0,47.0,54.0,,7.0,57.0,2.0,1.0,34.0,,43.0,41.0,25.0,9.0,0.0,1.0,33.0,39.0,,2.0,38.0,,,,,,
217850493,Mordréd,sylvanas,20.0,522.0,75.0,100.0,0.0,50.0,0.0,,4.0,1.0,1.0,2.0,1.0,,3.0,1.0,0.0,1.0,0.0,,,,,,,100.0,0.0,,,,100.0,0.0,,,100.0,,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,0.0,,,,1.0,0.0,,,1.0,,,,,,
158006360,Erokan,antonidas,33.0,48229.0,52.0,51.0,68.0,0.0,50.0,,90.0,96.0,31.0,2.0,2.0,,47.0,49.0,21.0,0.0,1.0,,45.0,43.0,47.0,44.0,51.0,38.0,60.0,,60.0,,67.0,,,,33.0,251.0,175.0,187.0,180.0,142.0,29.0,73.0,,5.0,,3.0,,,,3.0,113.0,76.0,88.0,80.0,73.0,11.0,44.0,,3.0,,2.0,,,,1.0,,,,,,
155940918,Yuenglings,ravencrest,8.0,2456.0,,0.0,83.0,,,,,1.0,12.0,,,,,0.0,10.0,,,,,50.0,75.0,67.0,20.0,60.0,20.0,,40.0,,,,,,,,2.0,4.0,3.0,5.0,5.0,5.0,,5.0,,,,,,,,1.0,3.0,2.0,1.0,3.0,1.0,,2.0,,,,,,,,,,,,
155148357,Padogorek,silvermoon,115.0,28240.0,61.0,74.0,61.0,29.0,60.0,54.0,41.0,47.0,116.0,7.0,20.0,13.0,25.0,35.0,71.0,2.0,12.0,7.0,37.0,35.0,35.0,47.0,48.0,44.0,47.0,167.0,60.0,25.0,50.0,63.0,100.0,,57.0,59.0,40.0,46.0,45.0,64.0,71.0,74.0,3.0,57.0,12.0,22.0,19.0,5.0,,7.0,22.0,14.0,16.0,21.0,31.0,31.0,35.0,5.0,34.0,3.0,11.0,12.0,5.0,,4.0,81.0,26.0,21.0,,,
151952434,Sejanus,gilneas,45.0,58635.0,69.0,51.0,64.0,,,,105.0,82.0,47.0,,,,72.0,42.0,30.0,,,,56.0,55.0,54.0,49.0,60.0,49.0,61.0,,66.0,,,,,,,259.0,190.0,167.0,152.0,72.0,49.0,100.0,,32.0,,,,,,,144.0,105.0,90.0,74.0,43.0,24.0,61.0,,21.0,,,,,,,,,,,,
110828335,Hibiya,dun-modr,29.0,6185.0,67.0,25.0,67.0,,100.0,100.0,6.0,4.0,3.0,,1.0,1.0,4.0,1.0,2.0,,1.0,1.0,67.0,50.0,33.0,100.0,0.0,40.0,100.0,,0.0,,,0.0,,0.0,100.0,3.0,2.0,3.0,1.0,1.0,5.0,1.0,,1.0,,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,,0.0,,,0.0,,0.0,2.0,,,,,,
180862156,Mythterhawk,outland,48.0,8751.0,40.0,54.0,59.0,,75.0,89.0,5.0,13.0,22.0,,8.0,9.0,2.0,7.0,13.0,,6.0,8.0,43.0,60.0,58.0,50.0,68.0,78.0,68.0,125.0,60.0,,79.0,77.0,,,75.0,7.0,5.0,12.0,2.0,19.0,27.0,19.0,4.0,15.0,,14.0,13.0,,,4.0,3.0,3.0,7.0,1.0,13.0,21.0,13.0,5.0,9.0,,11.0,10.0,,,3.0,,,,,,
192498688,Эндоул,gordunni,12.0,2723.0,0.0,50.0,0.0,0.0,67.0,25.0,1.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,,,100.0,,0.0,50.0,25.0,,,25.0,100.0,100.0,100.0,0.0,,,,1.0,,1.0,2.0,4.0,,,4.0,2.0,1.0,2.0,1.0,,,,1.0,,0.0,1.0,1.0,,,1.0,2.0,1.0,2.0,0.0,,,,,,,
158957910,Dryël,dun-modr,53.0,86885.0,53.0,47.0,33.0,0.0,100.0,100.0,196.0,146.0,30.0,1.0,3.0,1.0,103.0,69.0,10.0,0.0,3.0,1.0,57.0,63.0,59.0,58.0,59.0,67.0,66.0,,42.0,,100.0,,,,,484.0,354.0,298.0,263.0,210.0,18.0,166.0,,19.0,,1.0,,,,,275.0,222.0,175.0,153.0,123.0,12.0,109.0,,8.0,,1.0,,,,,,,,,,
127168376,Andgrod,minahonda,16.0,4570.0,0.0,75.0,44.0,,75.0,,2.0,4.0,16.0,,4.0,,0.0,3.0,7.0,,3.0,,85.0,55.0,55.0,44.0,35.0,67.0,71.0,,59.0,50.0,50.0,75.0,,,,13.0,11.0,11.0,9.0,17.0,18.0,17.0,,17.0,2.0,6.0,4.0,,,,11.0,6.0,6.0,4.0,6.0,12.0,12.0,,10.0,1.0,3.0,3.0,,,,,,,,,
52707176,Kroden,dun-modr,15.0,7238.0,62.0,50.0,33.0,,,,24.0,16.0,3.0,,,,15.0,8.0,1.0,,,,50.0,47.0,32.0,37.0,,25.0,0.0,,100.0,,,,,,,26.0,32.0,31.0,43.0,,4.0,3.0,,1.0,,,,,,,13.0,15.0,10.0,16.0,,1.0,0.0,,1.0,,,,,,,,,,,,
168998405,Sarthigas,dalaran,23.0,7694.0,55.0,81.0,43.0,67.0,88.0,56.0,33.0,27.0,7.0,6.0,8.0,18.0,18.0,22.0,3.0,4.0,7.0,10.0,,,57.0,,60.0,47.0,70.0,,,,64.0,62.0,,,57.0,,,7.0,,10.0,15.0,10.0,,,,11.0,13.0,,,7.0,,,4.0,,6.0,7.0,7.0,,,,7.0,8.0,,,4.0,,,,,,
111519487,Harad,nordrassil,44.0,24688.0,62.0,50.0,62.0,100.0,60.0,50.0,77.0,40.0,21.0,6.0,5.0,2.0,48.0,20.0,13.0,6.0,3.0,1.0,57.0,57.0,39.0,67.0,56.0,50.0,46.0,,44.0,,100.0,60.0,,,50.0,115.0,70.0,62.0,33.0,39.0,16.0,26.0,,9.0,,5.0,5.0,,,4.0,65.0,40.0,24.0,22.0,22.0,8.0,12.0,,4.0,,5.0,3.0,,,2.0,,,,,,
154138855,Shearduck,silvermoon,27.0,3520.0,75.0,100.0,44.0,50.0,75.0,100.0,4.0,1.0,9.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,58.0,67.0,25.0,80.0,44.0,50.0,64.0,0.0,100.0,,75.0,50.0,,,100.0,12.0,3.0,4.0,5.0,9.0,10.0,14.0,1.0,2.0,,4.0,2.0,,,3.0,7.0,2.0,1.0,4.0,4.0,5.0,9.0,0.0,2.0,,3.0,1.0,,,3.0,,,,,,
140892084,Krisis,dun-modr,17.0,2880.0,33.0,75.0,50.0,100.0,20.0,75.0,6.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,0.0,,33.0,,50.0,29.0,40.0,,0.0,100.0,50.0,75.0,100.0,,100.0,2.0,,3.0,,2.0,7.0,5.0,,3.0,1.0,6.0,4.0,8.0,,1.0,0.0,,1.0,,1.0,2.0,2.0,,0.0,1.0,3.0,3.0,8.0,,1.0,,,,,,
107144363,Shtrauska,les-clairvoyants,45.0,11295.0,67.0,0.0,38.0,,67.0,,3.0,1.0,45.0,,12.0,,2.0,0.0,17.0,,8.0,,31.0,18.0,13.0,30.0,24.0,40.0,27.0,,35.0,0.0,33.0,,,,,52.0,22.0,15.0,20.0,51.0,42.0,56.0,,17.0,1.0,3.0,,,,,16.0,4.0,2.0,6.0,12.0,17.0,15.0,,6.0,0.0,1.0,,,,,,,,,,
170229125,Элитныи,gordunni,51.0,24170.0,49.0,40.0,79.0,,100.0,,39.0,30.0,24.0,,1.0,,19.0,12.0,19.0,,1.0,,62.0,54.0,60.0,58.0,56.0,59.0,70.0,,76.0,,0.0,,,,,110.0,79.0,52.0,53.0,70.0,27.0,91.0,,21.0,,2.0,,,,,68.0,43.0,31.0,31.0,39.0,16.0,64.0,,16.0,,0.0,,,,,,,,,,
197456256,Keirri,chamber-of-aspects,25.0,1520.0,33.0,33.0,60.0,,,,6.0,12.0,5.0,,,,2.0,4.0,3.0,,,,100.0,100.0,100.0,67.0,67.0,100.0,67.0,,50.0,,0.0,,,,,3.0,1.0,1.0,3.0,6.0,2.0,6.0,,2.0,,1.0,,,,,3.0,1.0,1.0,2.0,4.0,2.0,4.0,,1.0,,0.0,,,,,,,,,,
197088645,Даренум,gordunni,67.0,5595.0,33.0,17.0,43.0,,71.0,75.0,6.0,6.0,7.0,,14.0,4.0,2.0,1.0,3.0,,10.0,3.0,100.0,100.0,60.0,,100.0,80.0,100.0,,33.0,50.0,70.0,0.0,100.0,,100.0,2.0,2.0,5.0,,7.0,10.0,3.0,,3.0,4.0,10.0,1.0,3.0,,4.0,2.0,2.0,3.0,,7.0,8.0,3.0,,1.0,2.0,7.0,0.0,3.0,,4.0,,,,,,
174953493,Holdies,silvermoon,26.0,1107.0,,,67.0,,,,,,3.0,,,,,,2.0,,,,,,100.0,,20.0,100.0,,100.0,,,100.0,100.0,,0.0,,,,1.0,,5.0,1.0,,1.0,,,2.0,2.0,,10.0,,,,1.0,,1.0,1.0,,1.0,,,2.0,2.0,,0.0,,,,,,,
97467429,Eredan,elune,27.0,802.0,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,0.0,,,50.0,0.0,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,
237280317,Интерпал,borean-tundra,35.0,14580.0,54.0,56.0,57.0,11.0,67.0,40.0,28.0,36.0,7.0,9.0,3.0,5.0,15.0,20.0,4.0,1.0,2.0,2.0,30.0,31.0,44.0,48.0,50.0,43.0,44.0,,38.0,60.0,25.0,0.0,100.0,,,27.0,29.0,25.0,23.0,18.0,7.0,18.0,,8.0,5.0,4.0,1.0,1.0,,,8.0,9.0,11.0,11.0,9.0,3.0,8.0,,3.0,3.0,1.0,0.0,1.0,,,,,,,,
99250043,Amicitia,antonidas,64.0,11534.0,0.0,50.0,57.0,0.0,80.0,100.0,1.0,6.0,37.0,1.0,45.0,2.0,0.0,3.0,21.0,0.0,36.0,2.0,,,48.0,,70.0,61.0,44.0,,85.0,57.0,63.0,69.0,100.0,,43.0,,,27.0,,30.0,56.0,34.0,,20.0,7.0,41.0,32.0,2.0,,7.0,,,13.0,,21.0,34.0,15.0,,17.0,4.0,26.0,22.0,2.0,,3.0,,,,,,
174509571,Kethmil,dun-modr,7.0,382.0,33.0,100.0,,,,100.0,3.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,,0.0,,,,,,,,0.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,
180109619,Yaminosenshi,hellfire,7.0,3749.0,67.0,0.0,,,,33.0,3.0,2.0,,,,3.0,2.0,0.0,,,,1.0,0.0,0.0,67.0,,33.0,67.0,0.0,,,,60.0,0.0,,50.0,67.0,1.0,1.0,3.0,,3.0,3.0,1.0,,,,5.0,1.0,,4.0,3.0,0.0,0.0,2.0,,1.0,2.0,0.0,,,,3.0,0.0,,2.0,2.0,,,,,,
247160183,Палстар,gordunni,37.0,5911.0,67.0,100.0,43.0,,,0.0,3.0,5.0,7.0,,,2.0,2.0,5.0,3.0,,,0.0,27.0,33.0,25.0,57.0,83.0,67.0,43.0,,67.0,,,,,100.0,,11.0,3.0,16.0,7.0,6.0,12.0,7.0,,9.0,,,,,1.0,,3.0,1.0,4.0,4.0,5.0,8.0,3.0,,6.0,,,,,1.0,,,,,,,
134200391,Chuipàlà,sargeras,31.0,1749.0,50.0,0.0,50.0,,83.0,,2.0,1.0,2.0,,6.0,,1.0,0.0,1.0,,5.0,,50.0,67.0,0.0,,60.0,17.0,62.0,,0.0,,,0.0,,,0.0,8.0,3.0,3.0,,5.0,6.0,8.0,,1.0,,,1.0,,,1.0,4.0,2.0,0.0,,3.0,1.0,5.0,,0.0,,,0.0,,,0.0,,,,,,
218020568,Zephyrindark,sylvanas,62.0,5598.0,100.0,0.0,94.0,50.0,50.0,100.0,2.0,1.0,17.0,2.0,18.0,1.0,2.0,0.0,16.0,1.0,9.0,1.0,100.0,,62.0,,53.0,62.0,71.0,100.0,67.0,100.0,77.0,56.0,,,60.0,1.0,,8.0,,17.0,21.0,14.0,2.0,6.0,1.0,13.0,9.0,,,15.0,1.0,,5.0,,9.0,13.0,10.0,2.0,4.0,1.0,10.0,5.0,,,9.0,,,,,,
153584340,Shei,eitrigg,15.0,20062.0,65.0,71.0,41.0,50.0,50.0,,17.0,31.0,49.0,2.0,4.0,,11.0,22.0,20.0,1.0,2.0,,42.0,47.0,55.0,48.0,50.0,62.0,44.0,,56.0,,62.0,100.0,,,67.0,132.0,47.0,56.0,40.0,30.0,26.0,36.0,,27.0,,16.0,3.0,,,3.0,56.0,22.0,31.0,19.0,15.0,16.0,16.0,,15.0,,10.0,3.0,,,2.0,,,,,,
226283851,Doríáth,sylvanas,47.0,56222.0,38.0,58.0,57.0,,58.0,31.0,29.0,19.0,28.0,,12.0,13.0,11.0,11.0,16.0,,7.0,4.0,67.0,43.0,39.0,46.0,43.0,59.0,45.0,,43.0,,40.0,50.0,,,44.0,6.0,7.0,23.0,13.0,21.0,27.0,20.0,,7.0,,15.0,12.0,,,18.0,4.0,3.0,9.0,6.0,9.0,16.0,9.0,,3.0,,6.0,6.0,,,8.0,,,,,,
77429208,Дэно,fordragon,26.0,10022.0,56.0,57.0,50.0,,,,9.0,21.0,4.0,,,,5.0,12.0,2.0,,,,53.0,53.0,44.0,68.0,64.0,50.0,48.0,,50.0,,,,,,,15.0,30.0,50.0,19.0,11.0,4.0,23.0,,2.0,,,,,,,8.0,16.0,22.0,13.0,7.0,2.0,11.0,,1.0,,,,,,,,,,,,
115287737,Look,throkferoth,87.0,3041.0,50.0,,67.0,,67.0,33.0,2.0,,9.0,,12.0,3.0,1.0,,6.0,,8.0,1.0,,,57.0,,50.0,58.0,50.0,,50.0,,50.0,50.0,,,20.0,,,7.0,,8.0,12.0,10.0,,2.0,,4.0,4.0,,,5.0,,,4.0,,4.0,7.0,5.0,,1.0,,2.0,2.0,,,1.0,,,,,,
51285832,Громел,gordunni,54.0,123409.0,64.0,64.0,75.0,100.0,71.0,63.0,186.0,233.0,153.0,5.0,35.0,35.0,119.0,150.0,115.0,5.0,25.0,22.0,63.0,53.0,62.0,62.0,60.0,59.0,59.0,,66.0,23.0,59.0,65.0,100.0,0.0,,316.0,279.0,242.0,225.0,259.0,129.0,268.0,,88.0,13.0,41.0,23.0,6.0,1.0,,200.0,149.0,151.0,140.0,156.0,76.0,157.0,,58.0,3.0,24.0,15.0,6.0,0.0,,100.0,1.0,1.0,,,
