Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Band of the Risen Bonelord,Signet of the False Accuser,Blood-Spattered Scale,Inscrutable Quantum Device,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the 7th Legion,130863518
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Orgrimmar Tabard,194396987
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Death God's Signet,Bloodoath Signet,Blood-Spattered Scale,Wakener's Frond,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,Gilneas Tabard,156067386
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Death God's Signet,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Acidslough Bulwark,Renowned Guild Tabard,73997688
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,Tabard of the Ascended,96588270
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,164108514
Wrathbark Greathelm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Initiate's Shirt,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Signet of the False Accuser,Ritualist's Treasured Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Grim-Veiled Cape,Engorged Worm Smasher,Builwark of the Stone Legion,Renowned Guild Tabard,66844458
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,Court of Harvesters Tabard,156196167
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Inscrutable Quantum Device,Drape of Twisted Loyalties,Supercollider,Encrusted Canopic Lid,,156085046
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Precious' Ribbon,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Shadowghast Greaves,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Inscrutable Quantum Device,Splintered Heart of Al'ar,Mantle of Manifest Sins,Engorged Worm Smasher,Elysian Sentinel's Aegis,,16371665
