Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,Orgrimmar Tabard,162957640,
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Acidslough Bulwark,Tabard of the Explorer,163132153,Ooze-Soaked Shirt
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,Arathor Battle Tabard,126725985,
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Ring of Perpetual Conflict,Signet of the False Accuser,Inscrutable Quantum Device,Stone Legion Heraldry,Crest of the Legionnaire General,Gorestained Cleaver,Acidslough Bulwark,,117678468,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Elysian Sentinel's Aegis,,93933179,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ring of Perpetual Conflict,Anima Field Emitter,Pulsating Stoneheart,Dealer Xy'exa's Cape,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Lightbringer,95484374,Artisan Officer's Shirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Guilewind Stone Talons,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,,161484022,
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Hardened Castle Crushers,Ritual Commander's Ring,Fleshfused Circle,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Crest of the Legionnaire General,Sophisticated Bonecracker,Barricade of the Endless Empire,Tabard of the Lightbringer,100462881,Wraps of the Blood-Soaked Brawler
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Entwined Gorger Tendril,Anima Field Emitter,Macabre Sheet Music,Crest of the Legionnaire General,Supercollider,Chyrus's Crest of Hope,,99486244,
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Shadowghast Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Inscrutable Quantum Device,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Builwark of the Stone Legion,,161891340,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Ascended,124508002,Red Lumberjack Shirt
