Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard,Shirt
Sinful Gladiator's Plate Helm,Sinful Aspirant's Necklace,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Sinful Aspirant's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Medallion,Sinful Gladiator's Drape,Supercollider,Sinful Gladiator's Guard,194386574,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Gorestained Cleaver,Acidslough Bulwark,209809699,Lightforged Tabard,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Band of the Risen Bonelord,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Supercollider,Acidslough Bulwark,164701935,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,111017100,,
Plague Handler's Greathelm,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Ritualist's Treasured Ring,Shadowghast Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Ascended Gladius of Glory,Chyrus's Crest of Hope,85396355,Thunder Bluff Tabard,Last Season's Shirt
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Elysian Sentinel's Aegis,165507222,Tabard of the Lightbringer,Wraps of the Blood-Soaked Brawler
Shadowghast Helm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Gormshell Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,116737346,Orgrimmar Tabard,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Arachnid Cipher Ring,Band of the Risen Bonelord,Splintered Heart of Al'ar,Bargast's Leash,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,162775094,Argent Crusader's Tabard,Sleeveless T-Shirt
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Guilewind Stone Talons,Signet of the False Accuser,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Mantle of Manifest Sins,Gorestained Cleaver,Barricade of the Endless Empire,164826119,,Sleeveless T-Shirt
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Anima Field Emitter,Gluttonous Spike,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,84566364,Tabard of the Lightbringer,Precious' Ribbon
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Signet of the False Accuser,Death God's Signet,Sanguine Vintage,Blood-Spattered Scale,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,166768405,Stormwind Tabard,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,44926816,Tabard of the Lightbringer,Precious' Ribbon
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,120373370,Argent Crusader's Tabard,Fashionable Undershirt
Darkfrost Helmet,Reinforced High Collar,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Sanguine Vintage,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Gorestained Cleaver,Chyrus's Crest of Hope,155465560,Tabard of the Ascended,
