Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,156893097,,
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Shadowghast Ring,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,96768294,Undisputed Champion's Shirt,Tabard of the Protector
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Bloodoath Signet,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Sinful Gladiator's Drape,Supercollider,Sinful Gladiator's Guard,194386574,,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Shadowghast Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Sinful Gladiator's Hacker,Acidslough Bulwark,176231782,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,247688319,Stylish Black Shirt,
Wing Commander's Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Shadowghast Greaves,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Ritual Bone Band,Stone Legion Heraldry,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Stonewrought Gargoyles Barrier,182104757,,
Plague Handler's Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Shadowghast Ring,Ardent Sunstar Signet,Pulsating Stoneheart,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,183148479,Precious' Ribbon,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Chyrus's Crest of Hope,18820223,Artisan Officer's Shirt,Tabard of the Lightbringer
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Overwhelming Power Crystal,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Axe of the Deadgrove,Chyrus's Crest of Hope,102178351,Red Linen Shirt,Tabard of the Ascended
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Barricade of the Endless Empire,196113285,,Renowned Guild Tabard
