,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
0,Wrathbark Greathelm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Drape,Sophisticated Bonecracker,,Precious' Ribbon,Encrusted Canopic Lid,1523.7
1,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sinsmasher,Tabard of the Explorer,Red Martial Shirt,Elysian Sentinel's Aegis,1497.2
2,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Decadent Nathrian Shawl,Sinful Gladiator's Xiphos,,Precious' Ribbon,Sinful Gladiator's Guard,1419.0
3,Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Sinful Gladiator's Xiphos,Tabard of the Zandalari,,Barricade of the Endless Empire,1521.7
4,Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Inscrutable Quantum Device,Gluttonous Spike,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,,,Sinful Gladiator's Guard,1664.5
5,Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Sinful Gladiator's Insignia of Alacrity,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Supercollider,Tabard of the Lightbringer,Precious' Ribbon,Chyrus's Crest of Hope,1310.9
6,Shadowghast Helm,Sin Stained Pendant,Tabone's Branded Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Desm's Fistos,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,1378.1
7,Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Gluttonous Spike,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Elysian Sentinel's Aegis,1347.5
8,Wing Commander's Helmet,Charm of Eternal Winter,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Colossal Plate Gauntlets,Shadowghast Ring,Most Regal Signet of Sire Denathrius,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Crest of the Legionnaire General,Ascended Gladius of Glory,,,Sinful Gladiator's Guard,1274.0
9,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Acidslough Bulwark,1182.7
