Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Argent Crusader's Tabard,143937353
Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Cerulean Filigreed Doublet,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Ritual Bone Band,Sinful Gladiator's Ring,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,Tabard of the Achiever,165797653
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Sinful Gladiator's Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,,175810099
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Squire's Shirt,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sophisticated Bonecracker,Acidslough Bulwark,,34336323
Diadem of Imperious Desire,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Barricade of the Endless Empire,,165703894
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Binding of Warped Desires,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Argent Crusader's Tabard,110828335
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Artisan Officer's Shirt,Abdominal Securing Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,Tabard of the Lightbringer,177858534
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,Guild Tabard,171221642
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Signet of the False Accuser,Darkmoon Deck: Indomitable,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,Encrusted Canopic Lid,Tabard of the Lightbringer,1644249
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,,Rampaging Giant's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Most Regal Signet of Sire Denathrius,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,Illustrious Guild Tabard,172559574
Wrathbark Greathelm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Selis' Silk Shirt,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Death God's Signet,Stone Legion Heraldry,Sanguine Vintage,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,Tabard of the Lightbringer,188182727
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Ritual Bone Band,Sinful Gladiator's Ring,Sinful Gladiator's Badge of Ferocity,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Supercollider,Sinful Gladiator's Guard,Tabard of the 7th Legion,143899528
