Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Ascended,134733100,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Fleshfused Circle,Most Regal Signet of Sire Denathrius,Sinful Aspirant's Medallion,Viscera of Coalesced Hatred,Decadent Nathrian Shawl,Sinful Gladiator's Swordbreaker,Sinful Gladiator's Guard,,111519487,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,,62804529,
Plague Handler's Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Shadowghast Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Drape of Twisted Loyalties,Barbed-Edge of the Stone Legion,Builwark of the Stone Legion,,176201426,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Bloodoath Signet,Arachnid Cipher Ring,Inscrutable Quantum Device,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Sinsmasher,Barricade of the Endless Empire,,174098353,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the Lightbringer,118072551,Fashionable Undershirt
Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Overwhelming Power Crystal,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,Renowned Guild Tabard,112613598,
Plague Handler's Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Stonebark Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Guilewind Stone Talons,Sinful Gladiator's Ring,Ritualist's Treasured Ring,Gluttonous Spike,Sinful Aspirant's Medallion,Grim-Veiled Cape,Ascended Gladius of Glory,Sinful Gladiator's Guard,Renowned Guild Tabard,182890831,
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Shoulders,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Grim Codex,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,,176201206,
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Acidslough Bulwark,Bilgewater Cartel Tabard,193673568,
