Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Barricade of the Endless Empire,108809209,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Sinful Gladiator's Signet,Inscrutable Quantum Device,Slimy Consumptive Organ,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,92055683,Red Swashbuckler's Shirt,Tabard of Brute Force
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Elysian Sentinel's Aegis,165507222,Wraps of the Blood-Soaked Brawler,Tabard of the Lightbringer
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,96588270,Artisan Officer's Shirt,Tabard of the Ascended
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Elysian Sentinel's Aegis,24059176,Precious' Ribbon,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,167238257,,
Plague Handler's Greathelm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Stonewrought Gargoyles Barrier,166155364,Ebon Filigreed Doublet,Guild Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fleshfused Crushers,Signet of the False Accuser,Ardent Sunstar Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,74440951,Embroidered Shirt,Blood Knight Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritual Commander's Ring,Ritual Bone Band,Stone Legion Heraldry,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,162817992,,
Shadowghast Helm,Sinful Gladiator's Amulet,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Bone Band,Fleshfused Circle,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,155141153,Gray Woolen Shirt,
