Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,White Swashbuckler's Shirt,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Shadowghast Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,92605966,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Sinful Aspirant's Ring,Fleshfused Circle,Macabre Sheet Music,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,154135172,
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Purple Martial Shirt,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Fleshfused Circle,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,145643572,Tabard of the Lightbringer
Plague Handler's Greathelm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Ceremonial Parade Legguards,Dynamo Doomstompers,Hellhound Cuffs,Fallen Templar's Gauntlets,Bloodoath Signet,Signet of the False Accuser,Sanguine Vintage,Overwhelming Power Crystal,Crest of the Legionnaire General,Engorged Worm Smasher,Chyrus's Crest of Hope,81214680,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Acidslough Bulwark,119766949,
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Jade's Lovely Shirt,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,140580886,Stone Guard's Herald
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Ritual Bone Band,Hyperlight Band,Stone Legion Heraldry,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Barricade of the Endless Empire,147314448,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Death God's Signet,Bloodoath Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,117024009,Guild Tabard
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Red Lumberjack Shirt,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Engorged Worm Smasher,Sinful Gladiator's Guard,153806585,Tabard of the Ascended
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Wraps of the Blood-Soaked Brawler,Chestplate of the March Warden,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Slimy Consumptive Organ,Inscrutable Quantum Device,Cowled Batwing Cloak,Supercollider,Encrusted Canopic Lid,35008478,
Darkfrost Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Drape of Twisted Loyalties,Gorestained Cleaver,Barricade of the Endless Empire,10699933,Illustrious Guild Tabard
Wrathbark Greathelm,Sinful Gladiator's Necklace,Prankster's Pauldrons,,Sinful Aspirant's Plate Chestplate,Shadowghast Waistguard,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,195482970,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,123988351,Tabard of the Lightbringer
