Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard,Shirt
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,175810099,,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Elysian Sentinel's Aegis,93933179,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Stone Legion Heraldry,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,153197999,Renowned Guild Tabard,
Diadem of Imperious Desire,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Ritualist's Treasured Ring,Dreadfire Vessel,Stone Legion Heraldry,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,166500867,Tabard of the Lightbringer,Precious' Ribbon
Wrathbark Greathelm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Shadowghast Ring,Sinful Gladiator's Badge of Ferocity,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Chyrus's Crest of Hope,180862156,Rustbolt Resistance Tabard,Black Swashbuckler's Shirt
Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Stonebark Girdle,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritual Commander's Ring,Death God's Signet,Splintered Heart of Al'ar,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,119175954,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Stone Legion Heraldry,Blighted Margrave's Cloak,Ascended Gladius of Glory,Acidslough Bulwark,164633271,,Precious' Ribbon
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Arachnid Cipher Ring,Death God's Signet,Decanter of Anima-Charged Winds,Anima Field Emitter,Drape of Twisted Loyalties,Supercollider,Encrusted Canopic Lid,139225789,,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Crest of the Legionnaire General,Engorged Worm Smasher,Sinful Gladiator's Guard,67972002,Gilneas Tabard,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,136035953,Army of the Light Tabard,
