Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Stoneguard Attendant's Boots,Shadowghast Armguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,162360973,,
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Encrusted Canopic Lid,180420766,Captain Sanders' Shirt,
Shadowghast Helm,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Ritualist's Treasured Ring,Bloodoath Signet,Anima Field Emitter,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Supercollider,Elysian Sentinel's Aegis,145130374,,Hellscream's Reach Tabard
Shadowghast Helm,Azure-Venom Choker,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Guilewind Stone Talons,Band of the Risen Bonelord,Bloodoath Signet,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Sophisticated Bonecracker,Sinful Gladiator's Redoubt,189279294,,Tabard of the Wyrmrest Accord
Darkfrost Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Shoulders,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,167884326,Gorgeous Blouse,Tabard of the Arcane
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Unfaltering Armguards,Fleshfused Crushers,Fleshfused Circle,Signet of the False Accuser,Sinful Gladiator's Emblem,Gluttonous Spike,Shawl of the Shattered Giant,Axe of the Deadgrove,Acidslough Bulwark,86944878,Last Season's Shirt,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Ring of Perpetual Conflict,Signet of the False Accuser,Inscrutable Quantum Device,Stone Legion Heraldry,Crest of the Legionnaire General,Gorestained Cleaver,Acidslough Bulwark,117678468,,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Muckwallow Stompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Hyperlight Band,Anima Field Emitter,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,Barricade of the Endless Empire,180109619,Artisan Officer's Shirt,Tabard of the Ascended
Wrathbark Greathelm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Splintered Heart of Al'ar,Anima Field Emitter,Dealer Xy'exa's Cape,Supercollider,Chyrus's Crest of Hope,137417779,White Swashbuckler's Shirt,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Dynamo Doomstompers,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Death God's Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,95463891,Precious' Ribbon,Tabard of the Shattered Sun
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Gladiator's Badge of Ferocity,Blood-Spattered Scale,Sinful Gladiator's Drape,Supercollider,Sinful Gladiator's Guard,165638913,,Tabard of the Explorer
Diadem of Imperious Desire,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ritual Commander's Ring,Most Regal Signet of Sire Denathrius,Sanguine Vintage,Bargast's Leash,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,70082112,Sleeveless T-Shirt,Champions of Azeroth Tabard
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Bargast's Leash,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,175959101,,Tabard of the Ascended
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Ritual Bone Band,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Swordbreaker,Builwark of the Stone Legion,157994699,,Tabard of Brute Force
