Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Sinful Gladiator's Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sinsmasher,Sinful Gladiator's Guard,Tabard of the Ascended,178142124,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Aspirant's Plate Chestplate,Shadowghast Waistguard,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,,195482970,
Wing Commander's Helmet,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Barricade of the Endless Empire,,136938662,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Fleshfused Circle,Ritualist's Treasured Ring,Gluttonous Spike,Skulker's Wing,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,,179027754,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Signet of the False Accuser,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Gorestained Cleaver,Sinful Gladiator's Guard,Tushui Tabard,146437861,Threads of Tirion
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Shadowghast Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Lightbringer,78769113,Gorgeous Blouse
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Signet of the False Accuser,Shadowghast Ring,Blood-Spattered Scale,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Knight's Colors,237882031,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Commander's Ring,Ritualist's Treasured Ring,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Supercollider,Acidslough Bulwark,,124131684,Last Season's Shirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Ascended,101864005,Selis' Silk Shirt
Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Guilewind Stone Talons,Ritual Bone Band,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Engorged Worm Smasher,Elysian Sentinel's Aegis,,185742940,
