Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fallen Templar's Gauntlets,Hyperlight Band,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of Summer Flames,144130261,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Desm's Fistos,Fleshfused Circle,Signet of the False Accuser,Stone Legion Heraldry,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,Renowned Guild Tabard,109069073,
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Decadent Nathrian Shawl,Engorged Worm Smasher,Acidslough Bulwark,Court of Harvesters Tabard,122340550,Lucky Shirt
Wing Commander's Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Shadowghast Ring,Blood-Spattered Scale,Sanguine Vintage,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,Argent Crusader's Tabard,64384723,Fashionable Undershirt
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the Lightbringer,166079251,
Darkfrost Helmet,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Shadowghast Ring,Ritual Commander's Ring,Inscrutable Quantum Device,Overwhelming Power Crystal,Blighted Margrave's Cloak,Engorged Worm Smasher,Kudebeh's Remarkable Targe,,189570109,Wraps of the Blood-Soaked Brawler
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Guilewind Stone Talons,Fleshfused Circle,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Drape,Gorestained Cleaver,Acidslough Bulwark,,163731069,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,Tabard of the Lightbringer,211942967,Fashionable Undershirt
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Most Regal Signet of Sire Denathrius,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Crest of the Legionnaire General,Sophisticated Bonecracker,Acidslough Bulwark,,128177353,Precious' Ribbon
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Sinsmasher,Acidslough Bulwark,,154057664,
