Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Orgrimmar Tabard,194396987,
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Hardened Castle Crushers,Death God's Signet,Ritualist's Treasured Ring,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,,176474438,
Diadem of Imperious Desire,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Death God's Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Zandalari,154538607,
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Stone Legion Heraldry,Cloak of Enveloping Manifestations,Gorestained Cleaver,Acidslough Bulwark,Renowned Guild Tabard,170326502,Artisan Officer's Shirt
Darkfrost Helmet,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Pulsating Stoneheart,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,,156352303,
Darkfrost Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Axe of the Deadgrove,Elysian Sentinel's Aegis,,154220855,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,,147395689,
Wing Commander's Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Shadowghast Armguards,Colossal Plate Gauntlets,Ritual Bone Band,Hyperlight Band,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,,176695367,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Ritual Bone Band,Sinful Gladiator's Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Explorer,156893719,
Diadem of Imperious Desire,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Shadowghast Armguards,Colossal Plate Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,162618567,
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,,198291286,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Halkias's Towering Pillars,Dynamo Doomstompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Shadowghast Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,,73785417,Captain Sanders' Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Pulsating Stoneheart,Blighted Margrave's Cloak,Gorestained Cleaver,Encrusted Canopic Lid,Argent Crusader's Tabard,160056280,Squire's Shirt
Sinful Gladiator's Plate Helm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Hyperlight Band,Bloodoath Signet,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,,195010023,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Hellhound Cuffs,Guilewind Stone Talons,Most Regal Signet of Sire Denathrius,Band of the Risen Bonelord,Anima Field Emitter,Darkmoon Deck: Voracity,Cloak of Enveloping Manifestations,Supercollider,Encrusted Canopic Lid,Tabard of the Zandalari Empire,168959257,Dark Silk Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,167094488,
