Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Sanguine Vintage,Blighted Margrave's Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,Renowned Guild Tabard,168522770,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Fleshfused Circle,Anima Field Emitter,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,,66381160,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Legplates of Unholy Frenzy,Dynamo Doomstompers,Vambraces of the Depraved Warden,Absonant Construct's Handguards,Hyperlight Band,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Shroud of the Penitent,Ascended Gladius of Glory,Acidslough Bulwark,Tabard of the Lightbringer,87892285,
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Xandria's Kopis of Courage,Chyrus's Crest of Hope,Tabard of the Unshackled,148169893,Fashionable Undershirt
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Bloodoath Signet,Ritualist's Treasured Ring,Anima Field Emitter,Viscera of Coalesced Hatred,Decadent Nathrian Shawl,Axe of the Deadgrove,Elysian Sentinel's Aegis,Stormwind Tabard,137340802,
Casque of the Path,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Valinor's Ground Pounders,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Bloodoath Signet,Shadowghast Ring,Sinful Gladiator's Insignia of Alacrity,Pulsating Stoneheart,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,Thunder Bluff Tabard,177144909,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Bloodoath Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,Tabard of the Ascended,166202436,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Death God's Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Encrusted Canopic Lid,,245964140,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritual Bone Band,Ritualist's Treasured Ring,Sinful Gladiator's Insignia of Alacrity,Slimy Consumptive Organ,Mantle of Manifest Sins,Supercollider,Barricade of the Endless Empire,,160686835,
Wrathbark Greathelm,Noble's Birthstone Pendant,Prankster's Pauldrons,Tharatos' Charred Chestplate,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Stonewrought Gargoyles Barrier,,169726299,
