Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Wing Commander's Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Shadowghast Armguards,Colossal Plate Gauntlets,Ritual Bone Band,Hyperlight Band,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,176695367,,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Hellhound Cuffs,Fallen Templar's Gauntlets,Signet of the False Accuser,Fleshfused Circle,Anima Field Emitter,Stone Legion Heraldry,Drape of Twisted Loyalties,Gorestained Cleaver,Elysian Sentinel's Aegis,118699248,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Sinful Gladiator's Swordbreaker,Acidslough Bulwark,191467363,,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Stonefiend Shaper's Mitts,Shadowghast Ring,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,133236058,,
Wing Commander's Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Bone Band,Ardent Sunstar Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Decadent Nathrian Shawl,Engorged Worm Smasher,Acidslough Bulwark,85146514,Stylish Red Shirt,Renowned Guild Tabard
Wing Commander's Helmet,Sinful Gladiator's Necklace,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,107144363,,Nightfallen Tabard
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Fleshfused Circle,Blood-Spattered Scale,Viscera of Coalesced Hatred,Mantle of Manifest Sins,Supercollider,Acidslough Bulwark,29023071,Silvermoon Doublet,Tabard of the Ascended
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Decadent Nathrian Shawl,Axe of the Deadgrove,Encrusted Canopic Lid,157207976,Precious' Ribbon,Army of the Light Tabard
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Blood-Spattered Scale,Sanguine Vintage,Dealer Xy'exa's Cape,Engorged Worm Smasher,Elysian Sentinel's Aegis,129570316,,
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Sanguine Vintage,Dealer Xy'exa's Cape,Gorestained Cleaver,Barricade of the Endless Empire,113680702,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Signet of the False Accuser,Death God's Signet,Sanguine Vintage,Blood-Spattered Scale,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,166768405,,Stormwind Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Supercollider,Sinful Gladiator's Guard,172353075,,Gnomeregan Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,162942669,,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sapsteel Breastplate,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Death God's Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Sanguine Vintage,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,154445860,,Huojin Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Sanguine Vintage,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Supercollider,Acidslough Bulwark,165763470,,Horde Tabard
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Tharatos' Charred Chestplate,Stoic Guardsman's Belt,Shadowghast Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Bladedancer's Armor Kit,Overwhelming Power Crystal,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,154412126,,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Decadent Nathrian Shawl,Gorestained Cleaver,Barricade of the Endless Empire,154184421,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Colossal Plate Gauntlets,Arachnid Cipher Ring,Bloodoath Signet,Anima Field Emitter,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Ascended Gladius of Glory,Chyrus's Crest of Hope,153918280,,
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Engorged Worm Smasher,Chyrus's Crest of Hope,193828973,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,96588270,Artisan Officer's Shirt,Tabard of the Ascended
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Shadowghast Ring,Hyperlight Band,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Elysian Sentinel's Aegis,162648914,Precious' Ribbon,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ring of Perpetual Conflict,Sinful Aspirant's Insignia of Alacrity,Anima Field Emitter,Sinful Gladiator's Drape,Axe of the Deadgrove,Encrusted Canopic Lid,163197530,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Pulsating Stoneheart,Gluttonous Spike,Mantle of Manifest Sins,Axe of the Deadgrove,Elysian Sentinel's Aegis,106882689,,Exodar Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritual Bone Band,Signet of the False Accuser,Anima Field Emitter,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,91973227,,
Shadowghast Helm,Azure-Venom Choker,Prankster's Pauldrons,Selfless Collector's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Band of the Risen Bonelord,Phial of Putrefaction,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Barricade of the Endless Empire,170223858,,Purple Trophy Tabard of the Illidari
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Sanguine Vintage,Anima Field Emitter,Cowled Batwing Cloak,Sinsmasher,Encrusted Canopic Lid,28534200,,
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Shadowghast Ring,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Dealer Xy'exa's Cape,Gorestained Cleaver,Barricade of the Endless Empire,111598945,,
