Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Guilewind Stone Talons,Most Regal Signet of Sire Denathrius,Arachnid Cipher Ring,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Reaver of Renewed Resolve,Acidslough Bulwark,Guild Tabard,107578790,
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Hyperlight Band,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Stone Legion Heraldry,Blighted Margrave's Cloak,Engorged Worm Smasher,Sinful Gladiator's Redoubt,,112479556,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Aspirant's Sword,Barricade of the Endless Empire,Renowned Guild Tabard,153748785,Precious' Ribbon
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Arachnid Cipher Ring,Gluttonous Spike,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,,148589653,
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Shadowghast Armguards,Fleshfused Crushers,Band of the Risen Bonelord,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Mantle of Manifest Sins,Engorged Worm Smasher,Barricade of the Endless Empire,Tabard of the Lightbringer,176644890,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Acidslough Bulwark,,183013498,
Shadowghast Helm,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Sinful Aspirant's Medallion,Blood-Spattered Scale,Runewarden's Greatcloak,Supercollider,Acidslough Bulwark,Green Trophy Tabard of the Illidari,153681494,Undisputed Champion's Shirt
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Ceremonial Parade Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Ritual Bone Band,Ritualist's Treasured Ring,Inscrutable Quantum Device,Anima Field Emitter,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,Lightforged Tabard,195622369,
Wrathbark Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Band of the Risen Bonelord,Ritualist's Treasured Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Ascended Gladius of Glory,Acidslough Bulwark,,136643238,
Shadowghast Helm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,Renowned Guild Tabard,108200144,Lucky Shirt
